<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,5.37,5.42,5.33,5.38,9645000
20100602,5.38,5.44,5.34,5.43,5240000
20100604,5.43,5.48,5.25,5.44,17562500
20100607,5.44,5.52,5.44,5.52,10925000
20100608,5.5,5.58,5.49,5.51,14032500
20100609,5.53,5.57,5.5,5.52,7690000
20100610,5.52,5.6,5.5,5.57,9230000
20100611,5.53,5.6,5.53,5.57,4370000
20100614,5.58,5.63,5.55,5.6,6995000
20100615,5.62,5.7,5.56,5.66,5570000
20100616,5.62,5.74,5.61,5.72,11105000
20100617,5.69,5.74,5.67,5.74,7242500
20100618,5.71,5.76,5.69,5.73,6187500
20100621,5.75,5.85,5.75,5.85,6777500
20100622,5.85,5.92,5.82,5.86,9475000
20100623,5.84,5.91,5.8,5.91,7995000
20100624,5.85,5.9,5.74,5.75,11850000
20100625,5.72,5.81,5.7,5.81,5870000
20100628,5.77,5.89,5.76,5.88,6055000
20100629,5.81,5.86,5.75,5.8,10860000
20100630,5.76,5.76,5.58,5.59,10607500
20100701,5.58,5.62,5.46,5.56,12045000
20100702,5.52,5.64,5.52,5.6,7840000
20100705,5.63,5.63,5.49,5.53,3882500
20100706,5.57,5.72,5.51,5.69,12480000
20100707,5.69,5.74,5.63,5.72,8610000
20100708,5.68,5.71,5.65,5.7,10247500
20100712,5.72,5.72,5.61,5.65,7607500
20100713,5.61,5.71,5.61,5.67,9060000
20100714,5.64,5.72,5.64,5.69,5905000
20100715,5.69,5.77,5.65,5.77,12800000
20100716,5.74,5.83,5.73,5.8,11185000
20100719,5.8,5.85,5.79,5.85,9297500
20100720,5.8,5.85,5.74,5.81,9367500
20100721,5.86,5.86,5.76,5.79,9420000
20100722,5.83,5.91,5.79,5.88,8315000
20100723,5.83,5.92,5.82,5.84,10252500
20100726,5.85,5.86,5.79,5.82,5810000
20100727,5.84,5.85,5.79,5.83,8087500
20100728,5.85,5.92,5.8,5.92,6030000
20100729,5.92,5.94,5.85,5.9,6337500
20100730,5.88,5.94,5.85,5.92,7142500
20100802,5.94,6.03,5.6,5.9,21837500
20100803,5.89,5.91,5.82,5.86,7290000
20100804,5.89,5.89,5.82,5.85,5967500
20100805,5.91,5.91,5.76,5.81,5652500
20100806,5.76,5.81,5.68,5.69,7975000
20100809,5.69,5.73,5.67,5.7,4512500
20100810,5.67,5.72,5.66,5.69,8525000
20100811,5.69,5.69,5.63,5.64,6622500
20100812,5.63,5.68,5.58,5.67,9342500
20100813,5.64,5.72,5.61,5.66,8932500
20100816,5.66,5.81,5.62,5.78,6387500
20100817,5.75,5.93,5.75,5.88,10840000
20100818,5.91,5.94,5.83,5.94,12915000
20100819,5.89,5.99,5.84,5.95,8795000
20100820,5.91,5.95,5.91,5.91,6252500
20100823,5.95,6.06,5.85,5.91,8605000
20100824,5.83,5.9,5.83,5.88,4312500
20100825,5.85,5.89,5.75,5.78,5050000
20100826,5.78,5.82,5.72,5.78,8552500
20100827,5.83,5.86,5.75,5.86,6242500
20100830,5.81,5.87,5.79,5.82,4302500
20100831,5.85,6.03,5.84,6.02,7340000
