<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,16.3,16.89,16.24,16.28,2995400
20100602,16.33,17.15,16.33,16.94,2556000
20100604,16.8,17.06,16.6,17.01,3335800
20100607,17.06,17.2,16.62,16.74,2794300
20100608,16.84,17.01,16.69,16.84,2284200
20100609,16.93,17.01,16.59,16.64,1421700
20100610,16.71,17.06,16.71,16.97,1659500
20100611,16.84,17.13,16.74,17.06,2156300
20100614,17.18,17.53,17.06,17.44,2552000
20100615,17.44,17.53,17.18,17.26,2493500
20100616,17.15,17.58,17.12,17.37,2525400
20100617,17.43,17.58,17.27,17.27,2905000
20100618,17.3,17.44,17.16,17.26,2876800
20100621,17.38,17.92,17.38,17.88,4013200
20100622,17.83,18.23,17.79,17.91,5656000
20100623,17.88,18.04,17.41,17.57,5073100
20100624,17.54,17.77,17.16,17.36,5882000
20100625,17.3,17.55,17.15,17.18,3908900
20100628,17.24,17.31,16.87,16.87,5668700
20100629,16.55,16.64,16.11,16.17,7988500
20100630,16.3,16.55,15.6,15.63,12340200
20100701,16.33,16.94,16.05,16.59,31437700
20100702,16.48,16.99,16.33,16.8,13074600
20100705,16.68,16.96,16.58,16.68,7755300
20100706,16.96,17.09,16.8,17.09,9196100
20100707,17.04,17.72,16.9,17.6,15748000
20100708,17.5,17.85,17.41,17.56,12776900
20100712,17.41,17.98,17.41,17.62,7108300
20100713,17.69,18.17,17.67,18.03,9097800
20100714,18.01,18.1,17.62,17.94,5074500
20100715,17.88,18.22,17.7,18.22,4576700
20100716,18.14,18.19,17.46,17.7,4127700
20100719,17.76,17.95,17.62,17.88,4055000
20100720,17.71,17.98,17.6,17.82,4877400
20100721,17.85,18.01,17.77,17.92,4297200
20100722,18.07,18.58,18.01,18.44,9301000
20100723,18.39,18.69,18.29,18.69,3457100
20100726,18.48,18.78,18.24,18.42,3516500
20100727,18.57,18.61,18.05,18.2,4383200
20100728,18.28,18.96,18.03,18.96,6219100
20100729,18.92,19.15,18.74,18.96,4024200
20100730,18.83,19.48,18.65,19.37,4343000
20100802,19.34,19.64,19.25,19.32,4154600
20100803,19.15,19.3,18.77,18.77,3806400
20100804,18.84,18.92,18.52,18.58,2842600
20100805,18.49,19.02,18.41,19.02,3133100
20100806,18.9,19.24,18.81,19.24,2485700
20100809,19.18,19.72,19.18,19.47,5833500
20100810,19.28,19.44,19.13,19.22,4524400
20100811,18.97,19.07,18.71,18.83,4305300
20100812,18.71,19.25,18.55,19.25,3942600
20100813,19.11,19.46,19.09,19.3,4060200
20100816,19.45,19.66,19.07,19.21,3614800
20100817,19.29,19.29,18.99,19.12,4731400
20100818,19.1,19.11,18.86,18.97,4052300
20100819,18.83,19.12,18.59,18.64,3365500
20100820,18.53,18.96,18.53,18.92,3442500
20100823,18.9,18.95,18.65,18.77,2265400
20100824,18.55,18.6,18.23,18.51,3612500
20100825,18.35,18.54,18.25,18.51,3144200
20100826,18.54,18.56,17.87,18,4415600
20100827,17.97,18.03,17.75,18.03,7568100
20100830,18.13,18.13,17.5,17.68,5980700
20100831,17.68,18.18,17.63,18.18,6057100
20100901,18.26,18.8,18.19,18.8,5032000
20100902,18.77,18.77,18.39,18.48,3242500
20100903,18.66,18.69,18.1,18.19,3349500
20100906,18.17,18.23,17.92,18.02,1069900
20100908,18,18.17,17.87,18.04,2299000
20100909,18.16,18.18,18,18.05,2135800
20100910,18,18.12,17.82,17.87,2458900
20100913,18.13,18.52,17.98,18.51,3813300
20100914,18.51,18.84,18.46,18.74,4345100
20100915,18.64,18.93,18.61,18.9,3061900
20100916,18.76,18.9,18.69,18.83,2690300
20100917,18.78,18.81,18.54,18.62,3348900
20100920,18.62,19.02,18.62,19.02,2846300
20100921,18.97,19.15,18.86,19.15,6596600
20100922,19.03,19.42,19.03,19.41,8004400
20100923,19.34,20.07,19.34,19.91,10174100
20100924,19.85,20.12,19.44,19.49,12985300
20100927,19.59,20.01,19.29,19.88,4252000
20100928,19.98,20.09,19.65,19.94,4717600
20100929,19.93,20.41,19.89,20.32,5295600
20100930,20.33,20.67,20.17,20.67,6316200
20101001,20.72,21.1,20.51,21.05,6221000
20101004,20.91,21.26,20.84,21.16,3420800
20101005,21.12,21.42,21.07,21.34,4759400
20101006,21.19,21.33,21.01,21.26,5505000
20101007,21.17,21.26,20.85,20.98,4124400
20101008,20.86,21.52,20.86,21.39,4529200
20101011,21.39,21.59,21.09,21.49,3112200
20101013,21.62,22.51,21.6,22.42,9932600
20101014,22.32,22.45,21.7,22.09,7253500
20101015,21.97,22.39,21.8,22.39,4413900
20101018,22.2,22.25,21.95,22.2,5084900
20101019,21.76,22.09,21.44,21.82,5558500
20101020,21.75,22.18,21.62,22.13,4063100
20101021,22.01,22.38,21.45,21.57,5145500
20101022,21.73,21.76,21.48,21.6,2836300
20101025,21.71,21.88,21.53,21.71,3911300
20101026,21.5,22.08,21.44,21.94,4928200
20101027,21.88,21.88,21.51,21.78,4775000
20101028,21.82,21.97,21.46,21.46,3521100
20101029,21.49,21.66,21.11,21.3,4058100
20101101,21.39,21.96,21.32,21.67,2773300
20101103,21.88,22.26,21.82,21.95,5302300
20101104,22.04,22.51,22.04,22.51,5007600
20101105,22.07,22.42,22.07,22.41,2802100
20101108,22.08,22.31,22,22.31,3255400
20101109,22.13,22.23,21.7,21.77,5266600
20101110,21.66,22.04,21.59,21.75,3778900
20101111,21.62,21.73,21.35,21.7,3796700
20101112,21.49,21.99,21.39,21.78,5489100
20101116,21.95,22.15,21.5,21.81,6221300
20101117,21.72,22.06,21.59,21.75,3585000
20101118,21.95,22.18,21.88,22.03,5871300
20101119,21.83,22.07,21.59,22.07,3092600
20101122,21.88,21.92,21.44,21.75,2625800
20101123,21.41,21.48,20.58,20.85,7290600
20101124,21.09,21.42,21,21.13,5967700
20101125,21.21,21.45,21,21.25,2051800
20101126,21.02,21.46,20.93,21.26,3955400
20101129,21.09,21.48,21.02,21.42,3838400
20101130,21.26,21.31,20.97,21.25,7826500
20101201,21.42,21.9,21.31,21.81,5187700
20101202,21.9,22.12,21.63,21.63,4652400
20101203,21.38,21.41,20.94,21.06,6242100
20101206,21.06,21.08,20.64,20.64,5045600
20101207,20.82,20.98,20.59,20.59,4375500
20101208,20.57,20.67,20.15,20.29,6560100
20101209,20.31,20.44,19.73,20.02,6300400
20101210,20.09,20.19,19.54,19.93,5934800
20101213,20.03,20.27,19.72,20.14,4267600
20101214,20.09,20.23,19.94,20.13,3452500
20101215,19.99,20.15,19.9,20.05,3492500
20101216,20.06,20.25,19.76,19.86,4779800
20101217,19.73,19.99,19.62,19.78,2856700
20101220,19.82,19.84,19.38,19.41,5603800
20101221,19.54,19.91,19.44,19.73,4041000
20101222,19.7,19.97,19.55,19.96,4660500
20101223,19.98,20.41,19.89,20.21,3786900
20101227,20.11,20.21,19.93,20.08,2423100
20101228,20.07,20.14,19.72,20.04,2212200
20101229,20.02,20.31,19.89,20.18,2539900
20101230,20.28,20.45,20.13,20.45,4212600
20110103,20.5,20.7,20.43,20.44,3313400
20110104,20.5,20.69,20.27,20.52,3513300
20110105,20.44,20.89,20.39,20.82,4114800
20110106,20.73,20.92,20.5,20.63,4457900
20110107,20.54,20.63,19.99,20.15,3653100
20110110,19.93,20.18,19.8,20.18,3920200
20110111,20.31,20.49,20.26,20.42,3450100
20110112,20.6,20.82,20.55,20.78,3046600
20110113,20.83,20.83,20.5,20.57,3206000
20110114,20.45,20.68,20.3,20.68,3863100
20110117,20.52,20.57,20.28,20.44,2435800
20110118,20.55,20.56,20.34,20.54,3120000
20110119,20.5,20.62,20.12,20.24,3534600
20110120,20.07,20.11,19.82,20.11,8350300
20110121,20.05,20.24,19.94,20.02,4431000
20110124,20.04,20.27,20.02,20.2,3074500
20110126,20.17,20.48,20.08,20.18,5505500
20110127,20.26,20.34,19.65,20.18,8341000
20110128,20.18,20.22,19.27,19.76,8495200
20110131,19.85,19.93,19.33,19.37,7081300
20110201,19.51,19.74,19.38,19.46,4619600
20110202,19.53,19.68,19.23,19.25,3422000
20110203,19.31,19.36,19.05,19.05,5375600
20110204,19.01,19.1,18.25,18.29,10015100
20110207,18.45,18.49,18.23,18.41,5160800
20110208,18.38,19.2,18.36,18.75,9453400
20110209,18.71,18.81,18.18,18.28,6352600
20110210,18.31,18.55,18.26,18.38,6648400
20110211,18.4,19.33,18.32,19.25,7941400
20110214,19.12,19.46,19.03,19.38,5496000
20110215,19.27,19.92,19.06,19.79,8724900
20110216,19.85,20.57,19.77,20.46,11213500
20110217,20.7,20.83,20.11,20.33,9599200
20110218,20.18,20.32,19.98,20.27,5348400
20110221,20.18,20.24,19.89,19.96,3107000
20110222,19.81,19.9,19.16,19.31,9576100
20110223,19.3,19.41,18.93,19.34,6758400
20110224,19.54,19.7,19.14,19.28,5875800
20110225,19.47,19.57,18.91,19.19,8047000
20110228,19.24,19.61,19.09,19.57,6744600
20110301,19.61,19.67,19.02,19.05,5953600
20110302,19.05,19.6,18.95,19.2,4729900
20110303,19.34,19.57,19.26,19.43,5748300
20110304,19.3,19.62,19.29,19.49,3802300
20110309,19.34,19.34,18.9,18.98,4594600
20110310,18.76,18.78,18.29,18.43,9090200
20110311,18.42,18.66,18.26,18.54,6457800
20110314,18.42,18.83,18.37,18.75,6079700
20110315,18.33,18.98,18.16,18.97,5387700
20110316,18.98,19.08,18.36,18.52,5124700
20110317,18.74,18.8,18.36,18.49,3514300
20110318,18.59,18.9,18.59,18.75,5771600
20110321,18.93,19.03,18.55,18.78,3435400
20110322,18.82,19.2,18.69,19.08,7222300
20110323,19.05,19.18,18.95,19.15,5022900
20110324,19.16,19.27,19.02,19.05,3538800
20110325,19.1,19.13,18.82,18.95,3973000
20110328,18.94,19.12,18.74,18.83,3431800
20110329,18.98,18.98,18.68,18.72,3974600
20110330,18.82,19.13,18.72,19.13,5482700
20110331,19.13,19.61,18.99,19.61,7853300
20110401,19.75,20.23,19.71,19.9,8982000
20110404,19.78,19.9,19.59,19.84,3585600
20110405,19.71,19.87,19.64,19.73,5955000
20110406,19.83,19.84,19.63,19.78,3907100
20110407,19.75,19.99,19.61,19.75,4540700
20110408,19.65,19.77,19.36,19.51,5353200
20110411,19.47,19.58,19.17,19.25,3653700
20110412,19.11,19.18,18.62,18.83,8495100
20110413,19,19,18.67,18.9,3655400
20110414,18.82,19.07,18.72,18.77,4164100
20110415,18.82,18.86,18.45,18.49,7575700
20110418,18.34,18.51,17.99,18.48,4513800
20110419,18.58,18.78,18.52,18.68,4106300
20110420,18.85,19.27,18.8,19.27,6585000
20110425,19.19,19.33,18.98,19.25,3316400
20110426,19.39,19.59,19.27,19.51,5911100
20110427,19.48,19.6,19.11,19.51,5932400
20110428,19.29,19.37,18.8,19.05,5952400
20110429,19.02,19.29,18.86,19.24,5038200
20110502,19.11,19.29,18.85,19.17,4246600
20110503,18.98,19.05,18.5,18.65,4454700
20110504,18.75,18.84,18.22,18.28,6922300
20110505,18.23,18.58,18.04,18.34,6433400
20110506,18.65,18.82,18.38,18.82,6872200
20110509,18.78,18.97,18.58,18.9,4850600
20110510,19.09,19.35,19.02,19.35,7764600
20110511,19.15,19.29,19.08,19.28,6442500
20110512,19.05,19.55,19.02,19.45,6149300
20110513,19.37,19.39,18.8,18.86,4773200
20110516,18.72,18.86,18.33,18.52,4937800
20110517,18.5,18.66,18.14,18.58,5059100
20110518,18.67,18.68,18.06,18.11,6545500
20110519,18.21,18.32,17.84,18.09,5095900
20110520,18.2,18.25,18,18.02,3023000
20110523,17.86,18.24,17.73,18.11,3601600
20110524,18.2,18.42,18.14,18.38,3430200
20110525,18.24,18.36,18.14,18.19,3355900
20110526,18.26,18.76,18.26,18.76,6603400
20110527,18.86,18.99,18.75,18.95,3948500
20110530,19.01,19.01,18.71,18.89,1081700
20110531,18.99,19.08,18.5,18.72,10212800
20110601,18.56,18.66,18.24,18.43,7203400
20110602,18.44,18.49,17.97,18.29,7060800
20110603,18.18,18.54,18.02,18.29,5991800
20110606,18.36,18.4,18.12,18.24,5819000
20110607,18.31,18.65,18.31,18.56,4634100
20110608,18.47,18.59,18.34,18.52,4715400
20110609,18.45,18.56,18.24,18.38,2644700
20110610,18.3,18.37,18.08,18.09,5097000
20110613,18.1,18.39,18.1,18.26,3990900
20110614,18.36,18.45,18.25,18.45,4958100
20110615,18.32,18.45,18.2,18.42,4965000
20110616,18.26,18.48,17.98,18.06,4659500
20110617,18.23,18.26,17.78,18.06,6263000
20110620,17.95,18.24,17.83,18.19,3036100
20110621,18.22,18.22,18.04,18.06,2958000
20110622,18.12,18.53,18.07,18.37,6206100
20110624,18.32,18.38,18.1,18.16,3432000
20110627,18.2,18.33,18.04,18.08,3838200
20110628,18.16,18.49,18.08,18.48,5419300
20110629,18.53,18.8,18.42,18.74,3517600
20110630,18.8,18.87,18.64,18.87,3410900
20110701,18.8,18.95,18.47,18.95,4767000
20110704,18.88,19.16,18.82,19.16,1834000
20110705,19.11,19.12,18.86,19.07,2528500
20110706,18.87,18.99,18.61,18.9,3121800
20110707,19.07,19.08,18.34,18.4,4253000
20110708,18.24,18.33,17.88,17.89,5481100
20110711,17.69,17.69,17.26,17.39,4496900
20110712,17.39,17.72,17.19,17.42,6999600
20110713,17.54,18.07,17.4,17.83,7098800
20110714,17.76,17.95,17.29,17.51,5044800
20110715,17.54,17.6,17.19,17.37,5038800
20110718,17.19,17.25,16.73,16.9,6145200
20110719,17.05,17.37,16.94,17.29,5046300
20110720,17.32,17.7,17.32,17.64,5425800
20110721,17.69,18.2,17.66,18.08,4093000
20110722,18.1,18.45,18.08,18.24,4957500
20110725,18.06,18.06,17.6,17.85,3263300
20110726,17.78,17.85,17.4,17.48,7165700
20110727,17.19,17.46,16.86,17.08,7922300
20110728,17.06,17.37,17,17.35,7194900
20110729,17.12,17.76,17.02,17.72,5784300
20110801,17.93,18.17,17.38,17.81,4934600
20110802,17.6,17.7,17.03,17.22,6963500
20110803,17.19,17.29,16.81,17.02,5558300
20110804,16.74,16.88,15.71,16.17,7677200
20110805,16.17,16.51,15.71,16.17,7421700
20110808,15.5,15.66,14.22,15.25,12053100
20110809,15.84,16.34,15.37,16.34,16280500
20110810,16.16,16.48,15.79,16.04,7544300
20110811,16.23,16.62,16.1,16.36,6911800
20110812,16.52,16.78,16.19,16.44,6478700
20110815,16.58,16.84,16.55,16.69,4006300
20110816,16.38,16.84,16.25,16.84,5965300
20110817,16.86,17.52,16.86,17.44,8329500
20110818,16.99,17.06,16.43,16.98,8630400
20110819,16.75,17.12,16.71,17.05,5948600
20110822,17.37,17.48,16.8,16.97,6011300
20110823,17.09,17.43,16.51,17.43,6246900
20110824,17.33,17.81,17.09,17.49,5499700
20110825,17.39,17.96,17.13,17.39,5041400
20110826,17.33,17.66,17,17.28,3785500
20110829,17.51,17.83,17.47,17.67,3801600
20110830,17.57,17.94,17.47,17.81,3471200
20110831,17.94,18.16,17.85,18.16,6557800
20110901,18.55,19.62,18.55,19.27,12535100
20110902,18.96,18.99,18.47,18.77,8049700
20110905,18.29,18.32,18.11,18.13,3564400
20110906,17.81,18.61,17.75,18.43,5261200
20110908,18.68,19.02,18.62,18.84,5222600
20110909,18.62,18.64,18.01,18.09,5675700
20110912,17.66,17.94,17.35,17.74,4833900
20110913,17.9,18,17.42,17.66,4746800
20110914,17.75,17.91,17.4,17.7,4946400
20110915,17.91,18.18,17.7,17.81,3857400
20110916,17.76,18.14,17.76,18.09,5030900
20110919,17.74,17.9,17.57,17.78,4559900
20110920,17.87,17.87,17.39,17.47,5651600
20110921,17.56,17.64,16.99,17.06,8672500
20110922,16.49,16.73,16.13,16.6,7910900
20110923,16.5,16.77,16.22,16.43,4974200
20110926,16.63,16.71,16.08,16.61,6368300
20110927,16.91,17.35,16.86,16.96,5128600
20110928,16.98,17.43,16.91,16.91,5625600
20110929,17.05,17.31,16.87,17.11,3867900
20110930,16.78,17.07,16.31,17.07,6314500
20111003,16.82,16.91,16.44,16.45,6712900
20111004,16.36,16.39,15.66,16.19,10198300
20111005,16.1,16.36,15.84,16.22,6700700
20111006,16.48,16.53,16.24,16.29,5526800
20111007,16.46,16.58,15.81,15.81,5360000
20111010,15.98,16.73,15.98,16.61,7720400
20111011,16.43,16.59,15.98,16.05,13733900
20111013,16.21,16.46,15.84,16.18,15566600
20111014,16.25,16.34,16.05,16.28,8270400
20111017,16.18,16.19,15.91,16.12,5146800
20111018,16.05,16.54,15.9,16.49,7520100
20111019,16.54,16.67,16.42,16.56,6513400
20111020,16.5,16.74,16.32,16.36,6046400
20111021,16.53,16.69,16.46,16.69,5340500
20111024,16.77,17.24,16.76,17.1,6021700
20111025,16.96,17.06,16.45,16.65,7509600
20111026,16.76,17,16.46,16.94,7263400
20111027,17.67,17.97,17.48,17.8,12971000
20111028,17.66,18.08,17.54,17.94,7507600
20111031,17.62,18.04,17.48,17.8,7876600
20111101,17.21,17.8,17.04,17.73,8176000
20111103,17.8,17.87,17.25,17.35,12149600
20111104,17.32,17.42,17.09,17.39,4466400
20111107,17.39,17.56,17.33,17.51,4456400
20111108,17.55,17.63,17.28,17.46,3754600
20111109,17.18,17.32,16.71,16.99,7590300
20111110,17.09,17.27,16.75,16.8,4062500
20111111,17.05,17.09,16.8,16.82,5896700
20111114,16.91,17.59,16.9,17.39,8627400
20111116,17.38,17.68,17.31,17.42,6239000
20111117,17.31,17.46,16.84,17.04,6058200
20111118,17.18,17.24,16.61,16.76,4771600
20111121,16.56,16.71,16.26,16.71,4107400
20111122,16.79,16.89,16.36,16.44,4503700
20111123,16.24,16.36,15.93,16.03,5531100
20111124,16.16,16.25,15.89,16.08,2389100
20111125,15.99,16.14,15.92,16,2759900
20111128,16.27,16.47,16.27,16.3,4242900
20111129,16.27,16.41,15.96,16.03,5295000
20111130,16.27,16.76,16.25,16.72,11169600
20111201,16.92,17.51,16.92,17.42,7729800
20111202,17.55,17.67,17.02,17.19,7192000
20111205,17.01,17.2,16.65,16.7,12851400
20111206,16.69,16.92,16.58,16.86,6404500
20111207,16.79,16.82,16.34,16.43,9159900
20111208,16.54,16.76,16.1,16.36,8501100
20111209,16.38,16.72,16.25,16.72,7366800
20111212,16.5,16.57,16.18,16.26,5671600
20111213,16.41,16.61,16.21,16.3,5780500
20111214,16.27,16.44,15.98,16.09,8754900
20111215,16.21,16.28,15.79,15.92,4997000
20111216,16.07,16.07,15.68,15.68,5381700
20111219,15.76,15.91,15.53,15.53,4683100
20111220,15.68,15.85,15.57,15.83,5105000
20111221,15.79,16.26,15.75,16.18,6352500
20111222,16.22,16.75,16.22,16.65,5878600
20111223,16.74,16.78,16.53,16.73,3435800
20111226,16.64,16.75,16.59,16.7,1878800
20111227,16.67,16.88,16.62,16.81,3343600
20111228,16.72,16.84,16.32,16.41,3708200
