<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,14.36,14.63,14.17,14.35,6053228
20100602,14.39,14.73,14.35,14.61,5391827
20100604,14.46,14.61,14.32,14.47,4439417
20100607,14.42,14.66,14.13,14.18,4755982
20100608,14.3,14.35,14.05,14.24,6069360
20100609,14.35,14.41,14.03,14.07,6165351
20100610,14.16,14.5,14.16,14.39,5436868
20100611,14.34,14.61,14.16,14.54,5257503
20100614,14.65,14.7,14.37,14.37,3129234
20100615,14.45,14.75,14.39,14.66,2203656
20100616,14.55,14.9,14.52,14.8,5640032
20100617,14.76,14.91,14.54,14.64,4414021
20100618,14.65,14.87,14.58,14.87,4674365
20100621,14.95,15.01,14.85,14.94,3425514
20100622,14.9,15.08,14.78,14.8,5475840
20100623,14.79,14.9,14.6,14.85,4264364
20100624,14.79,14.82,14.35,14.41,5483826
20100625,14.35,14.57,14.23,14.57,3094575
20100628,14.52,14.65,14.43,14.43,3276655
20100629,14.26,14.27,13.74,13.85,8937292
20100630,13.87,14.08,13.63,13.63,9492798
20100701,13.7,14.24,13.61,14.24,11173691
20100702,14.34,14.5,14.02,14.37,4843668
20100705,14.27,14.46,14.15,14.15,3058318
20100706,14.38,14.61,14.29,14.61,4913945
20100707,14.61,15.3,14.61,15.3,10971007
20100708,15.28,15.74,15.23,15.63,11142546
20100712,15.81,15.87,15.48,15.5,7797690
20100713,15.66,15.76,15.54,15.7,4570387
20100714,15.63,15.8,15.54,15.67,5880745
20100715,15.61,15.83,15.52,15.66,4697220
20100716,15.69,15.78,15.32,15.39,4097979
20100719,15.47,15.82,15.4,15.74,4441087
20100720,15.65,16.07,15.64,15.98,6990944
20100721,16.14,16.16,15.83,15.85,4739037
20100722,16.07,16.4,16.07,16.32,7457181
20100723,16.33,16.46,16.18,16.44,4236064
20100726,16.47,16.6,16.33,16.39,3330016
20100727,16.53,16.63,16.39,16.45,5428302
20100728,16.57,17.28,16.48,17.19,15292028
20100729,17.13,17.35,16.99,17.18,5881035
20100730,17.02,17.32,16.83,17.21,8187247
20100802,17.35,17.45,17.18,17.32,6494360
20100803,17.17,17.25,17.01,17.04,6655532
20100804,17.09,17.16,16.81,16.92,7322000
20100805,16.86,17.11,16.75,16.96,6591499
20100806,16.87,17.04,16.82,16.98,7088518
20100809,17.04,17.21,17.03,17.09,5876534
20100810,17.01,17.04,16.82,16.86,6169402
20100811,16.74,16.75,16.39,16.53,5653362
20100812,16.46,16.63,16.34,16.55,5808290
20100813,16.55,16.82,16.51,16.51,7283958
20100816,16.44,16.74,16.44,16.7,3886278
20100817,16.67,16.83,16.66,16.8,4257409
20100818,16.76,16.98,16.69,16.98,5085630
20100819,16.97,17.08,16.69,16.69,3369366
20100820,16.66,16.74,16.55,16.63,2631750
20100823,16.66,16.8,16.57,16.63,3422799
20100824,16.47,16.54,16.15,16.26,5961186
20100825,16.23,16.26,15.94,16.02,7609060
20100826,16.12,16.2,15.76,15.78,6216738
20100827,15.9,16.22,15.75,16.21,7813066
20100830,16.17,16.21,15.83,15.83,7023178
20100831,15.86,16.27,15.84,16.27,13359706
20100901,16.41,16.88,16.39,16.84,10159644
20100902,16.78,16.8,16.46,16.46,4589481
20100903,16.62,16.69,16.31,16.32,6141524
20100906,16.38,16.45,16.14,16.22,1052119
20100908,16.4,16.56,16.08,16.42,10292211
20100909,16.47,16.61,16.42,16.55,8521642
20100910,16.46,16.62,16.42,16.48,4782452
20100913,16.72,17.17,16.7,17.15,10683380
20100914,17.04,17.36,16.99,17.23,6217609
20100915,17.18,17.34,17,17.34,7085905
20100916,17.21,17.31,17.11,17.2,3908784
20100917,17.23,17.34,17.01,17.02,3925627
20100920,17.08,17.32,17.08,17.31,6959726
20100921,17.3,17.34,16.99,17.14,6171290
20100922,17.02,17.4,17.02,17.26,7907446
20100923,17.15,17.75,17.1,17.47,11395876
20100924,17.63,17.63,17.1,17.26,10878093
20100927,17.34,17.44,17.15,17.44,5013320
20100928,17.47,17.65,17.28,17.47,5177251
20100929,17.44,17.95,17.35,17.95,10552700
20100930,17.98,18.14,17.78,18.12,7832959
20101001,18.12,18.41,18.02,18.33,7569276
20101004,18.23,18.34,18.15,18.24,5624176
20101005,18.32,18.75,18.29,18.7,7342038
20101006,18.68,18.79,18.54,18.63,8291210
20101007,18.71,18.72,18.45,18.62,4902678
20101008,18.59,19.06,18.54,19.04,5607914
20101011,19.04,19.16,18.87,18.98,2694186
20101013,19.16,19.43,19.01,19.37,10032448
20101014,19.34,19.4,19.08,19.31,8231242
20101015,19.32,19.4,19.08,19.14,8918184
20101018,19,19.39,18.92,19.22,8873752
20101019,18.87,19.28,18.72,18.87,8671053
20101020,18.98,19.3,18.76,19.21,6373844
20101021,19.17,19.47,18.87,18.87,6206719
20101022,19.1,19.22,18.91,19.11,6745120
20101025,19.24,19.49,19.08,19.34,6670488
20101026,19.32,19.72,19.23,19.72,8351178
20101027,19.44,19.45,18.81,18.84,15349237
20101028,18.99,18.99,18.62,18.62,5792463
20101029,18.63,18.76,18.55,18.73,7812631
20101101,18.77,19.39,18.77,19.24,6373844
20101103,19.46,19.76,19.38,19.5,11503615
20101104,19.63,19.79,19.5,19.71,7712878
20101105,19.62,19.87,19.57,19.74,6060067
20101108,19.7,19.88,19.63,19.84,3765036
20101109,19.87,19.89,19.25,19.25,8840937
20101110,19.23,19.56,19.15,19.52,7206276
20101111,19.31,19.4,19.04,19.04,5041053
20101112,18.97,19.08,18.69,18.96,9159796
20101116,18.89,19.14,18.45,18.75,7734223
20101117,18.76,18.84,18.53,18.6,4735698
20101118,18.95,18.95,18.69,18.7,8225434
20101119,18.65,18.91,18.52,18.87,5262338
20101122,18.87,18.88,18.32,18.48,6995010
20101123,18.27,18.35,18.02,18.14,9405330
20101124,18.29,18.78,18.29,18.53,9535574
20101125,18.6,18.67,18.42,18.46,3879453
20101126,18.29,18.39,18.15,18.31,6367020
20101129,18.26,18.3,17.99,18.26,5780847
20101130,18.22,18.33,17.95,17.95,12789506
20101201,18.15,18.56,18.15,18.35,6364842
20101202,18.5,18.69,18.47,18.54,5358606
20101203,18.5,18.51,18.07,18.16,7016935
20101206,18.14,18.22,17.84,17.84,5179138
20101207,18.1,18.23,17.91,17.91,5817583
20101208,17.91,17.93,17.67,17.86,4689669
20101209,17.91,17.92,17.6,17.69,5611108
20101210,17.78,17.82,17.51,17.64,5505258
20101213,17.78,17.94,17.61,17.84,7328098
20101214,17.88,17.96,17.64,17.91,6055566
20101215,17.82,17.88,17.65,17.72,5643052
20101216,17.72,17.88,17.42,17.45,5992113
20101217,17.46,17.61,17.4,17.5,7315321
