<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130429,14.14,14.14,13.43,13.84,85582800
20130430,13.84,14.24,13.84,14.22,26950200
20130502,14.18,14.59,14.16,14.59,16057200
20130503,14.53,14.89,14.49,14.8,13031000
20130506,14.8,15,14.71,14.95,19911900
20130507,14.92,14.97,14.43,14.92,7255800
20130508,14.84,14.91,14.45,14.59,10770000
20130509,14.57,14.8,14.48,14.8,8355600
20130510,14.76,14.97,14.64,14.94,7967400
20130513,14.84,14.92,14.52,14.87,56360100
20130514,14.76,15.05,14.76,15.01,21295600
20130515,15,15.47,14.97,15.35,15626700
20130516,15.23,15.68,15.18,15.68,6325600
20130517,15.57,15.76,15.51,15.71,6700800
20130520,15.63,15.65,15.26,15.48,2878000
20130521,15.43,15.43,15.14,15.43,3956700
20130522,15.31,15.48,14.95,15.22,4746800
20130523,15.01,15.09,14.77,14.88,9282800
20130524,14.81,15.05,14.68,15.05,3553500
20130527,14.94,15.18,14.91,15.05,2299100
20130528,15.05,15.3,15,15.3,4404600
20130529,15.1,15.16,14.78,15.09,4862800
20130531,15.01,15.4,14.84,15.4,9986700
20130603,15.31,15.38,14.95,15.18,7616500
20130604,15.18,15.18,14.8,14.84,6102100
20130605,14.84,15.1,14.68,14.8,8793800
20130606,14.82,14.96,14.68,14.84,3943400
20130607,14.72,15,14.61,14.93,5410100
20130610,14.77,15.01,14.76,14.97,3395600
20130611,14.89,14.96,13.76,14.56,4884700
20130612,14.61,14.75,14.3,14.39,3808000
20130613,14.33,14.93,14.18,14.93,3606200
20130614,14.91,15.26,14.86,15.13,11471900
20130617,15.1,15.18,14.98,15.1,4869100
20130618,15.01,15.14,14.83,15,4817900
20130619,14.97,15.01,14.44,14.53,7752200
20130620,14.34,14.5,13.93,14.35,8908300
20130621,14.23,14.54,14.03,14.54,4906500
20130624,14.23,14.26,13.33,14.14,12899600
20130625,14.05,14.3,13.73,13.93,6366000
20130626,14.09,14.15,13.86,14.04,3390800
20130627,13.94,14.59,13.94,14.42,6301100
20130628,14.4,14.88,14.28,14.68,5578700
20130701,14.58,14.94,14.39,14.59,4269600
20130702,14.61,14.83,14.01,14.34,3728300
20130703,14.3,14.64,14.09,14.39,4602900
20130704,14.39,14.79,14.3,14.79,5186400
20130705,14.67,14.88,14.48,14.68,7332500
20130708,14.67,15.08,14.59,14.93,4159400
20130710,15.01,15.01,14.68,14.8,4124000
20130711,14.84,14.97,14.7,14.93,4249400
20130712,14.78,14.89,14.69,14.78,3437200
20130715,14.78,14.78,14.39,14.69,5793100
20130716,14.59,14.68,14.3,14.52,3055600
20130717,14.51,15,14.47,14.98,6742200
20130718,14.84,15.33,14.82,15.05,3401100
20130719,14.98,15.05,14.86,14.97,1694200
20130722,14.96,15.1,14.93,15.01,2413200
20130723,14.99,15.05,14.94,15.01,2540100
20130724,14.97,15.05,14.82,15.05,1977700
20130725,14.87,15.16,14.86,15.1,3145900
20130726,15.01,15.26,14.89,15.19,2164100
20130729,15.05,15.37,14.97,15.14,2801100
20130730,15.1,15.34,15.04,15.34,2984800
20130731,15.19,15.39,15.15,15.38,3346600
20130801,15.38,15.65,15.24,15.57,3614400
20130802,15.43,15.9,15.4,15.84,5518300
20130805,15.77,16.26,15.7,16.18,6374100
20130806,16.15,16.25,15.87,16.18,3746700
20130807,16.02,16.56,15.8,16.35,6741200
20130808,16.26,16.68,16.05,16.6,5228100
20130809,16.51,16.67,16.19,16.63,3321900
20130812,16.68,16.76,16.2,16.27,5182100
20130813,16.35,16.51,16.23,16.4,3361100
20130814,16.34,16.49,16.14,16.18,3669100
20130815,16.14,16.38,15.86,16.18,8960800
20130816,16.15,16.46,15.8,16.1,4835900
20130819,16.03,16.1,15.53,15.58,4897900
20130820,15.54,15.85,15.36,15.52,3678700
20130821,15.41,15.86,15.23,15.75,4048100
20130822,15.7,15.97,15.62,15.97,2313000
20130823,15.81,16.59,15.81,16.47,4077600
20130826,16.16,16.25,16.09,16.2,4006000
20130827,15.95,16.17,15.87,16.17,3483700
20130828,16.03,16.16,15.88,16.09,3386300
20130829,16.01,16.22,15.92,16.2,4654200
20130830,16.08,16.41,16.08,16.41,3806100
20130902,16.24,16.42,16.24,16.38,2949600
20130903,16.25,16.46,16.2,16.37,5987400
20130904,16.29,16.46,16.25,16.36,1877100
20130905,16.3,16.75,16.3,16.67,4234200
20130906,16.63,17.04,16.61,16.97,7978400
20130909,16.9,17.54,16.81,17.45,6199300
20130910,17.36,17.66,17.28,17.66,5232200
20130911,17.48,18.01,17.42,17.79,7203600
