<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,20.92,21.06,20.49,20.79,1937100
20100602,20.7,21.11,20.61,20.93,1614800
20100604,20.84,20.88,20.41,20.79,1693200
20100607,20.79,21.51,20.79,21.29,2221800
20100608,21.19,22.23,21.02,21.83,2413600
20100609,21.83,22.16,21.33,21.63,1847600
20100610,21.56,22.17,21.56,21.91,1778200
20100611,21.52,22.12,21.42,21.91,1391000
20100614,21.88,22.34,21.83,22.08,2203200
20100615,22.23,22.81,22.12,22.63,2227900
20100616,22.27,22.92,22.14,22.63,3491500
20100617,22.6,22.85,22.26,22.54,2491200
20100618,22.71,22.98,22.46,22.73,1996900
20100621,23.08,23.13,22.7,22.86,1508000
20100622,22.9,23.33,22.53,22.81,2192900
20100623,22.62,23.06,22.53,23.04,1377600
20100624,22.63,22.9,22.32,22.8,2766600
20100625,22.45,23.15,22.35,22.95,1974700
20100628,22.9,23.53,22.9,23.18,2398900
20100629,22.87,23.32,22.52,22.78,4140700
20100630,21.65,21.96,21.24,21.34,8405400
20100701,21.61,21.61,20.9,21.2,3317000
20100702,21.2,21.52,21.04,21.11,1670700
20100705,21.25,21.25,20.42,20.57,1538700
20100706,20.81,21.4,20.79,21.34,2529500
20100707,21.38,21.47,20.88,20.98,2372400
20100708,21.2,21.25,20.71,21.11,2935600
20100712,21.38,21.38,20.89,21.22,1859700
20100713,21.26,21.57,21.08,21.38,2421000
20100714,21.26,21.79,20.93,21.72,2509500
20100715,21.88,22.37,21.53,22.16,3421500
20100716,22.17,22.28,21.84,22.11,2139400
20100719,21.98,22.44,21.98,22.44,1457000
20100720,22.4,22.57,22.14,22.51,1910700
20100721,22.87,22.87,22.33,22.46,1265000
20100722,22.75,22.96,22.07,22.07,2427000
20100723,22.11,22.17,21.44,21.72,2908900
20100726,21.73,21.83,21.43,21.62,2422900
20100727,21.8,21.88,21.48,21.61,3022300
20100728,21.51,21.76,21.29,21.39,1694800
20100729,21.52,21.57,20.9,21.16,1914200
20100730,21.16,22.25,20.99,22.25,3291600
20100802,22.41,22.66,22.15,22.42,2207100
20100803,22.41,22.6,21.83,21.84,2665500
20100804,22.1,22.17,21.21,21.76,3217200
20100805,21.78,21.87,21.34,21.47,2010500
20100806,21.57,21.59,21.05,21.12,2217500
