<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,7.97,8.14,7.83,7.83,2091440
20100602,7.76,8.13,7.59,7.97,1868620
20100604,7.93,7.99,7.81,7.86,1103960
20100607,7.92,7.93,7.74,7.78,2583100
20100608,7.86,7.89,7.72,7.83,599560
20100609,7.92,7.96,7.7,7.72,705900
20100610,7.76,7.8,7.7,7.78,2020460
20100611,7.72,7.79,7.59,7.63,496860
20100614,7.75,7.78,7.46,7.49,1518660
20100615,7.53,7.89,7.51,7.73,1616680
20100616,7.73,7.86,7.72,7.79,503620
20100617,7.85,8.04,7.78,7.98,1944280
20100618,7.9,8.24,7.9,8.18,2820740
20100621,8.14,8.43,8.07,8.43,2254720
20100622,8.43,8.62,8.29,8.57,2026700
20100623,8.57,9.02,8.5,8.99,3079440
20100624,8.9,8.98,8.74,8.81,1390740
20100625,8.78,9,8.78,8.91,334100
20100628,8.86,8.88,8.7,8.81,552500
20100629,8.77,8.77,8.45,8.5,2529020
20100630,8.56,8.56,8.25,8.25,2594020
20100701,8.22,8.31,7.95,8.13,1789320
20100702,8.14,8.45,8.09,8.33,1445340
20100705,8.39,8.44,8.39,8.39,979420
20100706,8.41,8.45,8.19,8.23,1272960
20100707,8.21,8.24,8.04,8.06,1309620
20100708,8.14,8.28,7.97,8.16,2232880
20100712,8.11,8.81,8.11,8.25,2568540
20100713,8.46,8.55,8.37,8.38,3604120
20100714,8.29,8.29,7.94,7.99,5342220
20100715,7.91,8.47,7.77,8.46,57499520
20100716,8.39,8.5,8.22,8.39,2318420
20100719,8.39,8.66,8.3,8.66,2141100
20100720,8.58,8.71,8.47,8.65,4113720
20100721,8.65,8.71,8.56,8.6,1259440
20100722,8.71,8.95,8.49,8.95,1875380
20100723,8.96,9.11,8.83,9.07,1656460
20100726,9.12,9.3,9,9.16,2123420
20100727,9.13,9.25,9.07,9.1,2080260
20100728,9.02,9.14,8.94,9.13,804440
20100729,9.13,9.2,9.04,9.04,775840
20100730,8.92,9.3,8.92,9.19,1373060
20100802,9.15,9.65,9.15,9.42,2268240
20100803,9.62,9.62,8.8,8.8,4681300
20100804,8.99,9.2,8.98,9.09,13781040
20100805,9.01,9.18,8.81,9.05,931840
20100806,9.12,9.16,8.86,8.91,2192840
20100809,8.91,9.06,8.78,8.99,1028040
20100810,8.97,9.05,8.79,9.02,1554800
20100811,8.98,9.09,8.88,8.99,1158040
20100812,9.06,9.29,8.9,9.07,1328860
20100813,9.2,9.27,9,9.16,1078740
20100816,9.37,9.37,9.16,9.22,737620
20100817,9.3,9.36,9.16,9.26,593580
20100818,9.26,9.62,9.22,9.62,2057640
20100819,9.65,9.65,9.42,9.59,1482780
20100820,9.48,9.51,9.37,9.37,2798380
20100823,9.29,9.48,9.15,9.32,1460160
20100824,9.08,9.63,9.08,9.63,1722500
20100825,9.57,9.77,9.48,9.76,1667120
20100826,9.75,9.85,9.54,9.56,2005900
20100827,9.58,9.8,9.29,9.61,4223700
20100830,9.5,9.58,9.45,9.48,385580
20100831,9.44,9.81,9.35,9.65,1922180
20100901,9.69,9.8,9.58,9.8,1203280
20100902,9.71,9.86,9.69,9.86,671320
20100903,9.86,9.99,9.81,9.83,1134640
20100906,9.83,9.84,9.64,9.82,127400
20100908,9.7,9.8,9.56,9.62,2073760
20100909,9.69,9.71,9.54,9.55,2275260
20100910,9.61,9.72,9.53,9.65,997880
20100913,9.7,9.72,9.46,9.5,2179580
20100914,9.5,9.83,9.5,9.72,2643680
20100915,9.71,10.3,9.64,10.21,3292900
20100916,10.18,10.24,10.01,10.18,1875380
20100917,10.18,10.29,10.04,10.29,2754700
20100920,10.3,10.3,10.11,10.18,1024140
20100921,10.18,10.25,10.03,10.25,2120820
20100922,10.21,10.21,9.96,9.96,2215460
20100923,9.95,10,9.74,9.74,1673100
20100924,9.97,10.18,9.75,9.88,1805700
20100927,10.1,10.11,9.83,10.01,1646320
20100928,10.13,10.13,9.76,9.88,2318030
20100929,9.9,9.91,9.49,9.8,1550510
20100930,9.8,9.93,9.44,9.93,3778190
20101001,9.88,10.46,9.88,10.01,20005310
20101004,10.08,10.18,9.94,10.04,2432170
20101005,10.02,10.4,10.02,10.32,2310100
20101006,10.32,10.81,10.05,10.53,1667120
20101007,10.62,10.7,10.15,10.7,843830
20101008,10.69,11.07,10.65,11.06,1622140
20101011,11.13,11.24,10.78,11.2,1227460
20101013,11.28,11.56,11.02,11.36,3559140
20101014,11.54,11.54,11.06,11.24,1645540
20101015,11.3,11.3,11.02,11.09,621400
20101018,10.95,11.1,10.91,11.09,1196650
20101019,10.81,11.22,10.54,10.6,1770990
20101020,10.5,10.73,10.49,10.6,2516150
20101021,10.78,11.04,10.76,10.88,1458470
20101022,10.91,10.93,10.6,10.6,342290
20101025,10.73,11.09,10.73,11.06,1500070
20101026,11.05,11.31,10.95,11.21,3296280
20101027,11.23,11.23,10.82,10.91,2149550
20101028,10.95,11.05,10.73,10.78,3257670
20101029,10.89,11.41,10.85,11.41,3012620
20101101,11.48,11.48,11.05,11.38,2662140
20101103,11.38,12.06,11.38,11.78,2751320
20101104,11.94,12.45,11.73,12.18,3196960
20101105,12.03,12.27,11.87,12.2,1314690
20101108,12.23,12.27,12.09,12.21,1808690
