<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,6.76,6.93,6.71,6.71,1824800
20100602,6.71,6.84,6.71,6.78,2109600
20100604,6.7,6.86,6.64,6.84,4357200
20100607,6.89,6.92,6.74,6.8,1164800
20100608,6.81,6.89,6.71,6.76,2198000
20100609,6.8,6.8,6.69,6.73,3191600
20100610,6.75,6.85,6.73,6.83,2920400
20100611,6.8,6.98,6.76,6.93,1946400
20100614,6.93,7,6.9,6.95,2059200
20100615,6.97,7.01,6.87,6.98,2062800
20100616,6.93,7.01,6.89,6.92,4262400
20100617,6.97,7.11,6.9,6.96,6024400
20100618,6.98,7.03,6.87,6.89,4590800
20100621,6.93,6.98,6.84,6.91,3198400
20100622,6.94,6.95,6.74,6.74,3758800
20100623,6.68,6.68,6.5,6.56,8472800
20100624,6.54,6.69,6.54,6.6,5357200
20100625,6.63,6.84,6.56,6.84,4308400
20100628,6.83,6.97,6.76,6.96,3186800
20100629,6.85,6.99,6.71,6.87,5028400
20100630,6.81,7.07,6.81,6.96,4829600
20100701,6.95,6.97,6.89,6.94,4756400
20100702,6.94,7.06,6.91,6.96,1210000
20100705,7.06,7.06,6.89,6.9,1046000
20100706,6.98,7.15,6.93,7.11,2942000
20100707,7.15,7.28,7.13,7.17,2803200
20100708,7.24,7.26,7.11,7.23,2429200
20100712,7.26,7.3,7.1,7.21,930400
20100713,7.21,7.28,7.12,7.23,1544000
20100714,7.17,7.23,6.98,7.04,1543600
20100715,7,7.04,6.93,7.03,2036400
20100716,7.08,7.12,6.96,6.96,2216000
20100719,6.98,7.16,6.97,7.15,794000
20100720,7.12,7.27,7.05,7.2,2632800
20100721,7.23,7.3,7.09,7.12,1393600
20100722,7.17,7.25,7.1,7.12,2989200
20100723,7.15,7.23,7.12,7.17,3319600
20100726,7.17,7.36,7.1,7.32,1753600
20100727,7.35,7.51,7.22,7.45,2825600
20100728,7.4,7.44,7.22,7.4,1722800
20100729,7.42,7.52,7.37,7.49,1788000
20100730,7.38,7.53,7.32,7.46,1813200
20100802,7.54,7.77,7.49,7.73,2187200
20100803,7.73,7.73,7.5,7.5,2236400
20100804,7.67,7.67,7.34,7.54,7515200
20100805,7.52,7.67,7.31,7.48,4046000
20100806,7.46,7.52,7.38,7.41,2506800
20100809,7.49,7.53,7.38,7.47,1396800
20100810,7.37,7.54,7.35,7.51,1524000
20100811,7.49,7.49,7.35,7.39,1427200
20100812,7.3,7.39,7.23,7.36,1366400
20100813,7.31,7.43,7.16,7.17,3628000
20100816,7.18,7.29,7.04,7.29,2354400
20100817,7.28,7.28,7.16,7.19,5508400
20100818,7.23,7.26,7.17,7.26,3066400
20100819,7.25,7.3,7.17,7.28,1396000
20100820,7.29,7.31,7.19,7.23,1595200
20100823,7.27,7.41,7.21,7.26,1708000
20100824,7.19,7.28,7.17,7.25,1408400
20100825,7.19,7.24,7.09,7.21,1294000
20100826,7.23,7.29,7.16,7.19,2505600
20100827,7.26,7.49,7.19,7.43,2493200
20100830,7.43,7.44,7.38,7.39,885600
20100831,7.37,7.54,7.37,7.51,2602000
20100901,7.51,7.82,7.48,7.79,2385600
20100902,7.75,7.77,7.57,7.74,1884400
20100903,7.74,7.82,7.67,7.77,1590400
20100906,7.79,7.8,7.64,7.65,754400
20100908,7.64,7.83,7.6,7.74,2252400
20100909,7.76,7.81,7.69,7.81,1758000
20100910,7.82,7.91,7.75,7.91,2364000
20100913,7.92,8.05,7.88,8.04,2010000
20100914,8.01,8.14,8.01,8.08,2040000
20100915,8.08,8.1,8,8.06,3498800
20100916,8.06,8.09,7.81,7.82,3545600
20100917,7.81,7.88,7.68,7.76,4125200
20100920,7.79,8.01,7.79,7.96,2584800
20100921,7.99,8.15,7.95,8.06,3352800
20100922,8.01,8.24,7.95,8.24,2742400
20100923,8.2,8.65,8.17,8.36,4514000
20100924,8.37,8.62,8.1,8.13,3351200
20100927,8.13,8.38,8.02,8.37,2530000
20100928,8.43,8.44,8.26,8.27,2311200
20100929,8.27,8.59,8.21,8.24,4548800
20100930,8.3,8.47,8.15,8.47,2444400
20101001,8.48,9.04,8.35,8.94,3727600
20101004,8.87,9.09,8.83,8.96,2118400
20101005,9.03,9.28,8.96,9.24,3596400
20101006,9.24,9.24,8.89,8.92,3564800
20101007,8.95,9,8.74,8.79,2812800
20101008,8.73,9.11,8.7,9.05,3052000
20101011,9.05,9.26,8.8,9.22,986000
20101013,9.28,9.79,9.2,9.63,5729600
20101014,9.41,9.42,8.83,8.83,76853200
20101015,8.84,8.98,8.8,8.97,6467200
20101018,8.98,9.06,8.95,8.96,1836000
20101019,8.91,8.92,8.63,8.92,4811200
20101020,8.93,8.98,8.71,8.79,3831200
20101021,8.91,8.91,8.59,8.64,2886400
20101022,8.66,8.73,8.42,8.5,3145600
20101025,8.57,8.93,8.5,8.88,3358000
20101026,8.85,8.94,8.79,8.9,2290800
20101027,8.85,8.96,8.76,8.84,1229200
20101028,8.92,8.94,8.8,8.9,606400
20101029,8.91,9.01,8.83,8.92,3068000
20101101,8.88,9,8.74,8.81,2330800
20101103,8.9,9.02,8.85,9.01,3339600
20101104,9.02,9.06,8.87,8.96,3003200
20101105,8.93,9.05,8.79,8.82,2246000
20101108,8.79,8.87,8.68,8.68,1653200
20101109,8.73,8.78,8.5,8.77,3226400
20101110,8.73,8.97,8.64,8.9,3934000
20101111,8.88,8.98,8.79,8.85,2051200
20101112,8.84,8.96,8.75,8.81,1850400
20101116,8.92,8.96,8.57,8.71,2931600
20101117,8.65,8.73,8.59,8.59,1154000
20101118,8.77,8.89,8.68,8.89,3026000
20101119,8.77,8.99,8.77,8.94,2370400
20101122,8.86,9,8.83,8.88,2478400
20101123,8.77,8.84,8.62,8.75,1361200
20101124,8.83,8.92,8.76,8.85,3896000
20101125,8.87,8.92,8.79,8.84,750400
20101126,8.73,8.86,8.71,8.71,2321200
20101129,8.67,8.7,8.49,8.66,2799600
20101130,8.66,9.13,8.66,9.07,13398800
20101201,9.1,9.16,8.94,9.02,4164800
20101202,9,9.08,8.75,8.85,4586400
20101203,8.86,9.02,8.76,8.88,1727200
20101206,8.88,9.01,8.79,9.01,1698000
20101207,9.04,9.1,8.97,8.99,2388000
20101208,8.95,8.99,8.54,8.69,5093200
20101209,8.69,8.75,8.28,8.46,4824400
20101210,8.54,8.6,8.43,8.53,3394800
20101213,8.61,8.73,8.56,8.56,3277200
20101214,8.58,8.68,8.46,8.49,3095200
20101215,8.34,8.49,8.33,8.4,130516800
20101216,8.47,8.72,8.42,8.64,8157600
20101217,8.58,8.92,8.58,8.92,6410400
20101220,8.9,8.96,8.77,8.83,3996400
20101221,8.86,8.88,8.68,8.83,3031200
20101222,8.82,8.91,8.73,8.86,3122400
20101223,8.77,8.89,8.77,8.85,2067600
20101227,8.73,8.88,8.73,8.86,1078800
20101228,8.83,8.95,8.71,8.95,1785200
20101229,8.94,9.04,8.86,9.03,1727200
20101230,9.04,9.1,8.9,9.1,2692400
20110103,9.16,9.16,8.93,9.02,3251200
20110104,9,9.07,8.95,9.03,4426400
20110105,9.01,9.1,8.97,9.04,3257600
20110106,9.01,9.08,8.84,8.92,5169200
20110107,8.9,8.95,8.78,8.9,3677600
20110110,8.88,8.97,8.83,8.97,1673200
20110111,8.97,9.21,8.91,9.21,5560400
20110112,9.21,9.27,9.16,9.22,4786400
20110113,9.21,9.26,9.05,9.09,3990400
20110114,9.15,9.15,8.95,9.12,1386800
20110117,9.05,9.1,8.94,8.99,1453200
20110118,8.97,9.02,8.79,8.92,3175200
20110119,8.92,9.12,8.87,9.1,1794800
20110120,9.05,9.29,9.05,9.25,2906000
20110121,9.22,9.27,9.17,9.23,3076400
20110124,9.26,9.33,9.2,9.31,1751200
20110126,9.26,9.43,9.19,9.36,3829600
20110127,9.41,9.41,8.96,9,2544000
20110128,9.13,9.13,8.81,8.85,3258000
20110131,8.9,9.09,8.82,8.93,2406800
20110201,8.93,9.2,8.93,9.1,2730400
20110202,9.1,9.19,8.93,9.04,1666000
20110203,8.99,9.18,8.91,9.05,4042400
20110204,9.04,9.08,8.71,8.74,4142000
20110207,8.74,8.98,8.68,8.97,1725600
20110208,8.92,8.98,8.85,8.89,2639600
20110209,8.87,8.91,8.69,8.69,3782400
20110210,8.73,8.81,8.6,8.69,4937600
20110211,8.72,8.9,8.66,8.85,4426400
20110214,8.84,8.98,8.73,8.98,2509600
20110215,8.98,9.06,8.78,8.84,3128400
20110216,8.85,8.92,8.76,8.87,3476000
20110217,8.87,9.03,8.84,9.03,1913200
20110218,9.01,9.02,8.89,9.02,1976800
20110221,9.02,9.02,8.93,8.93,4936000
20110222,8.92,9.01,8.91,8.93,4462000
20110223,8.96,9.09,8.86,8.86,3793200
20110224,8.88,8.94,8.78,8.78,1828000
20110225,8.91,8.93,8.76,8.89,2272400
20110228,8.98,9.12,8.94,9,9326000
20110301,9.03,9.18,9,9,3080000
20110302,9.06,9.14,9,9.14,4938400
20110303,9.18,9.23,9.1,9.22,2503200
20110304,9.22,9.31,9.16,9.27,3888000
20110309,9.25,9.37,9.23,9.24,2654800
20110310,9.24,9.42,9.18,9.38,3370400
20110311,9.4,9.4,9.16,9.23,3406800
20110314,9.21,9.29,9.18,9.29,2669200
20110315,9.22,9.37,9.13,9.25,3757200
20110316,9.35,9.35,8.91,8.91,3803600
20110317,9.03,9.06,8.88,8.95,3642400
20110318,8.98,9.03,8.8,8.8,5384400
20110321,8.86,8.96,8.79,8.87,1870400
20110322,8.85,9.26,8.85,9.12,3848400
20110323,9.07,9.15,9.05,9.14,1327600
20110324,9.15,9.17,9.05,9.13,2343600
20110325,9.1,9.17,8.98,8.98,3615200
20110328,9.06,9.12,8.9,9.02,1757600
20110329,9.05,9.12,8.93,9.11,4104400
20110330,9.12,9.41,9.06,9.38,3876400
20110331,9.34,9.39,9.2,9.2,3446400
20110401,9.22,9.47,9.22,9.41,3058800
20110404,9.45,9.55,9.32,9.34,3632400
20110405,9.36,9.48,9.28,9.46,2960000
20110406,9.4,9.6,9.4,9.51,5574800
20110407,9.57,9.59,9.42,9.51,2952400
20110408,9.48,9.53,9.26,9.41,3398800
20110411,9.36,9.41,9.28,9.37,3345600
20110412,9.27,9.36,9.04,9.13,3331200
20110413,9.2,9.23,9.05,9.12,2382800
20110414,9.09,9.2,8.94,8.94,4001200
20110415,8.98,9.01,8.91,8.98,3424400
20110418,8.98,9.18,8.91,9.08,3271600
20110419,9.2,9.26,9.12,9.26,2240400
20110420,9.4,9.48,9.32,9.47,3956400
20110425,9.51,9.52,9.38,9.45,1564000
20110426,9.53,9.61,9.39,9.47,2147200
20110427,9.45,9.58,9.32,9.53,2628400
20110428,9.39,9.63,9.38,9.57,3006400
20110429,9.56,9.6,9.46,9.55,2366000
20110502,9.55,9.88,9.46,9.62,2810000
20110503,9.56,9.72,9.56,9.67,2748400
20110504,9.65,9.69,9.48,9.53,2170000
20110505,9.52,9.52,9.33,9.45,2176400
20110506,9.6,9.6,9.33,9.47,2305200
20110509,9.53,9.63,9.47,9.49,1437600
20110510,9.55,9.6,9.45,9.56,2516000
20110511,9.61,9.64,9.5,9.55,3010000
20110512,9.46,9.63,9.46,9.55,1761600
20110513,9.59,9.63,9.4,9.55,1951600
20110516,9.47,9.69,9.44,9.65,2439600
20110517,9.61,9.91,9.56,9.83,5328800
20110518,9.83,9.83,9.51,9.67,2894400
20110519,9.67,9.67,9.53,9.59,2105600
20110520,9.59,9.69,9.54,9.54,3434800
20110523,9.54,9.56,9.46,9.49,1673600
20110524,9.52,9.68,9.52,9.65,2540800
20110525,9.66,9.69,9.57,9.57,2283200
20110526,9.66,9.67,9.49,9.55,3776800
20110527,9.56,9.66,9.52,9.63,1481200
20110530,9.67,9.67,9.55,9.57,516400
20110531,9.52,9.63,9.27,9.63,4113200
20110601,9.55,9.55,9.13,9.15,6193600
20110602,9.17,9.35,9.13,9.34,3401200
20110603,9.31,9.39,9.19,9.22,2161600
20110606,9.24,9.24,8.97,9.08,3378000
20110607,9.11,9.22,9.07,9.18,3573600
20110608,9.21,9.21,9.15,9.21,2930800
20110609,9.2,9.3,9.03,9.18,2518800
20110610,9.2,9.24,8.84,8.84,6495600
20110613,8.85,9.06,8.78,9.05,2823200
20110614,9.16,9.22,9.08,9.16,2347600
20110615,9.1,9.13,8.9,8.97,3984400
20110616,8.96,9.05,8.81,8.91,1821200
20110617,9.01,9.21,8.88,9.21,4286000
20110620,9.14,9.24,9.07,9.15,2257200
20110621,9.16,9.25,9.12,9.12,1300400
20110622,9.16,9.21,8.99,9.05,4183600
20110624,9.1,9.16,8.98,9.13,2840800
20110627,9.13,9.28,9.02,9.2,2555600
20110628,9.26,9.47,9.21,9.3,2414400
20110629,9.38,9.39,9.18,9.24,1516800
20110630,9.28,9.28,9.03,9.05,2453200
20110701,9.12,9.26,9.03,9.14,2281600
