<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,7.2,7.5,7.07,7.32,6725431
20100602,7.42,7.48,7.34,7.34,5170231
20100604,7.34,7.37,7.06,7.18,3048192
20100607,7.13,7.48,7.13,7.39,3016175
20100608,7.4,7.47,7.32,7.37,2637785
20100609,7.42,7.46,7.28,7.28,1702010
20100610,7.34,7.64,7.34,7.61,3256381
20100611,7.49,7.69,7.44,7.6,2293567
20100614,7.64,7.83,7.58,7.81,2673451
20100615,7.8,7.99,7.77,7.86,6290638
20100616,7.83,8.05,7.78,7.86,9710917
20100617,7.83,7.99,7.81,7.85,5555589
20100618,7.85,7.85,7.72,7.83,2547707
20100621,7.86,7.97,7.55,7.64,4455585
20100622,7.62,7.7,7.55,7.56,5219168
20100623,7.62,7.62,7.42,7.53,4499877
20100624,7.49,7.61,7.41,7.41,3130970
20100625,7.41,7.62,7.41,7.62,3687026
20100628,7.62,7.68,7.45,7.47,2018193
20100629,7.42,7.42,7.27,7.37,3653019
20100630,7.35,7.4,7.06,7.06,4373968
20100701,7.12,7.21,6.92,6.97,6909401
20100702,7.02,7.05,6.89,6.92,3619676
20100705,6.96,7,6.7,6.7,3233157
20100706,6.81,7.14,6.81,7.13,6987368
20100707,7.12,7.48,7.09,7.36,6109655
20100708,7.45,7.48,7.3,7.43,4268961
20100712,7.44,7.57,7.3,7.39,4090466
20100713,7.45,7.67,7.42,7.67,3793526
20100714,7.56,7.75,7.54,7.58,4398022
20100715,7.58,7.7,7.48,7.67,8033458
20100716,7.62,7.7,7.44,7.49,3242280
20100719,7.55,7.56,7.44,7.47,2859577
20100720,7.46,7.49,7.27,7.28,5260972
20100721,7.34,7.36,7.12,7.2,5549783
20100722,7.25,7.43,7.23,7.27,5745199
20100723,7.28,7.34,7.13,7.2,4237774
20100726,7.18,7.27,7.05,7.15,5359841
20100727,7.23,7.32,7.11,7.11,4149522
20100728,7.15,7.19,7.02,7.13,8084219
20100729,7.16,7.19,7.08,7.16,10866825
20100730,7.15,7.48,7.12,7.34,16749047
20100802,7.45,7.47,7.3,7.32,5560399
20100803,7.34,7.48,7.32,7.44,6356496
20100804,7.45,7.58,7.42,7.42,5317871
20100805,7.43,7.43,7.29,7.34,4889548
20100806,7.25,7.36,7.2,7.28,5061574
20100809,7.32,7.51,7.32,7.34,6529683
20100810,7.31,7.46,7.3,7.39,6574970
20100811,7.34,7.38,7.3,7.35,6943408
20100812,7.31,7.36,7.15,7.27,4628772
20100813,7.23,7.36,7.22,7.27,3347619
20100816,7.28,7.36,7.24,7.34,2952308
20100817,7.38,7.48,7.23,7.32,6439938
20100818,7.33,7.34,7.16,7.22,6330120
20100819,7.25,7.25,7.09,7.16,4643702
20100820,7.14,7.22,7.12,7.2,3546187
20100823,7.19,7.28,7.14,7.19,4741079
20100824,7.11,7.22,7.1,7.16,2882304
20100825,7.12,7.15,6.96,7.02,7158564
20100826,7.02,7.05,6.8,6.81,6253148
20100827,6.86,7.18,6.86,7.13,5047474
20100830,7.1,7.11,6.98,6.99,2262712
20100831,6.99,7.13,6.97,6.97,6781335
20100901,7.04,7.09,6.98,7.08,8857257
20100902,7.1,7.15,7.03,7.06,5806080
20100903,7.11,7.12,6.89,6.91,5226633
20100906,6.96,7.04,6.96,7.03,901269
20100908,7.01,7.05,6.98,7.03,1970251
20100909,7.04,7.06,6.99,7.05,3921924
20100910,7.05,7.15,7,7.15,6328627
20100913,7.15,7.22,7.12,7.15,5546299
20100914,7.16,7.21,7.12,7.19,6408087
20100915,7.17,7.23,7.12,7.23,6633197
20100916,7.23,7.23,7.06,7.07,6055243
20100917,7.12,7.12,7,7.08,9210267
20100920,7.13,7.29,7.06,7.29,8830052
20100921,7.29,7.36,7.25,7.34,8694024
20100922,7.32,7.42,7.25,7.33,7446048
20100923,7.28,7.3,7.17,7.18,13896271
20100924,7.21,7.22,6.97,7.01,9681721
20100927,7.12,7.12,6.98,7.07,5765935
20100928,7.07,7.27,7.05,7.24,8523325
20100929,7.24,7.29,7.12,7.12,7106641
20100930,7.18,7.2,7.04,7.11,7032158
20101001,7.15,7.19,7.02,7.14,7882665
20101004,7.13,7.16,7.09,7.15,4386908
20101005,7.19,7.36,7.17,7.34,8421470
20101006,7.36,7.36,7.06,7.1,8991295
20101007,7.16,7.16,6.93,7.12,11534524
20101008,7.09,7.33,7.08,7.32,6365122
20101011,7.29,7.35,7.25,7.29,3554979
20101013,7.26,7.41,7.2,7.35,12722614
20101014,7.4,7.46,7.27,7.3,10265812
20101015,7.36,7.37,7.2,7.21,5323014
20101018,7.2,7.24,7.09,7.1,7109462
20101019,7,7.04,6.93,6.95,11692118
20101020,7,7.18,6.99,7.07,4208744
20101021,7.08,7.15,6.97,7,6196082
20101022,7.04,7.04,6.79,6.83,9025634
20101025,6.9,6.9,6.74,6.88,6323318
20101026,6.84,6.97,6.81,6.97,6790293
20101027,6.98,7.17,6.93,7.17,4128620
20101028,7.03,7.13,6.97,7.05,15274801
20101029,7.1,7.16,6.99,7.06,8249776
20101101,7.08,7.16,7.04,7.14,5106032
20101103,7.14,7.16,6.9,6.97,6803398
20101104,7.03,7.08,6.95,6.99,6385526
20101105,6.98,6.99,6.84,6.87,5640192
20101108,6.89,6.97,6.86,6.97,2520336
20101109,6.94,7.03,6.87,7.01,6748821
20101110,6.97,7.24,6.91,7.14,6094725
20101111,7.1,7.14,7.02,7.07,2405044
20101112,7.05,7.14,7.03,7.12,2837182
20101116,7.16,7.24,7.04,7.14,6336921
20101117,7.12,7.24,7.1,7.19,2750257
20101118,7.22,7.29,7.12,7.24,5982087
20101119,7.22,7.23,7.13,7.18,2455971
20101122,7.13,7.18,6.98,7,2184910
20101123,6.93,7.04,6.88,6.97,4061767
20101124,7,7.14,6.99,7.1,2927923
20101125,7.12,7.19,7.1,7.1,1658382
20101126,7.05,7.07,6.93,6.93,2962593
20101129,6.92,7.15,6.9,7.15,5353205
20101130,7.13,7.24,7.04,7.19,7890794
20101201,7.22,7.34,7.2,7.24,3819902
20101202,7.23,7.41,7.23,7.27,6435624
20101203,7.25,7.48,7.23,7.42,5408944
20101206,7.41,7.47,7.26,7.3,3228014
20101207,7.43,7.44,7.24,7.24,4559099
20101208,7.19,7.35,7.16,7.16,5215021
