<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,6.25,6.29,6.15,6.15,6642359
20100602,6.14,6.17,5.96,5.99,5968494
20100604,5.99,6.11,5.92,6.02,4130629
20100607,6.03,6.19,6,6.15,3793604
20100608,6.13,6.2,6.06,6.15,2576294
20100609,6.14,6.19,6.05,6.05,2272473
20100610,6.09,6.18,6.09,6.18,2006284
20100611,6.17,6.21,6.07,6.19,2336115
20100614,6.21,6.22,6.16,6.16,2511360
20100615,6.18,6.29,6.18,6.29,3489415
20100616,6.27,6.34,6.2,6.3,3250528
20100617,6.29,6.35,6.28,6.3,3446618
20100618,6.31,6.36,6.29,6.36,2181530
20100621,6.35,6.4,6.34,6.37,2570759
20100622,6.33,6.49,6.31,6.41,2514496
20100623,6.42,6.47,6.37,6.43,2110325
20100624,6.41,6.46,6.36,6.42,2320620
20100625,6.41,6.53,6.38,6.48,1627201
20100628,6.53,6.57,6.49,6.54,991705
20100629,6.5,6.5,6.38,6.48,3462483
20100630,6.46,6.54,6.32,6.48,2766666
20100701,6.4,6.54,6.34,6.48,1508587
20100702,6.48,6.52,6.42,6.48,1485897
20100705,6.42,6.62,6.37,6.58,1826612
20100706,6.65,6.66,6.53,6.65,2817948
20100707,6.63,6.66,6.52,6.55,2662625
20100708,6.58,6.58,6.34,6.39,2438311
20100712,6.36,6.48,6.3,6.41,2210676
20100713,6.65,6.65,6.37,6.45,2750063
20100714,6.4,6.43,6.24,6.29,3100554
20100715,6.26,6.31,6.23,6.26,1980090
20100716,6.26,6.29,6.2,6.2,1922351
20100719,6.21,6.26,6.17,6.2,1823660
20100720,6.21,6.22,6.15,6.21,3476687
20100721,6.21,6.25,6.17,6.17,1864428
20100722,6.23,6.38,6.22,6.34,3800799
20100723,6.35,6.36,6.11,6.36,3316014
20100726,6.33,6.41,6.26,6.41,1934526
20100727,6.42,6.49,6.37,6.45,2618906
20100728,6.46,6.5,6.4,6.49,3047058
20100729,6.49,6.55,6.46,6.54,1862583
20100730,6.44,6.58,6.44,6.51,2181714
20100802,6.56,6.59,6.48,6.52,2025838
20100803,6.51,6.54,6.48,6.48,1927147
20100804,6.48,6.55,6.47,6.48,1983226
20100805,6.53,6.54,6.44,6.5,1993556
20100806,6.45,6.53,6.42,6.51,1671289
20100809,6.55,6.55,6.44,6.5,975287
20100810,6.44,6.5,6.39,6.47,2028790
20100811,6.38,6.42,6.35,6.41,1392740
20100812,6.37,6.44,6.32,6.35,933044
20100813,6.38,6.38,6.24,6.25,1939876
20100816,6.25,6.31,6.19,6.31,2264172
20100817,6.36,6.39,6.28,6.28,2413776
20100818,6.31,6.31,6.24,6.31,3075098
20100819,6.32,6.32,6.21,6.27,1916817
20100820,6.26,6.46,6.22,6.46,2396252
20100823,6.44,6.44,6.34,6.37,1454353
20100824,6.29,6.55,6.29,6.55,9929781
20100825,6.5,6.63,6.39,6.62,5632207
20100826,6.62,6.81,6.54,6.77,10004122
20100827,6.79,7.05,6.78,7.02,8341688
20100830,7.11,7.12,6.97,7.09,3989695
20100831,7.06,7.1,6.79,6.93,5293522
20100901,6.93,7.18,6.93,7.11,3767225
20100902,7.08,7.08,6.79,6.88,3674991
20100903,6.98,7.06,6.81,6.92,1966808
20100906,6.87,6.99,6.81,6.89,643058
20100908,6.81,6.87,6.58,6.6,5387970
20100909,6.64,6.68,6.55,6.68,3161245
20100910,6.76,6.81,6.73,6.75,2463214
20100913,6.77,6.84,6.71,6.77,2097228
20100914,6.73,6.9,6.72,6.8,4110522
20100915,6.8,6.97,6.76,6.97,2716674
20100916,6.96,6.96,6.87,6.95,1712241
20100917,6.92,6.93,6.77,6.8,1700066
20100920,6.81,6.87,6.74,6.81,1697668
20100921,6.77,6.86,6.65,6.68,2110325
20100922,6.69,6.85,6.68,6.78,2548254
20100923,6.85,6.85,6.72,6.76,3169546
20100924,6.78,6.78,6.45,6.51,5062382
20100927,6.55,6.62,6.52,6.56,2910551
20100928,6.54,6.66,6.49,6.63,2963678
20100929,6.63,6.71,6.59,6.65,3515056
