<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,24.95,25.56,24.95,25.11,464400
20100602,25.2,25.33,24.65,25.26,571000
20100604,25.37,25.87,24.93,25.64,689500
20100607,25.36,26.1,25.36,26.1,617100
20100608,25.93,26.07,25.44,25.66,551300
20100609,25.78,25.96,25.34,25.34,682600
20100610,25.47,25.71,25.35,25.43,479500
20100611,25.12,25.64,24.69,25.49,1165500
20100614,25.67,25.67,25.2,25.3,369700
20100615,25.41,25.45,25,25.38,753800
20100616,25.26,25.49,25.07,25.49,660700
20100617,25.49,26.07,25.35,25.88,760900
20100618,25.65,26.09,25.39,26.09,790000
20100621,26.07,26.21,25.94,26.17,608300
20100622,26.17,26.55,26.17,26.24,1107500
20100623,26.22,26.47,25.98,26.23,558300
20100624,26.17,26.98,25.99,26.89,986700
20100625,26.55,27.03,26.55,26.97,234800
20100628,27.12,27.4,27.1,27.2,320000
20100629,27.08,27.84,26.79,27.84,1209800
20100630,28.42,29.36,28.07,28.3,2261900
20100701,27.78,28.13,27.42,27.43,844700
20100702,27.47,28.53,27.42,28.2,998400
20100705,27.79,28.41,27.79,28.15,251100
20100706,28.89,29.06,28.12,29.02,420400
20100707,29.24,29.29,28.61,28.61,920700
20100708,28.72,28.92,28.03,28.22,666200
20100712,28.23,28.56,27.58,27.92,509400
20100713,28.04,28.66,28,28.53,539500
20100714,28.13,28.45,27.82,28.15,530200
20100715,27.98,28.5,27.84,28.38,414800
20100716,28.12,28.53,27.84,28,451400
20100719,28.3,28.3,27.95,28.03,370100
20100720,28.19,28.22,27.88,27.88,454600
20100721,27.92,28.15,27.68,28.14,658100
20100722,28.59,28.64,28.19,28.38,529600
20100723,28.18,28.74,28.16,28.3,700400
20100726,28.49,28.85,28.29,28.53,398900
20100727,28.84,29.47,28.58,29.28,830300
20100728,29.27,29.4,29.07,29.16,649200
20100729,29.36,29.59,28.83,28.99,297300
20100730,28.51,29.14,28.38,28.99,804900
20100802,29.48,29.78,29.12,29.67,508400
20100803,29.67,30.07,29.57,29.72,633600
20100804,29.95,29.95,29.55,29.6,389300
20100805,29.34,30.05,29.34,30.05,288700
20100806,29.86,30.32,29.69,30.17,590400
20100809,30.35,30.35,29.85,30.05,411600
20100810,29.75,30.17,29.59,29.68,567800
20100811,29.63,30.12,29.59,30.01,661300
20100812,29.67,29.67,29.05,29.67,473500
20100813,29.51,29.63,29.25,29.37,437300
20100816,29.13,29.66,29.08,29.48,448200
20100817,29.67,29.82,29.62,29.74,582100
20100818,30,30.45,29.84,30.45,673900
20100819,30.3,30.81,30.2,30.81,757400
20100820,30.67,30.83,30.17,30.7,407600
20100823,31.29,31.29,30.31,30.41,303000
20100824,30.06,30.83,30.06,30.83,462700
20100825,30.53,30.68,30.07,30.07,717000
20100826,30.14,30.3,29.53,29.61,739100
20100827,29.68,30.33,29.58,30.03,690000
20100830,30.08,30.25,29.85,30.19,412500
20100831,29.77,30.22,29.49,29.49,672200
20100901,29.68,30.37,29.51,29.73,843000
20100902,29.91,29.91,29.39,29.55,461800
20100903,29.76,29.97,29.4,29.68,272300
20100906,29.7,29.92,29.15,29.38,136200
20100908,29.6,29.6,28.49,28.62,940600
20100909,28.99,29.02,28.42,29.02,634600
20100910,29.05,29.38,28.98,29.3,584700
20100913,29.36,29.9,29.18,29.84,492300
20100914,29.97,30.29,29.63,30.12,872100
20100915,30.09,30.45,29.76,30.37,522400
20100916,30.3,30.44,29.71,29.95,306300
20100917,29.71,29.93,29.46,29.61,194500
20100920,29.83,30.02,29.57,29.99,278500
20100921,29.99,30.19,29.59,29.84,307100
20100922,29.94,30.29,29.47,29.53,888600
20100923,29.53,30.02,29.31,29.33,1331000
20100924,29.41,29.8,28.42,28.42,1068600
20100927,29.09,29.14,28.62,28.99,309800
20100928,28.98,29,28.72,28.84,429500
20100929,28.92,28.98,28.68,28.76,586700
20100930,28.92,28.92,28.3,28.57,493300
20101001,28.35,28.72,28.26,28.46,411300
20101004,28.57,29.74,28.57,29.72,1033100
20101005,30.09,30.86,30.03,30.79,1323300
20101006,30.76,31.01,30.52,30.68,683200
20101007,30.45,31.02,30.12,30.53,476600
20101008,30.53,31.82,30.22,31.45,695500
20101011,31.31,31.35,31.06,31.29,259900
20101013,31.39,32.05,31.06,31.68,876600
20101014,31.45,31.62,30.71,31.33,408600
20101015,31.44,31.59,30.72,30.86,449800
20101018,31.17,31.33,30.68,31.18,464500
20101019,30.49,31.26,30.47,31.1,893100
20101020,30.55,31.29,30.48,30.83,546300
20101021,30.68,30.99,30.5,30.93,641100
20101022,31.06,31.29,30.12,30.18,442700
20101025,30.18,30.65,30.18,30.26,197100
20101026,30,31.06,29.91,31.06,457200
20101027,31.06,31.08,30.72,30.91,351000
20101028,31.36,31.36,30.56,30.87,230500
20101029,30.99,31.11,30.13,30.66,442100
20101101,31.05,31.07,30.39,30.59,285200
20101103,30.6,30.87,30.34,30.68,522800
20101104,31.06,31.68,31.06,31.66,823800
20101105,31.64,32.06,31.48,31.87,493500
20101108,31.52,32.64,31.46,32.11,655100
20101109,32.6,32.6,31.73,32.37,880400
20101110,32.57,33.98,32.01,32.15,1799300
20101111,32.37,32.41,31.41,31.72,807900
20101112,31.77,31.78,31,31.37,537100
20101116,32.21,32.21,31.1,31.45,636800
20101117,31.13,31.97,31.13,31.91,577900
20101118,32.2,32.29,31.84,32.09,782600
20101119,31.68,32.97,31.68,32.83,823000
20101122,32.26,33.07,32.01,32.21,521000
20101123,31.75,32.56,31.15,32.07,381500
20101124,32.34,32.98,32.24,32.98,473900
20101125,33.06,33.1,32.47,32.98,167700
20101126,32.21,32.87,32.21,32.75,186600
20101129,32.41,32.83,32.18,32.41,676200
20101130,32.02,33.26,32.02,32.6,1040100
20101201,33.44,33.44,32.64,33.26,404200
20101202,33.26,33.36,32.8,33.21,420300
20101203,33.23,34.26,32.77,34.21,565700
20101206,33.93,34.17,33.33,33.67,509600
20101207,33.59,33.82,32.47,32.79,1414900
20101208,32.79,32.79,31.81,32.71,830300
20101209,32.45,32.73,32.29,32.44,561500
20101210,32.76,32.93,32.22,32.44,543500
20101213,32.67,32.67,32.02,32.4,457300
20101214,32.14,32.77,31.45,31.75,748900
20101215,31.45,31.98,31.41,31.62,729100
20101216,31.73,32.14,31.57,31.79,390300
20101217,31.96,32.6,31.81,32.44,552400
20101220,32.44,32.71,32.02,32.29,313800
20101221,32.27,32.51,31.49,31.57,703700
20101222,31.42,31.66,31.23,31.32,403400
20101223,31.26,31.75,31.12,31.29,271400
20101227,31.29,31.42,30.73,30.93,356800
20101228,30.73,31.06,30.46,30.95,415900
20101229,31.19,31.75,30.83,31.75,410200
20101230,31.76,31.95,31.17,31.83,361000
20110103,32.21,32.21,31.68,31.95,404700
20110104,31.97,32.28,31.64,31.91,497400
20110105,31.91,32.6,31.76,32.56,542600
20110106,32.73,32.73,31.78,32.21,711200
20110107,32.34,32.34,31.99,32.21,623200
20110110,31.98,32.28,31.81,31.95,530400
20110111,32.18,32.64,31.8,32.63,949900
20110112,32.73,33.87,32.38,33.75,1296900
20110113,33.93,34.89,33.52,34.53,814100
20110114,34.49,34.93,34.25,34.59,867900
20110117,34.59,34.59,33.56,34.31,196200
20110118,33.95,34.85,33.74,34.67,551900
20110119,34.71,34.94,34.09,34.29,778300
20110120,33.98,34.45,33.94,34.2,678300
20110121,34.2,34.22,33.82,34.05,616300
20110124,34.11,34.21,33.63,33.79,348600
20110126,33.48,33.74,33.3,33.4,428900
20110127,33.92,34.29,33.02,33.28,604900
20110128,33.29,33.29,32.24,32.52,550700
20110131,32.6,33.07,32.49,32.6,956400
20110201,32.69,32.84,32.2,32.41,814700
20110202,32.46,32.46,31.91,32.06,639300
20110203,32.21,32.48,31.9,32.25,668000
20110204,32.26,32.44,31.77,32.06,943100
