<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,12.09,12.28,12.09,12.17,313900
20100602,12.05,12.26,12.05,12.26,105600
20100604,12.13,12.53,12.13,12.17,599100
20100607,12.3,12.46,11.97,12.17,54100
20100608,12.21,12.25,11.97,12.17,646800
20100609,12.21,12.26,12.14,12.26,475600
20100610,12.29,12.29,12.07,12.13,438400
20100611,12.05,12.19,11.98,12.13,116300
20100614,12.17,12.17,12.09,12.15,110100
20100615,12.15,12.28,11.98,11.98,494700
20100616,11.91,12.19,11.89,12.13,231800
20100617,11.94,12.17,11.94,12.17,184100
20100618,12.17,12.5,12.12,12.12,1198800
20100621,12.12,12.17,12.03,12.13,66900
20100622,12.07,12.34,12.07,12.31,254100
20100623,12.14,12.28,12.08,12.13,164600
20100624,12.08,12.28,12,12.08,163000
20100625,12.08,12.33,12.03,12.03,124600
20100628,12.04,12.21,12.01,12.21,28600
20100629,11.97,12.16,11.97,12.04,124300
20100630,12.08,12.08,11.52,11.68,526800
20100701,11.67,11.92,11.3,11.55,612000
20100702,11.51,11.8,11.51,11.6,28600
20100705,11.47,11.5,11.38,11.5,2600
20100706,11.7,11.83,11.34,11.47,273600
20100707,11.51,11.69,11.5,11.61,231400
20100708,11.44,11.88,11.44,11.59,85000
20100712,11.55,11.73,11.29,11.59,101800
20100713,11.75,11.81,11.59,11.76,55900
20100714,11.6,11.75,11.6,11.67,23100
20100715,11.59,11.9,11.59,11.76,101300
20100716,11.67,11.8,11.59,11.8,42600
20100719,11.56,12.08,11.56,11.88,195200
20100720,11.73,11.91,11.63,11.9,269500
20100721,11.76,11.9,11.76,11.9,63200
20100722,11.9,12.08,11.81,12.08,138500
20100723,12.08,12.08,11.85,11.91,165700
20100726,11.99,12,11.76,11.92,238800
20100727,11.92,11.96,11.84,11.94,60100
20100728,11.84,12.08,11.64,12,338800
20100729,12,12.08,11.84,11.9,25500
20100730,12.04,12.2,11.84,11.93,255100
20100802,12.17,12.21,11.99,12.19,545000
20100803,12.15,12.15,11.92,12.13,376500
20100804,12.08,12.33,11.96,12.33,140800
20100805,12.24,12.48,12.04,12.33,617000
20100806,12.33,12.33,12.08,12.33,138500
20100809,12.34,12.5,12.17,12.33,352700
20100810,12.21,12.33,12.21,12.33,186600
20100811,12.08,12.25,11.8,12,87000
20100812,12.08,12.32,12.02,12.32,53000
20100813,12.32,12.37,12.1,12.33,107500
20100816,12.31,12.31,11.98,12.29,35900
20100817,12.32,12.33,12.17,12.33,473000
20100818,12.33,12.36,12.25,12.33,418200
20100819,12.32,12.33,12.26,12.33,578500
20100820,12.33,12.41,12.17,12.26,478500
20100823,12.25,12.29,12.25,12.29,85100
20100824,12.32,12.33,12.17,12.33,1011100
20100825,12.33,12.37,12.17,12.33,159500
20100826,12.25,12.39,12.22,12.33,286500
20100827,12.33,12.5,12.21,12.33,92200
20100830,12.33,12.47,12.25,12.44,111800
20100831,12.45,12.74,12.36,12.74,282500
20100901,12.74,13.12,12.5,12.91,138100
20100902,12.87,12.87,12.54,12.82,79900
20100903,12.54,13.03,12.13,12.78,411800
20100906,12.78,13.03,12.73,12.74,19900
20100908,12.74,13.03,12.74,13.03,99000
20100909,13.01,13.68,12.94,13.23,329100
20100910,13.13,13.36,13.11,13.32,175000
20100913,13.32,13.47,13.26,13.36,247000
20100914,13.32,13.47,13.32,13.38,187300
20100915,13.38,13.4,13.17,13.24,103000
20100916,13.24,13.47,13.13,13.14,137900
20100917,13.1,13.44,13.1,13.44,569000
20100920,13.15,13.47,13.07,13.43,95400
20100921,13.24,13.44,13.18,13.44,165200
20100922,13.34,13.56,13.34,13.38,117900
20100923,13.35,13.6,13.25,13.6,78500
20100924,13.29,13.64,13.29,13.64,201300
20100927,13.56,13.8,13.52,13.8,155500
20100928,13.81,13.97,13.74,13.95,91800
20100929,13.93,13.98,13.66,13.84,197400
20100930,13.66,13.94,13.5,13.72,166600
20101001,13.49,13.9,13.37,13.73,434900
20101004,13.56,13.72,13.32,13.32,77100
20101005,13.32,13.56,13.32,13.56,436300
20101006,13.56,13.94,13.46,13.65,140400
20101007,13.55,13.98,13.4,13.98,401000
20101008,13.65,14.36,13.65,14.23,561700
20101011,14.3,14.55,13.65,14.3,742100
20101013,14.39,14.93,14.23,14.8,954400
20101014,14.88,14.88,14.27,14.39,177200
20101015,14.72,14.72,14.14,14.15,85200
20101018,14.34,14.46,13.82,13.82,85200
20101019,13.85,14.37,13.56,13.98,88500
20101020,14.36,14.36,13.57,14.01,47200
20101021,13.98,14.28,13.98,14.21,156900
20101022,14.14,14.79,14.1,14.76,304700
20101025,14.78,14.95,14.66,14.83,106500
20101026,14.59,14.8,14.59,14.72,84000
20101027,14.72,14.81,14.49,14.54,353400
20101028,14.67,14.8,14.31,14.76,32200
20101029,14.8,14.96,14.76,14.84,408200
20101101,14.84,15.48,14.81,15.48,563800
20101103,15.45,15.74,15.45,15.66,477500
20101104,15.66,15.84,15.46,15.83,230100
20101105,15.91,16.02,15.32,15.95,149200
20101108,15.86,15.9,15.64,15.86,82800
20101109,15.87,15.93,15.62,15.87,730400
20101110,15.87,15.87,15.7,15.79,172700
20101111,15.91,15.93,15.62,15.62,93300
20101112,15.46,15.6,14.93,15.52,11200
20101116,15.51,15.51,15.05,15.13,44100
20101117,15.13,15.45,15.13,15.45,95100
20101118,15.37,15.84,15.37,15.84,339600
20101119,15.62,16.38,15.62,16.24,1284900
20101122,16.09,16.2,15.86,16.03,188900
20101123,16.28,16.28,15.98,16.2,545600
20101124,16.2,16.38,16.08,16.34,378900
20101125,16.35,16.44,16.2,16.44,155100
20101126,16.34,16.34,16.16,16.28,15100
20101129,16.36,16.44,16.08,16.2,352700
20101130,16.44,16.62,16.2,16.62,347700
20101201,16.61,16.9,16.44,16.85,1192900
20101202,18.91,18.91,17.42,17.68,1482000
20101203,17.77,17.79,17.05,17.25,362500
20101206,17.05,17.27,17.02,17.27,497700
20101207,17.22,17.35,16.87,17.06,524700
20101208,17.06,17.34,16.81,17.27,824200
20101209,17.27,17.34,17.1,17.27,415600
20101210,17.26,17.41,17.02,17.17,1183300
20101213,17.43,18.82,17.18,18.5,1434400
20101214,18.19,19.16,17.18,18.98,538400
20101215,18.75,20.97,18.4,19.74,650700
20101216,19.73,20.5,18.8,19.1,719400
20101217,19.4,19.4,18.42,18.91,361500
20101220,18.95,19.42,18.72,18.84,81900
20101221,18.91,18.91,18.42,18.42,200200
20101222,18.45,18.51,17.55,17.55,697900
20101223,17.75,18.83,17.59,18.08,156100
20101227,18.08,18.66,18.08,18.41,90900
20101228,18.5,18.94,18.38,18.78,243600
20101229,18.78,19.19,18.62,18.99,181600
20101230,19.19,19.61,18.46,19.44,387500
20110103,19.69,20.18,19.2,19.41,177200
20110104,19.41,19.55,19.12,19.43,263900
20110105,18.95,19.11,18.76,18.95,7111600
20110106,18.95,19.36,18.95,19.04,122800
20110107,19.15,19.77,18.96,19.2,296400
20110110,19.43,19.98,19.43,19.98,432400
20110111,20.18,21.42,19.94,20.79,683900
20110112,20.81,21.31,20.69,20.69,449800
20110113,20.84,21.16,20.1,20.1,1175300
20110114,20.1,20.1,19.29,19.53,910300
20110117,19.67,19.68,19.39,19.46,440600
20110118,19.53,19.6,19.22,19.28,419500
20110119,19.48,19.69,18.78,18.82,769000
20110120,18.78,19.85,18.58,19.4,16903700
20110121,19.75,19.77,19.2,19.37,552200
20110124,19.42,19.9,19.38,19.77,544400
20110126,19.77,19.77,19.38,19.69,429600
20110127,19.81,20.1,19.16,19.61,482800
20110128,19.77,19.77,18.38,18.54,471100
20110131,18.5,18.87,17.96,18.19,327100
20110201,18.12,18.73,18.12,18.4,632200
20110202,18.68,18.95,18.41,18.54,774500
20110203,18.38,18.76,18.03,18.15,319100
20110204,18.33,18.65,17.98,18.12,352000
20110207,18.65,20.17,18.3,19.73,1689700
20110208,19.73,19.77,19.25,19.52,929400
20110209,19.29,19.52,18.79,19.18,4541400
20110210,19.12,19.52,19.04,19.52,535000
20110211,20.1,20.98,19.9,20.95,2309100
20110214,20.94,21.38,20.28,21.21,1152900
20110215,21.1,21.41,20.79,21.01,1065900
20110216,20.89,21.18,20.35,20.35,1020800
20110217,20.47,20.67,20.18,20.39,708000
20110218,20.3,20.59,20.3,20.47,288400
20110221,20.58,20.59,20.26,20.27,133100
20110222,20.22,20.31,19.78,19.88,1047300
20110223,20.02,20.95,19.98,20.27,1965400
20110224,20.51,20.6,20.02,20.58,959000
20110225,20.6,20.67,20.29,20.64,947200
20110228,20.92,21.11,20.07,20.14,17281000
20110301,20.23,20.23,19.36,19.36,1328000
20110302,19.4,19.87,18.78,19.2,1588300
20110303,19.39,19.65,19.04,19.28,890500
20110304,19.21,19.51,19.21,19.44,229500
20110309,19.35,19.65,19.04,19.44,1243200
20110310,19.43,19.81,18.96,19.51,1252000
20110311,19.53,19.73,19.32,19.53,683100
20110314,19.41,20.1,19.36,19.66,531400
20110315,19.36,20.13,19.24,19.61,464700
20110316,19.8,19.81,19.32,19.44,404000
20110317,19.58,19.61,18.82,18.96,811500
20110318,19.14,19.38,18.82,19.07,273000
20110321,19.03,19.39,18.73,19.17,802900
20110322,19.16,19.43,19.07,19.24,398500
20110323,19.24,19.73,19.24,19.66,379700
20110324,19.71,20.91,19.67,20.43,757100
20110325,20.49,20.51,19.9,19.98,547600
20110328,20.09,20.43,19.99,20.06,344600
20110329,20.12,20.37,19.94,20.26,172400
20110330,20.43,21.64,20.36,21.54,1392500
20110331,21.54,22.24,21.42,22.24,917300
20110401,22.3,22.34,21.6,21.82,464300
20110404,21.82,22.16,21.34,21.42,522800
20110405,21.42,21.42,21.02,21.24,359000
20110406,21.3,21.53,20.87,21.16,755400
20110407,21.04,21.52,20.91,21.26,350200
20110408,21.26,21.67,21.23,21.38,511000
20110411,21.39,21.72,21.19,21.34,2996600
20110412,21.4,21.4,20.66,21.01,289700
20110413,21.08,21.08,20.52,20.6,950000
20110414,20.65,20.65,20.42,20.56,238200
20110415,20.63,20.63,20.42,20.56,101700
20110418,20.33,20.93,20.1,20.76,858800
