<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,16.45,17,16.36,16.43,2423100
20100602,16.43,17.26,16.24,17.26,3044600
20100604,16.89,16.98,16.4,16.58,2501200
20100607,16.53,16.73,16.06,16.15,2134700
20100608,16.29,16.54,15.92,16.54,2249900
20100609,16.62,16.85,15.89,16.06,3358900
20100610,16.26,16.66,16.26,16.62,3058400
20100611,16.49,17.1,16.32,17.1,2940600
20100614,17.13,17.87,16.85,17.73,5476700
20100615,17.79,17.86,17.34,17.77,2170900
20100616,17.59,17.69,17.32,17.5,4050000
20100617,17.44,18.07,17.39,17.81,3418800
20100618,17.76,18.16,17.68,17.91,2567800
20100621,18.09,18.2,17.56,18.02,2156300
20100622,17.82,18.31,17.82,17.98,4579200
20100623,18.08,18.33,17.71,18.24,2775900
20100624,18.08,18.45,17.55,17.55,2347900
20100625,17.6,17.88,17.5,17.85,1079700
20100628,17.87,18.05,17.68,17.73,1670200
20100629,17.33,17.44,16.58,16.78,4087200
20100630,16.79,17.27,16.63,16.63,2450900
20100701,16.73,16.96,16.23,16.53,2062100
20100702,16.63,16.71,16.26,16.58,3681100
20100705,16.7,16.79,16.46,16.62,952100
20100706,16.93,17.39,16.72,16.92,4300500
20100707,17,17.51,16.98,17.13,3218900
20100708,17.28,17.46,16.88,17.46,2955300
20100712,17.46,17.86,17.25,17.64,2563400
20100713,17.79,18.07,17.49,18.07,2831700
20100714,17.81,18.39,17.72,18.39,3096400
20100715,18.37,18.75,18.25,18.75,5598900
20100716,18.59,18.75,18.01,18.01,2549400
20100719,18.18,18.74,18.08,18.71,4968700
20100720,18.66,19.22,18.48,18.61,4813100
20100721,18.68,18.96,18.35,18.47,2801900
20100722,18.75,19.26,18.65,19.22,4215100
20100723,19.31,19.75,19.31,19.69,4188300
20100726,19.66,19.84,19.31,19.56,2290700
20100727,19.75,19.86,19.45,19.76,2024900
20100728,19.61,20.11,19.54,20.11,3312400
20100729,20.11,20.97,20.11,20.97,5330800
20100730,20.68,21.21,20.33,21.13,3975500
20100802,21.25,22.19,21.03,21.74,4984600
20100803,21.52,21.66,21.05,21.26,5648700
20100804,21.35,21.35,20.78,20.97,4561400
20100805,20.75,21.01,20.37,20.5,2920300
20100806,20.33,20.4,19.69,19.96,5751100
20100809,20.22,20.5,19.94,19.94,3379700
20100810,19.73,19.91,19.33,19.52,4933500
20100811,19.26,19.71,19.14,19.26,2299200
20100812,19.18,19.3,18.54,18.78,6807100
20100813,18.81,19.18,18.66,18.71,3218100
20100816,18.83,19.38,18.7,19.38,2199500
20100817,19.6,19.97,19.45,19.93,2850400
20100818,19.93,20.28,19.64,20.28,2942200
20100819,20.2,20.45,19.57,19.85,2759500
20100820,19.74,19.83,19.33,19.56,1561600
20100823,19.8,19.99,19.36,19.56,2286800
20100824,19.18,19.65,18.92,19.36,2051100
20100825,19.3,19.36,18.88,19.01,2227400
20100826,19.13,19.23,18.25,18.33,2355200
20100827,18.57,18.87,18.02,18.75,2980300
20100830,18.66,18.75,18.41,18.41,1119700
20100831,18.37,18.92,18.33,18.6,3087100
20100901,18.98,19.33,18.81,19.18,2784700
20100902,19.29,19.39,18.94,19.38,1673800
20100903,19.6,19.67,18.89,19.09,2000000
20100906,19.09,19.23,18.92,18.96,432800
20100908,18.9,19.03,18.69,18.99,1360800
20100909,19.15,19.77,19.06,19.77,2235300
20100910,19.81,20.02,19.7,19.97,1579400
20100913,20.12,20.43,19.97,20.41,1676200
20100914,20.25,20.88,20.25,20.78,2868900
20100915,20.71,21.34,20.45,21.13,2362600
20100916,20.97,21.14,20.3,20.62,1791300
20100917,20.44,20.79,19.77,20.03,3583100
20100920,19.94,20.66,19.94,20.57,2349200
20100921,20.57,20.67,20.11,20.33,3734700
20100922,20.2,20.88,20.08,20.88,3199700
20100923,20.58,21.6,20.54,21.31,3870800
20100924,21.39,21.69,20.8,21.14,3219700
20100927,21.08,21.35,20.82,21.14,1363400
20100928,21.26,21.3,20.83,21.09,1488100
20100929,21.05,21.14,20.64,20.88,2676400
20100930,20.92,20.98,20.29,20.41,4346400
20101001,20.62,21.01,20.49,20.78,3567200
20101004,20.63,21.52,20.63,21.31,3613300
20101005,21.56,21.77,21.37,21.69,3070700
20101006,21.69,21.81,21.33,21.48,3377800
20101007,21.48,21.58,20.45,20.88,2994400
20101008,20.79,21.17,20.65,20.97,2721000
20101011,21,21.25,20.87,21.25,1760600
20101013,21.36,21.9,21.29,21.9,4379200
20101014,21.94,22.29,21.73,22.06,2316600
20101015,22.03,22.03,21.35,21.78,1865900
20101018,21.73,21.81,21.33,21.39,1787000
20101019,21.05,21.2,20.04,20.11,4087400
20101020,20.33,20.41,19.82,19.84,3583300
20101021,19.96,20.07,19.06,19.46,2390300
20101022,19.56,20.03,18.97,19.26,2004000
20101025,19.52,19.79,19.1,19.27,2099500
20101026,19.14,19.6,18.99,19.43,1745400
20101027,19.52,20.03,19.52,19.93,2674900
20101028,20.16,20.26,19.43,19.43,2001100
20101029,19.6,20.03,19.43,20.03,2196200
20101101,19.26,19.6,18.99,19,5006300
20101103,19.18,19.18,18.32,18.46,7739700
20101104,18.62,19.39,18.61,19.35,4489800
20101105,19.28,19.5,19.23,19.36,2295600
20101108,19.43,19.43,18.93,18.96,2239900
20101109,19.1,19.11,17.9,17.94,5046700
20101110,17.96,18.24,17.56,17.82,5665000
20101111,17.79,18.15,17.73,18.03,2113400
20101112,17.67,17.97,17.45,17.82,3974100
20101116,17.62,18.07,17.24,17.39,2954900
20101117,17.63,18.04,17.47,17.96,1740500
20101118,18.18,18.64,18.15,18.64,2915900
20101119,18.52,18.75,18.36,18.66,3229200
20101122,18.48,18.62,17.79,17.98,2287700
20101123,17.59,17.89,17.03,17.16,2496500
20101124,17.47,17.98,17.47,17.94,4320400
20101125,17.91,18.32,17.7,18.08,2034700
20101126,17.68,18.51,17.64,18.13,4387000
20101129,17.87,18.14,17.5,17.68,2534800
20101130,17.64,18.49,17.52,18.49,4557500
20101201,18.64,18.95,18.41,18.92,3858400
20101202,18.99,19.12,18.66,18.95,3477600
20101203,18.91,19.13,18.54,18.75,2770800
20101206,18.82,18.87,18.34,18.62,2417400
20101207,18.83,18.98,18.63,18.71,1923300
20101208,18.66,18.75,17.81,17.95,3499600
20101209,18.07,18.12,17.33,17.65,3639800
20101210,17.76,18.02,17.52,17.79,3252000
20101213,18.02,18.07,17.73,17.79,2897500
20101214,17.77,18.43,17.58,17.61,4561600
20101215,17.5,17.68,16.81,16.81,4815800
20101216,16.99,16.99,16.05,16.22,5617900
20101217,16.24,16.52,15.95,16.45,3464300
20101220,16.54,16.62,15.77,15.81,2890300
20101221,15.93,17.04,15.89,16.87,4468500
20101222,16.77,17.32,16.66,17.28,2857100
20101223,17.12,17.33,17.01,17.25,1104200
20101227,16.96,17.2,16.93,17.04,657300
20101228,17.2,17.66,17.15,17.46,1482800
20101229,17.63,18.24,17.54,18.15,2539000
20101230,18.11,18.62,17.81,18.62,3433700
20110103,18.67,19.07,17.8,18.41,3020600
20110104,18.48,18.6,17.82,18.21,2395200
20110105,17.97,18.59,17.87,18.32,2095900
20110106,18.26,18.36,17.71,17.71,3511100
20110107,17.6,17.96,17.38,17.38,2780600
20110110,17.26,17.64,17.21,17.32,2103800
20110111,17.5,17.74,17.41,17.41,2434000
20110112,17.6,18.01,17.37,17.91,2686900
20110113,17.9,18.11,17.23,17.3,3248200
20110114,17.21,17.57,17.05,17.37,2011300
20110117,17.43,17.73,17.1,17.15,1955300
20110118,17.3,17.68,17.15,17.68,3013300
20110119,17.7,17.78,17.26,17.58,2457300
20110120,17.44,17.61,17.33,17.6,1783800
20110121,17.64,17.73,17.1,17.16,2063500
20110124,17.17,17.55,17.09,17.55,1632100
20110126,17.4,17.62,16.68,16.96,3198200
