<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,8.27,8.28,8.18,8.24,116400
20100602,8.23,8.48,8.23,8.45,510000
20100604,8.45,8.47,8.11,8.4,124800
20100607,8.32,8.45,8.24,8.37,58800
20100608,8.4,8.53,8.31,8.48,110800
20100609,8.34,8.5,8.34,8.48,160200
20100610,8.45,8.51,8.37,8.42,95300
20100611,8.34,8.54,8.34,8.48,198100
20100614,8.52,8.53,8.47,8.51,31500
20100615,8.51,8.53,8.3,8.4,128000
20100616,8.4,8.62,8.3,8.62,66500
20100617,8.6,8.6,8.3,8.54,56700
20100618,8.4,8.54,8.4,8.4,17600
20100621,8.4,8.52,8.4,8.52,626200
20100622,8.5,8.62,8.43,8.48,225100
20100623,8.6,8.62,8.4,8.43,249300
20100624,8.46,8.47,8.34,8.4,222700
20100625,8.43,8.59,8.4,8.53,821400
20100628,8.53,8.8,8.51,8.8,93700
20100629,8.8,8.8,8.41,8.67,285500
20100630,8.67,8.86,8.67,8.8,554100
20100701,8.86,8.94,8.72,8.83,140600
20100702,8.9,9.04,8.89,8.97,83200
20100705,8.99,8.99,8.79,8.9,16900
20100706,8.98,8.98,8.91,8.92,118200
20100707,8.98,9.15,8.98,9.05,132700
20100708,9.16,9.18,8.85,9.15,153600
20100712,9.1,9.17,8.99,9.16,92100
20100713,9.21,9.21,9.05,9.2,161800
20100714,9.2,9.2,8.94,9.15,55500
20100715,9.16,9.16,8.97,9.09,46200
20100716,9.18,9.18,8.88,8.97,81600
20100719,8.94,9.05,8.8,9.02,124000
20100720,9.02,9.03,8.78,8.94,76700
20100721,8.94,9.02,8.86,8.9,95700
20100722,8.99,8.99,8.89,8.99,134800
20100723,9.01,9.01,8.9,8.97,269600
20100726,8.99,9.1,8.99,9.08,125200
20100727,9.1,9.11,8.99,9.09,69500
20100728,9.11,9.11,8.94,8.94,127900
20100729,9.04,9.05,8.91,9.05,63600
20100730,9.08,9.08,8.94,9.02,86600
20100802,9.08,9.16,9.03,9.16,222100
20100803,9.11,9.44,9.1,9.35,633000
20100804,9.44,9.46,9.26,9.46,189000
20100805,9.43,9.56,9.31,9.56,264800
20100806,9.39,9.64,9.36,9.64,58400
20100809,9.62,9.64,9.41,9.48,88400
20100810,9.32,9.54,9.22,9.54,139300
20100811,9.37,9.54,9.37,9.51,161300
20100812,9.5,9.5,9.36,9.48,29600
20100813,9.48,9.51,9.32,9.32,274800
20100816,9.23,9.65,9.23,9.65,1253300
20100817,9.72,9.74,9.54,9.63,189200
20100818,9.65,9.84,9.62,9.81,127600
20100819,9.8,9.83,9.7,9.8,335700
20100820,9.75,9.83,9.7,9.81,88600
20100823,9.85,9.86,9.58,9.75,153900
20100824,9.65,9.88,9.65,9.81,74000
20100825,8.87,8.94,8.22,8.49,543700
20100826,8.68,9.19,8.49,9.11,648900
20100827,8.87,9.11,8.87,9.07,849100
20100830,8.95,8.95,8.76,8.87,491400
20100831,8.76,9.01,8.59,8.68,446400
20100901,8.68,8.99,8.56,8.95,234100
20100902,8.94,9.3,8.94,9.3,248400
20100903,9.11,9.33,9.07,9.29,757300
20100906,9.29,9.33,9.08,9.19,48000
20100908,9.13,9.3,8.8,8.84,773300
20100909,8.8,8.8,8.37,8.56,528800
20100910,8.46,8.52,8.43,8.49,175300
20100913,8.54,8.71,8.25,8.35,250900
20100914,8.33,8.39,8.24,8.25,235100
20100915,8.25,8.38,8.25,8.26,79000
20100916,8.26,8.39,8.24,8.36,220900
20100917,8.36,8.53,8.18,8.18,516200
20100920,8.27,8.27,8.13,8.2,144900
20100921,8.13,8.14,8.06,8.12,205000
20100922,8.11,8.15,7.94,7.99,171200
20100923,8.01,8.03,7.96,7.98,259000
20100924,7.98,8.13,7.79,8.02,996200
20100927,8.01,8.07,7.87,8.02,653700
20100928,8.06,8.06,7.89,8.02,549300
20100929,7.96,7.96,7.78,7.83,408900
20100930,7.85,8.02,7.78,7.98,88500
20101001,8.01,8.34,7.95,8.32,637700
20101004,8.24,8.24,7.99,8.15,98100
20101005,8.3,8.35,8.17,8.33,771400
20101006,8.45,8.45,8.23,8.41,489700
20101007,8.41,8.52,8.29,8.52,283200
20101008,8.52,8.56,8.39,8.52,273600
20101011,8.56,8.59,8.49,8.59,90000
20101013,8.59,8.65,8.52,8.56,198700
20101014,8.46,8.71,8.41,8.71,402900
20101015,8.67,8.7,8.56,8.68,786700
20101018,8.65,8.72,8.63,8.63,606100
20101019,8.66,8.71,8.36,8.71,1453600
20101020,8.72,8.87,8.51,8.6,686100
20101021,8.61,9.26,8.6,9.19,253900
20101022,9.17,9.17,9.03,9.07,1058400
20101025,9.06,9.11,8.86,9.07,187300
20101026,9.03,9.07,8.94,9.02,93200
20101027,9.11,9.11,8.99,9.09,24900
20101028,9.09,9.19,9.07,9.19,86600
20101029,9.22,9.22,9.04,9.16,103100
20101101,9.18,9.28,9.01,9.28,472000
20101103,9.26,9.33,9.04,9.26,620900
20101104,9.34,9.57,9.29,9.44,405500
20101105,9.54,9.54,9.28,9.42,155300
20101108,9.53,9.54,9.26,9.41,819600
20101109,9.34,9.34,9.04,9.19,50900
20101110,9.26,9.26,8.85,8.87,124500
20101111,8.76,9.05,8.68,9.03,65800
20101112,8.8,9.08,8.64,9.08,58500
20101116,9.11,9.11,8.95,9.11,178800
20101117,9.11,9.11,8.95,8.95,121300
