<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,5.3,5.45,5.29,5.33,5400
20100602,5.38,5.44,5.38,5.44,762900
20100604,5.44,5.63,5.37,5.63,762900
20100607,5.63,5.8,5.63,5.72,22800
20100608,5.64,5.64,5.55,5.63,4500
20100609,5.63,5.71,5.5,5.5,14400
20100610,5.89,5.89,5.58,5.63,94500
20100611,5.63,5.69,5.63,5.69,37800
20100614,5.67,5.83,5.67,5.69,99000
20100615,5.69,5.76,5.69,5.69,631800
20100616,5.69,5.69,5.69,5.69,6300
20100617,5.69,5.69,5.54,5.63,62700
20100618,5.66,5.69,5.55,5.55,559200
20100621,5.55,5.55,5.51,5.55,222300
20100622,5.69,5.69,5.55,5.55,8100
20100623,5.66,5.66,5.38,5.38,579000
20100624,5.55,5.55,5.27,5.27,64200
20100625,5.41,5.49,5.3,5.43,3300
20100628,5.59,5.59,5.27,5.27,191400
20100629,5.27,5.46,5.27,5.27,241800
20100630,5.58,5.58,5.33,5.58,43800
20100701,5.48,5.76,5.48,5.76,152100
20100705,5.69,5.72,5.69,5.72,16200
20100706,5.71,5.72,5.71,5.72,25500
20100707,5.72,5.72,5.66,5.72,22200
20100708,5.73,5.76,5.73,5.76,13500
20100712,5.69,5.69,5.69,5.69,45000
20100713,5.55,5.76,5.55,5.76,88500
20100715,5.66,5.67,5.58,5.67,50400
20100716,5.62,5.62,5.58,5.58,622200
20100719,5.62,5.76,5.62,5.76,787200
20100720,5.69,5.76,5.69,5.76,77100
20100721,5.76,5.76,5.76,5.76,11400
20100722,5.76,5.97,5.76,5.83,1070700
20100723,5.75,5.83,5.69,5.69,66000
20100726,5.69,5.83,5.55,5.6,107400
20100727,5.62,5.62,5.6,5.6,15300
20100728,5.69,5.83,5.55,5.72,86400
20100729,5.61,5.85,5.58,5.83,17400
20100730,5.59,5.83,5.59,5.82,32100
20100802,5.69,5.79,5.65,5.65,32400
20100803,5.63,5.63,5.63,5.63,1200
20100804,5.5,5.8,5.5,5.8,24600
20100805,5.65,5.83,5.62,5.62,34800
20100806,5.79,5.97,5.79,5.97,13500
20100809,5.95,6.05,5.95,6.05,22500
20100810,6.05,6.1,6.01,6.02,74100
20100811,5.55,5.55,5.41,5.45,36000
20100812,5.65,5.73,5.38,5.55,60000
20100813,5.55,5.69,5.45,5.45,42600
20100816,5.55,5.55,5.49,5.52,19200
20100817,5.52,5.54,5.44,5.51,105900
20100818,5.54,5.55,5.48,5.51,111000
20100819,5.5,5.51,5.47,5.49,88200
20100820,5.51,5.55,5.48,5.52,24300
20100823,5.52,5.55,5.44,5.48,57300
20100824,5.49,5.49,5.39,5.4,42000
20100825,5.4,5.47,5.37,5.37,71100
20100826,5.37,5.49,5.33,5.38,60600
20100827,5.39,5.44,5.34,5.43,132300
20100830,5.34,5.35,5.33,5.34,37200
20100831,5.27,5.27,5.2,5.21,274200
20100901,5.28,5.28,5.2,5.22,18000
20100902,5.24,5.24,5.08,5.16,33900
20100903,5.2,5.21,4.91,4.97,102900
20100906,4.99,5.12,4.99,5.02,95700
20100908,5.01,5.01,4.91,4.92,209100
20100909,4.94,4.97,4.82,4.84,763200
20100910,4.84,5.05,4.82,5.05,3906900
20100913,5.06,5.1,5.04,5.1,197400
20100914,5.16,5.38,5.16,5.29,1022400
20100915,5.27,5.49,5.27,5.29,799200
20100916,5.29,5.52,5.29,5.46,716400
20100917,5.46,5.62,5.37,5.49,1082700
20100920,5.49,5.55,5.43,5.43,144900
20100921,5.36,5.41,5.3,5.37,304500
20100922,5.3,5.35,5.25,5.27,61800
20100923,5.27,5.27,5.18,5.27,54000
20100924,5.19,5.28,5.16,5.16,227700
20100927,5.11,5.27,4.99,5.1,945300
20100928,5.13,5.17,5.06,5.12,485100
20100929,5.13,5.27,5.13,5.23,1241100
20100930,5.27,5.39,5.19,5.39,2815800
20101001,5.83,6.12,5.69,6.04,19709700
20101004,5.91,5.99,5.81,5.96,7477500
20101005,5.97,6.34,5.96,6.22,2862300
20101006,6.16,6.34,6.13,6.27,1410300
