<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,22.01,22.36,21.51,21.62,4524000
20100602,21.56,22.37,21.55,22.17,4130000
20100604,21.75,21.99,21.23,21.4,4816100
20100607,21.48,21.7,20.66,20.77,4390300
20100608,21.04,21.21,20.75,21.04,4332900
20100609,21.39,21.53,20.92,20.95,3802200
20100610,21.19,21.93,21.19,21.86,4320300
20100611,21.73,22.38,21.61,22.29,3451900
20100614,22.73,22.95,22.4,22.4,4266000
20100615,22.56,22.92,22.49,22.81,2595900
20100616,22.64,23.24,22.59,22.97,6104800
20100617,23.03,23.25,22.29,22.61,4073300
20100618,22.64,22.75,22.25,22.51,3056900
20100621,23,23.05,22.57,22.77,3912800
20100622,22.64,23.09,22.52,22.69,4603200
20100623,22.77,22.9,22.39,22.85,3937100
20100624,22.64,22.96,22.19,22.19,4785100
20100625,22.11,22.44,21.83,22.4,4287700
20100628,22.33,22.35,21.98,22.06,4314700
20100629,21.59,21.6,20.97,21.19,4948000
20100630,21.12,21.67,21.03,21.03,5167000
20100701,20.94,21.25,20.6,21.05,4754700
20100702,20.99,21.26,20.6,20.91,4533900
20100705,20.97,21.35,20.44,20.5,3183700
20100706,20.89,21.23,20.61,21.03,5093700
20100707,21.04,21.53,20.9,21.44,3280600
20100708,21.66,21.84,21.5,21.84,3260500
20100712,21.88,22.09,21.35,21.55,3468600
20100713,21.74,21.93,21.59,21.68,4166200
20100714,21.44,21.54,21.06,21.3,5492500
20100715,21.21,21.28,20.78,21.21,3868300
20100716,21.17,21.17,20.51,20.55,3954400
20100719,20.68,20.91,20.62,20.91,3067800
20100720,20.71,21.76,20.64,21.73,7172900
20100721,21.95,22.24,21.84,22.04,5799400
20100722,22.31,22.85,22.31,22.69,5553500
20100723,22.85,23.18,22.39,23.17,5027500
20100726,23.09,23.34,22.97,23,3432400
20100727,23.15,23.26,22.57,22.92,4620500
20100728,22.73,23.08,22.57,23.01,2788800
20100729,23.13,23.28,22.71,23.07,4326700
20100730,22.69,23.06,22.43,22.64,4306500
20100802,23.09,23.31,22.95,23.18,4940100
20100803,23,23.8,22.93,23.62,8468900
