<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,27.68,28.33,27.23,27.23,694100
20100602,27.12,28.18,27.12,27.74,519200
20100604,27.55,27.68,26.45,26.73,881900
20100607,26.7,26.96,25.44,25.54,877800
20100608,25.83,26.28,25.66,25.99,561900
20100609,26.28,26.6,25.99,26.16,501100
20100610,26.61,27.77,26.37,27.74,890900
20100611,27.49,28.3,27.2,28.3,372800
20100614,28.5,28.81,28.01,28.27,463900
20100615,28.51,28.93,28.23,28.91,293400
20100616,28.84,29.51,28.52,29.28,1035500
20100617,29.12,29.61,28.35,28.84,458500
20100618,29.12,29.12,28.31,28.8,478800
20100621,29.2,29.47,28.65,28.84,693400
20100622,28.84,29.42,28.67,28.76,687800
20100623,28.78,29.2,28.51,29.2,569600
20100624,28.87,29.2,28.14,28.26,1019100
20100625,28.22,28.63,27.78,28.4,769000
20100628,28.43,28.48,28.03,28.17,235600
20100629,27.55,27.59,26.36,26.88,1246400
20100630,26.7,27.26,26.17,26.17,911700
20100701,26.25,26.66,25.76,26.52,1187600
20100702,26.7,27.01,25.84,26.41,429800
20100705,26.18,26.52,25.4,25.4,621700
20100706,25.89,26.45,25.62,26.11,823400
20100707,26.33,26.8,26.1,26.55,624400
20100708,26.79,27.14,26.53,27.14,379600
20100712,27.19,27.4,26.14,26.7,749400
20100713,27.05,27.1,26.65,26.86,885800
20100714,26.66,26.66,25.78,26.19,987300
20100715,26.34,26.34,25.35,26.02,816500
20100716,25.98,25.98,25.26,25.43,353800
20100719,25.68,25.92,25.4,25.92,376400
20100720,25.6,26.79,25.53,26.7,1648100
20100721,26.83,27.14,26.61,26.99,796500
20100722,27.23,27.81,27.23,27.56,824500
20100723,27.56,28.21,27.23,28.13,630800
20100726,28.08,28.38,27.73,27.73,368800
20100727,28.12,28.28,27.51,28.11,894900
20100728,28.04,28.45,27.61,28.3,429500
20100729,28.32,28.55,27.96,28.55,571200
20100730,28,28.55,27.73,27.77,881800
20100802,28.22,28.47,28.06,28.31,479300
20100803,28.31,29,28.08,28.95,490400
20100804,29.03,29.44,28.7,29.2,547500
20100805,29.19,29.42,28.8,29.42,403400
20100806,29.12,29.36,28.67,29.12,546100
20100809,29.12,29.38,28.86,29.04,261600
20100810,28.61,28.68,28.13,28.34,588800
20100811,27.97,27.97,26.99,26.99,821200
20100812,26.73,27.3,26.64,27.17,661400
20100813,27.05,27.35,26.68,26.79,480100
20100816,26.88,26.9,26.45,26.78,873300
20100817,27,27.39,26.92,27.12,952700
20100818,27.33,27.33,26.43,26.62,1236500
20100819,26.64,26.8,25.86,26.05,1255800
20100820,25.98,26.17,25.72,26.17,857500
20100823,26.44,26.61,25.81,25.81,515000
20100824,25.45,25.81,24.56,25.45,1000100
20100825,25.31,25.64,25.08,25.39,865600
20100826,25.68,25.74,24.74,24.74,852800
20100827,24.91,26.01,24.88,25.93,825500
20100830,25.64,25.99,25.17,25.36,442300
20100831,25.17,25.74,25.14,25.42,771400
20100901,25.63,26.71,25.47,26.71,1281900
20100902,26.6,26.74,26.1,26.1,633600
20100903,26.47,27.02,25.65,26.17,483800
20100906,26.13,26.61,26.1,26.61,296100
20100908,26.57,27.11,26.36,27.11,1073700
20100909,27.07,27.39,26.39,27.34,1137100
20100910,27.35,27.36,26.88,27.07,1015000
20100913,27.26,27.42,27.07,27.27,867700
20100914,27.07,27.25,26.62,26.98,973400
20100915,26.85,27.13,26.53,27.13,1027100
20100916,26.98,27.12,26.83,26.87,621400
20100917,26.98,26.98,26.19,26.26,1167800
20100920,26.27,26.52,26.15,26.34,1093800
20100921,26.4,26.49,26.16,26.26,1506700
20100922,26.19,26.5,25.84,25.99,1643600
20100923,25.89,26.03,25.41,25.41,2538100
20100924,25.61,25.67,24.19,24.28,3192900
20100927,24.73,24.91,24.55,24.68,976200
20100928,24.84,25.45,24.73,25.27,1161000
20100929,25.28,25.45,24.67,24.79,972000
20100930,24.99,25.09,24.37,24.66,1309500
20101001,24.82,24.91,24.06,24.47,1231900
20101004,24.52,24.66,24.15,24.37,922600
20101005,24.56,24.65,24.11,24.37,2059000
20101006,24.31,24.54,23.64,23.73,1736800
20101007,23.92,23.92,23.19,23.33,1256700
20101008,23.33,23.68,23.2,23.63,850800
20101011,23.64,23.94,23.63,23.76,960500
20101013,23.92,24.01,23.2,23.42,3214600
20101014,23.42,23.45,22.97,23.28,2006000
20101015,23.42,23.57,23.01,23.43,1075000
20101018,23.55,23.55,23.04,23.19,748400
20101019,22.96,23.01,22.38,22.43,823400
20101020,22.55,22.67,21.98,22.54,1284900
20101021,22.43,22.62,21.69,22.11,1237400
20101022,22.12,23.12,22.03,22.26,1911400
20101025,22.56,22.56,22.13,22.28,656300
20101026,22.03,22.49,21.75,22.34,831500
20101027,22.29,23.03,22.03,22.61,1423100
20101028,22.99,23.39,22.56,23.37,952900
20101029,23.5,23.67,23.04,23.64,1095300
20101101,23.64,24.17,23.55,23.96,749700
20101103,24.09,24.18,23.66,24.18,1529100
