<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,6.58,6.89,6.52,6.8,3087600
20100602,6.78,7.23,6.78,7.16,5512200
20100604,7.12,7.14,6.89,6.91,3201000
20100607,6.94,7.15,6.86,7.04,3469800
20100608,7.09,7.2,7.03,7.11,3655800
20100609,7.14,7.17,6.8,6.85,6209400
20100610,6.9,7.03,6.87,6.98,3270100
20100611,6.89,7.08,6.89,7.08,1569700
20100614,7.11,7.22,7.1,7.22,2719700
20100615,7.28,7.5,7.26,7.4,3082300
20100616,7.38,7.67,7.33,7.55,5780000
20100617,7.63,7.71,7.27,7.39,5538100
20100618,7.41,7.52,7.26,7.38,3614400
20100621,7.49,7.51,7.26,7.39,2629100
20100622,7.38,7.53,7.33,7.43,2219600
20100623,7.47,7.51,7.36,7.51,2003200
20100624,7.45,7.5,7.38,7.44,1853100
20100625,7.45,7.51,7.4,7.5,770800
20100628,7.52,7.52,7.35,7.4,1459000
20100629,7.3,7.3,6.99,7.07,6106600
20100630,7.1,7.12,6.97,7.07,3411500
20100701,7.13,7.37,6.99,7.31,3850100
20100702,7.29,7.4,7.19,7.33,2473100
20100705,7.37,7.38,7.05,7.15,1469500
20100706,7.26,7.52,7.25,7.43,4199800
20100707,7.45,7.61,7.41,7.41,3613900
20100708,7.48,7.51,7.3,7.39,2565800
20100712,7.39,7.47,7.28,7.45,2476400
20100713,7.49,7.52,7.4,7.45,2452700
20100714,7.43,7.65,7.4,7.59,2247700
20100715,7.59,7.8,7.52,7.8,3181600
20100716,7.77,7.84,7.35,7.4,4639100
20100719,7.5,7.55,7.38,7.5,2081200
20100720,7.46,7.51,7.4,7.45,2516100
20100721,7.46,7.51,7.3,7.35,2530600
20100722,7.44,7.62,7.41,7.56,4122300
20100723,7.59,7.76,7.48,7.76,3901400
20100726,7.73,7.94,7.69,7.91,5265300
20100727,7.96,8.03,7.81,7.91,4770900
20100728,7.86,7.93,7.7,7.81,2507100
20100729,7.89,8,7.8,7.92,1595900
20100730,7.82,8.17,7.82,7.96,5366300
20100802,8.05,8.22,8.05,8.14,3244200
20100803,8.14,8.19,7.89,7.89,2959800
20100804,7.98,8.02,7.79,7.92,3167500
20100805,7.85,7.92,7.7,7.77,3647100
20100806,7.75,7.82,7.6,7.71,3485200
20100809,7.71,7.77,7.56,7.66,3445400
20100810,7.61,7.63,7.51,7.51,3699100
20100811,7.51,7.73,7.48,7.64,4644700
20100812,7.66,7.74,7.56,7.7,3132200
20100813,7.8,7.87,7.61,7.77,3051400
20100816,7.73,7.73,7.31,7.33,6289400
20100817,7.39,7.41,6.96,7.14,11949900
20100818,7.16,7.21,7.01,7.13,8232600
