<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,1.65,1.77,1.6,1.65,480800
20100602,1.66,1.69,1.58,1.63,679200
20100604,1.62,1.63,1.61,1.63,48800
20100607,1.65,1.68,1.62,1.63,78400
20100608,1.67,1.67,1.62,1.63,388800
20100609,1.66,1.66,1.61,1.63,145600
20100610,1.63,1.63,1.61,1.63,143200
20100611,1.65,1.74,1.6,1.64,624000
20100614,1.64,1.64,1.6,1.62,340800
20100615,1.61,1.65,1.6,1.6,1597600
20100616,1.61,1.61,1.57,1.58,766400
20100617,1.6,1.64,1.55,1.55,259200
20100618,1.58,1.58,1.54,1.55,459200
20100621,1.55,1.62,1.53,1.54,1259200
20100622,1.55,1.55,1.5,1.52,296800
20100623,1.52,1.56,1.5,1.5,660000
20100624,1.52,1.56,1.49,1.52,911200
20100625,1.52,1.54,1.48,1.5,396000
20100628,1.49,1.51,1.46,1.49,857600
20100629,1.49,1.51,1.45,1.49,735200
20100630,1.49,1.49,1.45,1.48,641600
20100701,1.46,1.49,1.46,1.47,1048000
20100702,1.49,1.49,1.47,1.47,1015200
20100705,1.46,1.49,1.46,1.49,69600
20100706,1.49,1.51,1.49,1.49,1709600
20100707,1.48,1.49,1.45,1.49,518400
20100708,1.5,1.5,1.47,1.48,706400
20100712,1.48,1.49,1.45,1.46,60800
20100713,1.46,1.49,1.45,1.48,240000
20100714,1.48,1.49,1.45,1.45,317600
20100715,1.47,1.48,1.45,1.48,125600
20100716,1.48,1.48,1.45,1.48,86400
20100719,1.48,1.48,1.47,1.48,344800
20100720,1.48,1.48,1.47,1.48,31200
20100721,1.46,1.47,1.45,1.47,148800
20100722,1.5,1.64,1.5,1.62,8753600
20100723,1.63,1.71,1.6,1.68,1105600
20100726,1.68,1.68,1.64,1.64,267200
20100727,1.66,1.68,1.55,1.58,1128800
20100728,1.58,1.6,1.57,1.6,445600
20100729,1.6,1.61,1.57,1.58,135200
20100730,1.56,1.59,1.56,1.57,432800
20100802,1.57,1.59,1.54,1.56,999200
20100803,1.59,1.59,1.53,1.55,1831200
