<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,16.76,17.04,16.5,16.92,1441800
20100602,16.92,17.33,16.86,17.33,1436600
20100604,17.12,17.32,16.81,17.17,1517200
20100607,17.01,17.26,16.77,17.07,892900
20100608,17.25,17.27,16.94,16.97,597000
20100609,17.08,17.08,16.42,16.57,1230000
20100610,16.75,17.06,16.28,16.87,2035700
20100611,16.66,16.83,16.39,16.67,2066900
20100614,16.82,16.92,16.67,16.72,1905700
20100615,16.67,16.67,16.13,16.24,4030000
20100616,16.18,16.36,15.98,16.08,4344100
20100617,16.14,16.24,16.03,16.08,2927700
20100618,16.26,16.67,16.13,16.47,6486800
20100621,16.97,17.15,16.8,16.98,3472900
20100622,17.07,17.47,16.83,17.32,3139300
20100623,17.37,17.46,17.32,17.35,1536100
20100624,17.3,17.57,17.12,17.52,2693200
20100625,17.52,17.59,17.37,17.52,1043900
20100628,17.49,17.49,17.37,17.37,1141300
20100629,17.29,17.32,16.27,16.33,1910000
20100630,16.4,16.85,16.31,16.75,1492900
20100701,16.67,17.2,16.18,16.87,1624500
20100702,16.96,17.36,16.96,17.36,1010500
20100705,17.47,17.66,16.97,17.17,824500
20100706,17.27,17.56,17.09,17.27,1597500
20100707,17.32,17.81,17.27,17.61,2100800
20100708,17.61,17.91,17.13,17.52,1036000
20100712,17.56,17.8,17.34,17.4,697300
20100713,17.46,18.21,17.46,18.21,1432600
20100714,18.1,18.48,17.81,18.16,1532900
20100715,18.25,18.3,17.67,17.81,832000
20100716,17.86,18.03,17.12,17.45,1133300
20100719,17.52,17.94,17.39,17.86,565300
20100720,17.8,17.91,17.45,17.85,1279900
20100721,17.86,17.96,17.53,17.54,1073200
20100722,17.66,17.94,17.56,17.85,1806300
20100723,17.86,17.86,17.49,17.61,1758000
20100726,17.88,17.91,17.6,17.66,1239500
20100727,17.79,17.84,17.48,17.53,2606700
20100728,17.59,17.59,17.31,17.47,1270200
20100729,17.53,17.61,17.02,17.15,1484600
20100730,17.16,17.57,17,17.56,1275300
20100802,17.63,17.79,17.44,17.64,2210300
20100803,17.69,17.69,17.17,17.27,1970100
20100804,17.28,17.39,17.11,17.39,1271600
20100805,17.37,17.47,17.32,17.38,1142200
20100806,17.21,17.35,17.12,17.12,1562700
20100809,17.27,17.38,17.02,17.03,1492300
20100810,16.95,17.15,16.56,16.67,1694600
20100811,16.57,16.84,16.32,16.54,1583700
20100812,16.39,16.95,16.39,16.73,988200
20100813,16.78,17.2,16.27,16.32,1582700
20100816,16.37,16.74,16.08,16.31,1119300
20100817,15.88,16.31,15.63,16.27,4722500
20100818,16.42,16.61,16.12,16.5,2372700
20100819,16.52,16.71,16.22,16.23,1288600
20100820,16.27,16.46,16.16,16.27,737800
20100823,16.37,16.46,15.92,15.92,940700
20100824,15.93,15.93,15.59,15.78,1708100
20100825,15.59,15.88,15.59,15.63,1030700
20100826,15.84,16.13,15.73,16.09,1226100
20100827,16.12,16.94,15.99,16.94,2481100
20100830,16.92,16.92,16.53,16.73,944300
20100831,17.18,17.46,16.87,16.87,6384400
20100901,17.06,17.2,16.59,17.02,3561700
20100902,17.07,17.19,16.87,17.12,895200
20100903,17.18,17.27,16.67,16.79,1936700
20100906,16.87,16.89,16.62,16.89,474400
20100908,16.57,16.87,16.37,16.86,748000
20100909,16.79,16.95,16.6,16.82,768000
20100910,16.91,16.96,16.63,16.77,1516000
20100913,16.94,17.14,16.83,17.14,1275200
20100914,17.08,17.08,16.81,17.06,1276000
20100915,17.06,17.26,16.89,17.03,915900
20100916,17.04,17.04,16.59,16.77,1980600
20100917,16.84,17.17,16.63,17.09,1485600
20100920,17.17,17.46,17.03,17.39,931100
20100921,17.39,17.43,17.09,17.36,859000
20100922,17.27,17.47,16.95,17.28,1667800
20100923,17.22,17.78,17.12,17.46,1799500
20100924,17.51,17.82,17.06,17.27,2025300
20100927,17.32,17.79,17.28,17.79,634900
20100928,17.71,17.78,17.27,17.52,1199600
20100929,17.52,17.53,16.87,16.87,1904000
20100930,16.98,17.11,16.92,17.11,2225000
20101001,17.08,17.26,16.95,17.04,1472900
20101004,17.07,17.1,16.72,16.73,1456800
20101005,16.82,17.22,16.81,17.22,1239300
20101006,17.16,17.25,16.81,17.02,1172300
20101007,17.09,17.22,16.69,16.69,3022700
20101008,16.69,16.99,16.68,16.77,2187200
20101011,16.82,16.86,16.53,16.53,748400
20101013,16.76,17.06,16.58,16.92,1810500
20101014,16.87,16.94,16.36,16.62,1641900
20101015,16.59,16.62,16.19,16.27,1319500
20101018,16.27,16.55,16.13,16.47,1014100
20101019,16.18,16.3,15.84,15.84,998400
20101020,15.87,16.32,15.45,15.49,1853500
20101021,15.54,15.98,15.02,15.28,1931200
20101022,15.33,15.52,14.75,14.93,1891800
20101025,14.93,15.02,14.6,14.81,1658100
20101026,14.73,15.28,14.67,15.28,1788100
20101027,15.25,15.48,15.01,15.43,1500600
20101028,15.58,15.58,15.14,15.28,1041400
20101029,15.28,15.46,14.79,15.26,2021700
20101101,15.23,15.32,14.93,15.16,1072400
20101103,15.11,15.32,14.91,15.08,1762600
20101104,15.18,15.25,14.67,14.74,2979400
20101105,14.75,14.85,14.3,14.38,3066900
20101108,14.38,14.58,14.11,14.44,2411900
20101109,14.67,14.67,14.29,14.44,2489600
20101110,14.42,14.53,14.27,14.39,1315900
20101111,14.31,14.54,14.15,14.44,773200
