<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,29.27,29.81,28.38,28.38,315800
20100602,28.22,28.82,27.68,28.04,405500
20100604,27.6,28.18,27.42,27.5,166800
20100607,27.7,27.85,27.06,27.28,218300
20100608,27.56,27.95,27.1,27.95,215000
20100609,28.04,28.32,27.14,27.86,194700
20100610,27.49,28.78,27.49,28.5,297000
20100611,28.13,29.48,27.76,28.57,311800
20100614,28.57,29.14,27.59,27.99,462400
20100615,28.25,29.01,27.77,28.84,371100
20100616,29.06,29.36,28.57,29.15,408100
20100617,29.27,29.28,28.21,29.19,534100
20100618,29.06,30.17,28.57,29.41,1377000
20100621,29.41,30.97,28.48,29.72,333000
20100622,30.26,30.26,29.16,29.86,588800
20100623,30.07,31.58,29.65,31.28,540800
20100624,30.35,31.76,30.34,30.43,273600
20100625,30.21,31.59,30.21,31.05,195400
20100628,31.05,31.84,30.73,30.97,239300
20100629,30.6,30.6,29.29,29.59,412000
20100630,29.77,29.99,28.53,29.29,300600
20100701,29.27,30.17,28.84,29.37,248300
20100702,29.36,29.72,28.97,29.46,73600
20100705,30.07,30.07,29.28,29.32,29100
20100706,29.77,29.77,29.14,29.37,95000
20100707,29.3,29.34,29,29,143900
20100708,29.25,29.25,28.92,29.06,78000
20100712,29.25,30.09,29.07,29.18,124100
20100713,29.46,29.46,28.95,29.27,79500
20100714,28.85,29.01,28.29,28.39,259900
20100715,28.66,29.03,28.02,29.03,606900
20100716,28.84,29.12,27.86,27.86,54600
20100719,28.11,29,27.47,27.98,281700
20100720,28.21,28.53,27.56,28.04,143200
20100721,28.38,28.63,27.86,28.48,318100
20100722,28.78,29.46,28.66,29.46,354900
20100723,29.28,30.08,28.84,29.77,175200
20100726,29.98,30.8,29.65,29.93,326600
20100727,30.44,30.44,29.6,29.84,296600
20100728,30.06,30.06,29.04,29.79,293000
20100729,29.97,30.42,29.54,29.6,307300
20100730,29.71,29.99,29.13,29.18,316300
20100802,29.27,30.51,29.22,30.16,374300
20100803,30.25,30.25,28.61,28.62,299700
20100804,28.89,29.24,28.71,28.75,177700
20100805,28.75,28.79,28.13,28.39,275400
20100806,28.42,28.79,28.04,28.26,1263700
20100809,28.13,28.61,28.13,28.17,309900
20100810,28.39,28.57,27.98,28.37,426400
20100811,28.38,28.57,28.07,28.11,194100
20100812,28.3,28.68,27.97,28.05,244300
20100813,28.57,29.09,27.96,28.55,246000
20100816,28.3,29.18,28.06,28.61,104700
20100817,28.65,28.83,27.73,27.86,158300
20100818,28.04,28.39,27.68,28.39,307000
20100819,28.54,28.97,27.8,28.79,211500
20100820,28.6,29.16,28.54,29,91100
20100823,29.53,30.12,29.1,29.63,232600
20100824,29.72,29.72,29.06,29.28,56700
20100825,28.91,29.11,28.58,29.11,168200
20100826,29.16,30.18,28.92,29.06,89900
20100827,29.71,29.98,28.61,29.06,181400
20100830,29.54,30.07,28.96,29.06,75700
20100831,28.91,30.36,28.91,29.55,193300
20100901,29.81,30.34,29.55,29.84,125800
20100902,29.46,29.89,29.13,29.85,180900
20100903,29.55,31.05,29.24,29.24,178500
20100906,30.08,30.79,29.28,29.28,45400
20100908,29.06,30.45,28.93,29.51,132900
20100909,29.55,30.84,29.55,30.83,357600
20100910,31,31.93,30.75,31.06,432500
20100913,31.31,31.41,30.7,30.7,534300
20100914,30.93,31.81,30.76,31.54,1026100
20100915,31.32,31.85,31.28,31.61,565400
20100916,31.38,31.67,31.09,31.61,75400
20100917,31.81,31.81,30.84,30.88,348300
20100920,31.21,31.71,30.61,30.61,386500
20100921,30.84,31.05,30.41,30.75,346600
20100922,30.86,30.95,30.31,30.76,200900
20100923,30.52,30.72,30.01,30.01,212800
20100924,30.18,30.82,29.96,30.7,341200
20100927,30.27,31.94,30.27,31.2,96600
20100928,31.1,31.91,31.1,31.5,229900
20100929,31.72,31.94,30.54,31.63,257900
20100930,31.6,32.03,31.15,31.85,301000
20101001,31.92,32.39,31.79,31.94,478000
20101004,32,33.37,32,32.39,230500
20101005,32.25,33.36,32.25,32.96,405900
20101006,32.95,34.07,32.88,33.1,212500
20101007,33.1,34.12,32.92,33.41,376700
20101008,33.55,33.94,33.05,33.53,120100
20101011,34.16,34.17,33.4,33.87,178900
20101013,33.37,34.72,33.37,34.52,1556000
20101014,34.49,34.51,33.91,34.29,276200
20101015,34.81,36.2,34.12,35.34,273100
20101018,34.87,35.05,33.9,34.38,278000
20101019,34.03,34.25,32.03,32.47,494400
20101020,33.01,33.01,32.07,32.07,340900
20101021,32.3,33.1,32.06,32.65,761200
20101022,32.96,33.18,32.59,32.66,508400
20101025,32.66,33.16,32.22,32.83,159900
20101026,32.82,33.89,32.67,33.89,367400
20101027,33.72,35.04,33.37,35.04,409300
20101028,34.61,35.11,33.87,34.49,246700
20101029,34.49,35.26,34.22,34.6,356700
