<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,28.63,28.96,28.05,28.05,508200
20100602,27.82,28.05,27.57,27.82,432600
20100604,27.68,28.34,27.37,27.6,1019300
20100607,27.6,29.18,27.6,28.42,1225500
20100608,28.63,29.26,28.49,28.76,566800
20100609,29.11,29.16,28.05,28.05,890600
20100610,28.47,28.53,28.21,28.44,952400
20100611,28.47,28.89,28.37,28.55,752900
20100614,28.54,28.84,28.24,28.46,581700
20100615,28.55,29,28.3,28.59,510800
20100616,28.5,30.08,28.48,29.85,1978400
20100617,29.82,30.72,29.68,30.5,2179400
20100618,30.51,30.92,30.4,30.53,849000
20100621,30.76,31.34,30.52,31.22,1849900
20100622,31.21,32.73,31.21,31.32,2143500
20100623,31.53,31.79,30.65,31.3,1051100
20100624,31.3,31.6,30.32,30.53,765900
20100625,30.69,31.3,30.46,30.89,454900
20100628,30.92,31.44,30.92,31.28,554800
20100629,30.99,31.22,30.45,30.54,1020800
20100630,30.83,31.03,30.4,30.53,1011000
20100701,30.51,30.68,29.86,30.27,761000
20100702,30.43,30.86,30.01,30.69,299300
20100705,30.8,30.89,30.15,30.15,257300
20100706,30.38,30.9,30.31,30.73,478300
20100707,30.79,30.94,30.27,30.47,977100
20100708,30.53,30.63,29.68,30,988700
20100712,30.11,30.45,29.79,29.81,402400
20100713,30.08,30.69,29.91,30.69,1031100
20100714,30.53,32.14,30.41,32.14,1074900
20100715,32.13,32.21,31.34,31.53,1524500
20100716,31.46,31.74,31.08,31.08,812600
20100719,31.3,31.31,30.86,31.3,822100
20100720,31.46,31.98,31.15,31.36,1002100
20100721,31.6,31.69,30.39,30.53,1678700
20100722,31.21,31.5,30.61,30.69,2720500
20100723,30.61,31.74,30.61,31.34,1309000
20100726,31.37,31.79,31.08,31.64,346300
20100727,31.76,32.71,31.61,32.71,1080500
20100728,32.87,33.12,32.2,33.12,1084000
20100729,33.12,34.69,32.96,34.57,1318000
20100730,34.05,36.06,34.05,35.44,1025200
20100802,34.84,35.37,34.16,34.51,1328100
20100803,34.22,34.58,33.53,34.55,997100
20100804,34.55,35.6,34.01,35.19,914600
20100805,35.37,36.13,34.98,35.37,959700
20100806,35.3,36.07,35.12,35.37,975000
20100809,35.53,35.68,34.28,34.32,596300
20100810,34.12,34.19,32.98,33.04,1487300
20100811,33.07,33.54,32.31,33.46,1628500
20100812,33.57,33.64,32.45,32.86,1537700
