<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,54.41,55.31,53.88,54.51,923400
20100602,54.09,54.8,54.09,54.76,425000
20100604,54.6,55.26,53.72,54.32,383700
20100607,54.13,54.89,53.41,54.05,371400
20100608,53.76,54.59,53.1,53.88,439700
20100609,54.54,54.56,53.52,54.21,344700
20100610,54.21,55.74,53.76,55.74,477000
20100611,55.08,55.87,54.55,55.87,296200
20100614,55.84,55.84,55.17,55.57,376300
20100615,56.02,57.61,55.97,57.39,289700
20100616,57.05,57.75,55.84,56.91,839400
20100617,57.43,57.91,56.36,57.91,550500
20100618,57.91,58.03,57.25,57.66,460000
20100621,57.82,58.4,57.01,57.7,465000
20100622,57.53,58.74,56.83,58.74,508600
20100623,58.9,59.29,57.75,59.29,465700
20100624,58.95,59.04,57.95,58.1,542800
20100625,57.99,59.97,57.99,59.97,664200
20100628,59.8,59.8,58.85,58.85,529800
20100629,58.55,59.8,56.96,59.8,1212400
20100630,59.52,59.84,59.33,59.5,862100
20100701,58.11,59.99,58.02,59.99,842100
20100702,60.73,60.91,59.7,59.7,1039400
20100705,59.52,60.27,58.86,60.18,228100
20100706,60.46,60.87,59.86,60.79,750300
20100707,60.78,60.79,60.01,60.65,740100
20100708,60.38,60.78,59.04,59.33,1057000
20100712,59.89,59.89,59,59.32,540000
20100713,59.52,60.08,59.35,59.94,777100
20100714,60.27,60.93,59.53,60.93,789700
20100715,60.92,61.03,59.83,59.88,634700
20100716,59.91,60.66,59.35,59.35,688700
20100719,59.12,59.73,59.07,59.23,531300
20100720,59.24,59.56,58.49,59.15,719300
20100721,59.59,59.59,58.49,58.49,438000
20100722,59.23,59.4,59,59.03,463300
20100723,59.37,59.41,58.81,59.37,393600
20100726,59.37,59.41,58.76,59.37,599700
20100727,59.38,60.32,59.37,60.32,552500
20100728,59.97,59.97,56.79,57.01,1551900
20100729,57.24,57.34,54.08,55.24,2345200
20100730,54.81,55.69,53.68,54.4,2358800
20100802,55.08,55.79,54.8,55.74,1984300
20100803,55.76,55.77,54.91,54.91,1320100
20100804,55.28,55.57,52.28,53.12,3454500
20100805,53.43,54.16,53.28,53.83,1599600
20100806,53.91,54.37,53.29,54.21,1270000
20100809,54.39,54.67,53.98,54.2,925600
20100810,53.89,54.57,53.31,54.57,748000
20100811,54.11,54.24,53.68,53.9,814600
20100812,53.87,54.96,53.51,54.77,1038300
20100813,54.87,56.38,54.59,55.62,2194700
20100816,55.21,56.29,55.04,56.29,930000
20100817,56.38,56.75,56.05,56.56,1128200
20100818,56.48,56.9,55.4,55.94,1898000
