<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110629,10.62,12.24,10.51,12.16,10092400
20110630,12.26,12.26,11.79,12.03,807400
20110701,11.71,12.28,11.65,12.11,351100
20110704,11.96,12.03,11.79,11.91,358600
20110705,11.75,12.11,11.75,12.03,206200
20110706,12.13,12.13,11.75,11.79,473300
20110707,11.75,12.03,11.71,11.99,4600
20110708,11.8,11.91,11.63,11.91,72500
20110711,11.78,11.79,11.51,11.7,967900
20110712,11.39,11.57,11.15,11.15,491600
20110713,11.31,11.4,11.24,11.25,57300
20110714,11.23,11.27,11.15,11.27,607800
20110715,11.23,11.39,11.12,11.39,63400
20110718,11.31,11.31,11.04,11.29,49200
20110719,10.91,11.3,10.91,11.27,125100
20110720,11.06,11.29,10.89,11.1,638700
20110721,11.1,11.63,11.1,11.63,17100
20110722,11.63,11.91,11.63,11.91,313600
20110725,11.9,11.9,11.62,11.87,471100
20110726,11.79,11.91,11.46,11.91,11900
20110727,11.9,11.99,11.85,11.95,1200500
20110728,11.78,11.91,11.48,11.87,997800
20110729,12.07,12.11,11.71,11.71,326000
20110801,11.72,11.73,11.36,11.71,14900
20110802,11.37,12.08,11.31,11.9,985800
20110803,11.63,11.63,11.31,11.63,22100
20110804,11.71,11.74,11.3,11.31,737500
20110805,11.31,11.31,10.51,10.51,977200
20110808,10.34,10.5,9.53,9.69,365100
20110809,9.69,11.23,9.53,11.23,870700
20110810,11.46,11.46,10.26,10.78,2200
20110811,11.3,11.3,11.02,11.02,36600
20110812,10.9,11.02,10.62,11.02,44200
20110815,11.06,11.23,10.91,10.91,50900
20110816,11.24,11.26,11.06,11.06,960900
20110817,11.06,11.23,10.9,10.9,85300
20110818,10.53,10.62,10.42,10.43,5600
20110819,10.49,10.49,9.98,9.98,209300
20110822,9.99,10.18,9.94,10.09,94900
20110823,10.09,10.18,10.09,10.09,34200
20110824,10.09,10.15,10.09,10.15,127300
20110825,10.18,10.18,9.85,10.18,9500
20110826,10.09,10.3,10.09,10.3,24600
20110829,10.37,10.74,10.37,10.74,55300
20110830,11,11.31,10.98,11.31,23100
20110831,11.63,11.86,11.31,11.63,185100
20110901,11.79,12.11,11.71,12.11,223200
20110902,12.03,12.03,11.95,11.95,13700
20110905,12.11,12.11,11.31,11.71,117100
20110906,11.71,11.71,11.55,11.55,278600
20110908,11.46,12.24,11.46,12.2,203700
20110909,12.11,12.92,12.01,12.11,231200
20110912,12.09,12.2,11.79,12.11,161700
20110913,12.27,12.75,12.2,12.75,125500
20110914,12.71,12.75,12.4,12.64,580100
20110915,12.91,12.91,12.44,12.76,187400
20110916,13.12,13.73,12.78,13.73,1101200
20110919,13.37,13.57,12.96,13.08,418100
20110920,13.12,13.12,12.78,12.92,126500
20110921,12.92,13.12,12.68,12.68,86100
20110922,12.6,12.76,11.47,11.79,141700
20110923,11.78,12.38,11.42,12.11,210900
20110926,12.11,12.52,11.9,12.11,88500
20110927,12.92,12.92,11.73,11.79,213800
20110928,12.11,12.11,11.6,11.86,13300
20110929,11.94,11.94,11.3,11.31,372100
20110930,11.63,11.67,11.31,11.31,25900
20111003,11.32,11.87,11.31,11.31,159300
20111004,11.31,11.63,11.31,11.63,134300
20111005,11.59,11.71,11.31,11.31,217200
20111006,11.44,11.51,10.9,10.9,151600
20111007,10.9,11.31,10.75,11.31,43500
20111010,11.07,11.57,11.07,11.38,7500
20111011,11.39,11.69,11.15,11.15,53100
20111013,11.06,11.27,10.98,10.98,32300
20111014,11.1,11.1,10.91,10.91,49800
20111017,10.63,11.06,10.63,10.98,100700
20111018,11.07,11.14,10.9,11.06,60000
20111019,11.06,11.39,11.03,11.3,143100
20111020,11.31,11.51,11.23,11.27,76100
20111021,11.48,12.11,11.31,12.11,189700
20111024,11.8,11.91,11.63,11.63,60300
20111025,11.86,11.86,11.48,11.71,21900
20111026,11.86,11.86,11.31,11.53,24500
20111027,11.75,11.87,11.4,11.87,206500
20111028,11.94,12.76,11.83,12.76,118800
20111031,12.12,12.69,12.12,12.68,163300
20111101,12.68,12.68,12.37,12.4,180800
20111103,12.68,12.73,12.33,12.33,223500
20111104,12.43,12.49,11.77,11.87,158100
20111107,11.69,11.91,11.51,11.54,55200
20111108,11.87,11.9,11.65,11.9,34900
20111109,12.03,12.03,11.87,11.99,2400
20111110,12.29,12.29,11.95,12.06,1100
20111111,12.4,12.48,11.95,12.32,10900
20111114,12.51,12.51,11.87,11.87,16200
20111116,12.66,12.66,11.87,11.87,91200
20111117,12.2,12.2,11.87,11.87,37900
20111118,11.95,12.27,11.95,12.27,69700
20111121,12.08,12.11,11.88,12.03,11000
20111122,12.04,12.04,12.04,12.04,100
20111123,12.03,12.21,12.03,12.16,4500
20111124,11.88,12.49,11.88,12.49,14400
20111125,12.48,12.52,12.11,12.11,38700
20111128,11.95,12.29,11.95,12.07,50300
20111129,11.96,12.25,11.86,11.86,27200
20111130,12.21,12.32,12.16,12.32,31900
20111201,12.52,12.52,12.32,12.52,73000
20111202,12.65,12.65,12.31,12.32,121300
20111205,12.51,12.51,12.03,12.11,44800
20111206,12.41,12.41,11.87,12.05,39800
20111207,11.73,11.99,11.73,11.99,45900
20111208,12.11,12.36,12.04,12.36,545500
20111209,12.11,12.36,12.07,12.07,31600
20111212,12.2,12.2,12.03,12.07,401700
20111213,11.99,12.2,11.95,12.2,241600
20111214,12.11,12.12,12.03,12.11,504400
20111215,12.91,12.91,12.48,12.52,159500
20111216,12.45,12.47,11.87,11.87,32600
20111219,12.2,12.25,11.94,12.21,1433600
20111220,12.49,12.49,12.11,12.24,460800
20111221,12.51,12.51,12.24,12.35,108400
20111222,12.46,12.46,12.14,12.28,232100
20111223,12.28,12.92,12.28,12.92,328400
20111226,13,13.34,13,13.06,13300
20111227,12.93,13,12.92,13,13400
20111228,13.08,13.09,12.92,13.03,42600
20111229,13,13.53,13,13.53,129600
20120102,13.93,14.05,13.8,13.89,108300
20120103,13.74,14.13,13.74,13.93,936800
20120104,13.74,14.02,13.74,13.85,87200
20120105,13.81,13.95,13.81,13.88,1682700
20120106,13.89,13.96,13.81,13.93,1423300
20120109,13.92,14,13.73,13.73,81200
20120110,13.93,13.93,13.72,13.77,520000
20120111,13.59,13.73,13.54,13.57,1185300
20120112,13.72,13.72,13.33,13.55,17300
20120113,13.61,13.89,13.12,13.12,53100
20120116,13.12,13.65,12.97,13.65,19900
20120117,14.04,14.04,13.8,13.84,4100
20120118,14.09,14.09,13.78,13.97,116100
20120119,13.97,13.97,13.77,13.81,501300
20120120,14.13,14.13,13.81,13.95,15600
20120123,14.12,14.22,13.73,13.73,40000
20120124,13.89,13.89,13.81,13.81,92500
20120126,13.81,14.13,13.81,13.86,73600
20120127,14.12,14.12,13.81,13.97,32000
20120130,13.97,14.01,13.81,13.96,67500
20120131,13.96,13.96,13.81,13.96,38000
20120201,13.93,13.97,13.81,13.81,23500
20120202,13.96,13.96,13.34,13.34,70100
20120203,13.65,13.81,13.45,13.81,184000
20120206,14.03,14.05,13.57,14.05,538600
20120207,14.12,14.13,13.67,13.67,879000
20120208,13.96,13.97,13.72,13.72,177000
20120209,13.96,13.96,13.67,13.8,380300
20120210,14.12,14.12,13.7,13.73,308300
20120213,14.09,14.09,13.75,13.81,207900
20120214,14.05,14.09,13.59,13.59,187100
20120215,13.97,14.13,13.27,13.69,479600
20120216,13.73,13.81,13.53,13.81,76200
20120217,14.04,14.04,13.75,13.75,189100
20120222,13.6,13.76,13.5,13.58,59200
20120223,13.33,13.41,12.75,12.92,749700
20120224,13.04,13.04,12.79,12.88,330500
20120227,12.92,12.92,12.74,12.92,107100
20120228,12.85,12.87,12.36,12.76,581700
20120229,12.58,12.58,12.11,12.11,317800
20120301,12.2,12.51,12.03,12.51,151200
20120302,12.57,12.6,12.22,12.24,92100
20120305,12.12,12.39,12.07,12.39,241600
20120306,12.34,12.34,11.56,11.63,319600
20120307,11.78,12.08,11.57,11.83,340700
20120308,11.91,11.91,11.71,11.71,221500
20120309,11.87,11.87,11.56,11.82,248800
20120312,11.82,12.28,11.71,12.11,273500
20120313,12.34,12.84,12.2,12.84,2063000
20120314,13.02,13.12,12.84,12.88,335200
20120315,12.76,12.93,12.76,12.93,371500
20120316,13,13.48,12.77,12.84,1345600
20120319,12.92,13.04,12.83,12.85,28300
20120320,12.84,12.86,12.7,12.72,440400
20120321,12.76,12.76,12.68,12.68,107100
20120322,12.67,12.72,12.44,12.72,482600
20120323,12.83,12.83,12.38,12.51,516600
20120326,12.51,12.76,12.37,12.62,116400
20120327,12.67,12.67,12.28,12.64,547800
20120328,12.63,12.64,12.38,12.38,27100
20120329,12.36,12.54,12.24,12.52,496200
20120330,12.67,12.67,12.45,12.64,215300
20120402,12.63,12.63,12.37,12.6,136400
20120403,12.64,12.64,12.32,12.56,250800
20120404,12.55,12.55,12.18,12.36,308100
20120405,12.54,13.17,12.5,13,1044400
20120409,12.84,13.39,12.76,13.33,1292200
20120410,13.33,13.45,13.1,13.33,296600
20120411,13.4,13.4,13.08,13.08,285600
20120412,13.08,13.33,12.95,13.17,113300
20120413,13.31,13.33,13.02,13.32,400300
20120416,13.4,13.88,13.25,13.42,589500
20120417,13.33,13.57,13.33,13.5,348900
20120418,13.33,13.74,13.33,13.73,7251500
20120419,13.64,13.81,13.63,13.73,3405800
20120420,13.73,13.96,13.73,13.85,236000
20120423,13.88,13.88,13.58,13.69,223800
20120424,13.92,13.92,13.61,13.69,892600
20120425,13.73,13.84,13.4,13.64,677700
