<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,9.26,9.26,9.18,9.2,81300
20100602,9.31,9.31,9.23,9.26,571200
20100604,9.29,9.64,9.29,9.35,126000
20100607,9.35,9.51,9.35,9.51,549900
20100608,9.39,9.49,9.39,9.49,4200
20100609,9.49,9.49,9.35,9.35,97800
20100610,9.4,9.51,9.32,9.32,788400
20100611,9.49,9.64,9.49,9.64,134400
20100614,9.74,9.88,9.67,9.82,612600
20100615,9.82,10.22,9.67,10.22,173700
20100616,10.13,10.6,10.04,10.6,503100
20100617,10.57,10.81,10.14,10.14,111900
20100618,10.13,10.25,10.13,10.21,976200
20100621,10.26,10.4,10.13,10.4,105900
20100622,10.61,10.61,10.17,10.47,118200
20100623,10.48,10.56,10.17,10.32,107700
20100624,10.41,10.63,10.32,10.63,444000
20100625,10.54,10.79,10.54,10.63,1555200
20100628,10.7,10.91,10.63,10.91,759000
20100629,10.95,10.95,10.7,10.95,496800
20100630,10.95,11.1,10.73,10.79,252000
20100701,10.7,10.71,10.54,10.63,668100
20100702,10.63,10.85,10.57,10.85,182100
20100705,10.79,10.79,10.67,10.67,34800
20100706,10.88,10.88,10.76,10.77,158100
20100707,10.77,10.95,10.77,10.95,1270200
20100708,10.95,11,10.64,10.95,132900
20100712,10.95,10.95,10.74,10.87,103800
20100713,10.9,10.92,10.76,10.87,590400
20100714,10.87,10.87,10.86,10.86,1140300
20100715,10.79,10.95,10.77,10.95,61200
20100716,10.79,10.79,10.48,10.76,44400
20100719,10.87,10.88,10.66,10.79,175800
20100720,10.76,10.79,10.73,10.76,30900
20100721,10.79,10.88,10.68,10.88,323700
20100722,10.95,11.07,10.88,10.91,151200
20100723,10.88,10.89,10.67,10.7,254400
20100726,10.76,10.76,10.64,10.68,43500
20100727,10.77,10.85,10.75,10.85,30000
20100728,10.82,10.95,10.62,10.95,94800
20100729,10.79,10.95,10.76,10.95,107400
20100730,10.94,11.46,10.79,11.45,154200
20100802,11.44,11.45,11.27,11.42,220800
20100803,11.4,11.4,10.98,11.26,188400
20100804,11.17,11.4,11.13,11.24,42300
