<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,12.39,12.52,12.25,12.29,1669100
20100602,12.37,12.56,12,12.48,773000
20100604,12.33,12.47,12.2,12.34,1003200
20100607,12.27,12.49,12.13,12.2,676400
20100608,12.33,12.42,12.06,12.27,873200
20100609,12.41,12.67,12.33,12.42,1031900
20100610,12.64,12.82,12.52,12.78,1072900
20100611,12.78,13.44,12.69,13.21,2547000
20100614,13.18,13.44,12.92,12.92,801000
20100615,12.92,13.11,12.92,12.96,508800
20100616,12.92,13.08,12.85,13.01,1328300
20100617,12.98,13.33,12.98,13.28,1304600
20100618,13.16,13.69,13.16,13.63,3328100
20100621,13.67,13.82,13.26,13.37,1533000
20100622,13.43,13.57,13.16,13.24,1398500
20100623,13.22,13.31,13.05,13.24,867600
20100624,13.17,13.24,12.92,13.09,1641100
20100625,13.08,13.31,13.01,13.22,854500
20100628,13.19,13.42,13.05,13.05,268700
20100629,12.85,12.97,12.35,12.54,1357600
20100630,12.71,12.73,12.15,12.15,2093700
20100701,12.37,12.49,11.91,12.41,3243000
20100702,12.46,12.72,12.35,12.64,1229600
20100705,12.74,12.78,12.46,12.62,813400
20100706,12.85,13.16,12.76,13.16,2097300
20100707,13.06,13.49,13.06,13.47,1296500
20100708,13.51,13.91,13.51,13.82,1548200
20100712,13.85,14.28,13.85,14.21,1922100
20100713,14.2,14.52,14.17,14.5,1209900
20100714,14.41,14.61,14.21,14.29,1976500
20100715,14.21,14.35,13.99,14.11,1561800
20100716,14.11,14.18,13.6,13.6,1236100
20100719,13.65,14.13,13.65,14.1,605100
20100720,13.99,14.31,13.75,14.28,1062600
20100721,14.41,14.88,14.35,14.71,3153500
20100722,14.82,15.04,14.77,14.78,4573400
20100723,14.8,15.01,14.68,14.88,2975000
20100726,14.91,14.99,14.7,14.7,1625300
20100727,14.94,15.12,14.87,14.95,1988200
20100728,14.88,15.27,14.87,15.27,1430500
20100729,15.34,15.58,15.16,15.18,3181000
20100730,14.94,15.68,14.92,15.43,2596000
20100802,15.54,15.65,15.36,15.41,1640800
20100803,15.33,15.4,15.09,15.24,1402400
20100804,15.34,15.34,15.04,15.1,1048600
20100805,15.27,15.34,15.02,15.16,1047800
20100806,15.11,15.32,14.96,15.16,1129100
20100809,15.22,15.39,15.16,15.24,997400
20100810,15.11,15.33,15.04,15.22,1057300
20100811,15.21,15.21,14.68,14.81,1734900
20100812,14.68,15.08,14.52,14.96,1447800
20100813,14.95,15.08,14.78,14.88,4516900
20100816,14.85,15.17,14.85,15.17,1190900
20100817,15.24,15.48,15.05,15.36,1545300
20100818,15.28,15.43,15.12,15.33,1396100
20100819,15.37,15.37,15.04,15.13,1196300
20100820,15.14,15.2,15.02,15.08,1256300
20100823,15.01,15.22,15.01,15.14,1652600
20100824,14.87,15.09,14.85,14.98,2253100
20100825,14.92,14.94,14.59,14.81,2980700
20100826,14.89,14.91,14.28,14.33,2542000
20100827,14.56,14.58,14.13,14.43,2961900
20100830,14.28,14.57,14.27,14.42,2153300
20100831,14.18,14.81,14.16,14.81,8305900
20100901,14.94,14.94,14.81,14.94,5512300
20100902,14.88,14.94,14.51,14.61,3671100
20100903,14.8,14.8,14.5,14.64,1603600
20100906,14.56,14.68,14.5,14.61,210300
20100908,14.35,14.76,14.25,14.56,2620100
20100909,14.61,14.61,14.44,14.48,999400
20100910,14.59,14.59,14.29,14.37,915100
20100913,14.56,14.81,14.48,14.69,1692000
20100914,14.61,14.8,14.43,14.43,1547600
20100915,14.19,14.28,13.89,14.28,4410800
20100916,14.25,14.59,14.02,14.52,2166100
20100917,14.37,14.64,14.37,14.54,1017200
20100920,14.64,14.9,14.45,14.9,1341200
20100921,14.89,14.91,14.54,14.63,1572300
20100922,14.52,14.76,14.42,14.51,1644800
20100923,14.57,14.68,14.5,14.51,3095400
20100924,14.56,14.77,14.46,14.64,2121800
20100927,14.57,14.85,14.52,14.64,1251100
20100928,14.57,14.77,14.5,14.67,1063900
20100929,14.64,14.82,14.56,14.67,2711400
20100930,14.67,15.39,14.67,15.24,2220700
20101001,15.43,15.69,15.29,15.64,2979500
20101004,15.51,15.77,15.47,15.77,1251400
20101005,15.82,16.16,15.73,16.16,2828000
20101006,16.04,16.26,15.97,16.12,3240400
20101007,16.38,16.38,16.15,16.34,2988000
20101008,16.2,16.74,16.05,16.68,2893600
20101011,16.51,16.64,16.44,16.46,1295800
20101013,16.7,17.05,16.59,16.88,2345200
20101014,16.88,16.9,16.54,16.72,2309900
20101015,16.77,16.78,16.49,16.63,1167700
20101018,16.38,16.66,16.18,16.4,2012600
20101019,16.14,16.78,16.14,16.28,1965100
20101020,16.42,16.62,16.18,16.22,1489100
20101021,16.24,16.57,16.05,16.14,1674700
20101022,16.21,16.36,16.14,16.19,1323600
20101025,16.41,16.64,16.15,16.61,1146900
20101026,16.33,16.83,16.3,16.66,1502400
20101027,16.6,16.76,16.42,16.63,1041400
20101028,16.71,16.71,16.22,16.38,2797200
20101029,16.38,16.5,16.02,16.12,2246100
20101101,16.19,16.54,16,16.11,1559000
20101103,16.3,16.84,16.12,16.71,3556500
20101104,16.8,17.37,16.6,17.17,2140600
20101105,17.04,17.11,16.88,16.95,1228800
20101108,16.94,17.41,16.8,17.35,1765500
20101109,17.18,17.21,16.37,16.38,6975700
20101110,16.54,16.71,16.32,16.55,2457600
20101111,16.55,16.55,16.2,16.22,2553500
20101112,16.2,16.33,15.91,16.24,1066700
20101116,15.98,16.38,15.64,15.9,1740300
20101117,15.82,16.15,15.69,15.77,1170200
20101118,15.98,16.24,15.92,16.15,1679800
20101119,16.15,16.29,15.88,15.94,1931500
20101122,15.82,15.97,15.45,15.71,1197300
20101123,15.4,15.65,15.21,15.31,1526500
20101124,15.38,15.84,15.38,15.71,1348500
20101125,15.74,15.99,15.66,15.69,364400
20101126,15.55,15.55,15.14,15.21,2301300
20101129,14.94,15.14,14.84,14.94,2085800
20101130,14.91,14.97,14.76,14.81,7249800
20101201,15.11,15.53,15.03,15.47,3022000
20101202,15.45,15.85,15.39,15.61,2457600
