<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,9.59,9.63,9.4,9.42,930600
20100602,9.37,9.79,9.3,9.7,1000800
20100604,9.64,9.9,9.42,9.72,1064100
20100607,9.65,9.88,9.65,9.78,665100
20100608,9.75,9.79,9.6,9.67,1147200
20100609,9.67,9.81,9.65,9.78,434400
20100610,9.72,9.85,9.62,9.85,997200
20100611,9.75,9.89,9.64,9.73,464700
20100614,9.75,9.89,9.63,9.7,519900
20100615,9.78,9.78,9.56,9.64,624000
20100616,9.64,9.67,9.48,9.65,949800
20100617,9.6,9.69,9.51,9.69,1174800
20100618,9.7,9.72,9.55,9.55,952200
20100621,9.7,9.73,9.51,9.65,1087200
20100622,9.69,9.72,9.58,9.71,860400
20100623,9.67,10.35,9.58,10.1,3834300
20100624,10.1,10.1,9.87,10.03,2449200
20100625,10.1,10.15,9.92,10.09,1021800
20100628,9.91,10.31,9.91,10.27,1436400
20100629,10.16,10.8,9.81,10.4,2840400
20100630,10.4,10.64,10.12,10.51,927600
20100701,10.36,10.55,9.89,10.2,2459100
20100702,10.09,10.2,9.93,9.96,618300
20100705,9.96,10.25,9.69,9.88,219900
20100706,10.16,10.16,9.74,9.86,1674900
20100707,9.95,10.09,9.74,9.85,1223700
20100708,9.85,9.93,9.71,9.79,1894800
20100712,9.89,9.9,9.61,9.61,645900
20100713,9.78,9.78,9.62,9.65,625500
20100714,9.56,9.74,9.51,9.7,1306500
20100715,9.6,9.62,9.45,9.57,1208100
20100716,9.57,9.62,9.4,9.4,744300
20100719,9.51,9.51,9.33,9.39,1462200
20100720,9.42,9.62,9.33,9.61,1317600
20100721,9.62,9.73,9.53,9.57,1095300
20100722,9.72,9.79,9.61,9.62,1194000
20100723,9.59,9.8,9.59,9.73,892200
20100726,9.69,9.87,9.69,9.71,549900
20100727,9.88,10,9.75,9.86,795600
20100728,9.86,9.91,9.7,9.91,546900
20100729,9.89,9.98,9.64,9.79,639900
20100730,9.61,9.86,9.61,9.86,1251000
20100802,9.98,9.99,9.87,9.99,470100
20100803,9.98,9.99,9.78,9.88,585000
20100804,9.89,9.99,9.8,9.99,671700
20100805,9.81,9.99,9.81,9.99,381900
20100806,9.98,10.02,9.79,10.02,405900
20100809,10.07,10.07,9.83,9.95,492600
20100810,9.84,9.92,9.66,9.8,609300
20100811,9.55,9.76,9.46,9.5,620700
20100812,9.4,9.78,9.4,9.78,696000
20100813,9.71,9.89,9.56,9.77,525900
20100816,9.87,9.89,9.64,9.89,584400
20100817,9.89,9.97,9.75,9.94,522600
20100818,9.95,10.02,9.8,10.02,663600
20100819,9.95,9.99,9.81,9.96,550200
20100820,9.99,9.99,9.79,9.79,361200
20100823,9.86,9.91,9.76,9.84,2118000
20100824,9.81,9.86,9.56,9.65,648300
20100825,9.58,9.66,9.42,9.58,681300
20100826,9.55,9.64,9.47,9.47,679500
20100827,9.53,9.89,9.49,9.81,778200
20100830,9.59,10.02,9.5,9.5,486300
20100831,9.58,9.64,9.24,9.36,1410600
20100901,9.49,9.72,9.42,9.72,801900
20100902,9.62,9.7,9.53,9.53,552300
20100903,9.61,9.68,9.53,9.62,566400
20100906,9.56,9.79,9.53,9.79,62700
20100908,9.64,9.64,9.41,9.48,613500
20100909,9.53,9.61,9.46,9.5,709500
20100910,9.55,9.95,9.55,9.95,601500
20100913,9.95,10.07,9.9,9.97,484200
20100914,10,10.06,9.91,10.04,523800
20100915,10.04,10.17,9.92,10.17,638700
20100916,10.17,10.18,9.92,9.99,475800
20100917,9.98,10.05,9.75,9.88,802800
20100920,9.94,10.05,9.77,10.05,552000
20100921,10.05,10.05,9.7,9.7,634800
20100922,9.75,10.15,9.67,10.15,766200
20100923,10.08,10.17,9.95,10.06,938100
20100924,10.06,10.21,9.97,10.07,893700
20100927,10.13,10.29,10.03,10.29,426300
20100928,10.16,10.24,10.06,10.11,818400
20100929,10.16,10.48,10.06,10.48,899700
20100930,10.48,10.62,10.26,10.62,948000
20101001,10.63,10.65,10.46,10.62,630900
20101004,10.6,10.62,10.43,10.53,443700
20101005,10.61,10.86,10.41,10.74,1373400
20101006,10.82,11.07,10.6,11.01,834000
20101007,10.88,11.01,10.7,10.87,696300
20101008,10.75,11.15,10.75,11.12,528300
20101011,11.04,11.15,11.01,11.05,411000
20101013,11.1,11.64,11.1,11.42,1629600
20101014,11.41,11.51,11.14,11.38,1262700
20101015,11.43,11.55,11.1,11.55,973800
20101018,11.54,11.8,11.42,11.7,1288200
20101019,11.38,11.55,11.04,11.04,1051200
20101020,11.05,11.12,10.99,11.01,845100
20101021,11.08,11.08,10.65,10.67,776400
20101022,10.75,10.84,10.52,10.65,613800
20101025,10.64,10.86,10.64,10.79,463500
20101026,10.78,11.21,10.66,11.21,1000200
20101027,11.2,11.2,10.91,11.13,358200
20101028,11.03,11.2,11,11.15,371700
20101029,11.21,11.24,10.66,10.69,1509900
20101101,10.79,11.13,10.69,11.1,576300
20101103,10.93,11.22,10.91,11.22,393600
20101104,11.27,11.54,11.25,11.45,456000
20101105,11.52,11.54,11.29,11.52,834000
20101108,11.6,11.6,11.27,11.42,303600
20101109,11.51,11.6,11.34,11.6,411300
20101110,11.59,11.59,11.33,11.51,378000
20101111,11.49,11.49,11.11,11.23,346800
20101112,11.28,11.32,11.07,11.32,256500
20101116,11.34,11.34,10.99,11.21,898200
20101117,11.13,11.38,11.02,11.37,222300
20101118,11.46,11.6,11.28,11.58,819000
20101119,11.43,11.63,11.43,11.63,533100
20101122,11.66,11.66,11.31,11.41,419400
20101123,11.36,11.54,11.27,11.35,596400
20101124,11.36,11.77,11.31,11.77,897300
20101125,11.82,12.05,11.64,11.77,360300
20101126,11.72,11.88,11.44,11.66,1156800
20101129,11.49,11.69,11.13,11.22,1493700
20101130,11.15,11.35,10.62,10.65,2640600
20101201,10.87,11.38,10.82,11.38,1043400
20101202,11.28,11.43,11.21,11.29,608400
20101203,11.34,11.65,11.04,11.65,409800
20101206,11.6,11.72,11.4,11.64,541200
20101207,11.82,11.82,11.45,11.53,279000
20101208,11.58,11.75,11.45,11.63,551100
20101209,11.54,11.8,11.47,11.55,535800
20101210,11.53,11.89,11.53,11.83,1056900
