<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130429,15.89,16.83,15.89,16.06,14324600
20130430,16.06,16.41,15.29,16.07,2470900
20130502,15.85,16.34,15.47,16.34,298600
20130503,16.34,16.66,16.15,16.66,1011000
20130506,16.69,16.87,16.5,16.75,176900
20130507,16.76,17.36,16.73,16.83,450900
20130508,16.87,17.16,16.76,16.87,496700
20130509,16.76,17.17,16.27,16.83,496000
20130510,16.61,16.89,16.07,16.69,170200
20130513,16.43,17.18,15.85,16.27,678000
20130514,16.34,16.34,15.68,16.06,911200
20130515,15.99,16.55,15.85,16.43,645300
20130516,16.45,16.97,15.96,16.76,779600
20130517,16.78,16.89,16.27,16.62,396200
20130520,16.55,16.74,16.2,16.34,307200
20130521,16.31,16.75,16.13,16.72,210600
20130522,16.5,17.82,16.5,17.44,517300
20130523,17.24,17.8,17.22,17.8,237300
20130524,17.67,18.15,17.61,17.95,291800
20130527,17.94,17.94,17.54,17.88,97200
20130528,17.89,17.94,17.61,17.7,166400
20130529,17.61,17.95,16.84,17.46,154700
20130531,17.48,17.48,17.06,17.39,188700
20130603,17.34,17.75,17.16,17.75,218800
20130604,17.57,17.73,17.35,17.46,497000
20130605,17.45,18.23,17.45,17.77,845300
20130606,17.66,18.08,17.5,17.88,523000
20130607,17.8,17.81,17.58,17.76,227600
20130610,17.55,17.88,17.39,17.39,437200
20130611,16.92,17.31,16.59,17.31,151500
20130612,17.2,17.38,16.94,17.11,61100
20130613,16.78,17.47,16.78,17.36,211600
20130614,17.7,17.81,17.13,17.57,57500
20130617,17.56,18.36,17.46,18.36,859000
20130618,18.36,18.79,18.19,18.51,190800
20130619,19,19,18.03,18.51,448500
20130620,17.98,18.59,17.61,18.54,372400
20130621,18.33,18.51,17.91,18.16,464600
20130624,17.71,18.02,17.25,17.32,628100
20130625,17.52,17.52,16.5,17.26,365600
20130626,17.27,17.33,16.82,17.01,251900
20130627,17,17.46,16.5,17.46,416800
20130628,17.22,17.24,16.8,17.11,490100
20130701,16.86,17.36,16.63,17.08,375700
20130702,16.83,17.01,16.62,16.62,426200
20130703,16.9,16.9,16.08,16.31,3219900
20130704,16.62,16.69,16.21,16.41,64100
20130705,16.47,16.9,15.7,16.76,373700
20130708,16.45,17.02,16.45,16.85,66800
20130710,16.85,17.38,16.76,16.76,194600
20130711,17.03,17.14,16.68,16.76,411400
20130712,16.59,16.97,16.1,16.34,562400
20130715,16.08,17.22,16.08,16.9,109300
20130716,17.06,17.06,16.83,16.9,78500
20130717,17.04,17.2,16.8,17.11,882800
20130718,17.02,17.51,16.9,17.22,707400
20130719,17.08,17.87,17.08,17.8,54400
20130722,17.67,19.42,17.67,19.41,55000
20130723,19.27,19.82,19.21,19.77,108900
20130724,19.73,19.73,19.17,19.42,236200
20130725,19.3,19.62,18.65,19.38,888200
20130726,19.22,19.71,19.09,19.29,142200
20130729,19.14,19.56,19,19,150000
20130730,19.19,19.61,19.06,19.59,422900
20130731,19.55,19.68,19.35,19.56,332900
20130801,19.9,20.46,19.56,19.76,399700
20130802,19.8,19.84,18.59,18.59,531800
20130805,18.58,18.75,17.79,17.79,799100
20130806,18.09,18.09,17.39,17.73,423400
20130807,18.01,18.02,16.97,17.11,1711700
20130808,17.26,17.26,16.41,17.04,2268400
20130809,17.59,18.57,17.33,18.32,215600
20130812,18.81,20.11,18.6,19.1,416600
20130813,19.13,19.45,18.76,19.13,217400
20130814,19.1,19.53,18.66,19.53,321500
20130815,19.12,19.41,19.09,19.15,194000
20130816,18.88,19.77,18.88,19.24,174500
20130819,18.88,19.24,18.88,19.08,189700
20130820,18.78,19.45,18.78,19.45,209200
20130821,19.15,19.9,19.15,19.38,170600
20130822,19.8,19.8,19.36,19.45,163200
20130823,19.7,20.14,19.32,20.11,15200
20130826,19.97,20.32,19.72,20.08,57500
20130827,20.08,20.08,19.27,19.68,176700
20130828,19.45,19.73,19.09,19.39,138300
20130829,19.27,19.64,18.91,19.07,166100
20130830,18.95,19.8,18.93,19.45,152400
20130902,19.36,19.87,19,19.2,162600
20130903,18.88,19.38,18.81,19.07,225300
20130904,18.88,19.39,18.56,18.61,543500
20130905,18.92,19.41,18.29,19.14,244200
20130906,19.1,20.56,18.9,20.04,326900
20130909,19.61,20.49,19.61,20.23,1203600
20130910,20.16,20.84,19.85,19.94,2853300
20130911,19.34,20.02,18.4,19.73,583700
20130912,19.33,19.63,18.98,19.45,741300
20130913,19.12,19.58,19.07,19.33,1219500
20130916,19.31,19.94,19.19,19.31,202900
20130917,19.02,19.7,19.02,19.44,409100
20130918,19.24,20.44,19.24,19.8,332600
20130919,19.68,19.95,19.27,19.7,251100
20130920,19.55,20.05,19.47,19.8,500200
20130923,19.87,19.87,19.38,19.38,765200
20130924,19.29,19.89,19.29,19.78,285500
20130925,20.16,20.44,19.31,19.6,115000
20130926,19.45,19.89,19.45,19.89,195800
20130927,19.68,19.8,19.51,19.59,289800
20130930,19.34,20.42,19.03,20.42,279300
20131001,20.04,20.06,19.34,19.45,245900
20131002,19.13,19.54,19.13,19.13,287300
20131003,19.18,19.73,18.78,19.12,480600
20131004,18.95,19.19,18.68,18.88,539600
20131007,18.85,19.38,18.43,18.88,143300
20131008,19.26,19.26,18.64,18.88,178500
20131009,18.88,19.41,18.88,19.38,948800
20131010,19.41,19.77,19.22,19.63,821400
20131011,19.69,20.11,19.54,20.05,565700
20131014,19.9,20.51,19.85,20.44,384700
20131015,20.55,20.93,20.16,20.26,597500
20131016,20.05,20.79,19.93,20.37,401400
20131017,20.1,20.36,20.04,20.33,261300
20131018,20.16,20.51,20.11,20.4,389200
20131021,20.25,20.51,20.06,20.45,231400
20131022,20.29,20.83,20.2,20.4,477000
20131023,20.51,20.86,20.02,20.51,302200
20131024,20.41,20.62,20.35,20.51,149700
20131025,20.4,21.01,20.17,20.51,192300
20131028,20.3,20.5,20.17,20.47,160600
20131029,20.47,20.51,20.31,20.51,90500
20131030,20.51,21.08,20.4,20.83,158200
20131031,20.72,20.86,20.55,20.79,1252900
20131101,20.86,21.54,20.86,21.32,1513400
20131104,21.43,21.89,21.05,21.11,1022600
20131105,20.91,22.02,20.91,21.75,1141400
20131106,21.92,22.27,21.44,22,1435800
20131107,22.11,22.72,21.8,22.56,437600
20131108,22.56,23.19,22.53,22.86,3237600
20131111,22.91,23.33,22.63,22.99,2249400
20131112,22.96,23.91,22.57,22.92,226600
20131113,22.92,23.16,22.58,23.13,155900
20131114,23.46,24.29,23.3,24.09,322800
20131118,24.2,24.47,23.28,23.86,487500
20131119,23.86,23.86,23.01,23.13,418400
20131121,22.92,23.86,22.92,23.61,1209800
20131122,23.62,23.69,23.05,23.27,4119300
20131125,23.34,23.34,23.1,23.13,194800
20131126,23.03,23.42,22.85,23.42,580400
20131127,23.42,23.69,23.13,23.52,583200
20131128,23.42,23.42,22.99,23.13,154900
20131129,23.24,23.48,22.99,23.16,396600
20131202,23.09,23.09,22.67,22.72,2675300
20131203,22.77,22.77,22,22.5,734600
20131204,22.39,23.13,22.04,22.86,665900
20131205,22.71,23.75,22.71,23.13,438700
20131206,22.97,23.47,22.09,22.63,433600
20131209,22.7,22.71,22.27,22.43,236900
20131210,22.53,23.16,22.48,23,355800
20131211,23.11,23.7,23,23.34,509500
20131212,23.35,23.5,22.28,23.01,334400
20131213,23.03,23.23,22.46,22.7,276300
20131216,22.43,22.91,22.27,22.5,301500
20131217,22.58,22.62,21.79,22.13,265900
20131218,22.26,22.95,22.26,22.73,328700
20131219,22.9,24.13,21.73,22.35,771300
20131220,22.31,22.82,21.67,22.07,256600
20131223,21.76,23.4,21.76,22.86,156500
20131226,22.66,22.99,22.14,22.41,331900
20131227,22.55,22.7,22.08,22.61,1797900
20131230,22.87,23.21,22.49,22.98,299400
20140102,22.92,23.86,22.8,23.34,930300
20140103,23.34,24.54,23.33,24.54,345200
20140106,24.22,24.29,23.69,23.98,1074300
20140107,23.84,24.16,23.79,23.98,171300
