<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,13.59,14.02,13.18,13.6,1549500
20100602,13.52,14.02,13.52,13.83,985000
20100604,13.77,13.86,13.34,13.34,781600
20100607,13.47,13.94,13.17,13.17,1398900
20100608,13.4,13.6,13.25,13.44,1113800
20100609,13.63,13.96,13.25,13.25,2028200
20100610,13.36,13.98,13.36,13.98,2797100
20100611,14.02,14.21,13.69,13.95,1386500
20100614,14.09,14.16,13.56,13.69,1220300
20100615,13.8,14.02,13.64,13.73,1272500
20100616,13.8,13.94,13.64,13.64,1424100
20100617,13.76,13.89,13.61,13.68,1590300
20100618,13.83,14.02,13.68,13.73,1284100
20100621,14.03,14.39,13.98,14.12,1582100
20100622,14.13,14.46,14.09,14.21,1837400
20100623,14.33,14.67,14.29,14.67,1970400
20100624,14.6,15.06,14.41,14.82,2128400
20100625,14.77,14.99,14.63,14.98,1063000
20100628,14.85,15.25,14.81,14.85,1500200
20100629,14.47,14.71,13.53,13.64,2812000
20100630,13.88,14.03,13.17,13.18,2674700
20100701,13.21,13.42,12.83,13.12,2157800
20100702,13.31,13.51,12.86,12.92,983200
20100705,12.98,13.12,12.86,12.91,366700
20100706,13.11,13.31,12.87,12.98,1744400
20100707,13.01,13.18,12.89,13.1,1747400
20100708,13.21,13.21,12.95,12.99,1583800
20100712,13.12,13.21,12.67,12.76,1880400
20100713,12.85,12.96,12.72,12.86,1810000
20100714,12.86,12.98,12.78,12.78,1102900
20100715,12.86,13.34,12.74,13.34,1767500
20100716,13.3,13.62,12.82,12.82,1939200
20100719,12.95,13.39,12.92,13.34,1512900
20100720,13.18,13.57,13.07,13.52,1616800
20100721,13.6,13.69,13.36,13.36,1427400
20100722,13.53,13.84,13.51,13.74,1392100
20100723,13.78,14.14,13.66,14.12,1134600
20100726,14.13,14.42,14.1,14.37,2304500
20100727,14.38,14.73,14.38,14.51,1698900
20100728,14.49,14.49,13.97,14.21,1190500
20100729,14.17,14.42,14.1,14.22,999800
20100730,14.16,14.55,14,14.55,1188700
20100802,14.55,15.07,14.55,14.83,865000
20100803,14.71,14.85,14.29,14.34,1165200
20100804,14.42,14.67,14.22,14.46,1440200
20100805,14.65,14.81,14.34,14.62,635300
20100806,14.64,14.78,14.53,14.77,430000
20100809,14.8,14.93,14.71,14.73,1127600
20100810,14.68,14.8,14.46,14.59,592800
20100811,14.49,14.49,13.95,14.04,1259800
20100812,14.01,14.25,14.01,14.08,765300
20100813,14.17,14.5,14.04,14.3,1073200
20100816,14.42,14.42,13.93,14.27,2182800
20100817,14.38,14.64,14.26,14.43,793700
20100818,14.35,14.56,14.26,14.53,544500
20100819,14.53,14.56,14.22,14.56,723500
20100820,14.43,14.7,14.34,14.5,898700
20100823,14.54,14.78,14.31,14.39,459200
20100824,14.25,14.34,13.81,13.83,1061800
20100825,13.82,13.82,13.51,13.62,551200
20100826,13.73,13.86,13.33,13.62,640000
20100827,13.75,14.52,13.6,14.25,1251200
20100830,14.25,14.46,13.73,13.73,1045500
20100831,13.73,14.1,13.73,13.96,613300
20100901,14.08,14.68,14.08,14.68,1391500
20100902,14.6,14.91,14.5,14.86,1666800
20100903,15.04,15.16,14.43,14.43,690800
20100906,14.6,14.6,14.17,14.2,479300
20100908,14.16,14.51,14.14,14.49,604300
20100909,14.46,14.69,14.35,14.45,389700
20100910,14.39,14.76,14.39,14.52,573200
20100913,14.61,14.91,14.6,14.65,804600
20100914,14.7,14.83,14.46,14.53,860200
20100915,14.43,14.65,14.43,14.65,393800
20100916,14.62,14.64,14.37,14.43,640000
20100917,14.46,14.67,14.2,14.45,642600
20100920,14.43,14.64,14.22,14.22,536300
20100921,14.3,14.34,14,14.04,1269700
20100922,14.06,14.3,13.89,14,1159800
20100923,13.94,14.21,13.9,13.97,1083700
20100924,14.11,14.18,13.75,13.88,987500
20100927,14.04,14.09,13.86,14.04,417300
20100928,13.96,14.3,13.92,14.3,557600
20100929,14.3,14.39,14.05,14.21,793500
20100930,14.11,14.36,13.76,14.04,1114000
20101001,14.05,14.05,13.82,13.99,807800
20101004,13.9,14.04,13.67,13.67,1219100
20101005,13.76,13.97,13.67,13.69,2165400
20101006,13.7,13.81,13.53,13.73,1056200
20101007,13.84,13.86,13.52,13.52,646300
20101008,13.54,13.61,13.46,13.58,820400
20101011,13.61,13.88,13.61,13.83,483700
20101013,13.9,13.93,13.47,13.47,1404100
20101014,13.57,13.57,13.29,13.3,1149100
20101015,13.42,13.43,13.12,13.2,832700
20101018,13.17,13.38,13.13,13.2,586900
20101019,13.11,13.15,12.99,13,970600
20101020,13.08,13.26,13,13,939700
20101021,13.12,13.76,13.01,13.76,2705000
20101022,13.75,13.81,13.23,13.34,741000
20101025,13.51,13.6,13.23,13.45,828700
20101026,13.47,13.88,13.4,13.88,1395000
20101027,13.75,13.94,13.61,13.77,906100
20101028,13.88,14.04,13.64,13.83,1469000
20101029,13.96,14.25,13.83,14.25,1257500
20101101,14.18,14.31,14.14,14.15,1254700
20101103,14.3,14.42,13.91,13.99,1382200
20101104,14.16,14.25,13.92,13.99,1861400
20101105,14.01,14.15,13.79,14.15,1031400
20101108,14.11,14.39,14.08,14.3,944000
20101109,14.34,14.5,14.18,14.18,743600
20101110,14.16,14.29,14,14.08,563100
20101111,14.17,14.17,13.7,13.82,591300
20101112,13.74,13.83,13.55,13.64,647200
20101116,13.64,13.65,13.22,13.38,953200
20101117,13.27,13.68,13.27,13.55,566600
20101118,13.74,13.82,13.5,13.51,772200
20101119,13.73,13.73,13.34,13.64,734300
20101122,13.69,13.73,13.26,13.29,587100
20101123,13.25,13.29,13.07,13.12,1000800
20101124,13.36,13.5,13.19,13.45,729600
20101125,13.34,13.55,13.29,13.33,756100
20101126,13.15,13.32,13.12,13.12,808000
20101129,13.13,13.29,13.04,13.26,732000
20101130,13.28,13.41,13.12,13.12,949500
20101201,13.2,13.71,13.2,13.47,1014000
20101202,13.56,13.77,13.47,13.53,920900
20101203,13.52,13.99,13.49,13.87,1361200
20101206,13.79,13.86,13.54,13.69,692700
20101207,13.74,13.82,13.6,13.69,632000
20101208,13.72,13.81,13.57,13.81,586700
20101209,13.73,13.85,13.62,13.73,301300
20101210,13.75,13.95,13.61,13.76,1029500
20101213,13.9,13.95,13.52,13.6,1021800
20101214,13.6,13.77,13.47,13.64,410500
20101215,13.51,13.6,13.34,13.6,1029900
20101216,13.61,13.76,13.22,13.48,1445700
20101217,13.36,13.46,13.15,13.21,1301800
20101220,13.25,13.25,13.04,13.07,399600
20101221,13.45,13.45,13.05,13.06,593500
20101222,13.03,13.24,12.64,12.92,1796200
20101223,12.85,13.06,12.79,13.02,445500
20101227,12.97,12.99,12.71,12.78,366600
20101228,12.8,13.01,12.69,12.78,382600
20101229,12.77,12.85,12.64,12.71,709500
20101230,13.01,13.33,12.81,13.29,550000
20110103,13.35,13.45,13.13,13.18,476000
20110104,13.17,13.37,13.08,13.37,500900
20110105,13.3,13.43,13.2,13.42,627800
20110106,13.32,13.45,13.13,13.39,1245400
20110107,13.32,13.4,13.2,13.2,425800
20110110,13.28,13.53,13.09,13.53,578400
20110111,13.57,13.57,13.3,13.3,851000
20110112,13.43,13.43,13.25,13.39,844300
20110113,13.43,13.43,13.07,13.09,1708600
20110114,13.07,13.14,13,13.05,1106000
20110117,13.06,13.15,13.02,13.15,431400
20110118,13.16,13.2,13.08,13.2,604800
20110119,13.25,13.31,13.02,13.12,569500
20110120,13.03,13.18,12.9,13.1,824600
20110121,13.12,13.35,13.04,13.33,979200
20110124,13.34,13.74,13.33,13.74,1145000
20110126,13.71,13.74,13.42,13.54,647300
20110127,13.54,13.61,13.34,13.37,1107400
20110128,13.36,13.52,13,13.09,978800
20110131,13.17,13.35,13.02,13.04,557700
20110201,13.25,13.25,13.04,13.21,227900
20110202,13.17,13.29,13.13,13.15,451700
20110203,13.16,13.22,12.87,12.98,486300
20110204,12.94,13.06,12.59,12.59,447300
20110207,12.65,12.86,12.43,12.51,467300
20110208,12.49,12.67,12.48,12.58,567300
20110209,12.59,12.61,12.28,12.32,406700
20110210,12.34,12.41,12.26,12.32,631900
20110211,12.29,12.58,12.29,12.53,828800
20110214,12.63,12.67,12.47,12.5,993100
20110215,12.51,12.71,12.39,12.46,976700
20110216,12.44,12.8,12.44,12.63,813900
20110217,12.72,12.8,12.62,12.69,501400
20110218,12.62,12.89,12.59,12.78,497200
20110221,12.84,12.84,12.62,12.68,329600
20110222,12.61,12.73,12.42,12.42,701000
20110223,12.53,12.56,12.05,12.14,985400
20110224,12.14,12.3,12.05,12.23,550100
20110225,12.27,12.54,12.27,12.5,866300
20110228,12.54,12.83,12.5,12.78,1229500
20110301,12.82,13.26,12.68,12.68,1899000
20110302,12.71,12.84,12.44,12.59,1049600
20110303,12.68,12.68,12.42,12.45,884700
20110304,12.51,12.66,12.36,12.46,419100
20110309,12.55,12.78,12.51,12.78,566000
20110310,12.7,12.7,12.37,12.39,407200
20110311,12.33,12.53,12.17,12.32,755500
20110314,12.23,12.59,12.19,12.5,668800
20110315,12.24,12.85,12.24,12.63,1494900
20110316,12.68,12.89,12.41,12.59,913500
