<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,5.93,6.15,5.8,6.15,846100
20100602,6.2,6.36,6.11,6.23,444500
20100604,6.02,6.27,6,6.17,337600
20100607,6.11,6.35,6.09,6.1,436800
20100608,6.07,6.18,5.98,6.06,279300
20100609,6.07,6.15,5.86,5.86,272000
20100610,5.98,6.15,5.93,6.05,1149000
20100611,5.99,6.19,5.98,6.19,241700
20100614,6.21,6.21,6.07,6.09,132300
20100615,6.15,6.21,6.06,6.19,154000
20100616,6.15,6.24,6.01,6.21,360300
20100617,6.15,6.2,6.04,6.15,167600
20100618,6.1,6.19,6.08,6.13,166400
20100621,6.19,6.19,5.97,5.98,270000
20100622,6.14,6.26,6.03,6.26,626000
20100623,6.24,6.29,6.12,6.27,397400
20100624,6.1,6.29,6.09,6.14,461500
20100625,6.06,6.27,6.06,6.21,128000
20100628,6.12,6.36,6.09,6.26,793000
20100629,6.11,6.39,6.11,6.23,1702600
20100630,6.17,6.31,6.15,6.23,3328400
20100701,6.15,6.32,6.07,6.28,420200
20100702,6.21,6.28,6.1,6.19,296100
20100705,6.12,6.34,6.11,6.24,467700
20100706,6.27,6.4,6.26,6.4,438800
20100707,6.4,6.56,6.27,6.53,277800
20100708,6.45,6.49,6.32,6.39,633300
20100712,6.39,6.47,6.27,6.32,239200
20100713,6.47,6.49,6.27,6.27,376200
20100714,6.27,6.36,6.15,6.28,3026400
20100715,6.36,6.37,6.16,6.29,597400
20100716,6.29,6.33,6.06,6.06,435700
20100719,6.06,6.21,6.06,6.07,116000
20100720,6.09,6.15,5.9,6.06,644100
20100721,6.13,6.13,5.98,5.99,146800
20100722,6.09,6.17,6.03,6.15,708000
20100723,6.03,6.15,6.03,6.08,241100
20100726,6.07,6.19,6.02,6.15,229100
20100727,6.21,6.21,6.07,6.09,621800
20100728,6.04,6.17,6.03,6.08,681100
20100729,6.2,6.2,6,6,277400
20100730,6.09,6.09,5.91,5.93,595700
20100802,6.02,6.06,5.97,6.01,557800
20100803,6.03,6.09,5.92,5.92,490700
20100804,6.01,6.13,5.95,6.1,533900
20100805,6.08,6.91,6.07,6.83,4063700
20100806,6.78,6.91,6.67,6.85,997900
20100809,6.91,6.95,6.62,6.69,609200
20100810,6.59,6.69,6.54,6.56,797600
20100811,6.47,6.6,6.43,6.51,399800
20100812,6.44,6.49,6.34,6.34,296100
20100813,6.33,6.33,6.06,6.26,336400
20100816,6.19,6.56,6.19,6.49,337900
20100817,6.49,6.66,6.36,6.36,361800
20100818,6.39,6.57,6.32,6.39,516900
20100819,6.35,6.42,6.19,6.27,378300
20100820,6.32,6.32,6.12,6.29,583700
20100823,6.32,6.39,6.2,6.23,220500
20100824,6.13,6.29,6.13,6.15,298200
20100825,6.08,6.27,5.98,6.03,605500
20100826,6.03,6.12,5.86,5.86,658700
20100827,5.98,6.01,5.88,5.95,426300
