<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,21.19,21.99,21.09,21.28,4586000
20100602,21.35,21.71,21.24,21.59,4521600
20100604,21.19,21.19,20.51,20.72,6818400
20100607,20.74,20.79,19.75,19.78,6967400
20100608,19.96,20.26,19.59,20.16,5716400
20100609,20.41,20.78,20.24,20.24,5715000
20100610,20.57,21.54,20.48,21.42,8299600
20100611,21.15,21.9,21.15,21.71,5419000
20100614,22,22.34,21.85,21.94,7211200
20100615,22.05,22.46,22.04,22.3,4608400
20100616,22.15,22.4,22.1,22.23,6457400
20100617,22.32,22.6,21.73,22.05,7448000
20100618,21.99,22.52,21.93,22.01,4841200
20100621,22.46,22.6,22.22,22.22,3329800
20100622,22.32,22.98,22.28,22.41,5414000
20100623,22.61,23.33,22.41,23.27,8858800
20100624,23.12,23.95,23.02,23.72,9885600
20100625,23.64,24.33,23.37,24.09,5761400
20100628,24.16,24.56,24.16,24.33,4519600
20100629,23.74,23.83,23.22,23.45,9261400
20100630,24.04,24.37,22.7,22.7,17310400
20100701,22.84,23.28,22.23,23.28,11320200
20100702,23.28,23.74,23.15,23.51,5187200
20100705,23.51,23.76,23.34,23.48,3967800
20100706,23.96,24.26,23.69,24.11,7659600
20100707,24.2,24.67,23.81,24.63,7361600
20100708,24.77,25.11,24.67,24.97,6789000
20100712,24.96,25.21,24.36,24.55,6090000
20100713,24.81,24.86,23.69,23.78,10216600
20100714,23.55,23.55,22.91,23.05,10446000
20100715,23.02,23.02,22.57,22.79,6139400
20100716,22.84,22.85,22.23,22.32,4974000
20100719,22.32,23.06,22.32,22.99,3994400
20100720,22.84,23.96,22.72,23.82,7560800
20100721,24.24,24.68,24.24,24.45,8451200
20100722,24.71,25.09,24.71,24.77,5479600
20100723,24.77,25.41,24.46,25.13,3975600
20100726,25.14,25.36,24.96,25.13,2947600
20100727,25.3,25.48,25.11,25.39,6381600
20100728,25.24,25.38,24.85,25,3512400
20100729,25.23,25.7,24.26,24.49,9120000
20100730,23.83,23.99,23.29,23.35,16346200
20100802,23.72,23.82,23.47,23.55,7248800
20100803,23.45,24.14,23.36,23.69,6715800
20100804,23.83,24.57,23.75,24.47,6863000
20100805,24.44,24.63,23.76,24.21,5324200
20100806,23.89,24.11,23.52,23.83,4569200
20100809,24.08,24.14,23.6,23.66,2739400
20100810,23.36,23.55,23.17,23.36,4920800
20100811,23,23.05,22.51,22.72,5773200
20100812,22.42,23.13,22.42,23.13,5648400
20100813,23.21,23.3,22.63,22.63,7152200
20100816,22.74,22.79,22.47,22.56,5391800
20100817,22.79,23.11,22.68,22.79,5161800
20100818,22.89,22.97,22.3,22.59,8452600
20100819,22.51,22.81,22.16,22.21,6307200
20100820,22.13,22.13,21.75,21.8,6009000
20100823,22.01,22.18,21.8,21.89,3799200
20100824,21.62,22.06,21.34,21.89,6971200
20100825,21.73,22.11,21.42,21.42,8322200
20100826,21.51,21.53,20.69,20.72,9885200
20100827,20.92,21.25,20.58,21.25,6091600
20100830,21.21,21.21,20.72,20.76,3609400
20100831,20.76,21.07,20.54,20.78,4610400
20100901,20.98,21.59,20.97,21.4,6059200
20100902,21.38,21.49,20.93,21.16,5791200
20100903,21.56,21.6,20.79,21,6388400
20100906,21.12,21.17,20.9,21.05,1300400
20100908,20.91,21.5,20.91,21.31,7774200
20100909,21.52,21.55,21.23,21.36,3639000
20100910,21.38,21.42,21.02,21.06,3493200
20100913,21.33,21.42,21.24,21.24,5614400
20100914,21.14,21.21,20.78,20.86,9499800
20100915,20.7,20.84,20.61,20.69,6867600
20100916,20.72,21.05,20.59,20.93,9860200
20100917,20.98,21.11,20.62,20.62,5352400
20100920,20.69,21.08,20.68,21.05,5133400
20100921,21,21.46,20.88,21.4,7055400
20100922,21.33,21.64,21.23,21.42,7223600
