<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,20.98,21.59,20.93,21.47,204200
20100602,22.14,22.69,21.59,22.69,240500
20100604,21.7,22.7,21.7,22.63,145000
20100607,22.7,23.71,22.57,23.55,245900
20100608,23.25,23.55,22.82,22.82,174900
20100609,22.88,23.11,22.23,23.11,118500
20100610,22.95,24.17,22.87,23.8,155500
20100611,23.27,24.04,23.13,24.04,116800
20100614,23.97,24.15,23.68,24.15,162200
20100615,24.04,24.04,23.49,23.55,72300
20100616,23.62,23.62,23.14,23.14,119600
20100617,23.14,23.43,23,23.43,68200
20100618,23.31,23.37,22.89,22.89,164900
20100621,23.38,23.49,22.55,22.79,159800
20100622,23.13,23.49,22.88,22.95,108000
20100623,22.72,23.49,22.71,23.11,82200
20100624,22.71,22.95,22.41,22.45,124000
20100625,22.45,23.08,22.39,22.64,86800
20100628,22.45,22.71,22.28,22.28,49300
20100629,22.28,22.51,21.78,21.92,217500
20100630,21.7,22.73,21.45,22.14,179500
20100701,22.7,22.7,21.96,22.16,254600
20100702,22.16,22.95,22.16,22.87,80700
20100705,22.85,22.85,22.51,22.63,60100
20100706,22.42,23.16,22.42,22.84,217400
20100707,22.85,23.06,22.6,22.82,201200
20100708,22.9,23.18,22.44,22.97,85800
20100712,22.95,23,22.63,22.63,85900
20100713,22.54,22.92,22.54,22.76,52700
20100714,22.54,23,22.51,23,63600
20100715,22.87,23.13,22.68,23.01,71100
20100716,23.01,23.03,22.76,22.79,51300
20100719,22.98,23.11,22.82,23.06,33000
20100720,22.76,23.57,22.74,23.31,113500
20100721,23.37,23.43,22.82,22.82,105800
20100722,22.98,23.38,22.74,23.04,80900
20100723,22.9,23.22,22.78,22.86,73200
20100726,23.03,23.27,22.79,23.25,38600
20100727,23.28,23.31,22.71,22.76,184600
20100728,22.98,23.35,22.76,23.34,166000
20100729,23.74,23.74,22.89,23.28,116200
20100730,23.15,23.87,23,23.26,247600
20100802,23.65,23.83,22.89,23.07,110000
20100803,23.08,23.43,23.08,23.1,93500
20100804,23.1,23.74,23.1,23.65,157200
20100805,23.33,23.88,23.33,23.88,102300
20100806,23.83,23.91,23.62,23.78,151500
