<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,5.57,5.57,5.44,5.47,1706120
20100602,5.56,5.56,5.5,5.52,121160
20100604,5.5,5.54,5.47,5.5,2019940
20100607,5.5,5.54,5.46,5.5,582400
20100608,5.48,5.53,5.33,5.37,524940
20100609,5.49,5.81,5.46,5.51,1541280
20100610,5.65,5.65,5.54,5.54,250640
20100611,5.52,5.54,5.47,5.51,331760
20100614,5.57,5.6,5.5,5.53,192660
20100615,5.5,5.83,5.48,5.83,537420
20100616,5.67,5.75,5.67,5.75,3369600
20100617,5.74,5.81,5.61,5.7,228540
20100618,5.7,5.76,5.67,5.7,187720
20100621,5.71,5.76,5.64,5.67,475020
20100622,5.65,5.67,5.62,5.64,320060
20100623,5.64,5.7,5.58,5.58,261300
20100624,5.58,5.63,5.43,5.47,490100
20100625,5.47,5.65,5.46,5.57,362180
20100628,5.59,5.62,5.49,5.54,260780
20100629,5.48,5.6,5.43,5.59,339820
20100630,5.5,5.52,5.42,5.46,768560
20100701,5.43,5.74,5.43,5.65,997360
20100702,5.7,5.85,5.56,5.7,466960
20100705,5.66,5.67,5.58,5.62,229580
20100706,5.62,5.75,5.51,5.53,886600
20100707,5.56,5.62,5.5,5.52,529100
20100708,5.57,5.57,5.44,5.46,1317420
20100712,5.49,5.49,5.34,5.36,602160
20100713,5.41,5.6,5.41,5.59,413920
20100714,5.56,5.61,5.5,5.51,452140
20100715,5.55,5.68,5.54,5.65,364520
20100716,5.61,5.64,5.54,5.57,490620
20100719,5.59,5.61,5.47,5.54,603460
20100720,5.53,5.58,5.49,5.54,260520
20100721,5.56,5.62,5.56,5.59,151320
20100722,5.58,5.72,5.58,5.69,427960
20100723,5.62,5.72,5.59,5.62,115440
20100726,5.62,5.68,5.62,5.65,333060
20100727,5.64,5.79,5.63,5.77,753480
20100728,5.72,5.85,5.67,5.82,757640
20100729,5.76,5.88,5.75,5.88,559780
20100730,5.8,6,5.76,6,601380
20100802,6.04,6.08,5.95,6.02,764140
20100803,6.01,6.13,5.97,6.13,679380
20100804,6.12,6.17,5.96,6.12,1381120
20100805,6.03,6.12,5.97,6.07,569140
20100806,6.15,6.15,6,6.02,219180
20100809,6.02,6.02,5.93,5.93,76440
20100810,5.92,5.92,5.71,5.82,929240
20100811,5.79,5.85,5.77,5.84,361400
20100812,5.79,5.88,5.79,5.82,237380
20100813,5.82,6.06,5.82,5.94,287560
20100816,5.92,6.18,5.92,5.97,481780
20100817,5.99,5.99,5.89,5.92,623740
20100818,5.9,5.9,5.74,5.8,569920
20100819,5.81,5.81,5.73,5.75,215540
20100820,5.76,5.76,5.65,5.7,215020
20100823,5.75,5.92,5.72,5.87,980200
20100824,5.91,5.91,5.67,5.75,199420
20100825,5.73,5.82,5.69,5.72,302900
20100826,5.69,5.82,5.62,5.66,493220
20100827,5.68,5.78,5.67,5.72,734240
20100830,5.72,5.79,5.67,5.67,274300
20100831,5.67,5.73,5.59,5.59,467480
20100901,5.67,5.74,5.65,5.66,629980
20100902,5.68,5.68,5.59,5.64,517400
20100903,5.69,5.74,5.58,5.64,603980
20100906,5.69,5.69,5.6,5.62,432380
20100908,5.61,5.67,5.59,5.64,497120
20100909,5.65,5.7,5.6,5.65,645320
20100910,5.66,5.66,5.61,5.63,410540
20100913,5.65,5.74,5.61,5.71,921180
20100914,5.74,5.74,5.66,5.68,210600
20100915,5.63,5.68,5.62,5.64,563940
