<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,25.34,25.73,25.22,25.25,616500
20100602,25.14,26.11,25.14,25.76,517500
20100604,25.27,25.62,24.46,24.8,1099400
20100607,24.77,25.12,23.46,23.99,1163400
20100608,24.23,24.38,23.79,24.21,923400
20100609,24.34,25.12,24.34,24.42,1180700
20100610,24.53,25.2,24.52,25.03,886600
20100611,24.83,25.27,24.69,24.91,772200
20100614,25.25,25.55,24.91,24.91,458200
20100615,25.12,25.68,24.92,25.41,471700
20100616,25.25,25.85,25.15,25.17,1137900
20100617,25.27,25.54,24.65,25.01,1310300
20100618,24.94,25.06,24.39,24.88,928200
20100621,25.48,25.78,25.37,25.56,801100
20100622,25.41,25.89,25.34,25.62,933100
20100623,25.65,25.9,25.18,25.9,538700
20100624,25.65,25.77,25.11,25.11,1096500
20100625,25.12,25.53,25.06,25.47,471100
20100628,25.47,25.62,24.6,25.2,447000
20100629,24.42,24.42,23.4,23.54,1165500
20100630,23.54,23.75,22.95,23.08,576200
20100701,23.06,23.3,22.61,22.82,1588800
20100702,23.07,23.35,22.61,22.72,550200
20100705,22.81,22.87,22.21,22.3,658400
20100706,22.82,23.18,22.39,22.94,1967900
20100707,23.04,23.3,22.63,23.23,1192800
20100708,23.37,23.58,22.87,23.23,1210500
20100712,23.34,23.51,22.82,23.08,1369900
20100713,23.23,23.39,22.92,23.3,1139800
20100714,23.08,23.26,22.84,23.18,1039300
20100715,23.14,23.14,22.45,22.66,724700
20100716,22.51,22.7,22.38,22.38,960100
20100719,22.56,22.8,22.38,22.8,813100
20100720,22.66,24.32,22.62,24.32,1197900
20100721,24.44,25.03,24.44,24.73,1011200
20100722,25.2,25.48,24.97,24.99,905800
20100723,25.26,25.62,24.76,25.62,940500
20100726,25.46,25.76,25.1,25.24,1076700
20100727,25.47,25.62,25.06,25.46,495500
20100728,25.23,26.03,25.21,26.03,758600
20100729,25.96,26.32,25.91,26.15,768200
20100730,26.15,26.29,25.76,25.98,643500
20100802,26.24,27,26.24,27,556900
20100803,26.89,27.45,26.75,27.45,712500
20100804,27.34,27.79,26.89,27.45,812300
20100805,27.1,27.72,27.1,27.65,693700
20100806,27.45,27.77,27.24,27.39,495100
20100809,27.65,27.8,27.47,27.73,435700
20100810,27.36,27.44,27.1,27.4,652100
20100811,26.87,27.31,26.28,26.28,468400
20100812,26.03,26.53,26,26.39,1074200
20100813,26.39,26.86,26.12,26.62,504000
20100816,26.75,27.27,26.63,27.27,276500
20100817,27.34,27.59,27.09,27.59,497900
20100818,27.58,27.83,27.21,27.83,1057700
20100819,27.76,28.02,27.11,27.17,678300
20100820,27.1,27.44,26.79,27.03,264700
20100823,27.22,27.22,26.2,26.36,891200
20100824,25.9,26.19,25.44,25.51,639300
20100825,25.37,25.54,24.86,25.11,908000
20100826,25.46,25.76,24.71,25.27,722400
20100827,25.35,25.96,25.16,25.8,1002600
20100830,25.72,25.85,25.2,25.2,678200
20100831,25.25,25.76,25.25,25.76,668800
20100901,26.1,27.06,25.75,27.05,829600
20100902,26.88,27.22,26.46,27.22,1086200
20100903,27.36,27.52,26.46,26.46,843500
20100906,26.67,26.72,26.09,26.48,216400
20100908,26.32,26.32,25.77,25.96,481600
20100909,26.15,26.32,25.87,25.97,582200
20100910,26.15,26.15,25.7,25.95,352800
20100913,26.32,26.82,26.15,26.75,845000
20100914,26.7,26.89,26.37,26.75,478200
20100915,26.4,26.67,26.11,26.53,1348800
20100916,26.32,26.46,26.06,26.06,435800
20100917,26.04,26.25,25.74,25.74,454700
20100920,25.96,26.53,25.77,26.53,565100
20100921,26.29,26.84,26.25,26.7,744900
20100922,26.51,27.36,26.41,27.36,760000
20100923,27.22,27.91,27.03,27.51,1182200
20100924,27.8,28.46,27.59,28.17,1260500
20100927,28.15,28.79,27.98,28.79,781500
20100928,28.68,28.93,28.36,28.65,785900
20100929,28.65,28.86,28.44,28.48,994600
