<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,8.04,8.34,7.97,8.27,1460400
20100602,8.34,8.47,8.2,8.47,1089800
20100604,8.35,8.42,8.21,8.27,1191300
20100607,8.23,8.5,8.23,8.28,1041500
20100608,8.3,8.65,8.3,8.61,1135700
20100609,8.58,8.67,8.54,8.55,1010500
20100610,8.55,8.72,8.55,8.72,1031700
20100611,8.61,8.88,8.61,8.88,1191400
20100614,9.15,9.15,8.86,9.11,1005600
20100615,9.08,9.18,9.03,9.15,605000
20100616,9.09,9.36,8.96,9.36,1414300
20100617,9.32,9.46,9.15,9.15,2118900
20100618,9.12,9.41,9.12,9.41,2511100
20100621,9.34,9.56,9.34,9.48,1057300
20100622,9.4,9.82,9.31,9.65,1746900
20100623,9.71,9.72,9.5,9.62,715600
20100624,9.53,9.65,9.49,9.56,934500
20100625,9.51,9.84,9.51,9.78,654400
20100628,9.75,9.76,9.59,9.6,315600
20100629,9.59,9.7,9.29,9.49,1062800
20100630,9.39,9.74,9.3,9.51,2127300
20100701,9.49,9.98,9.3,9.84,1852900
20100702,9.85,10.06,9.72,9.94,685500
20100705,9.86,10.01,9.76,9.92,527000
20100706,10.03,10.16,9.97,10.09,1018000
20100707,10.13,10.19,9.89,10.02,1301200
20100708,10.02,10.08,9.91,10.03,985700
20100712,10.03,10.19,9.91,10.06,1469700
20100713,10.16,10.23,10.06,10.17,1204200
20100714,10.08,10.25,9.98,10.13,782200
20100715,10.16,10.26,9.92,10.25,1031800
20100716,10.24,10.24,9.92,10,807000
20100719,10.1,10.1,9.77,9.84,1398700
20100720,9.84,9.87,9.56,9.76,2637000
20100721,9.87,9.94,9.73,9.83,755400
20100722,9.92,10.16,9.89,10.06,901300
20100723,10.04,10.15,9.88,10.07,1047600
20100726,9.98,10.24,9.98,10.19,1527900
20100727,10.24,10.32,10.1,10.28,1123800
20100728,10.25,10.32,10.15,10.25,745400
20100729,10.25,10.29,9.87,9.88,1851000
20100730,9.88,10.1,9.81,10.03,1045400
20100802,10.24,10.25,10.02,10.17,754000
20100803,10.22,10.32,10.09,10.22,848400
20100804,10.32,10.63,10.12,10.61,1489600
20100805,10.7,10.74,10.48,10.5,757700
20100806,10.44,10.6,10.29,10.44,1170300
20100809,10.58,10.58,10.3,10.3,410700
20100810,10.23,10.29,9.3,10.25,1472100
20100811,10.06,10.32,9.94,10.19,1498400
20100812,10.1,10.32,10.05,10.25,1244500
20100813,10.19,10.47,10.17,10.34,1108700
20100816,10.23,10.84,10.14,10.69,1107900
20100817,10.76,10.94,10.56,10.94,1245100
20100818,10.95,11.11,10.78,11.02,1935800
20100819,11.08,11.55,10.94,11.45,2812200
20100820,11.39,11.64,11.08,11.23,1886100
20100823,11.19,11.37,10.82,10.89,1110600
20100824,10.85,11.22,10.85,11.12,1006200
20100825,11.01,11.69,10.9,11.61,4215000
20100826,11.51,12.19,11.42,11.86,3612900
20100827,11.96,12.2,11.82,11.96,2801200
20100830,11.85,12.05,11.71,11.71,922500
20100831,11.71,11.89,11.67,11.75,1415700
20100901,11.77,12.09,11.77,12.02,2128300
20100902,12.01,12.12,11.71,11.71,861400
20100903,11.9,11.93,11.44,11.49,759100
20100906,11.58,11.71,11.41,11.46,418700
20100908,11.44,11.53,11.11,11.27,1462000
20100909,11.3,11.69,11.23,11.69,947500
20100910,11.67,11.77,11.42,11.49,641300
20100913,11.58,11.68,11.49,11.63,838400
20100914,11.61,11.83,11.54,11.83,687800
20100915,11.77,11.96,11.74,11.88,896700
20100916,11.86,12.09,11.78,11.96,792600
20100917,11.96,12.04,11.69,11.96,1205900
20100920,11.9,12.06,11.86,11.94,1580600
20100921,11.89,12.03,11.64,11.74,720400
20100922,11.8,11.99,11.66,11.96,1138400
20100923,11.87,12.48,11.83,12.38,1637400
20100924,12.49,12.55,12.19,12.37,1088700
20100927,12.3,12.59,12.27,12.45,938300
20100928,12.42,12.59,12.42,12.53,581700
20100929,12.52,12.75,12.46,12.61,1027900
20100930,12.71,13.04,12.68,13.04,2269100
20101001,13.02,13.46,12.9,13.28,1945500
20101004,13.29,13.59,13.29,13.46,2023300
20101005,13.62,13.73,13.49,13.66,3085700
20101006,13.62,13.62,13.26,13.28,1373700
20101007,13.31,13.35,12.87,12.94,1520100
20101008,13.04,13.12,12.86,13.05,1411200
20101011,13.16,13.43,13.15,13.43,689800
20101013,13.47,13.73,13.38,13.59,1933400
20101014,13.73,13.73,13.1,13.32,1179200
20101015,13.3,13.37,12.99,13.37,1159200
20101018,13.36,13.44,13.14,13.32,589900
20101019,12.97,13.15,12.67,12.71,1224800
20101020,12.75,13.33,12.69,13.33,1151100
20101021,13.39,13.58,13.32,13.35,1246900
20101022,13.43,13.55,12.92,13.17,1037000
20101025,13.21,13.39,13.02,13.39,838500
20101026,13.13,13.41,13.03,13.28,982700
20101027,13.17,13.32,13.06,13.32,831100
20101028,13.38,13.38,12.98,13.19,1250300
20101029,13.23,13.33,13.03,13.24,1430400
20101101,13.22,13.32,13.11,13.28,878900
20101103,13.28,13.44,13.1,13.3,1103600
20101104,13.44,13.74,13.26,13.74,1942800
20101105,13.74,13.76,13.47,13.51,1478500
20101108,13.47,13.62,13.32,13.51,378200
20101109,13.56,13.65,13.46,13.63,744700
20101110,13.49,13.74,13.22,13.63,1431500
20101111,13.44,13.55,13.22,13.44,1678400
20101112,13.29,13.58,13.22,13.44,767000
20101116,13.37,13.44,13.15,13.42,1295400
20101117,13.38,13.66,13.18,13.66,1298700
20101118,13.7,14.04,13.51,14.04,2693200
20101119,14.04,14.23,13.92,14.07,2130200
20101122,14.08,14.08,13.76,13.83,1660100
20101123,13.53,13.64,12.91,13.36,1962000
20101124,13.38,14.12,13.37,14.12,2572000
20101125,14.04,14.14,13.82,14.12,435400
20101126,13.94,14.11,13.79,13.89,985000
20101129,13.79,14.02,13.57,13.7,1191400
20101130,13.82,13.89,13.59,13.81,1055100
20101201,14.04,14.14,13.96,14.01,998500
20101202,14.03,14.12,13.83,14.02,1229300
20101203,14.04,14.07,13.79,14,818000
20101206,14.02,14.09,13.79,14.05,585900
20101207,14.08,14.23,13.8,13.8,1447800
20101208,13.82,13.95,13.51,13.92,780300
20101209,13.85,14.01,13.73,13.74,730000
20101210,13.88,13.97,13.66,13.97,572100
20101213,14.04,14.04,13.93,14.01,764700
20101214,14.01,14.06,13.81,14.01,564300
20101215,13.97,14.22,13.9,14.16,3188400
20101216,14.27,14.73,14.27,14.64,3400700
20101217,14.58,15.21,14.52,15.06,2649100
20101220,15.05,15.34,14.61,15.12,2111700
20101221,15.18,15.33,14.98,15.31,1235500
20101222,15.19,15.38,14.96,15.08,1004800
20101223,15.14,15.29,14.96,15.29,332400
20101227,15.12,15.72,15.12,15.64,1023100
20101228,15.49,15.71,15.4,15.49,759800
20101229,15.49,15.76,15.26,15.64,607800
20101230,15.64,15.68,15.37,15.46,1060200
20110103,15.59,15.64,15.32,15.37,819800
20110104,15.3,15.69,15.3,15.67,1366400
20110105,15.56,16.05,15.55,15.89,1389800
20110106,15.91,16.04,15.48,15.7,1620000
20110107,15.7,15.83,15.26,15.26,694100
20110110,15.37,15.43,15.2,15.33,549000
20110111,15.34,15.4,15.02,15.05,917900
20110112,15.15,15.15,14.83,15,1141100
20110113,15.01,15.14,14.55,14.68,1488300
20110114,14.64,14.81,14.23,14.65,1505500
20110117,14.65,15.26,14.57,15.18,1639500
20110118,15.18,15.41,15.17,15.4,2292000
20110119,15.4,15.71,15.4,15.45,2019500
20110120,15.49,15.86,15.3,15.64,1773000
20110121,15.64,15.77,15.34,15.41,1396500
20110124,15.41,15.79,15.08,15.72,943400
20110126,15.72,16.38,15.57,16.09,3243600
20110127,16.06,16.44,15.79,15.83,2304700
20110128,15.75,16.05,15.41,15.45,1292000
20110131,15.41,16.08,15.35,15.92,1752500
20110201,16.02,16.06,15.61,15.9,590900
20110202,15.7,16.31,15.64,15.74,1624400
20110203,15.8,15.94,15.44,15.87,1169000
20110204,15.72,15.84,15.27,15.28,896900
20110207,15.3,15.83,15.3,15.79,1074400
20110208,15.73,16.09,15.53,15.72,742200
20110209,15.6,15.74,15.24,15.27,704600
20110210,15.18,15.41,14.97,15.34,725100
20110211,15.26,15.56,15.02,15.41,1431800
20110214,15.37,15.46,15.1,15.41,1092900
20110215,15.26,15.39,15.09,15.18,857900
20110216,15.27,15.56,15.07,15.56,940800
20110217,15.45,15.56,15.12,15.23,648100
20110218,15.18,15.25,14.74,15.15,2157400
20110221,15.1,15.13,14.85,15.02,675700
20110222,14.8,14.83,14.23,14.71,2754300
20110223,14.77,14.99,14.36,14.65,2368300
20110224,14.54,15.08,14.51,14.96,1333500
20110225,15.15,15.18,14.87,15.18,1167300
20110228,15.02,15.4,15.02,15.4,1026500
20110301,15.37,15.45,15.11,15.27,841800
20110302,15.24,15.65,15.07,15.65,1133500
20110303,15.81,15.92,15.6,15.86,1551700
20110304,15.86,15.92,15.71,15.9,532100
20110309,15.83,16.13,15.66,16.13,719600
20110310,16.09,16.19,15.92,16.11,1544600
20110311,16.09,16.09,15.7,15.94,3074800
20110314,15.79,16.09,15.64,15.99,1271900
20110315,15.58,15.93,15.28,15.87,1050700
20110316,15.94,16.16,15.24,15.47,2081400
20110317,15.72,15.88,15.3,15.52,1278500
20110318,15.68,15.97,15.64,15.64,1950600
20110321,15.93,16.02,15.56,15.75,1141200
20110322,15.75,15.89,15.56,15.58,882900
20110323,15.5,15.79,15.34,15.56,1169600
20110324,15.54,15.64,15.3,15.51,442200
20110325,15.55,15.79,15.42,15.62,912500
20110328,15.63,15.8,15.43,15.56,501600
20110329,15.46,15.98,15.44,15.83,862900
20110330,15.75,16.06,15.64,16,973400
20110331,16.06,16.43,15.79,16.43,1556700
20110401,16.55,17.22,16.51,16.89,1818900
20110404,16.94,17.31,16.91,17.29,1170700
20110405,17.29,17.53,16.94,17.19,1197900
20110406,17.08,17.31,16.7,16.85,835100
20110407,16.9,16.9,16.52,16.69,657800
20110408,16.75,17.19,16.44,16.94,1555800
20110411,17.01,17.31,16.82,17.16,709700
20110412,16.97,17.23,16.74,16.82,1111200
20110413,17,17.08,16.68,16.88,554400
20110414,16.88,17.07,16.68,16.83,479100
20110415,16.69,17,16.47,16.82,603300
20110418,16.76,16.95,16.27,16.55,1078400
20110419,16.66,16.66,16.41,16.59,689100
20110420,16.66,16.88,16.57,16.82,1010100
20110425,16.99,17.34,16.81,17.26,1738500
20110426,17.31,17.54,17.18,17.54,1089800
20110427,17.57,17.91,17.4,17.61,1634200
20110428,17.61,17.67,17.24,17.31,1381600
20110429,17.46,17.61,17.27,17.39,2261500
20110502,17.81,17.81,16.68,16.78,1598500
20110503,16.78,16.79,16.31,16.35,1474700
20110504,16.43,16.69,16.04,16.39,2295300
20110505,16.21,16.73,15.93,16.07,1045900
20110506,16.43,17.24,16.23,17.14,1647200
20110509,17.16,17.51,16.63,17.4,1166600
20110510,17.51,17.79,17.28,17.59,1025600
20110511,17.54,17.7,17.16,17.23,1440600
20110512,17.06,18.12,17.06,17.92,3008800
20110513,18.04,18.26,17.62,17.69,1671900
20110516,17.58,18.12,17.31,17.57,772900
20110517,17.49,18.04,17.37,18.04,786200
20110518,17.92,18.41,17.88,18.32,1736900
20110519,18.44,18.83,18.06,18.63,1649500
20110520,18.48,18.83,18.36,18.7,1557900
20110523,18.29,18.66,18.29,18.36,869400
20110524,18.52,18.67,18.17,18.21,1056100
20110525,18.18,18.37,18.03,18.36,766600
20110526,18.25,18.68,18.11,18.44,862800
20110527,18.51,18.75,18.48,18.59,744200
20110530,18.67,18.67,18.53,18.67,289200
20110531,18.75,19.52,18.56,19.46,1638500
20110601,19.46,19.6,18.88,18.95,1217000
20110602,19,19.48,18.87,19.24,1064600
20110603,19.24,19.66,18.99,19.56,1303900
20110606,19.55,19.74,19.33,19.35,1369000
20110607,19.39,19.7,19.34,19.7,1127700
20110608,19.56,19.68,19.27,19.46,987900
20110609,19.46,19.52,18.88,19.04,1083700
20110610,19.11,19.14,18.17,18.41,2399400
20110613,18.45,18.85,18.01,18.16,1437000
20110614,18.36,18.5,18.17,18.28,1609100
20110615,18.28,18.28,17.73,17.91,1712800
20110616,17.91,18.26,17.61,17.73,1337800
20110617,18,18.16,17.06,17.06,1382900
20110620,17.09,17.26,16.6,16.78,1813800
20110621,16.92,17.1,16.63,17.06,1348200
20110622,17.06,17.7,16.96,17.7,1768100
20110624,17.77,17.96,17.21,17.29,1097500
20110627,17.4,17.92,16.99,17.75,1478600
20110628,17.8,17.94,17.48,17.69,784500
20110629,17.73,17.88,17.52,17.86,781000
20110630,17.89,17.92,17.3,17.56,2444800
20110701,17.59,17.77,17.11,17.64,840900
20110704,17.73,17.73,17.28,17.46,400800
20110705,17.35,17.61,17.1,17.26,1012300
20110706,17.09,17.34,16.99,16.99,1148700
20110707,17.02,17.25,16.65,16.66,1393300
20110708,16.55,16.55,15.98,16.07,1658000
20110711,15.86,16.27,15.62,16.15,1285800
20110712,16.2,16.43,15.86,15.88,1186900
20110713,15.95,16.64,15.69,16.51,1929400
20110714,16.52,16.92,16.32,16.47,1161500
20110715,16.46,16.89,16.19,16.55,645000
20110718,16.4,16.67,16.17,16.43,818800
20110719,16.43,16.66,16.39,16.65,505200
20110720,16.66,16.84,16.55,16.77,686100
20110721,16.69,17.02,16.61,16.61,756700
20110722,16.56,16.72,16.15,16.15,671000
20110725,16.06,16.06,15.68,15.68,1352400
20110726,15.68,15.69,15.05,15.13,1949400
