<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,8.69,9.14,8.67,8.92,19232100
20100602,8.88,9.01,8.85,8.96,11414100
20100604,8.88,8.98,8.75,8.83,9497600
20100607,8.88,8.93,8.79,8.83,7468300
20100608,8.82,8.94,8.81,8.92,13364500
20100609,8.95,9.02,8.81,8.83,11775000
20100610,8.92,9.02,8.92,9.01,8409200
20100611,9,9.1,8.92,9.02,7500400
20100614,9.1,9.13,8.96,8.96,6964200
20100615,8.99,9.14,8.96,9.03,6727800
20100616,9.01,9.14,8.97,9.08,12897800
20100617,9.09,9.25,9.01,9.21,14235200
20100618,9.21,9.4,9.17,9.18,10062700
20100621,9.33,9.43,9.19,9.2,9356100
20100622,9.19,9.41,9.04,9.11,13644900
20100623,9.19,9.44,9.09,9.44,12556200
20100624,9.37,9.47,9.22,9.31,8577400
20100625,9.28,9.58,9.28,9.58,6466100
20100628,9.6,9.6,9.33,9.33,5118600
20100629,9.22,9.22,8.88,8.94,13476300
20100630,8.91,9.09,8.73,8.73,10089100
20100701,8.91,8.91,8.31,8.54,19847300
20100702,8.55,8.62,8.31,8.46,8906700
20100705,8.48,8.54,8.31,8.35,4716900
20100706,8.5,8.7,8.24,8.37,16001400
20100707,8.43,8.65,8.36,8.65,11856900
20100708,8.74,8.83,8.55,8.83,9016300
20100712,8.92,9.01,8.86,8.91,9509400
20100713,9.01,9.04,8.92,9.03,10656300
20100714,8.95,8.95,8.77,8.8,7421500
20100715,8.8,9.06,8.77,9.02,12997500
20100716,9,9.02,8.84,8.84,6200900
20100719,8.95,9.01,8.84,8.91,8876800
20100720,8.84,9.01,8.79,8.96,7928300
20100721,9.01,9.13,8.96,9.01,10517300
20100722,9.13,9.23,9.04,9.1,11797400
20100723,9.12,9.3,9.03,9.29,7205300
20100726,9.32,9.35,9.23,9.33,7809400
20100727,9.37,9.47,9.35,9.43,8271600
20100728,9.44,9.69,9.38,9.62,19520800
20100729,9.7,9.82,9.62,9.68,16554000
20100730,9.56,9.82,9.5,9.74,13409100
20100802,9.84,9.95,9.79,9.9,10395700
20100803,9.85,9.93,9.76,9.82,9810900
20100804,9.88,10.01,9.76,9.94,12177500
20100805,9.9,10.08,9.9,10.02,9334500
20100806,9.94,10.13,9.78,10.07,17421900
20100809,10.14,10.18,10.07,10.13,9555400
20100810,9.99,10.04,9.83,9.89,12040100
20100811,9.78,9.81,9.61,9.71,19141700
20100812,9.64,9.9,9.56,9.59,10501100
20100813,9.62,9.65,9.5,9.56,8754800
20100816,9.59,9.75,9.52,9.68,9422000
20100817,9.74,9.88,9.74,9.84,10392800
20100818,9.86,9.99,9.8,9.96,19397000
20100819,9.94,10.12,9.93,10.05,11473500
20100820,10.02,10.07,9.74,9.77,11395100
20100823,9.78,9.83,9.49,9.56,12889600
20100824,9.5,9.62,9.38,9.43,9373400
20100825,9.34,9.72,9.29,9.61,11971800
20100826,9.63,9.83,9.44,9.49,11462300
20100827,9.58,9.85,9.53,9.84,7547000
20100830,9.8,9.87,9.55,9.55,12419700
20100831,9.5,9.72,9.47,9.72,15346100
20100901,9.75,10.02,9.75,9.96,18716300
20100902,9.94,10.01,9.82,9.88,9523700
20100903,9.98,10.01,9.82,9.95,9518400
20100906,9.95,10.08,9.94,10.03,3036200
20100908,10.02,10.37,9.96,10.37,12904500
20100909,10.39,10.64,10.39,10.55,16051200
20100910,10.57,10.62,10.42,10.6,11558800
20100913,10.68,11,10.68,10.89,18695400
20100914,10.77,10.86,10.71,10.83,10933900
20100915,10.73,11.05,10.68,10.96,13180300
20100916,10.87,10.96,10.74,10.78,7546600
20100917,10.71,10.77,10.52,10.52,10364100
20100920,10.58,10.79,10.48,10.72,13956300
20100921,10.71,10.9,10.67,10.9,13526900
20100922,10.87,11.24,10.74,11.16,17374500
20100923,11.09,11.4,11.04,11.32,13842300
20100924,11.38,11.38,10.73,10.78,30198600
20100927,10.87,10.96,10.75,10.84,13383000
20100928,10.91,11.07,10.83,11.02,13932100
20100929,10.94,10.98,10.82,10.84,18499300
20100930,10.93,10.98,10.69,10.75,10900000
20101001,10.77,10.85,10.5,10.67,16857900
20101004,10.64,10.83,10.64,10.71,17228800
20101005,10.79,11.09,10.76,11.09,17912000
