<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,13.21,13.34,13.15,13.15,770092
20100602,13.16,13.52,13.1,13.45,805212
20100604,13.48,13.74,13.29,13.74,1512471
20100607,13.7,14.03,13.7,13.97,1847165
20100608,13.98,14.04,13.82,13.86,1213319
20100609,13.82,14.05,13.7,13.83,786806
20100610,13.83,13.97,13.79,13.9,999428
20100611,13.74,14.08,13.6,14.05,670869
20100614,14.04,14.15,13.98,14.06,526794
20100615,14.11,14.4,14.07,14.31,493155
20100616,14.16,14.47,14.16,14.47,1359933
20100617,14.36,14.52,14.24,14.49,706412
20100618,14.4,14.6,14.39,14.53,469460
20100621,14.62,14.64,14.34,14.41,422070
20100622,14.51,14.89,14.44,14.44,912263
20100623,14.46,14.46,14.27,14.39,903378
20100624,14.29,14.55,14.2,14.31,883068
20100625,14.35,14.63,14.26,14.38,656483
20100628,14.55,14.83,14.51,14.66,723972
20100629,14.46,14.69,14.32,14.55,1816911
20100630,14.54,14.76,14.41,14.41,1037509
20100701,14.49,14.51,14.18,14.4,733492
20100702,14.36,14.65,14.36,14.53,1129751
20100705,14.51,14.62,14.34,14.55,411915
20100706,14.62,14.85,14.58,14.79,1553302
20100707,14.9,14.97,14.73,14.8,1091670
20100708,14.84,14.84,14.4,14.4,981656
20100712,14.42,14.7,14.35,14.4,591321
20100713,14.45,14.62,14.38,14.5,605284
20100714,14.4,14.53,14.14,14.14,514312
20100715,14.13,14.43,14.13,14.43,623055
20100716,14.47,14.51,14.29,14.4,637653
20100719,14.39,14.59,14.33,14.44,1059724
20100720,14.54,14.89,14.43,14.76,1194490
20100721,14.62,14.79,14.61,14.61,686736
20100722,14.79,14.79,14.61,14.65,1156408
20100723,14.59,14.71,14.55,14.71,1316774
20100726,14.77,14.77,14.6,14.62,685890
20100727,14.68,14.69,14.31,14.53,2396385
20100728,14.52,14.62,14.44,14.52,1107325
20100729,14.51,14.75,14.51,14.72,584551
20100730,14.72,14.95,14.66,14.84,1187508
20100802,14.98,15.13,14.79,15.11,436244
20100803,15.08,15.17,14.93,14.93,793365
20100804,14.93,15.2,14.84,15.17,963039
20100805,15.02,15.21,15.01,15.12,1485390
20100806,15.04,15.18,14.92,14.97,1019526
20100809,14.97,15.16,14.97,15.1,479404
20100810,14.99,15.35,14.97,15.26,661137
20100811,15.24,15.35,15.09,15.32,860642
20100812,15.17,15.24,14.99,15.13,1218185
20100813,15.17,15.22,15.07,15.07,780882
20100816,15.02,15.36,15.02,15.28,753590
20100817,15.32,15.79,15.32,15.73,1995683
20100818,15.86,16.17,15.75,16.08,2013031
20100819,16,16.28,15.77,15.79,1163390
20100820,15.86,15.89,15.64,15.89,653732
20100823,15.83,16,15.72,15.72,388219
20100824,15.57,15.75,15.5,15.57,673408
20100825,15.56,15.78,15.52,15.78,646962
20100826,15.73,15.89,15.69,15.76,1251189
20100827,15.82,16.27,15.73,15.82,1448790
20100830,15.76,15.93,15.69,15.69,872701
20100831,15.67,15.86,15.39,15.39,1908941
20100901,15.44,15.79,15.4,15.76,1177142
20100902,15.76,16.01,15.48,15.52,1519029
20100903,15.52,15.73,15.43,15.56,853237
20100906,15.56,15.69,15.45,15.66,318403
20100908,15.75,15.75,14.76,14.87,3310976
20100909,14.95,15.16,14.82,15.06,1535743
20100910,15.01,15.33,14.99,15.06,674254
20100913,15.2,15.23,14.99,15.06,1096324
