<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,14.95,15.29,14.87,14.91,660200
20100602,14.87,15.04,14.79,14.91,906600
20100604,14.83,14.86,14.5,14.65,642300
20100607,14.54,14.67,14.24,14.43,793300
20100608,14.43,15.01,14.4,15.01,804700
20100609,15.09,15.16,14.68,14.83,774300
20100610,14.83,15.23,14.83,15.16,1029900
20100611,15.24,15.61,15.02,15.27,1463600
20100614,15.29,15.52,15.14,15.34,957700
20100615,15.38,16.04,15.29,15.91,1249800
20100616,15.87,16.55,15.76,16.55,2143800
20100617,16.56,16.62,16.2,16.6,1436300
20100618,16.48,16.63,16.37,16.53,941400
20100621,16.66,16.72,16.36,16.5,1302600
20100622,16.4,16.78,16.29,16.52,1433400
20100623,16.56,16.72,16.3,16.46,588400
20100624,16.46,16.7,16.06,16.62,710800
20100625,16.59,16.69,16.31,16.59,581800
20100628,16.59,16.7,16.56,16.67,695100
20100629,16.45,16.59,15.87,16.51,931100
20100630,16.31,16.86,16.21,16.58,1205200
20100701,16.43,17.41,16.41,16.74,2118300
20100702,16.76,16.89,16.53,16.78,711000
20100705,16.89,16.89,16.6,16.74,1114400
20100706,16.83,17.12,16.83,16.97,2104500
20100707,16.97,17.29,16.97,17.11,760600
20100708,17.11,17.69,16.98,17.69,1374300
20100712,17.6,18.06,17.3,17.69,766300
20100713,17.69,17.89,17.33,17.73,1355400
20100714,17.74,17.74,17.25,17.69,913600
20100715,17.69,17.73,17.28,17.62,802900
20100716,17.47,17.58,17.11,17.18,417900
20100719,17.38,17.69,17.05,17.47,385100
20100720,17.58,17.62,17.36,17.44,571600
20100721,17.6,17.69,17.29,17.36,899800
20100722,17.62,17.66,17.36,17.36,1268700
20100723,17.4,17.62,17.23,17.4,699200
20100726,17.41,17.68,17.19,17.29,913900
20100727,17.55,18.18,17.5,18.13,1389100
20100728,18.2,18.66,18.08,18.18,2020500
20100729,18.35,18.66,18.21,18.28,886600
20100730,17.95,18.72,17.91,18.35,989400
20100802,18.78,19.14,18.48,18.69,1470500
20100803,18.53,18.72,18.08,18.12,726900
20100804,18.31,18.31,17.58,17.97,1048600
20100805,17.87,18.91,17.76,18.68,894700
20100806,18.62,18.91,18.12,18.35,1419100
20100809,18.39,18.5,17.92,18.15,917700
20100810,17.9,18.54,17.81,18.46,588400
20100811,18.16,18.63,17.94,18.35,904800
20100812,18.21,18.62,17.97,18.42,633500
20100813,18.61,18.61,17.83,17.95,1038300
20100816,17.97,17.98,17.49,17.86,867900
20100817,17.98,18.17,17.79,17.79,1051600
20100818,17.37,17.76,17.12,17.65,2352400
20100819,17.73,17.91,17.5,17.91,787700
20100820,17.79,17.8,17.03,17.23,1711800
20100823,17.37,17.46,17.05,17.41,948300
20100824,17.16,17.44,16.99,17.33,1062800
20100825,17.6,17.78,17.16,17.6,3031800
20100826,17.67,17.95,16.85,17.08,1228200
20100827,17.11,17.22,16.59,16.89,1437700
20100830,16.9,16.9,16.59,16.66,524800
20100831,16.67,17.22,16.61,17.14,1716100
20100901,17.14,17.63,17.02,17.45,1708500
20100902,17.52,17.82,17.23,17.56,658200
20100903,17.68,17.94,17.23,17.33,1203000
20100906,17.45,17.46,16.99,17.08,277600
20100908,17.02,17.1,16.85,17.08,572100
20100909,17.21,17.85,17.16,17.75,852600
20100910,17.71,18.12,17.64,18.12,1458700
20100913,18.21,18.57,18.21,18.42,1459800
20100914,18.35,18.54,18.29,18.42,657500
20100915,18.22,18.72,18.22,18.7,866200
20100916,18.57,18.76,18.26,18.69,504300
20100917,18.51,18.65,18.27,18.48,543200
20100920,18.42,19.02,18.42,18.95,1088500
20100921,18.95,19.01,18.6,18.76,499200
20100922,18.65,18.98,18.6,18.72,774600
20100923,18.6,19.17,18.48,18.72,1142200
20100924,18.84,18.99,18.09,18.54,1644600
20100927,18.58,19.08,18.36,18.72,776200
20100928,18.72,19.02,18.21,18.28,1269900
20100929,18.21,18.72,18.03,18.57,1170300
20100930,18.63,18.84,18.42,18.83,1694300
20101001,18.8,19.06,18.39,18.73,1571200
20101004,18.77,18.99,18.48,18.63,1089100
20101005,18.75,18.99,18.72,18.76,1254900
20101006,18.87,19.05,18.57,18.86,1088600
20101007,18.84,19.1,18.66,18.94,1109000
20101008,18.9,19.81,18.82,19.76,1850400
20101011,19.84,20.06,19.56,19.66,1014900
20101013,19.91,20.18,19.73,20.15,1694500
20101014,20.09,20.54,19.92,20.51,2451500
20101015,20.51,20.51,19.85,20.07,2054500
20101018,20.15,20.15,19.54,19.64,834300
20101019,19.34,19.45,18.81,19.19,1005400
20101020,19.34,19.94,19.33,19.85,1472400
20101021,19.92,20.15,19.19,19.87,1308000
20101022,19.94,20.07,19.33,19.55,1229600
20101025,20.14,20.22,19.92,20.15,1770200
20101026,20.22,20.45,20,20.06,1218500
20101027,20.03,20.3,19.48,20.22,1122700
20101028,20.53,20.6,20.17,20.6,731600
20101029,20.87,20.97,20.11,20.11,970800
20101101,20.37,20.97,20.24,20.96,1376100
20101103,21.35,21.54,21.1,21.2,968800
20101104,21.5,21.87,21.42,21.61,1709400
20101105,21.72,21.72,20.69,21.2,1112200
20101108,21.23,21.29,20.75,21.08,1007900
20101109,20.97,21.35,20.97,21.26,1456700
20101110,21.2,21.51,20.67,21.2,1758100
20101111,21.42,21.42,20.75,20.97,1057300
20101112,20.6,20.75,20.27,20.37,1188100
20101116,20.3,20.3,19.55,19.81,1240700
20101117,19.77,20.28,19.77,19.85,1051100
20101118,20.15,20.81,20.15,20.44,1984700
20101119,20.6,20.6,19.96,20.23,949800
20101122,20.16,20.43,19.61,20.37,951900
20101123,20.06,20.13,19.29,19.61,1363500
20101124,19.89,20.21,19.67,19.7,1669300
20101125,19.81,19.84,19.58,19.61,462400
20101126,19.48,19.48,19.2,19.2,1071900
20101129,19.23,19.36,18.57,18.94,1554900
20101130,18.94,19.66,18.72,19.66,2178700
20101201,19.86,20.29,19.7,19.88,2159400
20101202,20.07,20.17,19.74,20.15,903100
20101203,20.08,20.57,19.86,20.3,1307500
20101206,20.3,20.49,19.93,20.37,1013900
20101207,20.48,20.6,20.11,20.22,955600
20101208,20.09,20.48,19.83,20.09,1594400
20101209,20.09,20.23,19.4,19.69,1295200
20101210,19.79,19.84,19.32,19.54,632900
20101213,19.7,19.76,19.12,19.24,1299100
20101214,19.32,19.41,18.78,19.13,1333400
20101215,19.2,19.45,18.87,19.32,1445900
20101216,19.33,19.53,18.95,19.18,1407300
20101217,19.05,19.24,18.42,19.24,1365400
20101220,19.35,19.37,18.73,18.98,752600
20101221,19.17,19.99,19.17,19.7,1445600
20101222,19.7,20.18,19.59,19.98,1223200
20101223,20,20.32,19.98,20.32,833900
20101227,20.21,20.33,19.77,20.23,492300
20101228,20.13,20.51,20.12,20.51,1037200
20101229,20.57,21.05,20.57,20.78,1004700
20101230,20.82,20.97,20.68,20.68,1688400
20110103,21.01,21.01,20.5,20.6,1191300
20110104,20.9,21.11,20.76,20.96,1870300
20110105,20.93,21.45,20.9,20.92,1450000
20110106,21.03,21.12,20.54,20.6,1517200
20110107,20.64,20.75,20.27,20.6,869300
20110110,20.6,20.97,19.73,20.86,1218000
20110111,21,21.34,20.94,21.2,1239400
20110112,21.34,21.46,21.09,21.41,1024700
20110113,21.37,21.37,21,21.12,1940900
20110114,21.08,21.23,20.66,21.15,807800
20110117,21,21,20.6,20.71,440300
20110118,20.75,20.89,20.6,20.62,1161800
20110119,20.71,20.93,20.63,20.8,563200
