<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,19.84,19.96,19.44,19.59,3561500
20100602,19.52,20.05,19.52,19.85,2343500
20100604,19.55,19.59,18.86,18.87,3924600
20100607,19,19.07,18.24,18.47,3671100
20100608,18.58,18.74,18.25,18.56,3064000
20100609,18.76,19.05,18.48,18.54,2657100
20100610,18.74,19.52,18.74,19.37,2886400
20100611,19.29,19.82,19.18,19.69,2992700
20100614,19.92,20.14,19.6,19.7,3058700
20100615,19.8,19.91,19.62,19.8,2377900
20100616,19.7,20.02,19.62,19.83,3198800
20100617,19.87,20.06,19.35,19.59,3990600
20100618,19.62,19.62,19.2,19.39,2917200
20100621,19.88,20.06,19.63,19.63,3252100
20100622,19.64,20.11,19.64,19.8,2713900
20100623,19.94,20.02,19.55,19.98,2621200
20100624,19.91,20.42,19.64,19.99,7214800
20100625,20.01,20.24,19.76,20.13,3011200
20100628,20.18,20.48,20.07,20.1,3476000
20100629,19.83,19.84,18.83,19.12,5056300
20100630,19.19,19.61,18.97,18.97,7251500
20100701,18.99,19.44,18.69,19.26,3965300
20100702,19.41,19.51,19.08,19.3,2061600
20100705,19.42,19.47,19.18,19.3,1082700
20100706,19.8,20.04,19.41,19.6,3294000
20100707,19.62,20.11,19.45,20.01,2660300
20100708,20.09,20.23,19.78,20.09,3102200
20100712,20.12,20.29,19.6,19.77,3020800
20100713,19.97,20.09,19.66,19.73,4211100
20100714,19.66,19.76,19.18,19.44,3551400
20100715,19.44,19.44,18.73,18.9,5399600
20100716,18.99,18.99,18.54,18.65,3482200
20100719,18.66,19.05,18.66,18.92,3095800
20100720,18.76,19.96,18.72,19.93,5641900
20100721,20.16,20.39,19.95,20.14,4943200
20100722,20.5,21.08,20.5,20.89,5778100
20100723,20.89,21.32,20.55,21.32,3949100
20100726,21.21,21.59,21.19,21.39,2913700
20100727,21.54,21.6,20.92,21.02,4906200
20100728,20.92,21.42,20.82,21.2,3202800
20100729,21.36,21.57,21.18,21.39,4913700
20100730,21.2,21.37,20.68,21.1,5165700
20100802,21.32,21.65,21.32,21.5,3779200
20100803,21.46,21.9,21.22,21.69,3800900
20100804,21.72,22.13,21.71,21.88,2291700
20100805,21.97,22.02,21.54,21.97,2775800
20100806,21.65,21.95,21.54,21.93,1876300
20100809,22.03,22.13,21.62,21.76,1839700
20100810,21.5,21.8,21.16,21.8,3067000
20100811,21.43,21.57,20.87,20.96,4630400
20100812,20.96,21.24,20.75,20.97,2392000
20100813,21.03,21.28,20.75,20.75,4825900
20100816,20.63,21.12,20.45,20.99,2256400
20100817,21.14,21.33,20.97,20.97,2734500
20100818,21.01,21.02,20.5,20.81,4583800
20100819,20.77,21.03,20.59,20.72,2896500
20100820,20.58,20.7,20.22,20.46,3302000
20100823,20.63,20.79,20.06,20.17,2584100
20100824,19.88,20.2,19.73,20.09,3197100
20100825,19.84,20.39,19.57,19.63,4861800
20100826,19.83,19.84,19.34,19.41,3369200
20100827,19.62,19.8,19.34,19.66,2113000
20100830,19.55,19.66,19.37,19.47,1582000
20100831,19.44,19.69,19.23,19.41,2704000
20100901,19.7,20.29,19.61,20.27,3366600
20100902,20.27,20.36,20.04,20.24,2248500
20100903,20.59,20.76,20.06,20.17,2987700
20100906,20.27,20.27,19.92,20.09,766800
20100908,19.88,20.4,19.78,20.28,2724900
