<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,6.75,6.87,6.62,6.8,477700
20100602,6.83,6.87,6.68,6.83,280400
20100604,6.67,6.85,6.37,6.65,1123200
20100607,6.53,6.69,6.53,6.69,158100
20100608,6.72,6.72,6.36,6.55,1545200
20100609,6.55,6.73,6.5,6.73,320700
20100610,6.71,6.97,6.7,6.97,499700
20100611,6.79,6.93,6.79,6.91,226300
20100614,6.91,6.91,6.67,6.77,503500
20100615,6.72,6.83,6.62,6.82,569700
20100616,6.75,6.94,6.7,6.94,853500
20100617,6.96,7.08,6.91,7.08,948100
20100618,7.06,7.35,6.99,7.24,2270700
20100621,7.28,7.35,7.04,7.2,1246700
20100622,7.2,7.24,7.03,7.2,429800
20100623,7.08,7.11,6.92,6.95,398200
20100624,6.95,7.02,6.75,6.91,434400
20100625,6.8,7.13,6.8,7.13,262600
20100628,7.06,7.25,6.99,7.2,754400
20100629,6.94,7.34,6.86,7.27,957200
20100630,7.23,7.26,7.09,7.26,1494800
20100701,7.18,7.27,7.04,7.06,680700
20100702,7.1,7.12,6.94,7.1,736300
20100705,7.17,7.17,6.95,7.02,552100
20100706,7.15,7.26,6.7,6.98,1587200
20100707,7.06,7.16,6.96,7.1,1227100
20100708,7.18,7.34,7.13,7.24,2127700
20100712,7.24,7.31,7.04,7.17,642000
20100713,7.27,7.35,7.15,7.35,1217700
20100714,7.28,7.28,7.14,7.28,981200
20100715,7.28,7.31,7.15,7.24,892700
20100716,7.24,7.26,7.15,7.17,360400
20100719,7.26,7.31,7.2,7.24,835100
20100720,7.26,7.34,7.17,7.17,1685000
20100721,7.28,7.55,7.18,7.2,1943500
20100722,7.31,7.34,7.14,7.24,1437800
20100723,7.28,7.28,7.15,7.25,565800
20100726,7.25,7.34,7.2,7.24,604300
20100727,7.24,7.5,7.24,7.46,2620900
20100728,7.57,7.63,7.46,7.61,1083500
20100729,7.64,7.69,7.47,7.63,779300
20100730,7.57,7.89,7.47,7.81,524700
20100802,7.82,8.08,7.81,7.83,1384500
20100803,7.83,7.96,7.58,7.63,1284500
20100804,7.78,7.79,7.5,7.5,1147500
20100805,7.56,7.62,7.5,7.57,413200
20100806,7.63,7.93,7.57,7.89,1109300
20100809,8.01,8.01,7.82,7.87,1509900
20100810,7.9,7.9,7.75,7.86,1260500
20100811,7.83,7.83,7.63,7.79,1449900
20100812,7.73,7.8,7.67,7.79,800800
20100813,7.76,7.93,7.61,7.68,602100
20100816,7.65,7.79,7.59,7.77,544700
20100817,7.77,7.93,7.66,7.93,1055700
20100818,7.91,7.91,7.72,7.87,282400
20100819,7.88,7.97,7.79,7.93,234900
20100820,7.86,7.88,7.71,7.76,279400
20100823,7.81,7.93,7.76,7.86,249400
20100824,7.86,7.95,7.79,7.93,315500
20100825,7.92,8.07,7.83,7.9,1104800
20100826,7.99,8.07,7.75,7.86,503300
20100827,7.9,7.99,7.87,7.93,249400
20100830,7.91,7.97,7.82,7.92,283700
20100831,8.03,8.07,7.95,8.01,375200
20100901,8.08,8.24,8.08,8.09,1062700
20100902,8.15,8.25,7.88,7.97,507100
20100903,8.04,8.06,7.79,7.83,686700
20100906,7.94,7.94,7.79,7.86,156600
20100908,7.79,8.21,7.71,8.09,636100
20100909,8.11,8.33,8.01,8.25,557800
20100910,8.15,8.35,8.05,8.26,576000
20100913,8.3,8.3,8.15,8.28,859600
20100914,8.19,8.27,8.16,8.21,586700
20100915,8.16,8.39,8.14,8.35,1412000
20100916,8.33,8.38,8.21,8.27,871600
20100917,8.19,8.37,8.19,8.33,1122400
20100920,8.33,8.41,8.28,8.41,837600
20100921,8.38,8.56,8.33,8.36,985400
20100922,8.37,8.51,8.19,8.41,988800
20100923,8.33,8.55,8.3,8.37,1337300
20100924,8.41,8.49,8.04,8.24,1672100
20100927,8.38,8.38,8.15,8.37,972200
20100928,8.37,8.4,8.19,8.37,1056100
20100929,8.35,8.51,8.11,8.21,1342300
20100930,8.21,8.3,8.03,8.15,1320400
20101001,8.17,8.66,8.11,8.62,1204700
20101004,8.62,8.78,8.44,8.71,810900
20101005,8.73,8.92,8.67,8.82,938900
20101006,8.82,8.92,8.65,8.76,1337000
20101007,8.84,8.92,8.62,8.87,878800
20101008,8.84,9.46,8.73,9.21,2026400
20101011,9.2,9.53,9.1,9.46,975300
20101013,9.46,9.68,9.35,9.68,1569100
20101014,9.64,9.64,9.15,9.44,2417600
20101015,9.48,9.48,9.12,9.39,1673700
20101018,9.32,9.35,9.21,9.21,804500
20101019,9.11,9.45,8.96,9.45,1920900
20101020,9.32,9.51,9.21,9.38,1550700
20101021,9.38,9.52,9.29,9.29,897900
20101022,9.43,9.48,9.14,9.31,834800
20101025,9.32,9.44,9.16,9.32,746200
20101026,9.26,9.35,9.2,9.2,524500
20101027,9.21,9.31,9.13,9.17,680900
20101028,9.32,9.44,9.22,9.36,834800
20101029,9.36,9.45,9.29,9.39,986500
20101101,9.42,9.46,9.17,9.35,736600
20101103,9.39,9.63,9.37,9.56,1883500
20101104,9.67,9.9,9.46,9.59,1836200
20101105,9.44,9.56,9.35,9.43,1297400
20101108,9.36,9.79,9.36,9.79,1049900
20101109,9.78,9.93,9.72,9.83,2003500
20101110,9.86,10.03,9.67,9.88,1753200
20101111,9.77,10.19,9.77,10.05,1746500
20101112,9.99,10.28,9.79,10.12,1581300
20101116,10.09,10.19,9.82,9.9,1612300
20101117,9.94,10.19,9.86,10.19,1025600
20101118,10.21,10.26,10.03,10.18,1732900
20101119,10.18,10.18,9.95,10,1201600
20101122,10.01,10.04,9.61,9.72,2252700
20101123,9.64,9.88,9.46,9.86,2115600
20101124,9.91,10.25,9.91,10.08,1762400
20101125,10.08,10.19,10.02,10.15,495600
20101126,10.03,10.92,9.9,10.07,2210900
20101129,10.08,10.18,9.77,10.05,2611700
20101130,10.08,10.18,9.88,10.12,14846000
20101201,10.18,10.19,9.83,9.91,1888200
20101202,9.9,9.96,9.55,9.74,2794500
20101203,9.76,9.82,9.48,9.53,1749000
20101206,9.6,9.67,9.32,9.67,1679300
20101207,9.75,9.97,9.71,9.97,1242200
20101208,9.96,9.96,9.58,9.75,1027600
20101209,9.89,9.89,9.36,9.48,1777600
20101210,9.57,9.78,9.26,9.48,1507900
20101213,9.55,9.58,9.27,9.4,1367200
20101214,9.4,9.75,9.2,9.59,958700
20101215,9.55,9.55,9.18,9.26,2416100
20101216,9.32,9.5,8.98,9.09,1309400
20101217,9.09,9.25,8.98,9.25,946400
20101220,9.32,9.32,8.93,9.03,1165600
20101221,9.1,9.39,9.02,9.39,970700
20101222,9.38,9.39,9.18,9.2,1262000
20101223,9.18,9.5,9.18,9.4,468200
20101227,9.35,9.61,9.32,9.51,549300
20101228,9.51,9.7,9.37,9.57,896000
20101229,9.69,9.72,9.46,9.48,724300
20101230,9.59,9.59,9.38,9.46,1031700
20110103,9.52,9.63,9.4,9.42,659400
20110104,9.48,9.78,9.35,9.78,889900
20110105,9.65,9.85,9.56,9.78,1073800
20110106,9.78,9.89,9.57,9.76,1034800
20110107,9.7,9.81,9.44,9.66,805700
20110110,9.66,9.69,9.44,9.58,541000
20110111,9.61,9.85,9.56,9.85,1060500
20110112,9.93,10.06,9.86,10.06,543800
20110113,9.98,10,9.71,9.72,733500
20110114,9.75,9.87,9.53,9.78,441200
20110117,9.71,9.77,9.57,9.7,371900
20110118,9.77,9.81,9.56,9.65,977500
20110119,9.63,9.7,9.55,9.7,526100
20110120,9.63,9.84,9.57,9.8,390100
20110121,9.86,9.92,9.78,9.89,582100
20110124,9.93,9.94,9.78,9.91,446400
20110126,9.92,10,9.72,9.89,883500
20110127,9.89,9.98,9.66,9.78,424300
20110128,9.73,9.82,9.55,9.7,880300
20110131,9.67,9.91,9.63,9.63,1239200
20110201,9.7,10.02,9.69,9.92,869700
20110202,9.98,10.05,9.69,9.69,707500
20110203,9.77,9.97,9.7,9.74,444400
20110204,9.72,9.92,9.38,9.44,1810200
20110207,9.52,9.91,9.28,9.72,982500
20110208,9.63,9.86,9.49,9.63,1420600
20110209,9.63,9.78,9.42,9.55,375500
20110210,9.63,9.63,9.43,9.43,1022600
20110211,9.53,9.69,9.4,9.69,567900
20110214,9.76,9.9,9.49,9.78,1075300
20110215,9.82,10.01,9.69,9.69,637500
20110216,9.72,9.98,9.72,9.85,1109800
20110217,9.95,9.95,9.66,9.81,816000
20110218,9.82,9.98,9.74,9.87,820900
20110221,9.76,9.86,9.64,9.77,768700
20110222,9.66,9.84,9.4,9.7,1369000
20110223,9.7,9.74,9.49,9.63,366800
20110224,9.66,9.66,9.52,9.66,590500
20110225,9.66,9.7,9.46,9.53,770800
20110228,9.46,9.62,9.42,9.48,1273400
20110301,9.49,9.55,9.44,9.55,851600
20110302,9.59,9.62,9.43,9.53,429200
20110303,9.52,9.6,9.52,9.59,246900
20110304,9.59,9.9,9.58,9.83,647600
20110309,9.84,9.84,9.6,9.83,303400
20110310,9.59,9.83,9.59,9.74,685100
20110311,9.83,9.83,9.55,9.59,1050900
20110314,9.67,9.67,9.46,9.61,967800
20110315,9.46,9.62,9.22,9.57,1535100
20110316,9.53,9.6,9.27,9.33,1067700
20110317,9.48,9.53,9.32,9.52,1240400
20110318,9.55,9.55,9.29,9.33,1764300
20110321,9.4,9.51,9.34,9.48,1885400
20110322,9.44,9.54,9.41,9.52,954700
20110323,9.53,9.63,9.43,9.47,655400
20110324,9.52,9.6,9.39,9.4,565100
20110325,9.4,9.51,9.3,9.46,1221200
20110328,9.43,9.58,9.42,9.57,1159000
20110329,9.58,9.63,9.45,9.63,699700
20110330,9.65,9.75,9.59,9.75,922200
20110331,9.69,9.82,9.6,9.82,2761000
20110401,9.83,10.19,9.68,10.19,1410700
20110404,10.06,10.15,10.01,10.07,981000
20110405,9.99,10.07,9.73,10,1160100
20110406,10.07,10.07,9.86,10,875100
20110407,10.06,10.09,9.77,9.99,887000
20110408,10.01,10.18,9.67,9.85,1287200
20110411,9.87,10,9.78,10,459200
20110412,9.94,9.98,9.66,9.78,580400
20110413,9.85,9.97,9.69,9.93,586700
20110414,9.86,9.97,9.74,9.85,2761600
20110415,9.83,9.87,9.74,9.74,618400
20110418,9.72,9.9,9.59,9.71,1178800
20110419,9.71,9.98,9.71,9.84,1004800
20110420,9.89,10.02,9.85,9.98,1159700
20110425,9.99,10.1,9.96,10.1,400500
20110426,10.1,10.33,9.97,10.33,1766800
20110427,10.41,10.49,10.23,10.38,817700
20110428,10.35,10.55,10.32,10.49,1226300
20110429,10.57,10.6,10.41,10.45,818000
20110502,10.46,10.73,10.46,10.72,458000
20110503,10.63,10.73,10.5,10.63,293300
20110504,10.69,10.69,10.33,10.57,458500
20110505,10.6,10.6,10.23,10.43,995600
20110506,10.54,10.68,10.27,10.41,618400
20110509,10.5,10.71,10.48,10.62,570900
20110510,10.7,10.84,10.65,10.75,1897500
20110511,10.54,10.71,10.5,10.7,541500
20110512,10.64,10.71,10.43,10.57,588800
20110513,10.58,10.69,10.51,10.57,959400
20110516,10.54,11.15,10.54,10.91,1594300
20110517,10.94,10.94,10.54,10.63,1885800
20110518,10.67,10.72,10.38,10.48,593500
20110519,10.45,10.67,10.2,10.34,772800
20110520,10.32,10.66,10.32,10.34,1373700
20110523,10.4,10.43,9.89,10.15,1910500
20110524,10.24,10.63,10.17,10.58,2047800
20110525,10.55,10.78,10.43,10.53,1431600
20110526,10.63,10.63,10.38,10.49,971500
20110527,10.46,10.67,10.43,10.67,1253300
20110530,10.72,10.72,10.41,10.53,785600
20110531,10.57,10.63,10.3,10.53,1455300
20110601,10.41,10.46,10.3,10.38,838600
20110602,10.42,10.5,10.23,10.38,938100
20110603,10.23,10.44,10.2,10.29,814100
20110606,10.36,10.41,10.06,10.14,1852200
20110607,10.21,10.21,10.07,10.07,1170100
20110608,10.07,10.18,9.98,10.07,865500
20110609,10.07,10.17,9.85,10,2306300
20110610,10.07,10.1,9.85,9.89,903900
20110613,9.86,9.96,9.79,9.84,799100
20110614,9.85,10.07,9.77,10.04,2355400
20110615,9.98,10.1,9.83,9.92,881400
20110616,9.99,10.04,9.83,9.91,601600
20110617,9.95,10.04,9.84,9.92,1244000
20110620,9.86,10.26,9.85,10.26,1131800
20110621,10.26,10.34,10.04,10.15,1100800
20110622,10.15,10.21,9.94,10.13,452600
20110624,10.16,10.2,10,10.07,689900
20110627,10.1,10.26,10,10.26,681700
20110628,10.32,10.44,10.23,10.41,800900
20110629,10.41,10.44,10.17,10.26,431100
20110630,10.34,10.34,10.01,10.23,1554300
20110701,10.2,10.29,10.04,10.23,868600
20110704,10.2,10.33,10.09,10.26,720600
20110705,10.29,10.33,10.14,10.33,1086200
20110706,10.26,10.41,10.23,10.31,1319900
20110707,10.31,10.42,10.19,10.23,1123800
20110708,10.2,10.28,9.89,10.06,996800
20110711,9.96,10.17,9.89,10.17,534000
20110712,10.17,10.19,9.92,9.92,829700
20110713,9.89,10.14,9.89,10.14,1585800
20110714,10.14,10.28,9.98,10.15,1123600
20110715,10.1,10.18,10.01,10.11,914700
20110718,10.08,10.22,9.91,10.18,944800
20110719,10.21,10.31,10.07,10.19,548300
20110720,10.19,10.19,9.88,9.88,818900
20110721,9.87,10,9.74,9.92,1173000
20110722,9.95,9.98,9.82,9.89,961300
20110725,9.87,9.94,9.75,9.81,941400
20110726,9.8,9.89,9.76,9.83,560000
20110727,9.82,9.92,9.7,9.92,750000
20110728,9.88,9.91,9.82,9.85,506000
20110729,9.82,10.01,9.77,9.85,1840400
20110801,9.92,9.92,9.73,9.85,666200
20110802,9.86,9.86,9.7,9.73,807900
20110803,9.73,9.73,9.41,9.72,1247300
20110804,9.48,9.54,9.07,9.45,1262700
20110805,9.42,9.6,8.83,9.36,2041200
20110808,9.3,9.3,8.52,8.72,2060700
20110809,8.84,9.16,8.72,9.08,1337700
20110810,9.05,9.21,8.88,9.15,947500
20110811,9.19,9.3,8.85,8.96,1493600
20110812,8.96,9.13,8.87,9.06,937000
20110815,9.1,9.26,9.04,9.21,1664400
20110816,9.06,9.33,8.93,9.21,2104300
20110817,9.21,9.43,9.1,9.3,2801200
20110818,9.08,9.37,9.06,9.37,1668900
20110819,9.27,9.62,9.15,9.58,1164800
20110822,9.61,9.7,9.43,9.66,1295400
20110823,9.66,9.89,9.39,9.72,1163800
20110824,9.79,9.96,9.56,9.74,1501800
20110825,9.71,9.93,9.53,9.66,1260500
20110826,9.62,9.89,9.48,9.81,1432300
20110829,9.98,10.17,9.83,9.92,1162800
20110830,9.92,10.08,9.89,10.03,1217200
20110831,10.1,10.41,9.91,10.41,2529600
20110901,10.46,10.94,10.46,10.88,1729900
20110902,10.73,10.84,10.56,10.68,1854700
20110905,10.44,10.5,10.26,10.5,760600
20110906,10.5,10.72,10.41,10.45,1298400
20110908,10.55,10.55,10.27,10.47,1253300
20110909,10.4,10.53,10.08,10.45,718000
20110912,10.23,10.44,9.98,10.33,622900
20110913,10.34,10.44,10.06,10.18,1182700
20110914,10.32,10.35,10.15,10.22,2149800
20110915,10.22,10.24,10.07,10.19,946000
20110916,10.14,10.4,10.14,10.3,1506400
20110919,10.3,10.49,10.13,10.21,1011400
20110920,10.21,10.32,10.14,10.23,820400
20110921,10.26,10.59,10.14,10.53,1769600
20110922,10.26,10.57,10.07,10.34,2579200
20110923,10.25,10.38,10.14,10.26,2159300
20110926,10.32,10.32,10.04,10.19,696600
20110927,10.24,10.49,10.21,10.24,1192200
20110928,10.24,10.39,10.17,10.27,1198600
20110929,10.32,10.47,10.14,10.33,1917000
20110930,10.33,10.45,10.18,10.41,1679700
20111003,10.3,10.44,10.2,10.26,1361700
20111004,10.22,10.24,9.86,10.1,1861500
20111005,10.09,10.2,9.79,9.89,1360200
20111006,9.96,10.06,9.7,9.81,1920700
20111007,9.92,10.11,9.77,10.07,2660100
20111010,10.15,10.18,10,10.16,903600
20111011,10.15,10.15,9.97,10.09,1350000
20111013,10.1,10.13,9.78,9.9,1361900
20111014,9.93,10.16,9.75,10.16,2152800
20111017,10.08,10.08,9.83,9.9,1230000
20111018,9.9,10.14,9.86,10.14,987400
20111019,10.13,10.14,9.98,10.07,755700
20111020,10.07,10.18,9.83,9.89,1070500
20111021,9.92,10.08,9.9,10.05,582700
20111024,10.1,10.24,10.04,10.14,1051900
20111025,10.14,10.17,9.86,9.91,972700
20111026,9.92,10.04,9.57,9.73,2570100
20111027,9.81,9.91,9.54,9.81,3123600
20111028,9.81,10.01,9.68,10.01,1094000
20111031,9.99,9.99,9.58,9.81,2578500
