<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160721,39.81,40.89,39.28,40.06,749100
20160722,40.34,40.64,39.71,40.3,649900
20160725,40.52,41.07,40.21,40.5,1111800
20160726,40.47,40.86,40.1,40.1,920200
20160727,40.1,40.75,40.1,40.27,590200
20160728,40.13,40.74,39.73,39.73,865800
20160729,40.12,41.23,40.12,40.6,1011900
20160801,40.59,41.06,40.28,40.45,504500
20160802,40.37,41.08,40.04,40.4,965600
20160803,40.01,41.25,39.95,41.12,1201000
20160804,40.88,42.23,40.8,41.62,788200
20160805,41.63,41.94,40.88,41.37,918200
20160808,41.03,41.5,40.93,41.17,375800
20160809,41.25,41.34,40.65,40.96,415300
20160810,40.97,41.12,40.38,40.38,311900
20160811,40.38,41.03,39.81,40.86,855800
20160812,41.09,41.41,40.49,40.78,475300
20160815,40.56,41.32,40.53,40.87,380700
20160816,40.49,41.23,39.93,39.93,859100
20160817,39.8,41.61,39.67,41.21,655900
20160818,42.05,42.05,39.58,39.58,759400
20160819,39.79,40.08,39.33,39.75,729700
20160822,39.17,39.83,38.83,39.24,722300
20160823,39.24,39.4,38.55,38.55,757500
20160824,38.43,39.58,38.41,39.09,660400
20160825,38.71,39.3,38.55,38.89,600200
20160826,39.3,39.3,37.67,38.34,983900
20160829,38.68,40.02,38.12,39.22,557400
20160830,39.18,39.73,38.49,39.1,605400
20160831,38.99,39.44,38.17,38.4,1031900
20160901,38.5,39.49,38.29,39.18,771800
20160902,39.29,39.93,38.99,39.93,835400
20160905,39.96,40.31,39.58,39.8,383500
20160906,40.03,40.29,39.41,39.82,546000
20160908,39.4,39.91,39.02,39.27,1227400
20160909,38.51,38.94,38.19,38.29,829100
20160912,37.91,38.75,37.91,38.5,505700
20160913,38.34,38.65,37.91,38.16,815200
20160914,38.53,38.74,38.03,38.31,476700
20160915,38.2,38.66,38.01,38.54,326600
20160916,38.18,38.53,37.95,38.21,573300
20160919,38.58,38.81,37.97,38.4,528000
20160920,38.3,38.97,38.3,38.61,881200
20160921,38.35,39.16,38.35,38.94,778100
20160922,39.34,39.75,38.48,39.17,1093500
20160923,39.26,39.7,38.68,39.04,400700
20160926,39.16,39.16,38.46,38.99,485700
20160927,39.18,39.35,38.67,38.84,492700
20160928,39.15,39.53,38.71,39.22,592900
20160929,38.94,39.72,38.68,38.68,614900
20160930,38.91,39.28,37.91,37.91,1408600
20161003,37.91,39.1,37.55,38.52,1031800
20161004,38.52,38.78,37.88,38.03,888700
20161005,38.41,38.75,38.18,38.47,597500
20161006,38.61,38.61,38.09,38.3,498700
20161007,38.5,38.7,38.13,38.49,627400
20161010,38.71,39.17,38.33,38.45,568000
20161011,38.61,38.82,38.2,38.2,660900
20161013,38.25,39.6,38.25,38.8,1823200
20161014,38.85,39.88,38.84,38.84,600200
20161017,38.85,39.66,38.39,39.44,822600
20161018,39.5,40.24,39.19,39.99,1108800
20161019,39.87,40.07,39.37,39.57,771000
20161020,39.57,40.07,39.36,39.87,961200
20161021,40.07,40.57,39.85,40.04,880700
20161024,40.08,40.46,39.68,39.92,947500
20161025,39.88,40.1,39.65,39.88,529100
20161026,39.86,40.28,39.13,39.83,970000
20161027,39.94,40.56,39.51,39.98,729400
20161028,40.19,40.26,39.29,39.88,2726400
20161031,40.02,40.58,39.43,39.93,1054000
20161101,39.96,40.52,38.6,38.7,1136800
20161103,38.7,39.2,37.91,37.97,1201900
20161104,37.99,38.68,37.54,37.66,980700
20161107,37.81,38.91,37.81,38.49,681500
20161108,38.61,39.08,38.4,38.7,693100
20161109,37.92,38.73,37.31,38.06,906200
20161110,38.16,38.45,35.71,36.45,1499600
20161111,35.78,36.56,34.91,35.15,1309100
20161114,34.9,35.99,34.77,35.4,1072100
20161116,35.51,36.3,35.15,36.1,1089600
20161117,36.03,36.9,35.88,35.9,1139200
20161118,35.63,36,34.99,35.96,900100
20161121,35.82,36.25,35.55,35.7,704600
20161122,36,36.51,35.59,35.68,1072300
20161123,35.68,35.73,35.23,35.61,667500
20161124,35.61,35.74,35.32,35.5,141600
20161125,35.14,35.7,34.95,35.43,361800
20161128,35.2,36.1,35.2,35.92,421100
20161129,35.71,36.04,35.34,35.5,832100
20161130,35.99,36.05,35.52,35.85,1016300
20161201,35.66,35.92,33.74,34.21,1876100
20161202,33.73,34.65,33.27,34.32,906000
20161205,34.33,34.76,33.67,34.01,503400
20161206,33.69,34.59,33.26,34.41,988200
20161207,34.6,35,33.86,34.17,812000
20161208,34.35,34.74,33.96,34.01,894100
20161209,34.18,34.4,33.94,34.1,681200
20161212,33.93,33.98,33.3,33.66,699600
20161213,33.33,34.02,33.29,34,1080400
20161214,34.02,34.07,33.52,33.86,1130200
20161215,33.59,33.99,33.37,33.99,617700
20161216,34,34.47,33.79,34.06,882700
20161219,34.17,34.3,33.74,34,403400
20161220,34.31,34.31,33.27,33.52,754300
20161221,33.42,33.84,33.38,33.63,767600
20161222,33.41,34.2,33.41,34.03,615000
20161223,33.93,34.36,33.93,34.14,511000
20161226,34.33,34.53,34,34.23,189100
20161227,34.54,34.62,34.03,34.2,323900
20161228,34.12,34.91,34.1,34.8,426600
20161229,34.85,35.38,34.5,35,763700
20170102,35.02,35.04,34.41,34.85,392200
20170103,35.05,36.33,34.87,36.2,1253800
20170104,35.81,36.38,35.43,35.74,805600
