<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,17.34,17.75,17.07,17.32,1057500
20100602,17.33,17.49,17.14,17.34,564300
20100604,17.28,17.42,17.11,17.42,578100
20100607,17.27,17.46,17.19,17.27,607900
20100608,17.34,17.38,16.95,17.1,1057200
20100609,17.19,17.2,17.04,17.04,928900
20100610,17.08,17.34,17.08,17.23,932600
20100611,17.2,17.81,17.15,17.63,728400
20100614,17.54,17.9,17.54,17.77,816600
20100615,17.88,18.18,17.84,18.11,695600
20100616,18.04,18.65,17.9,18.65,1380100
20100617,18.65,18.9,18.65,18.77,1353700
20100618,18.81,19.33,18.81,18.81,1931300
20100621,19.06,19.16,18.73,18.74,1801100
20100622,18.58,19.27,18.57,19.16,979000
20100623,19,19.09,18.81,18.86,1017700
20100624,18.81,18.92,18.65,18.85,633000
20100625,18.85,19.05,18.69,19.05,1402500
20100628,18.98,19.19,18.85,18.96,304800
20100629,18.7,18.92,18.54,18.9,881000
20100630,18.89,19.07,18.39,18.39,975000
20100701,18.31,18.42,17.83,17.92,2420400
20100702,17.99,17.99,17.54,17.73,843400
20100705,17.67,17.81,17.48,17.52,333200
20100706,17.72,17.86,17.34,17.4,944700
20100707,17.54,17.69,17.29,17.29,1049000
20100708,17.46,17.46,17.12,17.27,961300
20100712,17.41,17.57,16.77,16.92,1542100
20100713,17.03,17.15,16.8,17.12,1248600
20100714,17.07,17.37,16.97,17.04,1021900
20100715,17.1,17.15,16.61,16.88,1100200
20100716,16.9,17.03,16.57,16.57,686100
20100719,16.77,16.84,16.57,16.73,715700
20100720,16.71,17.1,16.6,16.85,1338800
20100721,16.96,17,16.73,16.9,889300
20100722,17.09,17.27,17,17.19,910900
20100723,17.23,17.42,16.65,17.37,875800
20100726,17.41,17.46,17.27,17.43,496200
20100727,17.53,17.55,16.96,16.96,1463000
20100728,17.04,17.17,16.81,17.17,905700
20100729,17.13,17.34,17.13,17.34,875800
20100730,17.28,17.63,17.17,17.57,897900
20100802,17.72,17.73,17.57,17.71,503600
20100803,17.63,17.67,17.5,17.5,460000
20100804,17.54,17.73,17.34,17.52,782200
20100805,17.36,17.65,17.36,17.65,344500
20100806,17.48,17.73,17.48,17.73,449500
20100809,17.74,17.82,17.43,17.57,385300
20100810,17.51,17.71,17.4,17.49,766800
20100811,17.48,17.48,17.07,17.19,757200
20100812,17.09,17.18,16.97,17.12,489400
20100813,17.07,17.34,16.88,17.01,686900
20100816,17.07,17.27,17.03,17.11,748700
20100817,17.23,17.28,17.05,17.18,713000
20100818,17.25,17.25,17.01,17.24,1169500
20100819,17.15,17.22,16.88,16.92,698300
20100820,16.96,17.33,16.82,17.13,454900
20100823,17.15,17.27,16.92,16.96,508500
20100824,16.9,17.17,16.77,17.1,682700
20100825,17.04,17.09,16.84,16.85,758300
20100826,16.88,17.05,16.57,16.57,795300
20100827,16.65,17.1,16.53,16.75,768100
20100830,16.87,16.94,16.42,16.5,596200
20100831,16.44,16.8,16.42,16.47,873200
20100901,16.57,16.77,16.52,16.68,1045300
20100902,16.62,16.7,16.5,16.63,337600
20100903,16.76,16.77,16.43,16.5,396300
20100906,16.53,16.65,16.23,16.33,244000
20100908,16.53,16.63,16.2,16.4,911800
20100909,16.32,16.41,16.19,16.19,657800
20100910,16.29,16.61,16.18,16.61,695400
20100913,16.77,16.85,16.61,16.83,707700
20100914,16.77,16.84,16.53,16.53,723300
20100915,16.5,16.76,16.36,16.76,1254400
20100916,16.73,16.73,16.59,16.63,303700
20100917,16.64,16.64,16.44,16.44,572200
20100920,16.44,16.72,16.43,16.64,860400
20100921,16.65,16.76,16.47,16.73,410100
20100922,16.62,16.92,16.45,16.77,1318900
20100923,16.59,16.8,16.58,16.62,1228700
20100924,16.7,16.83,16.6,16.73,1420700
20100927,16.8,16.84,16.7,16.71,744100
20100928,16.75,16.77,16.57,16.57,538500
20100929,16.63,16.7,16.44,16.44,1050600
20100930,16.58,16.65,16.51,16.62,932300
20101001,16.62,16.71,16.46,16.71,1021500
20101004,16.66,17.17,16.65,17.16,989800
20101005,17.2,17.7,17.2,17.61,1266300
20101006,17.61,17.81,17.44,17.81,1817400
20101007,17.73,17.81,17.46,17.54,776600
20101008,17.44,17.79,17.43,17.68,579400
20101011,17.68,17.9,17.57,17.88,447700
20101013,18.19,19.19,18.15,18.98,2831700
20101014,18.92,19.58,18.82,19.23,2154900
20101015,19.19,20.13,19.19,20.08,1838800
20101018,19.97,19.97,18.65,18.81,1889000
20101019,18.56,18.66,18.03,18.66,2463800
20101020,18.89,19.14,18.71,19.04,1509400
20101021,18.96,18.97,18.23,18.29,1875500
20101022,18.35,18.47,18.11,18.11,776000
20101025,18.26,18.45,17.88,17.88,1228800
20101026,17.8,18.85,17.76,18.84,1596500
20101027,18.5,18.65,18.18,18.43,1217000
20101028,18.73,18.73,17.95,17.97,842800
