<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,8.75,8.86,8.61,8.63,797900
20100602,8.54,8.81,8.53,8.75,1138700
20100604,8.62,8.71,8.47,8.48,1466800
20100607,8.48,8.57,8.38,8.43,1308100
20100608,8.47,8.5,8.36,8.44,2221300
20100609,8.46,8.62,8.41,8.43,2125600
20100610,8.5,8.67,8.48,8.6,819600
20100611,8.61,8.84,8.55,8.83,778900
20100614,8.82,8.91,8.73,8.75,717000
20100615,8.76,8.99,8.75,8.8,1421700
20100616,8.77,8.88,8.71,8.81,2538500
20100617,8.83,8.95,8.77,8.94,1040700
20100618,8.91,8.98,8.82,8.86,1023500
20100621,8.98,9.05,8.86,8.95,653200
20100622,8.93,9.13,8.87,8.92,1316800
20100623,8.96,9,8.88,8.99,1086200
20100624,8.92,8.98,8.82,8.85,911000
20100625,8.83,9.03,8.78,9.03,443500
20100628,8.98,9.05,8.89,8.93,303700
20100629,8.82,8.92,8.6,8.63,1563200
20100630,8.63,8.72,8.43,8.43,1392900
20100701,8.46,8.54,8.23,8.54,1348800
20100702,8.54,8.6,8.32,8.37,935800
20100705,8.38,8.58,8.32,8.52,1098900
20100706,8.62,8.71,8.25,8.41,2030700
20100707,8.45,8.5,8.38,8.45,2481300
20100708,8.51,8.54,8.39,8.54,1050700
20100712,8.53,8.53,8.37,8.51,733000
20100713,8.5,8.72,8.46,8.66,1564400
20100714,8.59,8.81,8.51,8.75,800600
20100715,8.78,8.87,8.62,8.86,1462900
20100716,8.8,8.92,8.56,8.59,1515700
20100719,8.62,8.79,8.59,8.73,1462300
20100720,9.16,9.27,8.93,9.27,4696600
20100721,9.28,9.39,9.17,9.23,2492000
20100722,9.31,9.48,9.31,9.44,3367700
20100723,9.45,9.63,9.3,9.63,1212500
20100726,9.61,9.74,9.53,9.74,973000
20100727,9.77,9.8,9.6,9.72,1917800
20100728,9.64,9.93,9.64,9.89,1398900
20100729,9.91,10,9.87,10,2315500
20100730,10.01,10.53,9.89,10.44,4399900
20100802,10.52,10.75,10.52,10.55,3754600
20100803,10.5,10.63,10.23,10.59,2564600
20100804,10.51,10.8,10.41,10.7,1540700
20100805,10.77,10.77,10.58,10.63,1660200
20100806,10.54,10.64,10.35,10.57,1944300
20100809,10.64,10.66,10.48,10.64,854900
20100810,10.48,10.54,10.4,10.5,1907900
20100811,10.42,10.42,10.06,10.06,1207500
20100812,9.96,10.12,9.93,10,1129300
20100813,9.99,10.22,9.93,10.1,1764100
20100816,10,10.16,9.91,10.06,1159900
20100817,10.13,10.26,10.07,10.15,1470300
20100818,10.22,10.66,10.07,10.66,2281700
20100819,10.57,10.62,10.24,10.31,1981200
20100820,10.24,10.32,9.95,10.02,1293100
20100823,10.1,10.17,9.85,9.85,789700
20100824,9.65,9.78,9.46,9.47,1709900
20100825,9.27,9.62,9.23,9.62,1695700
20100826,9.64,9.73,9.52,9.52,1591300
20100827,9.52,9.79,9.46,9.79,1435600
20100830,9.68,9.82,9.57,9.67,1110900
20100831,9.73,9.82,9.64,9.82,2672800
20100901,9.82,10.33,9.79,10.33,1927700
20100902,10.29,10.44,10.19,10.42,1285500
20100903,10.45,10.58,10.34,10.41,794600
20100906,10.44,10.45,10.12,10.22,231900
