<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,25.66,26.24,25.2,25.2,1967100
20100602,25.3,25.67,24.99,25.41,1959200
20100604,25.12,25.29,24.23,24.33,1557100
20100607,24.43,24.59,23.38,23.38,2137500
20100608,23.58,24.1,23.09,24.1,1877000
20100609,24.32,25.45,24.32,25.03,3439100
20100610,25.57,26.22,25.42,26.22,1872400
20100611,26,26.75,25.79,26.75,1739100
20100614,26.82,27.21,25.93,26.06,1632500
20100615,26.29,26.55,26.11,26.47,650400
20100616,26.41,26.51,25.93,26.28,1636500
20100617,26.24,26.51,25.84,26.41,1211100
20100618,26.38,27.23,26.38,26.56,3382200
20100621,27,27.89,26.83,27,2041800
20100622,27.14,27.31,26.38,26.38,1904800
20100623,26.56,27.04,26.22,26.96,1466300
20100624,26.73,26.97,26.28,26.35,1604800
20100625,26.39,26.55,26.02,26.43,1197300
20100628,26.55,26.58,25.84,25.92,826700
20100629,25.54,25.54,24.28,24.49,1990500
20100630,24.5,24.74,23.82,23.82,1690500
20100701,23.84,24.1,22.92,24.1,2608800
20100702,24.23,24.32,23.32,23.51,1999000
20100705,23.53,23.69,23.18,23.31,492600
20100706,23.95,24.04,22.76,22.91,2880200
20100707,23.05,23.56,22.86,23.51,2518600
20100708,23.76,23.77,22.82,23.02,2900400
20100712,23.2,23.42,22.86,22.86,1795700
20100713,23.07,23.55,22.86,23.45,2198000
20100714,23.25,23.33,22.85,22.92,2094000
20100715,22.92,23.11,22.41,22.8,3210700
20100716,22.84,22.95,21.77,21.88,2914200
20100719,22.08,22.4,21.81,22.27,1679800
20100720,22.22,23.54,21.97,23.54,3196500
20100721,23.61,23.96,23.25,23.47,3162400
20100722,23.85,24.61,23.6,24.44,3992300
20100723,24.45,25.28,23.96,25.11,4006900
20100726,25.29,25.79,25.22,25.71,3926600
20100727,25.93,26.15,25.54,25.93,3915500
20100728,25.84,25.88,24.89,25.07,2813300
20100729,25.24,25.46,24.42,24.63,2211000
20100730,24.42,24.98,23.93,24.98,2170900
20100802,25.24,25.71,25.15,25.52,1889700
20100803,25.46,25.46,24.86,25.17,1347200
20100804,25.33,25.99,25.15,25.93,2305100
20100805,25.94,26.47,25.69,26.38,1877100
20100806,26.2,26.55,25.79,26.47,1599200
20100809,26.52,26.79,26.21,26.38,1895200
20100810,26.02,26.26,25.69,25.81,1708700
20100811,25.36,25.36,24.42,24.42,2482800
20100812,24.32,24.92,24.23,24.83,2037800
20100813,24.77,25.73,24.6,25.65,2964100
20100816,25.43,26.24,25.32,25.97,2234300
20100817,26.02,26.51,26.02,26.22,1030700
20100818,26.29,26.38,25.77,25.92,1339400
20100819,25.83,25.86,25.38,25.69,1240200
20100820,25.48,25.66,25.11,25.21,1224200
20100823,25.24,25.57,24.9,24.92,722500
20100824,24.42,24.81,24.33,24.41,1235100
20100825,24.27,24.41,23.84,24.36,1168200
20100826,24.52,24.81,23.63,23.63,1805000
20100827,24.05,24.82,23.59,24.82,1453500
20100830,24.68,24.78,23.7,23.7,1261900
20100831,23.92,24.27,23.69,24.19,1513500
20100901,24.41,25.75,24.35,25.69,3684800
20100902,25.96,26.8,25.79,26.78,3462600
20100903,27.09,27.32,26.36,26.36,2314200
20100906,26.47,26.82,25.62,26.02,565200
20100908,26.28,26.65,26.04,26.55,1232100
20100909,26.64,26.78,26.33,26.38,981600
20100910,26.16,26.55,25.53,26.3,1290700
20100913,26.81,27.56,26.64,27.13,2114900
20100914,27.1,27.18,26.55,26.72,887200
20100915,26.47,27.36,26.33,27.27,1497500
20100916,27.3,27.54,27.05,27.36,932300
20100917,27.23,27.55,26.72,26.8,1338900
20100920,26.98,26.98,26.22,26.59,1491100
20100921,26.62,26.73,25.94,26.15,1517300
20100922,26.19,26.58,25.5,25.71,3711800
20100923,25.61,26.12,25.44,25.67,2532700
20100924,26.06,26.42,25.75,25.95,2487900
20100927,25.93,26.72,25.93,26.29,1140500
20100928,26.28,26.98,26.01,26.91,1339900
20100929,26.81,27.06,26.61,27.01,1260400
20100930,27.02,27.23,25.79,26.16,2526100
20101001,26.33,26.47,25.83,26.33,1188500
20101004,26.31,26.47,25.9,26.01,887200
20101005,26.28,26.4,25.92,25.92,1708400
20101006,26.06,26.11,25.6,26.09,2084500
20101007,26.13,26.31,25.3,25.35,1701600
20101008,25.31,25.87,25.04,25.8,1254000
20101011,25.87,26.29,25.66,26.13,982900
20101013,26.04,26.3,25.48,25.59,2026800
20101014,25.93,26.01,25.36,25.62,2395200
20101015,25.89,25.91,25.14,25.26,1214700
20101018,25.39,25.57,24.91,25.33,1313200
20101019,24.9,25.14,24.53,24.54,1583200
20101020,24.68,24.78,23.98,23.98,1584200
20101021,24.16,25.82,23.88,25.82,3937500
20101022,25.75,26.24,24.86,25.23,1890800
20101025,25.47,26.01,25.33,25.56,1173300
20101026,25.59,27.08,25.49,26.78,2626700
20101027,26.75,27.14,26.21,26.64,1504400
20101028,27.17,27.17,26.36,26.85,916100
20101029,26.98,27.44,26.64,27.23,1150000
20101101,27.1,27.72,27.1,27.54,932700
20101103,27.72,28.34,27.72,28.31,2174100
20101104,28.5,29.18,28.38,28.39,2038400
20101105,28.17,28.38,27.75,28.13,1003700
20101108,27.81,28.16,27.73,27.9,683300
20101109,28.07,28.42,27.54,27.54,988300
20101110,27.26,27.87,27.12,27.62,850000
20101111,27.36,27.54,26.73,27.07,1306700
20101112,26.56,27.09,25.78,26.09,2343800
20101116,25.75,25.75,24.96,25.28,2073000
20101117,25.26,25.84,25.2,25.52,1761000
20101118,25.81,26.17,25.74,25.79,2373100
20101119,25.57,25.82,25.26,25.48,1348700
20101122,25.38,25.71,24.82,25.08,1843200
20101123,24.78,24.96,24.18,24.39,2939700
20101124,24.65,25.36,24.65,25.35,1484400
20101125,25.34,25.48,25.16,25.18,544100
20101126,24.86,24.89,24.36,24.46,1236400
20101129,24.49,24.62,23.77,24.1,2579200
20101130,24.01,24.22,23.74,23.77,2817700
20101201,24.13,24.67,24.04,24.54,2289400
20101202,24.69,24.98,24.59,24.59,1874900
20101203,24.77,25.71,24.13,25.65,2601000
20101206,25.45,25.66,25.11,25.11,918100
20101207,25.54,25.79,25.18,25.62,1138700
20101208,25.42,25.62,24.99,25.2,1247200
20101209,25.3,25.37,24.72,24.99,645000
20101210,25.08,25.82,25,25.82,1152700
20101213,25.87,26.36,25.68,25.72,1345500
20101214,25.72,25.72,24.82,24.9,1124300
20101215,24.68,24.68,24.02,24.09,2236200
20101216,24.33,24.45,23.26,23.32,1988100
20101217,23.47,23.67,23.17,23.49,1329400
20101220,23.65,23.65,23.12,23.12,1201800
20101221,23.34,23.58,23.29,23.49,1125300
20101222,24.58,24.81,24.14,24.45,2785800
20101223,24.49,24.51,23.97,24.22,897000
20101227,24.13,24.13,23.89,23.9,489300
20101228,24.13,24.13,23.35,23.61,1101500
20101229,23.79,24.06,23.69,23.9,498200
20101230,23.93,24.14,23.68,23.68,1090300
20110103,24.11,24.13,23.75,23.8,1359000
20110104,23.91,24.32,23.86,24.1,1176200
20110105,24.14,24.3,23.92,24.05,975000
20110106,24.16,24.3,23.98,24.03,1423200
20110107,24.04,24.23,23.75,23.94,772900
20110110,23.92,24.18,23.83,24.18,496400
20110111,24.19,24.58,24.19,24.45,1067200
20110112,24.54,25.03,24.54,24.94,1276600
20110113,24.99,25.14,24.71,24.99,1367700
20110114,24.79,25.14,24.64,24.81,705400
20110117,24.7,24.73,24.45,24.52,421700
