<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,23.56,23.76,23.11,23.21,1231600
20100602,23.29,23.92,23.15,23.65,1191100
20100604,23.5,23.69,23.11,23.21,1170900
20100607,23.3,23.87,23.21,23.4,1056400
20100608,23.59,23.61,23.12,23.21,610700
20100609,23.34,23.75,23.18,23.25,721600
20100610,23.65,23.65,22.06,22.43,3964900
20100611,22.48,22.7,21.57,21.61,2706200
20100614,21.85,22.03,21.61,21.66,1314500
20100615,21.72,22.87,21.72,22.75,2354400
20100616,22.59,23.28,22.59,23.06,1892500
20100617,22.95,23.3,22.27,23.06,1416400
20100618,23.06,23.19,22.69,23.01,1473800
20100621,23.11,23.24,22.84,23.06,1422400
20100622,23.03,23.19,22.93,22.96,1338500
20100623,22.96,23.21,22.64,22.92,1081200
20100624,23.07,23.07,22.35,22.82,624300
20100625,22.65,23.29,22.64,23.21,824100
20100628,23.3,23.68,23.22,23.45,652200
20100629,23.07,23.76,22.93,23.07,1165100
20100630,23.2,23.27,22.27,22.41,917600
20100701,22.33,23.21,21.75,22.74,1500100
20100702,22.94,23.68,22.87,23.06,1096000
20100705,22.92,23.11,22.2,22.5,476200
20100706,22.65,23.09,21.87,22.23,1411800
20100707,22.31,22.35,21.66,21.77,1833000
20100708,22.05,22.06,21.58,21.67,1402600
20100712,21.85,21.91,21.48,21.68,1393100
20100713,21.8,22.53,21.8,22.53,1839900
20100714,22.24,22.45,21.96,22.04,994800
20100715,22.14,22.33,21.1,21.6,2414200
20100716,21.56,21.68,20.56,20.69,2615600
20100719,20.75,21.01,20.33,20.59,2146200
20100720,20.69,20.74,20.21,20.58,2317700
20100721,20.77,20.98,20.59,20.65,2441500
20100722,21.01,21.24,20.88,21.24,3242200
20100723,21.43,21.43,21.14,21.37,2244700
20100726,21.42,21.98,21.28,21.98,1303200
20100727,22,22.52,21.8,22.34,2713600
20100728,22.34,22.44,21.76,21.85,2327600
20100729,22.05,22.23,21.36,22.09,1501700
20100730,22,22.63,21.66,22.14,1941600
20100802,22.5,22.58,22.05,22.38,1916800
20100803,22.42,22.42,21.93,22.19,1342200
20100804,22.14,22.72,22.14,22.62,2143900
20100805,22.48,22.54,21.92,22.06,2038500
20100806,22.06,22.06,21.37,21.51,2615300
20100809,21.98,22.53,21.43,22.14,2360000
20100810,21.95,22,21.56,21.56,3092400
20100811,21.55,22.05,21.33,21.9,1654600
20100812,21.89,22.37,21.88,22.34,2543600
20100813,22.14,22.43,21.66,21.66,1794400
20100816,22.23,22.23,21.4,21.56,894800
20100817,21.7,22.1,21.38,21.58,2310500
20100818,21.5,22.17,21.45,22.13,5375100
20100819,22.17,22.53,21.96,22.53,2147300
20100820,21.95,22.77,21.86,22.7,1632500
20100823,22.72,22.92,22.24,22.35,1183200
20100824,22.09,22.52,21.89,22.24,1635600
20100825,21.89,22.14,21.42,21.56,1081200
20100826,21.85,22.18,21.51,21.95,1476400
20100827,22.05,22.89,21.87,22.63,1632500
20100830,22.63,22.82,22.39,22.62,1030100
20100831,22.6,22.62,22.12,22.36,1317200
20100901,22.44,22.59,21.91,22.29,1225500
20100902,22.3,22.51,21.87,21.9,1100700
20100903,21.95,22.37,21.76,21.9,1633600
20100906,22.08,22.08,21.47,21.61,947500
20100908,21.69,21.69,21.54,21.61,2518500
20100909,21.69,22.22,21.69,22.14,2612600
20100910,22.23,22.81,22.03,22.72,1305000
20100913,22.87,24.08,22.87,23.22,4062300
20100914,23.21,23.46,22.78,23.06,1904600
20100915,22.89,23.69,22.89,23.69,1228000
20100916,23.69,23.69,23.14,23.32,10253800
20100917,23.28,23.56,22.91,23,1518600
20100920,23.2,23.5,23.08,23.39,857400
20100921,23.38,23.54,23.04,23.25,2123900
20100922,23.12,23.53,22.89,23.3,1029400
20100923,23.29,24.17,23.13,23.83,2269900
20100924,24.11,24.12,23.23,23.88,2386400
20100927,23.97,25.14,23.97,24.56,2337800
20100928,24.92,25.03,24.49,24.61,1763600
20100929,24.56,25.42,24.3,24.8,1943900
20100930,24.72,25.42,24.46,25.42,1733300
20101001,25.42,26.17,25.27,26.17,3066500
20101004,26.29,26.29,25.59,25.87,929000
20101005,25.77,27.36,25.77,26.67,1411100
20101006,27.56,27.56,26.61,27.07,3066700
20101007,27.27,27.51,26.45,27.46,2564400
20101008,27.11,27.94,27.11,27.7,3283600
20101011,27.68,28.71,27.68,28.52,1854800
20101013,28.53,29.25,27.75,27.75,2706600
20101014,27.95,27.95,26.16,26.28,2784400
20101015,26.64,27.47,26.12,26.48,1342400
20101018,26.44,27.17,26.15,26.83,1782400
20101019,26.3,26.56,25.77,25.96,2403600
20101020,25.96,26.95,25.96,26.78,2968500
20101021,27.07,27.56,26.92,27.56,2283700
20101022,27.56,27.68,27.07,27.32,1365800
20101025,27.56,27.85,27.29,27.65,1124100
20101026,27.6,27.9,26.74,27.8,2318200
20101027,27.56,27.88,27.35,27.56,1621500
20101028,27.38,27.9,26.93,27.06,813700
20101029,27.41,27.55,26.84,27.07,948900
20101101,27.32,27.53,27.06,27.15,712400
20101103,27.5,27.75,27.23,27.32,1308200
20101104,27.7,27.85,27.09,27.36,940300
20101105,27.36,27.59,26.88,27.42,1788900
20101108,27.46,27.46,26.86,26.88,823700
20101109,26.88,27.24,26.78,26.93,1474400
20101110,26.48,26.98,25.86,26.54,842700
20101111,26.55,26.72,25.33,25.91,1768200
20101112,25.63,26.1,25.09,25.44,1343300
20101116,25.61,25.61,24.05,24.61,2801400
20101117,25.1,25.47,24.85,24.99,3291700
20101118,25.48,25.76,25.06,25.59,3843300
20101119,25.62,26.24,25.29,26.1,2132300
20101122,26.1,26.43,25.3,25.38,1424500
20101123,25.14,25.3,24.46,24.7,2056800
20101124,25.14,25.48,24.85,25.29,2302300
20101125,25.47,25.79,25.06,25.43,767800
20101126,25.29,25.72,25,25.43,1142500
20101129,25.77,25.79,25.21,25.53,1255300
20101130,25.51,26.23,24.8,26.23,2395000
20101201,26.64,27.05,26.42,26.97,2207000
20101202,27.07,27.07,26.21,26.22,1678800
20101203,26.31,26.53,25.87,26.01,1726500
20101206,26.01,26.11,25.09,25.09,1857200
20101207,25.42,25.57,24.75,24.94,1789600
20101208,25.13,25.14,23.83,24.22,3662000
20101209,24.32,24.37,23.3,23.98,3103900
20101210,24.27,24.75,23.89,24.75,1192100
20101213,24.93,25.37,24.93,25.28,1611300
20101214,25.29,25.33,24.66,24.66,1597100
20101215,24.41,24.41,23.89,23.93,2825100
20101216,24.1,24.51,23.46,23.69,3829700
20101217,23.88,24.15,23.35,23.83,1941000
20101220,22.15,23.2,22.15,22.34,11137200
20101221,22.54,22.54,22.24,22.43,53739700
20101222,22.53,22.56,21.47,21.76,11966900
20101223,21.73,21.99,21.67,21.76,2285700
20101227,21.74,21.74,21.03,21.21,3829900
20101228,21.3,21.48,20.8,21.02,3818500
20101229,21.08,21.73,20.9,21.66,4375900
20101230,21.93,22.25,21.56,21.78,9581500
20110103,21.86,22.09,21.47,21.47,4557400
20110104,21.45,21.64,20.57,20.69,7186500
20110105,20.64,21.07,20.23,20.93,7748100
20110106,21.04,21.18,20.35,20.35,5194800
20110107,20.48,20.88,20.48,20.69,2911100
20110110,20.58,21.12,20.52,21.12,3516400
20110111,21.26,21.56,21.17,21.42,4902700
20110112,21.71,21.94,21.61,21.75,6545800
20110113,21.85,21.94,21.09,21.12,3068100
20110114,21.15,21.22,20.85,21.03,2661300
20110117,21.13,21.47,20.93,21.47,2004600
20110118,21.63,21.71,21.43,21.61,2642500
20110119,21.66,21.66,21,21.13,1996600
20110120,21.1,21.1,20.58,20.69,2022200
20110121,20.89,20.89,20.4,20.4,2211700
20110124,20.5,20.55,20.26,20.26,1404600
20110126,20.3,20.3,19.84,19.9,4826500
20110127,20,20.21,19.2,19.52,3717400
20110128,19.53,19.68,18.95,19.19,3005900
20110131,19.46,19.52,19.01,19.18,3045900
20110201,19.34,19.53,18.99,19.07,4471300
20110202,19.12,19.33,18.26,18.26,3257700
20110203,18.44,18.69,17.41,17.74,6482500
20110204,17.77,18.13,17.45,17.45,2598800
20110207,17.64,17.92,17.12,17.82,2867200
20110208,17.79,18.36,17.6,18.2,2919400
20110209,18.27,18.31,17.64,17.87,3338700
20110210,17.75,17.98,17.5,17.79,2609000
20110211,17.93,18.47,17.69,18.37,4082100
20110214,18.32,18.92,18.26,18.83,3317500
20110215,18.83,19.09,18.56,18.76,3191900
20110216,19.04,19.04,18.51,18.76,2232700
20110217,18.82,18.82,18.1,18.1,4458200
20110218,18.13,18.46,17.84,18.32,3613500
20110221,18.31,18.31,17.94,18.08,1181100
20110222,17.88,17.89,17.6,17.71,3245000
20110223,17.71,17.79,17.35,17.42,2650400
20110224,17.4,18.18,17.35,18.18,2658600
20110225,18.24,18.46,18.13,18.32,3268800
20110228,18.53,18.54,18.01,18.37,2568200
20110301,18.43,18.51,17.74,17.79,1545400
20110302,17.81,17.98,17.55,17.74,1550800
20110303,17.85,18.3,17.73,18.28,3217900
20110304,18.23,18.24,17.98,17.98,1288100
20110309,17.92,17.97,17.71,17.89,1188900
20110310,17.76,17.89,17.24,17.31,2185800
20110311,17.3,17.63,17.06,17.4,1763300
20110314,17.5,17.86,17.4,17.79,2127300
