<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,4.98,5.07,4.9,5,11471179
20100602,4.98,5.13,4.97,5.08,7394656
20100604,5.01,5.03,4.93,4.97,7450702
20100607,4.97,5,4.85,4.85,7659263
20100608,4.87,5.08,4.84,5.02,13783227
20100609,5.05,5.11,4.96,4.97,7067239
20100610,4.97,5.13,4.97,5.08,7320412
20100611,5.07,5.21,5.03,5.21,6685549
20100614,5.24,5.26,5.12,5.12,5013195
20100615,5.13,5.26,5.13,5.22,5218535
20100616,5.17,5.34,5.15,5.33,15859819
20100617,5.33,5.34,5.2,5.26,8049328
20100618,5.27,5.32,5.22,5.32,7798572
20100621,5.35,5.37,5.28,5.31,4897721
20100622,5.3,5.42,5.27,5.31,8868595
20100623,5.3,5.35,5.23,5.34,9276215
20100624,5.3,5.34,5.17,5.2,9006294
20100625,5.19,5.3,5.15,5.28,4377044
20100628,5.29,5.31,5.23,5.25,3651187
20100629,5.16,5.18,5,5.01,10100957
20100630,5.01,5.09,4.88,4.88,12061270
20100701,4.93,5.13,4.89,5.13,15515331
20100702,5.14,5.18,5.07,5.13,6139264
20100705,5.16,5.17,5.03,5.03,5157658
20100706,5.12,5.17,5.09,5.17,6198208
20100707,5.18,5.45,5.16,5.45,10228349
20100708,5.46,5.56,5.43,5.51,11509026
20100712,5.54,5.65,5.47,5.49,9381381
20100713,5.53,5.56,5.5,5.55,7129888
20100714,5.54,5.58,5.5,5.54,7488710
20100715,5.54,5.56,5.43,5.53,5768202
20100716,5.5,5.54,5.35,5.37,7891660
20100719,5.39,5.51,5.39,5.51,4757929
20100720,5.45,5.6,5.44,5.54,8562920
20100721,5.59,5.61,5.5,5.58,8973278
20100722,5.65,5.74,5.63,5.71,12604334
20100723,5.74,5.78,5.63,5.78,11264067
20100726,5.78,5.8,5.71,5.8,8921581
20100727,5.83,5.85,5.73,5.75,10301305
20100728,5.74,5.9,5.7,5.85,14732140
20100729,5.9,5.91,5.8,5.91,7142772
20100730,5.86,5.96,5.81,5.96,12363724
20100802,6,6,5.94,5.98,7285786
20100803,5.94,5.96,5.74,5.74,13000519
20100804,5.78,5.81,5.63,5.71,10345594
20100805,5.71,5.77,5.7,5.73,4108733
20100806,5.7,5.79,5.67,5.76,5288592
20100809,5.79,5.83,5.72,5.77,5933763
20100810,5.72,5.76,5.68,5.75,5055551
20100811,5.68,5.71,5.56,5.61,10175685
20100812,5.59,5.65,5.54,5.64,4596234
20100813,5.63,5.72,5.61,5.65,7555224
20100816,5.67,5.73,5.62,5.73,5108859
20100817,5.73,5.78,5.72,5.76,6512741
20100818,5.76,5.76,5.7,5.7,8048684
20100819,5.7,5.76,5.61,5.64,6448482
20100820,5.63,5.63,5.58,5.63,3653119
20100823,5.66,5.67,5.59,5.59,5925710
20100824,5.57,5.58,5.48,5.49,9012575
20100825,5.47,5.53,5.4,5.5,9414880
20100826,5.52,5.54,5.35,5.4,8685158
20100827,5.46,5.58,5.37,5.58,11590357
20100830,5.54,5.56,5.46,5.49,5209838
20100831,5.51,5.66,5.49,5.63,16530274
20100901,5.67,5.75,5.63,5.69,20049560
20100902,5.68,5.68,5.61,5.62,8306366
20100903,5.68,5.68,5.56,5.62,8764395
20100906,5.59,5.61,5.53,5.58,3217960
20100908,5.61,5.61,5.53,5.57,6454601
20100909,5.59,5.62,5.51,5.54,5741951
20100910,5.56,5.57,5.51,5.57,7278860
20100913,5.62,5.69,5.6,5.68,12275307
20100914,5.66,5.77,5.66,5.76,11657354
20100915,5.71,5.8,5.7,5.78,10910883
20100916,5.77,5.78,5.73,5.78,7515928
20100917,5.76,5.81,5.69,5.74,7613686
20100920,5.73,5.78,5.72,5.78,7929990
20100921,5.77,5.81,5.69,5.71,8678233
20100922,5.66,5.79,5.66,5.73,9682386
20100923,5.69,5.85,5.68,5.75,19662394
20100924,5.78,5.78,5.65,5.71,10238012
20100927,5.73,5.74,5.65,5.72,6410796
20100928,5.72,5.78,5.68,5.77,6829528
20100929,5.73,5.83,5.72,5.82,16757195
20100930,5.85,5.92,5.8,5.92,12491276
20101001,5.92,6.01,5.89,5.99,11553959
20101004,5.96,6.04,5.95,6.04,9444030
20101005,6.08,6.23,6.05,6.21,12647818
20101006,6.18,6.22,6.1,6.16,14131903
20101007,6.12,6.21,6.06,6.14,7493864
20101008,6.13,6.28,6.11,6.28,9908018
20101011,6.27,6.28,6.21,6.23,3306860
20101013,6.28,6.3,6.23,6.24,21264368
20101014,6.23,6.25,6.11,6.24,7834486
20101015,6.24,6.28,6.2,6.28,8137584
20101018,6.22,6.3,6.2,6.28,9667408
20101019,6.18,6.26,6.09,6.2,9758241
20101020,6.21,6.26,6.15,6.24,7301891
20101021,6.24,6.29,6.12,6.22,7431859
20101022,6.24,6.24,6.15,6.22,7673274
20101025,6.21,6.28,6.17,6.17,7933211
20101026,6.15,6.21,6.14,6.21,6541730
20101027,6.23,6.23,6.05,6.12,8450990
20101028,6.16,6.17,6.06,6.07,6481819
20101029,6.11,6.18,6.06,6.18,8456304
20101101,6.18,6.28,6.17,6.23,7954147
20101103,6.23,6.28,6.19,6.24,10325945
20101104,6.26,6.4,6.24,6.4,13445503
20101105,6.39,6.43,6.34,6.41,7225069
20101108,6.36,6.43,6.34,6.41,3532170
20101109,6.44,6.45,6.28,6.31,9919936
20101110,6.28,6.36,6.01,6.32,8946060
20101111,6.26,6.27,6.19,6.25,8461136
20101112,6.19,6.26,6.13,6.26,10465899
20101116,6.23,6.27,6.07,6.15,10026552
20101117,6.17,6.17,6.11,6.13,5750648
20101118,6.21,6.23,6.17,6.19,7615457
20101119,6.18,6.27,6.13,6.25,5423714
20101122,6.24,6.25,6.07,6.16,6838708
20101123,6.07,6.11,5.92,5.99,11486962
20101124,6.05,6.14,6.03,6.05,12015370
20101125,6.06,6.09,6,6.08,6183392
20101126,6.01,6.05,5.97,6.01,9199555
20101129,5.98,6,5.88,5.96,10332226
20101130,5.93,6.03,5.9,5.94,15281163
20101201,6.05,6.13,6.01,6.08,12014404
20101202,6.11,6.14,6.07,6.08,6366023
20101203,6.04,6.07,5.94,5.97,11010090
20101206,5.98,6.01,5.89,5.92,6182264
20101207,5.99,6.02,5.92,5.92,5389571
20101208,5.91,5.92,5.8,5.85,7959462
20101209,5.85,5.88,5.72,5.75,14651936
20101210,5.79,5.8,5.69,5.75,10491667
20101213,5.8,5.82,5.72,5.79,10044267
20101214,5.8,5.83,5.7,5.83,8450184
20101215,5.8,5.84,5.75,5.82,14222091
20101216,5.84,5.86,5.75,5.76,10493116
20101217,5.74,5.83,5.73,5.83,8370786
20101220,5.83,5.85,5.69,5.69,11329776
20101221,5.73,5.84,5.7,5.82,6600836
20101222,5.8,5.97,5.76,5.97,12373548
20101223,5.92,6.02,5.92,5.97,8714952
20101227,5.93,5.96,5.85,5.85,3039676
20101228,5.87,5.97,5.82,5.87,4893212
20101229,5.88,6.02,5.87,6.02,6664773
20101230,6.03,6.06,5.96,6.06,12598375
20110103,6.09,6.18,6.07,6.1,9323886
20110104,6.13,6.18,6.09,6.18,10227865
20110105,6.14,6.26,6.13,6.26,10289065
20110106,6.24,6.24,6.09,6.13,15225761
20110107,6.11,6.14,5.92,5.95,11219940
20110110,5.92,6.01,5.84,6.01,10773989
20110111,6.05,6.12,6.04,6.07,15541743
20110112,6.13,6.22,6.12,6.22,11709051
20110113,6.24,6.26,6.08,6.1,7337966
20110114,6.09,6.13,6.04,6.07,13002774
20110117,6.04,6.07,6,6.01,5257993
20110118,6.03,6.07,5.9,5.93,13593348
20110119,5.94,5.96,5.81,5.81,19518898
20110120,5.81,5.83,5.63,5.7,23256248
