<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,18.28,18.67,17.98,18.24,8502760
20100602,18.27,18.87,18.24,18.76,6666632
20100604,18.57,18.57,18.19,18.38,6259905
20100607,18.41,18.49,17.79,17.82,6243361
20100608,17.97,18.29,17.71,18.14,5179546
20100609,18.29,18.38,17.93,17.98,4737388
20100610,18.11,18.6,18.01,18.46,4774869
20100611,18.26,18.81,18.17,18.73,4876770
20100614,18.89,18.96,18.43,18.43,4563453
20100615,18.54,18.94,18.49,18.88,4255406
20100616,18.68,19.03,18.6,18.94,8926764
20100617,18.92,19.03,18.61,18.86,6228867
20100618,18.9,18.99,18.73,18.94,6788153
20100621,19.04,19.19,18.85,19.02,4919961
20100622,18.95,19.2,18.78,18.94,5813648
20100623,19.01,19.03,18.59,19.03,7034122
20100624,18.9,19,18.32,18.43,8604222
20100625,18.47,18.57,18.14,18.57,6495626
20100628,18.46,18.77,18.39,18.52,4059656
20100629,18.24,18.24,17.6,17.76,9850904
20100630,17.76,18.02,17.4,17.44,12958602
20100701,17.77,18.25,17.45,18.25,17789840
20100702,18.25,18.46,17.99,18.42,5771042
20100705,18.34,18.36,17.97,17.97,3218384
20100706,18.24,18.4,18.15,18.4,8332925
20100707,18.46,19.48,18.4,19.48,14053163
20100708,19.46,20.07,19.41,19.92,19374142
20100712,20.03,20.37,19.74,19.99,8886647
20100713,20.05,20.15,19.94,20.05,8588117
20100714,19.91,20.08,19.74,19.9,6472054
20100715,19.83,19.96,19.52,19.86,6525493
20100716,19.84,19.93,19.27,19.36,7411127
20100719,19.54,19.81,19.37,19.81,5214392
20100720,19.68,20.1,19.57,19.97,9209042
20100721,20.1,20.14,19.73,19.91,7211717
20100722,20.12,20.48,20.04,20.45,9926012
20100723,20.5,20.67,20.32,20.67,5906179
20100726,20.69,20.83,20.54,20.72,4577801
20100727,20.83,20.92,20.61,20.67,6644525
20100728,20.67,21.25,20.57,21.15,12815852
20100729,21.25,21.26,20.87,21.17,7272623
20100730,20.96,21.28,20.78,21.25,9968324
20100802,21.26,21.42,21.15,21.32,8498954
20100803,20.94,21.08,20.61,20.67,12716001
20100804,20.8,20.86,20.17,20.32,11967114
20100805,20.35,20.54,20.25,20.36,8575380
20100806,20.25,20.65,20.24,20.59,6710702
20100809,20.73,20.83,20.57,20.67,4563014
20100810,20.54,20.67,20.37,20.58,5195505
20100811,20.43,20.46,20,20.25,6548626
20100812,20.12,20.38,20.02,20.35,4521140
20100813,20.28,20.55,20.28,20.38,4026860
20100816,20.24,20.54,20.24,20.48,5173982
20100817,20.54,20.69,20.43,20.61,5368561
20100818,20.54,20.62,20.41,20.56,7543482
20100819,20.46,20.74,20.27,20.32,5617458
20100820,20.27,20.33,20.1,20.28,4337542
20100823,20.2,20.44,20.14,20.14,3768886
20100824,20.02,20.07,19.69,19.79,6237798
20100825,19.75,19.82,19.41,19.78,8054746
20100826,19.81,19.88,19.27,19.29,8830719
20100827,19.49,20.1,19.28,20.1,11882928
20100830,19.94,20.05,19.71,19.86,6941151
20100831,19.97,20.44,19.89,20.44,20897244
20100901,20.54,20.85,20.48,20.71,14058873
20100902,20.68,20.68,20.44,20.49,6329157
20100903,20.65,20.72,20.37,20.46,5405457
20100906,20.46,20.52,20.12,20.27,1196608
20100908,20.35,20.35,20.14,20.25,6757699
20100909,20.3,20.42,20.05,20.15,4198013
20100910,20.12,20.2,19.98,20.11,3902558
20100913,20.29,20.81,20.29,20.81,9326170
20100914,20.76,21.19,20.71,21.11,8821056
20100915,21,21.24,20.87,21.24,6655945
20100916,21.1,21.15,20.93,21.03,3646487
20100917,20.97,21.18,20.66,20.92,5436496
20100920,20.96,21.08,20.83,21.08,6105004
20100921,21.01,21.11,20.64,20.75,6562389
20100922,20.75,21.09,20.61,20.9,8419599
