<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140123,10.78,10.78,10.78,10.78,17500
20140124,11.25,11.25,11.25,11.25,500
20140127,11.57,11.57,11.57,11.57,500
20140128,11.65,11.65,11.39,11.56,86500
20140129,11.26,11.35,11.26,11.34,66000
20140130,11.26,11.44,11.2,11.2,174000
20140131,11.2,11.4,11.11,11.39,183500
20140203,11.11,11.11,10.87,11.02,46500
20140204,10.84,10.84,10.47,10.65,319500
20140205,10.74,10.74,10.19,10.41,1279500
20140206,10.7,11.02,10.31,10.65,1238000
20140207,10.84,10.89,10.1,10.84,1692000
20140210,10.29,11.02,10.29,10.94,872500
20140211,11.11,11.2,10.77,11.02,1121500
20140212,11.2,11.2,10.87,11.2,1915500
20140213,10.84,11.26,10.7,11.26,1340000
20140214,11.26,11.48,11.02,11.48,833500
20140217,11.39,11.59,11.24,11.5,811000
20140218,11.3,11.38,11.07,11.3,1162000
20140219,11.08,11.12,10.92,11.11,1960500
20140220,11.1,11.18,10.91,11.14,1738500
20140221,11.14,11.2,11.01,11.09,1463500
20140224,11.17,11.17,10.84,10.89,1001500
20140225,10.84,10.87,10.49,10.78,2024500
20140226,10.65,10.85,10.6,10.66,1286500
20140227,10.72,10.83,10.53,10.83,1218500
20140228,10.83,10.88,10.46,10.65,1914000
20140305,10.58,10.58,10.35,10.5,937500
20140306,10.5,10.5,10.31,10.38,1316000
20140307,10.38,10.39,10.16,10.16,1500500
20140310,10.16,10.16,9.69,9.81,1969000
20140311,9.87,9.87,9.55,9.74,1764000
20140312,9.66,10.06,9.63,10.04,2094500
20140313,10.08,10.08,9.74,9.91,1995500
20140314,9.81,10.01,9.69,9.92,2375000
20140317,9.88,9.98,9.74,9.81,1099500
20140318,9.85,10.25,9.72,10.25,3929000
20140319,10.25,10.46,10.09,10.33,1547000
20140320,10.32,10.48,10.12,10.45,1683500
20140321,10.4,10.4,10.22,10.26,1256500
20140324,10.26,10.35,10.15,10.3,1086500
20140325,10.54,10.54,10.1,10.49,1148000
20140326,10.5,10.54,10.12,10.41,3306300
20140327,10.55,10.68,10.15,10.64,2173800
20140328,10.74,10.82,10.44,10.64,1292700
20140331,10.7,10.79,10.5,10.78,2020400
20140401,10.75,10.84,10.58,10.73,1176900
20140402,10.73,11.09,10.63,11.09,1952600
20140403,10.8,11.12,10.8,11.12,972200
20140404,11.21,11.26,10.99,11.2,1513000
20140407,11.14,11.34,10.99,11.28,1768800
20140408,11.45,11.48,10.98,11.1,3117200
20140409,11.02,11.02,10.71,10.87,5283100
20140410,10.78,10.78,10.37,10.65,3973800
20140411,10.58,10.7,10.33,10.47,3900800
20140414,10.4,10.63,10.28,10.51,2436300
20140415,10.51,10.51,10.12,10.43,2117000
20140416,10.5,10.7,10.19,10.59,2530000
20140417,10.53,10.88,10.42,10.88,2406500
20140422,10.75,10.96,10.51,10.75,2923800
20140423,10.67,10.74,10.4,10.49,3230500
20140424,10.57,10.65,10.34,10.65,1648400
20140425,10.57,10.72,10.41,10.59,2169500
20140428,10.52,10.84,10.43,10.77,2104900
20140429,10.73,11.03,10.61,10.94,3339900
20140430,10.87,11.07,10.71,10.89,2620000
20140502,10.85,11.24,10.75,11.13,4041800
20140505,11.19,11.4,11.1,11.34,3066600
20140506,11.26,11.45,11.13,11.45,2558000
20140507,11.32,11.46,11.25,11.46,3995500
20140508,11.37,11.47,11.18,11.3,2274200
20140509,11.23,11.31,11.11,11.13,1479800
20140512,11.22,11.28,11.13,11.28,1015500
20140513,11.27,11.35,11.15,11.22,1146400
20140514,11.19,11.33,11.09,11.22,1471500
20140515,11.15,11.22,10.95,11.1,1318600
20140516,11.11,11.26,10.97,11.18,1830400
20140519,11.23,11.3,10.97,10.98,1547300
20140520,10.93,11.01,10.62,10.69,3116600
20140521,10.72,10.72,10.48,10.6,1795500
20140522,10.6,10.73,10.49,10.61,2144700
20140523,10.6,10.65,10.42,10.61,5899200
20140526,10.68,10.82,10.56,10.81,745000
20140527,10.83,10.88,10.55,10.65,1827400
20140528,10.65,10.8,10.57,10.76,2265900
20140529,10.76,10.82,10.67,10.76,1539700
20140530,10.65,10.73,10.48,10.65,5587100
20140602,10.58,10.75,10.55,10.69,2010300
20140603,10.64,10.79,10.56,10.77,1509700
20140604,10.77,10.77,10.5,10.66,1807500
20140605,10.59,10.68,10.55,10.56,1599400
20140606,10.77,10.79,10.57,10.61,2868600
20140609,10.61,10.8,10.58,10.67,2143500
20140610,10.62,10.64,10.38,10.52,3374200
20140611,10.63,10.68,10.41,10.5,2231100
20140613,10.52,10.52,10.3,10.39,2506000
20140616,10.4,10.4,10.15,10.24,1547100
20140617,10.24,10.28,9.99,10.2,2434700
20140618,10.24,10.43,10.07,10.39,3479100
20140620,10.26,10.69,10.2,10.66,4978200
20140623,10.63,10.64,10.42,10.43,899600
20140624,10.39,10.6,10.37,10.55,1599200
20140625,10.47,10.52,10.21,10.28,1898600
20140626,10.33,10.42,10.19,10.38,1501700
20140627,10.3,10.4,10.21,10.27,1113100
20140630,10.31,10.35,10.23,10.33,2702100
20140701,10.33,10.33,10.13,10.24,1738800
20140702,10.28,10.34,10.15,10.34,3444300
20140703,10.28,10.56,10.24,10.56,2066400
20140704,10.56,10.73,10.43,10.68,769900
20140707,10.61,10.71,10.54,10.71,889800
