<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,5.88,6.07,5.85,5.92,4197507
20100602,5.93,6.16,5.91,6.16,4551648
20100604,6.04,6.43,5.92,6.24,7308944
20100607,6.28,6.39,6.19,6.21,5971143
20100608,6.26,6.33,6.16,6.18,4720119
20100609,6.23,6.24,6.1,6.14,2692213
20100610,6.16,6.33,6.16,6.29,3483167
20100611,6.27,6.38,6.19,6.35,3909817
20100614,6.4,6.49,6.4,6.48,3300624
20100615,6.46,6.57,6.43,6.55,2969936
20100616,6.5,6.64,6.46,6.58,6806072
20100617,6.53,6.67,6.5,6.53,4717774
20100618,6.57,6.57,6.4,6.4,5989515
20100621,6.52,6.62,6.5,6.57,3634830
20100622,6.58,6.77,6.58,6.65,5405730
20100623,6.64,6.78,6.53,6.78,5995769
20100624,6.72,6.76,6.53,6.6,3335217
20100625,6.6,6.63,6.52,6.58,3870924
20100628,6.57,6.71,6.54,6.71,2743028
20100629,6.56,6.6,6.3,6.43,5777460
20100630,6.39,6.49,6.25,6.37,4846766
20100701,6.33,6.38,6.1,6.26,7137346
20100702,6.26,6.29,6.15,6.26,2892932
20100705,6.29,6.32,6.11,6.2,2219439
20100706,6.28,6.3,5.97,6.18,5592572
20100707,6.18,6.35,6.11,6.35,4592105
20100708,6.35,6.39,6.14,6.21,5462017
20100712,6.22,6.3,6.02,6.14,7449858
20100713,6.16,6.32,6.1,6.32,4023369
20100714,6.27,6.48,6.19,6.48,5250940
20100715,6.49,6.65,6.41,6.65,6346392
20100716,6.66,6.7,6.54,6.62,4714061
20100719,6.66,6.74,6.59,6.67,3258995
20100720,6.61,6.72,6.5,6.61,4709956
20100721,6.65,6.71,6.47,6.5,3975681
20100722,6.62,6.81,6.62,6.81,6854737
20100723,6.86,7.13,6.77,7.13,8901405
20100726,7.13,7.15,6.96,7.13,5096345
20100727,7.13,7.24,7.07,7.21,5992251
20100728,7.18,7.18,6.88,7.09,4113858
20100729,7.11,7.22,7.06,7.1,4165064
20100730,6.99,7.31,6.99,7.31,6498446
20100802,7.31,7.35,7.23,7.27,5703193
20100803,7.25,7.31,7.06,7.29,4698425
20100804,7.3,7.3,7.12,7.18,4046040
20100805,7.18,7.24,7.12,7.17,2947460
20100806,7.21,7.35,6.92,6.96,11830690
20100809,7.04,7.07,6.92,6.99,5056279
20100810,6.92,7.01,6.89,6.96,3296715
20100811,6.86,6.92,6.82,6.9,3236128
20100812,6.84,6.99,6.84,6.99,3373328
20100813,6.99,7,6.91,6.92,2882183
20100816,6.98,7.1,6.9,7.1,2521006
20100817,7.15,7.23,7.13,7.22,3220297
20100818,7.21,7.23,7.09,7.23,5233741
20100819,7.19,7.23,6.99,7.01,6008082
20100820,6.97,7.18,6.83,7.18,3416717
20100823,7.19,7.2,7.03,7.1,3264663
20100824,6.99,7,6.88,6.94,5062925
20100825,6.87,6.99,6.85,6.89,3163424
20100826,6.92,6.95,6.67,6.82,4370083
20100827,6.87,7.06,6.8,7.06,3010588
20100830,7.01,7.1,6.97,7.1,4459204
20100831,7.06,7.23,7,7.2,5691661
20100901,7.2,7.27,7.13,7.22,5578305
20100902,7.17,7.22,7.09,7.11,1352067
20100903,7.16,7.19,6.98,7.12,3376065
20100906,7.14,7.16,7.03,7.11,772191
20100908,7.06,7.09,6.89,6.89,4471712
20100909,6.92,6.95,6.85,6.9,4486175
20100910,6.93,6.99,6.91,6.94,3325836
20100913,6.99,7.16,6.98,7.16,3196063
20100914,7.14,7.22,7.08,7.18,5191330
20100915,7.14,7.4,7.14,7.4,6256098
20100916,7.45,7.49,7.36,7.45,3875223
20100917,7.39,7.56,7.25,7.54,4425393
20100920,7.52,7.61,7.45,7.6,4367151
20100921,7.61,7.64,7.49,7.59,4321418
