<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,7.22,7.34,7.21,7.23,1553500
20100602,7.15,7.41,7.15,7.32,2970000
20100604,7.22,7.33,7.2,7.23,4666500
20100607,7.25,7.52,7.25,7.4,3149500
20100608,7.43,7.74,7.43,7.51,5511000
20100609,7.54,7.59,7.28,7.34,2262500
20100610,7.41,7.54,7.35,7.42,2376500
20100611,7.36,7.73,7.36,7.7,2683000
20100614,7.69,7.78,7.62,7.73,3988000
20100615,7.75,7.83,7.69,7.83,1935000
20100616,7.76,8.15,7.73,8.13,7855000
20100617,8.14,8.42,8.13,8.28,8532000
20100618,8.21,8.4,8.04,8.04,8476500
20100621,8.2,8.22,7.95,7.96,5036000
20100622,8.04,8.38,8.03,8.27,6951500
20100623,8.26,8.38,8.23,8.32,5497000
20100624,8.24,8.33,8.08,8.15,2251500
20100625,8.16,8.38,8.15,8.29,2917000
20100628,8.25,8.64,8.25,8.64,5308500
20100629,8.5,8.59,8.23,8.36,5505000
20100630,8.3,8.58,8.3,8.3,3595500
20100701,8.33,8.36,7.99,8.02,4458500
20100702,8.04,8.19,7.97,8.1,3267000
20100705,8.2,8.3,8.08,8.08,1970000
20100706,8.16,8.33,8.06,8.13,4318500
20100707,8.17,8.36,8.08,8.34,4894000
20100708,8.31,8.34,8.04,8.07,6931000
20100712,8.17,8.21,7.99,8.02,2685000
20100713,8.09,8.36,8.09,8.33,4842500
20100714,8.24,8.7,8.22,8.7,6057000
20100715,8.67,8.83,8.55,8.55,7963500
20100716,8.59,8.62,8.38,8.38,4534500
20100719,8.44,8.59,8.4,8.57,3372000
20100720,8.5,8.65,8.45,8.63,4028000
20100721,8.64,8.7,8.4,8.5,4096000
20100722,8.58,8.86,8.57,8.86,6220000
20100723,8.82,8.92,8.72,8.81,3733000
20100726,8.83,8.9,8.64,8.64,2155500
20100727,8.71,8.86,8.71,8.81,9000500
20100728,8.81,8.89,8.75,8.89,4220500
20100729,8.96,9.31,8.94,9.23,10770500
20100730,9.36,10.03,9.32,9.98,14502500
20100802,10.16,10.16,9.49,9.51,12614000
20100803,9.47,9.47,9.01,9.23,11676000
20100804,9.27,9.61,9.14,9.36,5198000
20100805,9.38,9.45,9.2,9.2,4164500
20100806,9.3,9.3,8.92,8.92,4638500
20100809,9.03,9.14,8.75,8.88,6809500
20100810,8.82,9.04,8.82,8.97,5110500
20100811,9.01,9.2,8.86,9.14,3894500
20100812,9.16,9.4,9.16,9.38,4060000
20100813,9.37,9.46,9.27,9.33,3816500
20100816,9.36,9.4,8.88,9.36,2302000
20100817,9.42,9.67,9.31,9.67,3150500
20100818,9.68,9.81,9.52,9.77,5069000
20100819,9.77,9.92,9.45,9.45,4673000
20100820,9.43,9.71,9.37,9.6,2585000
20100823,9.63,9.77,9.51,9.51,3224000
20100824,9.42,9.59,9.41,9.56,3542000
20100825,9.47,9.53,9.2,9.24,5857000
20100826,9.36,9.48,9.06,9.07,4058500
20100827,9.14,9.28,8.98,9.12,5570500
20100830,9.14,9.44,9.12,9.38,2752000
20100831,9.4,9.74,9.4,9.6,5852000
20100901,9.6,9.77,9.54,9.65,5585500
20100902,9.65,9.74,9.5,9.58,2998500
20100903,9.65,9.72,9.37,9.37,7234000
20100906,9.38,9.47,9.36,9.36,1401000
20100908,9.35,9.45,9.09,9.14,6908000
20100909,9.23,9.27,9.14,9.18,6762000
20100910,9.24,9.34,9.18,9.34,5435500
20100913,9.35,9.46,9.22,9.24,6348000
20100914,9.28,9.31,9.1,9.13,6551500
20100915,9.1,9.18,8.99,9.16,5962500
20100916,9.22,9.42,9.18,9.39,4798500
20100917,9.37,9.42,9.19,9.27,8174500
20100920,9.35,9.57,9.31,9.53,3012000
20100921,9.54,9.58,9.26,9.29,3240000
20100922,9.32,9.46,9.29,9.36,4547500
20100923,9.38,9.77,9.31,9.6,7152000
20100924,9.65,9.82,9.49,9.71,4831500
20100927,9.7,9.79,9.53,9.68,2488500
20100928,9.67,9.72,9.55,9.56,3834500
20100929,9.53,9.63,9.48,9.63,3535500
20100930,9.67,9.82,9.55,9.82,4565000
20101001,9.86,10.13,9.75,10.03,7286000
20101004,10.03,10.12,9.94,10.06,3943500
20101005,10.13,10.49,10.06,10.38,8020000
20101006,10.38,10.64,10.38,10.5,7949500
20101007,10.49,10.62,10.27,10.5,4214500
20101008,10.5,10.89,10.5,10.8,7364500
20101011,10.83,10.9,10.63,10.84,3891500
20101013,10.86,11.05,10.85,10.96,6406000
20101014,10.96,11.01,10.85,10.97,3353500
