<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,9.32,9.45,9.22,9.25,2945400
20100602,9.29,9.61,9.24,9.52,2416700
20100604,9.3,9.45,9.17,9.29,1329000
20100607,9.25,9.57,9.25,9.45,1529800
20100608,9.5,9.65,9.38,9.65,1322300
20100609,9.67,9.77,9.45,9.45,1694500
20100610,9.65,9.89,9.65,9.86,2191800
20100611,9.85,10.01,9.7,9.86,2065000
20100614,9.94,10.14,9.85,9.93,2309300
20100615,10.01,10.2,9.83,10.07,1579800
20100616,10.02,10.19,9.78,10.01,2404600
20100617,9.94,10.38,9.94,10.38,3374100
20100618,10.4,10.43,10.01,10.01,3208600
20100621,10.15,10.34,10.11,10.29,2498100
20100622,10.25,10.54,10.19,10.46,2320500
20100623,10.52,10.81,10.26,10.81,3168200
20100624,10.72,10.82,10.49,10.58,2221700
20100625,10.54,10.91,10.54,10.86,1963500
20100628,10.79,10.97,10.62,10.62,1264300
20100629,10.42,10.62,10.18,10.3,3809300
20100630,10.42,10.84,10.18,10.18,3097500
20100701,10.26,10.46,9.97,10.35,3585200
20100702,10.42,10.87,10.19,10.72,2227400
20100705,10.64,10.91,10.54,10.54,670800
20100706,10.71,11.15,10.67,11.14,3795400
20100707,11.17,11.26,10.97,11,3202100
20100708,11.13,11.17,10.73,10.98,2345100
20100712,11.11,11.27,10.78,10.91,2202600
20100713,11.03,11.26,10.98,11.26,3011300
20100714,11.14,11.82,11.07,11.62,3712100
20100715,11.78,12.21,11.56,11.66,6098600
20100716,11.46,11.94,11.43,11.67,3219700
20100719,11.78,12.14,11.74,12.11,3191200
20100720,11.86,11.93,11.53,11.67,4130600
20100721,11.76,11.85,11.56,11.7,1805500
20100722,12.01,12.09,11.88,12.08,3016200
20100723,11.99,12.08,11.82,12.02,3026600
20100726,12.01,12.4,11.96,12.36,1986900
20100727,12.41,12.63,12.36,12.55,1905000
20100728,12.52,12.52,12.28,12.34,2444300
20100729,12.55,12.57,12.22,12.3,1568500
20100730,12.1,12.92,12.06,12.64,1945800
20100802,12.78,13.17,12.69,13.05,1551500
20100803,13.04,13.06,12.47,12.51,3385400
20100804,12.58,12.69,12.18,12.5,3315100
20100805,12.34,12.54,12.23,12.27,1857200
20100806,12.22,12.33,12,12.22,2502200
20100809,12.39,12.39,11.99,12.14,2240700
20100810,12.16,12.38,11.78,11.79,4254300
20100811,11.7,11.9,11.39,11.51,3899600
20100812,11.39,11.55,11.23,11.3,2761900
20100813,11.28,11.65,11.28,11.43,3934100
20100816,11.54,11.7,11.44,11.52,1900600
20100817,11.65,11.92,11.63,11.84,3861400
20100818,11.92,12.02,11.7,11.86,3367200
20100819,11.88,12.11,11.83,11.94,3793400
20100820,11.89,12.28,11.86,12.1,2282500
20100823,12.19,12.48,12.09,12.09,2594600
20100824,11.85,12.26,11.54,12.24,2056700
20100825,12.06,12.18,11.82,11.98,1681300
20100826,12.06,12.1,11.39,11.48,2333500
20100827,11.51,11.79,11.16,11.7,3637500
20100830,11.54,11.76,11.39,11.39,877500
20100831,11.31,11.88,11.31,11.74,2690000
20100901,11.85,12.36,11.85,12.32,2686800
20100902,12.38,12.38,12.12,12.31,1061600
20100903,12.34,12.39,11.88,12.02,1985900
20100906,12.06,12.08,11.82,12.01,466900
20100908,11.92,12.32,11.91,12.15,1697700
20100909,12.23,12.5,12.17,12.39,1419000
20100910,12.42,12.58,12.34,12.44,1395000
20100913,12.58,13.14,12.5,13.13,3477700
20100914,13.13,13.34,13.13,13.28,3309500
20100915,13.09,13.59,13.05,13.34,1914900
20100916,13.34,13.45,12.96,13.1,1354800
20100917,13,13.18,12.72,12.92,1372800
20100920,13,13.38,12.99,13.28,2025400
20100921,13.34,13.34,13.1,13.2,2068700
20100922,13.09,14.02,13.09,13.96,2871400
20100923,13.78,14.33,13.71,13.85,3943100
20100924,13.94,14.26,13.47,13.48,3412000
20100927,13.62,13.62,13.17,13.22,3234200
20100928,13.33,13.42,13.09,13.3,2211000
20100929,13.3,13.41,12.83,12.83,2753100
20100930,12.93,13.1,12.68,12.87,3755400
20101001,13.14,13.42,13.06,13.42,3788700
20101004,13.42,13.63,13.35,13.38,1689000
20101005,13.55,13.78,13.43,13.71,3746800
20101006,13.75,13.88,13.46,13.46,3743700
20101007,13.46,13.55,12.93,13.3,4038600
20101008,13.22,13.49,13.22,13.38,4495000
20101011,13.44,13.7,13.38,13.62,1555500
20101013,13.82,14.59,13.74,14.5,5707500
20101014,14.66,14.97,14.62,14.66,6421700
20101015,14.42,14.55,14.23,14.42,4289500
20101018,14.33,14.47,14.2,14.2,2782200
20101019,13.87,14.01,13.51,13.65,4843600
20101020,13.57,13.97,13.57,13.62,3377300
20101021,13.73,13.74,12.92,13.45,3885300
20101022,13.62,13.65,13,13.3,2427000
20101025,13.41,13.48,13.08,13.37,3033900
20101026,13.21,13.5,13.02,13.26,2773400
20101027,13.26,13.43,13.16,13.26,2586900
20101028,13.43,13.46,13.24,13.28,3186700
20101029,13.38,13.41,13.21,13.3,6545000
20101101,13.46,13.61,13.16,13.16,2518600
20101103,13.21,13.62,13.21,13.55,4361800
20101104,13.73,13.86,13.62,13.7,2815100
