<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,15.96,15.96,15.44,15.84,505470
20100602,15.76,16.12,15.71,15.96,393435
20100604,16.26,16.26,15.65,15.65,390600
20100607,15.76,16.51,15.52,15.8,639765
20100608,15.84,16.25,15.84,16.18,583590
20100609,16.26,16.26,15.68,15.71,559860
20100610,15.77,16.41,15.77,15.91,418740
20100611,15.88,16.34,15.88,16.08,267540
20100614,16.26,16.61,16.12,16.31,407610
20100615,16.44,16.74,16.37,16.47,373485
20100616,16.47,16.92,16.38,16.92,527835
20100617,16.84,17.27,16.84,17.27,588630
20100618,17.12,18.2,17.12,17.72,1155840
20100621,17.76,17.88,17.47,17.47,1314705
20100622,17.24,17.85,17.14,17.34,649740
20100623,17.48,17.48,16.94,17.26,637140
20100624,17.15,17.15,16.84,16.99,664860
20100625,16.93,17.93,16.93,17.76,4754295
20100628,17.68,18.09,17.68,18.09,279300
20100629,17.84,18.18,17.35,17.51,765240
20100630,17.89,17.94,17.3,17.47,634620
20100701,17.13,18.29,17.13,18.22,494235
20100702,18.05,18.71,17.8,18.3,621285
20100705,18.05,18.3,17.97,18.14,44625
20100706,18.14,18.64,18.11,18.64,555870
20100707,18.64,19.22,18.3,19.06,764400
20100708,19.06,19.09,18.4,18.78,1073205
20100712,18.81,18.93,18.39,18.82,440370
20100713,19.23,19.46,18.81,19.35,1017975
20100714,19.14,19.81,19,19.69,376845
20100715,19.48,20.01,19.35,19.73,951930
20100716,19.81,19.81,19.35,19.49,231630
20100719,19.49,19.83,19.35,19.56,313425
20100720,19.63,20,19.31,19.67,289695
20100721,19.96,20.23,19.35,19.36,417375
20100722,19.57,20.04,19.46,19.93,731640
20100723,19.93,20.06,19.58,20.06,738360
20100726,19.9,20.63,19.9,20.39,654780
20100727,20.48,21.2,20.48,20.98,1821855
20100728,20.95,21.02,19.84,20.64,901005
20100729,20.84,20.84,20.21,20.69,146685
20100730,20.7,20.73,20.1,20.33,736890
20100802,20.39,20.64,19.9,20.06,807660
20100803,20.13,20.3,19.57,19.81,392595
20100804,19.73,20.48,19.55,20.48,566475
20100805,20.47,20.76,20.05,20.28,246225
20100806,20.21,20.72,20.13,20.6,248430
20100809,20.72,20.76,20.15,20.38,334425
20100810,20.23,20.77,19.85,20.52,358995
20100811,20.2,20.34,20,20.05,280560
20100812,19.89,20.19,19.59,19.64,200550
20100813,19.88,19.88,19.37,19.56,232785
20100816,19.76,19.81,19.44,19.64,206955
20100817,19.8,19.88,19.66,19.73,250635
20100818,19.68,20.12,19.68,20.1,253890
20100819,19.92,21.06,19.92,20.94,625380
20100820,20.76,21.43,20.73,21.19,269535
20100823,21.15,21.43,20.65,20.74,355530
20100824,20.44,20.63,20.12,20.63,204855
20100825,20.35,20.56,19.98,20.14,476700
20100826,19.99,20.06,19.3,19.52,375900
20100827,19.56,20.17,19.25,20.03,298935
20100830,20.07,20.21,19.92,20.08,112875
20100831,20.01,20.59,19.77,20.48,291060
20100901,20.48,21.31,20.28,20.9,513765
20100902,20.73,21.02,20.56,20.85,320355
20100903,21.06,21.31,19.81,19.93,466410
20100906,19.98,20.48,19.65,20.48,270060
20100908,20.38,21.31,20.06,20.68,1885275
20100909,20.69,20.85,20.26,20.64,470400
20100910,20.8,21.23,20.56,20.73,363405
20100913,20.44,22.15,20.44,21.69,295470
20100914,21.53,22.25,21.1,21.72,648480
20100915,21.69,22.15,21.51,21.82,310590
20100916,22.04,22.57,21.57,22.14,402465
20100917,22.14,22.32,21.25,22.05,759570
20100920,22.07,22.22,21.55,22.06,416430
20100921,21.7,22.33,21.67,22.3,599340
20100922,22.16,22.99,22.16,22.57,643335
20100923,22.15,22.99,21.92,22.02,623805
20100924,22.07,22.32,21.35,21.73,538230
20100927,21.85,22.48,21.61,22.27,292005
20100928,22.4,22.78,22.24,22.56,575505
20100929,22.6,23.24,22.23,23.07,710010
20100930,22.99,23.8,22.58,23.78,1030785
20101001,23.45,25.11,23.45,24.62,1368990
20101004,24.45,25.04,24.11,25.03,720930
20101005,24.77,25.54,24.28,24.7,1317540
20101006,24.64,24.69,23.89,24.69,875490
20101007,24.54,24.95,24.04,24.45,1017030
20101008,24.41,26.13,24.14,24.89,980595
20101011,25.46,25.96,25.27,25.7,1024485
20101013,25.54,26.63,25.34,26.11,1371825
20101014,26.11,26.5,25.72,26.13,1028475
20101015,26.13,26.28,25.58,25.75,545055
20101018,25.5,25.57,25.14,25.15,457905
20101019,24.74,25.67,23.87,23.87,871710
20101020,23.99,24.37,23.87,23.87,1350825
20101021,23.89,24.94,23.55,24.94,461580
20101022,24.7,24.95,24.54,24.74,269535
20101025,24.5,24.69,23.47,24.28,412335
20101026,23.87,25.36,23.87,24.95,1481235
20101027,24.79,25.12,24.12,24.12,489090
20101028,24.45,24.7,23.53,23.94,1111740
20101029,23.99,24.53,23.44,23.57,14270445
20101101,23.85,24.17,23.66,23.74,581700
20101103,23.75,24.7,23.72,24.56,1283310
20101104,24.7,24.95,24.25,24.45,671055
20101105,24.61,24.62,23.8,24.19,483525
20101108,24.2,24.49,23.78,24.28,703815
20101109,24.07,24.62,23.51,23.61,680085
20101110,23.28,23.36,22.71,22.71,1366260
20101111,22.69,23.01,22,22.94,887460
20101112,22.53,23.03,22.53,22.94,308805
20101116,23.03,23.03,21.97,23.03,1038450
20101117,22.94,23.03,22.42,23,743925
20101118,23.2,23.7,22.73,23.56,1351455
20101119,23.53,23.68,23.04,23.11,445830
20101122,23.45,23.45,22.22,22.28,491085
20101123,22.18,22.27,21.23,21.75,754950
20101124,22.4,23.11,22.02,22.99,1273440
20101125,23.03,23.3,22.74,23.11,203595
20101126,22.78,23.44,22.61,23.4,341040
20101129,23.35,24.1,23.11,23.93,843360
20101130,24.28,24.28,23.58,23.58,594825
20101201,23.77,24.11,23.47,23.87,808605
20101202,24.1,24.49,23.69,24.28,524580
20101203,24.36,24.43,23.56,23.76,267645
20101206,23.74,23.86,22.99,23.45,419160
20101207,23.52,23.74,22.53,22.53,911295
20101208,22.61,22.94,22.3,22.94,626535
20101209,22.99,23.09,21.86,22.02,1151640
20101210,22.11,22.89,22.09,22.86,462525
20101213,22.85,23.23,22.68,22.78,310800
20101214,22.63,22.77,22.27,22.44,1172955
20101215,22.38,22.38,21.27,21.39,2286165
20101216,21.44,22.09,20.92,20.93,1202565
20101217,21.1,21.39,20.05,20.43,1650180
20101220,20.64,20.81,20.35,20.35,898170
20101221,20.43,21.6,20.43,21.35,1169385
20101222,21.51,21.77,21.2,21.39,921690
20101223,21.39,22.01,21.39,21.94,404775
20101227,21.94,22.06,21.68,21.77,183330
20101228,21.7,21.89,21.45,21.53,1073205
20101229,21.74,22.19,21.27,22.19,309750
20101230,22.15,22.53,21.85,22.53,661500
20110103,22.6,23.11,22.02,23.11,1278480
20110104,23.1,23.11,22.53,22.95,551775
20110105,22.92,23.61,22.71,23.53,851445
20110106,23.54,23.79,23.39,23.7,700875
20110107,23.68,23.68,23.16,23.29,1138410
20110110,23.21,23.24,22.77,23.02,611520
20110111,22.81,23.94,22.81,23.83,1059135
20110112,23.79,23.91,23.7,23.83,505050
20110113,23.82,23.95,23.63,23.71,612255
20110114,23.71,23.91,23.38,23.74,633570
20110117,23.7,23.7,23.07,23.28,660975
20110118,23.29,23.91,23.29,23.87,511770
20110119,23.85,23.9,23.58,23.76,393540
20110120,23.66,23.76,23.14,23.53,590100
20110121,23.53,23.77,22.79,23.03,538440
20110124,23.03,23.32,22.53,23.03,729120
20110126,23.03,23.11,21.71,21.84,1126860
20110127,21.89,22.05,20.63,20.84,1172220
20110128,20.68,21.01,20.12,20.34,1407630
20110131,20.47,21.18,20.31,21.05,1553265
20110201,21.27,22.25,21.15,22,1049475
20110202,22.28,22.41,21.64,21.64,1045485
20110203,21.71,21.84,20.48,20.76,1747095
20110204,20.68,21.32,19.94,20.3,3125010
20110207,20.47,20.51,19.96,20.34,225750
20110208,20.34,20.75,20.11,20.34,926835
20110209,20.5,20.63,19.09,19.33,1575000
20110210,19.21,19.8,18.71,19.5,1044330
20110211,19.57,19.68,19.16,19.67,1046220
20110214,19.61,20.17,19.39,19.91,1575210
20110215,19.99,20.5,19.67,20.42,1873515
20110216,20.42,20.66,20.27,20.42,749070
20110217,20.72,20.92,20.18,20.66,850815
20110218,20.59,21.42,20.41,21.1,1129380
20110221,21.09,21.09,20.52,20.6,193200
20110222,20.6,20.6,19.79,19.98,1043490
20110223,19.98,20.1,18.89,19.08,1655535
20110224,19.13,19.49,18.87,18.87,1350510
20110225,19.17,19.28,18.79,18.98,1344105
20110228,19.15,19.75,18.95,19.75,787710
20110301,19.74,20.09,19.48,19.88,687225
20110302,19.7,19.79,19.18,19.5,1040655
20110303,19.52,20,19.38,19.96,389025
20110304,19.97,20.31,19.36,19.93,1000860
20110309,20.09,20.09,19.37,19.71,880110
20110310,19.58,20.09,19.5,19.82,1490370
20110311,19.84,20.16,19.45,19.96,672000
20110314,20,20,19.41,19.75,480165
20110315,19.66,20.3,19.34,19.86,821940
20110316,19.9,20.3,19.9,19.92,1043070
20110317,20.18,20.18,19.92,20.05,730800
20110318,19.94,20.32,19.94,20,780675
20110321,20.07,20.49,20.07,20.17,484365
20110322,20.33,20.76,20.11,20.76,1311765
20110323,20.58,20.94,20.34,20.47,604275
20110324,20.6,20.71,20.47,20.71,487620
20110325,20.61,20.95,20.42,20.9,684915
20110328,20.9,21.26,20.5,20.72,671475
20110329,20.73,21.43,20.72,21.43,1176735
20110330,21.58,22.19,21.27,21.43,1194480
20110331,21.49,22.02,21.36,22.02,840945
20110401,22.12,22.91,22.12,22.91,1149120
20110404,22.87,23.18,22.47,22.66,679980
20110405,22.61,22.74,22.19,22.32,1273440
20110406,22.26,22.55,22.04,22.48,471975
20110407,22.53,22.9,22.09,22.47,732900
20110408,22.2,22.58,22.1,22.39,760830
20110411,22.33,22.81,22.25,22.74,775215
20110412,22.63,22.69,22.21,22.47,352905
20110413,22.53,22.68,21.51,21.94,775635
20110414,22.24,22.47,21.5,21.82,923370
20110415,21.88,21.94,21.59,21.77,444675
20110418,21.44,21.77,20.97,21.14,864360
20110419,21.42,21.83,21.14,21.83,833700
20110420,21.91,22.56,21.82,22.53,765660
20110425,22.41,22.74,22.09,22.15,468090
20110426,22.2,22.65,21.88,22.58,901635
20110427,22.41,22.91,22.2,22.58,505050
20110428,22.24,22.83,22.15,22.15,725025
20110429,22.39,23.06,22.15,22.74,912765
20110502,22.68,24.11,22.68,23.1,741195
20110503,23.1,23.1,22.16,22.3,575085
20110504,22.37,22.63,22,22,522060
20110505,22.12,22.38,22,22,534345
20110506,22.22,23.27,22.12,23.24,643965
20110509,23.06,23.56,22.85,23.48,504000
20110510,23.42,23.68,23.18,23.44,289905
20110511,23.47,23.56,22.91,23.18,354375
20110512,23.06,23.35,22.84,23.31,807240
20110513,23.18,23.65,23.02,23.48,1325940
20110516,23.2,23.53,23.1,23.27,909615
20110517,23.27,23.6,22.88,22.93,574035
20110518,22.68,22.93,22.24,22.42,681345
20110519,22.51,22.89,21.57,21.57,517020
20110520,21.58,21.58,21.16,21.22,1101555
20110523,21.02,21.07,20.66,20.81,1213170
20110524,20.98,21.72,20.83,21.57,833910
20110525,21.53,22.12,21.46,21.79,1457925
20110526,22.15,22.29,21.71,22.25,475650
20110527,22.29,23.08,22.04,23.01,1726410
20110530,23.13,23.13,22.25,22.29,425670
20110531,22.51,22.63,21.85,22.25,882630
20110601,22.34,22.83,22.03,22.42,2308635
20110602,22.41,22.81,22.27,22.42,1300215
20110603,21.79,22.73,21.7,22.47,1553580
20110606,22.37,22.6,22.26,22.51,959595
20110607,22.56,23.07,22.42,22.94,912870
20110608,23.01,23.69,22.84,22.96,476070
20110609,23.24,23.28,22.87,22.88,498960
20110610,22.67,23.35,22.67,23.35,1040550
20110613,23.37,23.42,22.67,22.97,559230
20110614,23.06,23.69,23.06,23.69,1411620
20110615,23.7,24.32,23.52,23.69,1515675
20110616,23.62,24.01,22.89,22.89,1036245
20110617,23.07,23.07,22.39,22.39,830130
20110620,22.33,22.85,22.28,22.73,829920
20110621,22.84,23.43,22.84,23.27,693420
20110622,23.39,23.39,22.76,22.84,838530
20110624,22.84,23.19,22.42,22.67,615195
20110627,22.66,23.22,22.55,23.18,1528590
20110628,23.24,24.16,23.14,24.03,1132950
20110629,23.83,24.19,23.69,23.69,382305
20110630,23.83,23.84,23.43,23.61,833595
20110701,23.55,24.14,23.39,23.88,840210
20110704,23.75,24.06,23.4,23.7,171675
20110705,23.64,23.78,23.09,23.09,743610
20110706,23.09,23.22,22.81,22.81,536550
20110707,22.96,23.72,22.81,23.36,677460
20110708,23.18,23.3,22.64,22.64,1032675
20110711,22.49,22.55,22.13,22.13,592095
20110712,22.13,22.66,22,22.23,1055250
20110713,22.23,22.72,22.23,22.36,918540
20110714,22.41,22.71,22.04,22.13,1199835
20110715,22.16,22.34,21.45,21.49,710010
20110718,21.37,22.36,21.37,21.96,1206765
20110719,21.8,22.14,21.25,21.25,982170
20110720,21.41,21.44,20.99,21.04,577605
20110721,21.04,22.48,21.04,22.3,1172220
20110722,22.46,22.66,22.09,22.39,643440
20110725,22.62,22.8,22.1,22.14,452025
20110726,22.14,22.53,21.82,22.05,607950
20110727,21.8,22.08,21.03,21.03,600285
20110728,21.07,21.67,20.94,21.37,631155
20110729,21.18,21.53,21.18,21.32,865515
20110801,21.33,21.79,20.65,20.82,916650
20110802,20.82,20.92,20.43,20.51,777840
20110803,20.39,20.56,19.26,19.56,1354500
20110804,19.08,19.31,18.7,19.29,1954890
20110805,19.32,20.09,18.78,19.93,1164345
20110808,18.68,19.28,18.65,18.99,1702680
20110809,18.98,20.5,18.98,19.76,980385
20110810,19.55,20.67,19.09,20.52,579600
20110811,20.48,21.28,20.48,21.07,1141770
20110812,21.29,21.29,20.35,20.35,645435
20110815,21.06,21.16,20.56,20.82,601860
20110816,20.89,21.57,20.24,21.2,904575
20110817,21.03,21.26,20.66,20.99,1028580
20110818,20.69,21.13,20.07,20.6,1086225
20110819,20.14,21.2,20.14,20.44,440265
20110822,20.61,21.2,20.61,20.73,578970
20110823,21.06,21.07,20.66,20.82,568260
20110824,21.04,21.04,20.43,20.56,1440810
20110825,20.6,20.74,19.76,20.18,1888215
20110826,20.12,20.91,20.02,20.6,1091055
20110829,20.92,22.16,20.73,21.79,828555
20110830,21.6,22.98,21.27,22.43,903000
20110831,22.42,23.73,22.42,23.47,1455300
20110901,24.21,25.44,23.81,24.17,2729475
20110902,23.57,24.5,23.16,23.57,668430
