<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100602,74.92,74.92,74.75,74.75,70
20100604,75.93,75.93,75.93,75.93,20
20100609,71.88,71.88,66.65,66.65,200
20100610,72.22,72.22,66.82,67.32,110
20100611,67.49,71.37,67.49,70.19,110
20100614,69.01,69.01,69.01,69.01,10
20100615,67.49,69.18,67.49,67.49,790
20100616,67.49,69.35,66.82,66.82,580
20100617,67.49,67.49,67.49,67.49,100
20100618,67.49,67.49,67.49,67.49,50
20100622,67.49,67.49,67.49,67.49,50
20100623,67.32,67.32,67.32,67.32,40
20100629,65.13,65.13,65.13,65.13,30
20100630,64.12,64.12,64.12,64.12,20
20100705,64.12,64.12,64.12,64.12,30
20100707,67.49,67.49,67.49,67.49,10
20100714,65.64,65.64,65.64,65.64,60
20100715,62.43,62.43,62.43,62.43,200
20100719,64.12,64.12,64.12,64.12,10
20100720,65.8,65.8,65.8,65.8,90
20100721,67.32,67.32,67.32,67.32,70
20100722,70.87,74.24,70.87,70.87,320
20100723,74.92,74.92,67.49,69.18,2230
20100726,67.49,72.05,67.49,68.34,1880
20100727,68,71.54,67.49,71.54,1530
20100728,68.34,71.54,67.49,69.69,1780
20100730,70.87,71.54,68,68,120
20100802,68.34,74.92,68.34,70.36,360
20100804,71.71,71.71,70.36,70.36,50
20100805,70.53,71.71,70.53,71.71,50
20100806,72.55,72.55,72.55,72.55,110
20100810,72.55,74.24,72.55,73.4,720
20100811,69.85,69.85,67.49,69.18,690
20100812,68,68,67.15,67.15,770
20100813,69.01,69.01,68.34,68.84,90
20100816,65.97,65.97,65.97,65.97,200
20100818,65.97,66.48,65.97,65.97,1150
20100820,67.83,67.83,65.97,65.97,20
20100823,65.97,65.97,65.97,65.97,100
20100824,65.97,65.97,62.6,62.6,890
20100831,59.22,62.09,59.22,60.24,60
20100901,62.43,62.43,62.43,62.43,50
20100902,63.27,63.27,63.27,63.27,100
20100903,69.35,69.35,69.35,69.35,20
20100910,66.65,67.15,62.43,66.48,920
20100913,66.48,66.48,66.48,66.48,130
20100920,65.64,65.64,65.64,65.64,10
20100928,59.73,62.43,59.73,62.43,40
20100929,60.91,60.91,60.74,60.74,40
20100930,60.74,60.74,60.74,60.74,10
20101001,61.59,61.59,60.74,60.74,50
20101004,61.08,63.95,60.91,63.95,90
20101005,62.43,66.82,62.43,66.48,250
20101006,66.31,66.48,62.6,62.6,40
20101007,62.94,62.94,62.6,62.6,130
20101008,60.74,61.42,59.9,61.42,210
20101011,62.43,62.43,62.43,62.43,40
20101015,62.43,62.43,62.43,62.43,30
20101019,59.22,59.22,57.7,58.72,480
20101020,59.22,59.22,57.37,57.37,450
20101021,58.04,58.04,55.68,56.35,430
20101022,56.66,56.69,52.47,53.32,163270
20101025,53.99,54.6,50.45,50.62,346970
20101026,50.45,52.17,49.91,51.93,291430
20101027,51.63,52.91,51.33,52.81,239570
20101028,53.18,53.52,52.3,52.98,257600
20101029,53.15,54.67,52.57,54.6,172010
20101101,54.84,57.64,54.03,56.86,240370
20101103,56.86,57.27,55.34,55.51,151960
20101104,56.52,56.52,53.35,53.35,197200
20101105,53.65,54.67,53.45,53.86,149300
20101108,53.99,54.26,52.14,52.14,318290
20101109,52.81,54.13,52.81,53.82,346980
20101110,53.55,55.31,53.32,55,166020
