<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,16.96,17.56,16.96,17.31,1281200
20100602,17.4,17.7,17.28,17.67,1168000
20100604,17.21,17.61,17.21,17.61,1477600
20100607,17.62,17.64,17.38,17.48,753600
20100608,17.48,17.57,17.3,17.42,841200
20100609,17.51,17.72,17.5,17.59,1466800
20100610,17.59,17.78,17.54,17.78,1367600
20100611,17.56,17.93,17.51,17.83,590000
20100614,17.83,18.04,17.64,18.02,998800
20100615,17.93,18.04,17.74,18.04,818800
20100616,17.83,18.02,17.71,17.87,1408000
20100617,17.83,17.93,17.62,17.67,1496000
20100618,17.67,17.91,17.53,17.74,883200
20100621,17.83,18.01,17.74,17.96,849200
20100622,17.92,18.17,17.7,18.07,875600
20100623,18.12,18.25,18,18.25,964800
20100624,17.89,18.51,17.85,18.38,1880000
20100625,18.22,18.65,18.19,18.59,1017200
20100628,18.45,18.83,18.45,18.76,678000
20100629,18.44,18.57,18.25,18.42,1882800
20100630,18.27,18.55,18.05,18.33,2288800
20100701,18.19,18.47,17.93,18.25,1995200
20100702,18.19,18.6,18.12,18.46,940400
20100705,18.74,18.77,18.27,18.59,578400
20100706,18.66,18.99,18.34,18.53,1058000
20100707,18.63,18.68,18.26,18.57,1032800
20100708,18.57,18.57,18.35,18.57,819600
20100712,18.46,18.89,18.06,18.67,788800
20100713,18.67,18.84,18.51,18.8,1518000
20100714,18.64,18.65,18.48,18.62,1137600
20100715,18.59,18.74,18.45,18.64,867200
20100716,18.55,18.68,18.44,18.55,1455600
20100719,18.55,18.63,18.46,18.52,956400
20100720,18.32,18.67,18.32,18.67,1750400
20100721,18.61,18.84,18.45,18.45,631200
20100722,18.55,18.89,18.42,18.42,1127600
20100723,18.4,18.52,18.14,18.25,1388000
20100726,18.23,18.7,18.15,18.7,603200
20100727,18.72,18.87,18.52,18.87,1348400
20100728,18.76,18.78,18.53,18.78,2362000
20100729,18.87,18.91,18.63,18.83,510000
20100730,18.68,19.17,18.66,19.12,1115200
20100802,19.32,19.73,19.29,19.54,866800
20100803,19.52,19.7,19.28,19.58,657200
20100804,19.43,20.02,19.38,20.02,1123200
20100805,19.99,19.99,19.6,19.74,646400
20100806,19.74,19.98,19.61,19.7,1077200
20100809,19.63,19.99,19.53,19.77,565600
20100810,19.59,19.72,19.39,19.55,707600
20100811,19.42,19.47,19.16,19.33,588400
20100812,19.3,19.53,19.14,19.31,422400
20100813,19.48,19.74,19.42,19.61,852800
20100816,19.82,20.5,19.51,20.5,800400
20100817,20.5,20.67,20.28,20.48,1620000
20100818,20.55,20.74,20.26,20.73,1293200
20100819,20.72,20.72,20.43,20.67,1462400
20100820,20.54,20.69,20.36,20.66,460400
20100823,20.61,20.83,20.25,20.41,510800
20100824,20.14,20.76,20.14,20.76,909200
20100825,20.65,20.79,20.44,20.65,1123200
20100826,20.56,20.67,20.22,20.37,1100800
20100827,20.37,20.76,20.37,20.65,583200
20100830,20.55,20.75,20.44,20.63,356800
20100831,20.59,20.76,20.46,20.76,1369200
20100901,20.76,20.98,20.38,20.59,1869600
20100902,20.61,20.7,20.14,20.24,945600
20100903,20.5,20.57,20.23,20.23,1079600
20100906,20.43,20.54,20.12,20.25,188000
20100908,20.29,20.29,20.01,20.07,652400
20100909,20.38,20.42,20.13,20.42,1185600
20100910,20.53,20.68,20.31,20.47,1678400
20100913,20.72,20.87,20.63,20.85,2416400
20100914,20.81,20.97,20.76,20.87,894000
20100915,20.9,20.97,20.76,20.95,1019600
20100916,20.87,20.93,20.72,20.87,365200
20100917,20.87,21.28,20.74,21.24,807200
20100920,21.19,21.3,20.96,21.29,672800
20100921,21.28,21.28,20.84,21.26,1330800
20100922,21.25,21.48,21.11,21.46,1050800
20100923,21.36,21.47,21.01,21.18,1256000
20100924,21.26,21.4,21.1,21.3,1021200
20100927,21.38,21.46,21.13,21.29,826400
20100928,21.39,21.46,21.29,21.34,878400
20100929,21.29,21.4,21.15,21.22,964000
20100930,21.22,22.03,21.22,21.9,1880400
20101001,22.1,22.38,21.65,22.06,704800
20101004,22.05,22.2,21.69,22.08,811200
20101005,22.08,22.45,21.93,22.16,1102800
20101006,22.2,22.38,22.06,22.25,1126400
20101007,22.68,22.68,21.85,22.1,1128000
20101008,22.1,22.57,21.93,22.3,472400
20101011,22.43,22.65,22.3,22.57,369600
20101013,22.83,23.24,22.67,22.81,1686400
20101014,22.81,23.23,22.74,22.98,440000
20101015,23.24,23.25,22.29,22.49,722800
20101018,22.49,22.54,22.1,22.27,651600
20101019,22.15,22.27,21.78,21.92,712800
20101020,21.99,22.38,21.74,22.01,1048000
