<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100601,36.32,36.96,36.3,36.39,3587400
20100602,36.3,37.49,36.3,37.16,2078600
20100604,36.06,36.28,34.9,35.4,4768500
20100607,35.5,35.63,34.23,34.29,2832900
20100608,34.59,35.04,34.14,34.66,1960900
20100609,35.07,35.85,34.78,34.78,3271400
20100610,35.26,35.87,35.26,35.42,2595300
20100611,35.26,36.06,35.04,35.85,1917400
20100614,36.41,36.71,35.72,35.87,2529300
20100615,36.16,36.61,35.94,36.38,1905500
20100616,36.19,36.96,35.89,35.93,4213600
20100617,36.18,36.23,34.96,35.3,2759800
20100618,35.39,35.48,34.74,34.96,3562300
20100621,36.08,36.51,35.93,36.06,3209000
20100622,36.16,36.42,35.71,35.71,3258100
20100623,36.02,36.15,35.54,36.14,2161700
20100624,35.98,36.08,35.26,35.33,2461700
20100625,35.48,35.89,35.11,35.77,2003600
20100628,35.71,36.03,34.99,35.1,2372200
20100629,34.04,34.14,33.1,33.4,4002500
20100630,33.34,33.54,32.36,32.47,3217400
20100701,32.44,32.74,31.87,32.61,3237100
20100702,32.74,32.96,31.99,32.45,2986200
20100705,32.43,32.61,31.61,31.99,1315100
20100706,32.88,32.99,31.93,32.39,3854600
20100707,32.36,33.19,32.06,33.17,2440200
20100708,33.46,34.04,32.77,33.28,2510400
20100712,33.47,33.55,32.54,32.79,2001500
20100713,33.18,33.21,32.63,32.85,2181500
20100714,32.99,32.99,32.45,32.86,1665000
20100715,32.8,32.8,32.21,32.6,2183500
20100716,32.36,32.48,31.87,31.87,2713700
20100719,32.13,32.77,32.06,32.77,1670100
20100720,32.69,34.69,32.62,34.62,6193400
20100721,34.97,35.71,34.6,34.82,3999400
20100722,35.38,36,35.3,35.56,2916800
20100723,35.7,36.08,35.12,35.83,1910800
20100726,35.88,36.29,35.67,35.85,1479800
20100727,36.15,36.29,35.41,35.71,2521400
20100728,35.59,36.34,35.56,36.34,2589100
20100729,36.45,36.67,35.9,36,3996000
20100730,35.82,36.59,35.63,36.12,3436400
20100802,36.45,37.71,36.45,37.59,3750800
20100803,37.53,37.92,37.12,37.54,2259300
20100804,37.85,37.91,37.05,37.51,2676400
20100805,37.42,37.76,37.3,37.68,1577200
20100806,37.39,37.83,37.34,37.63,1603300
20100809,37.8,38.05,37.58,37.72,1363500
20100810,37.23,37.42,36.77,37.19,2632100
20100811,36.56,36.61,35.94,35.94,2712000
20100812,35.59,36.35,35.55,36.24,2206700
20100813,36.21,36.75,36.17,36.3,2056900
20100816,36.29,37.03,36.29,36.78,1701600
20100817,37.1,37.31,36.67,37.2,2574400
20100818,37.25,37.54,36.86,37.45,3112700
20100819,37.36,37.86,37.05,37.08,2324500
20100820,37.18,37.19,36.42,36.63,2762100
20100823,36.84,36.86,35.49,35.58,3855000
20100824,35.06,35.25,34.66,34.81,2612400
20100825,34.66,34.81,34.08,34.5,3619300
20100826,34.66,35.11,34.02,34.11,2688000
20100827,34.52,35.3,34.2,35.3,3217800
20100830,35.22,35.22,34.29,34.37,2222900
20100831,34.37,34.98,34.34,34.87,2696400
20100901,35.36,36.64,35.26,36.49,3302400
20100902,36.49,36.52,35.95,36.14,1865300
20100903,36.78,36.78,35.97,36,2355800
20100906,36.35,36.35,35.44,35.71,668200
20100908,35.33,35.46,34.92,35.1,1794900
20100909,35.31,35.56,35.07,35.19,1704500
20100910,35.22,35.26,34.64,34.86,1692500
20100913,35.41,35.93,35.27,35.85,2101100
20100914,35.85,36.12,35.39,35.56,2848700
20100915,35.53,35.77,35.16,35.77,2847100
20100916,35.7,35.7,35.34,35.53,2819600
20100917,35.52,35.61,35.06,35.06,2577500
20100920,35.33,35.78,35.02,35.78,2419100
20100921,35.82,36.16,35.42,35.89,3159500
20100922,35.59,37.05,35.59,36.54,4531000
20100923,36.26,37.23,36.26,36.55,4919300
20100924,37.42,37.86,37.31,37.81,5616300
20100927,37.86,38.83,37.74,38.5,3151100
20100928,38.61,38.96,38.12,38.8,2966300
20100929,38.57,38.91,38.46,38.82,3570600
20100930,38.98,39.2,38.53,38.91,3965500
20101001,39.14,39.37,38.82,39.28,3685100
20101004,38.99,39.31,38.87,39.31,2912400
20101005,39.5,39.95,39.17,39.81,2919600
20101006,39.84,40.24,39.65,39.92,3969600
20101007,40.13,40.14,39.52,39.78,4498600
20101008,39.72,40.09,39.52,39.65,3228800
20101011,39.72,40.02,39.52,39.87,1392000
20101013,39.99,40.11,39.83,39.84,4192100
20101014,39.86,40.56,39.8,39.98,3316700
20101015,40.39,40.51,39.69,40.1,2104800
20101018,40.04,41.12,40.03,40.97,2406100
20101019,40.22,40.74,39.76,39.99,3312800
20101020,40.14,41.33,40.14,41.18,3346400
20101021,41.36,41.54,40.09,40.51,4176700
20101022,40.59,40.78,39.75,40.55,4016300
20101025,40.8,41.21,40.63,40.89,3291400
20101026,40.84,41.67,40.36,41.49,3250800
20101027,40.97,41.56,40.6,41.08,4706900
20101028,41.79,41.81,40.28,40.29,4600500
20101029,40.33,40.68,40.04,40.29,4216500
20101101,40.59,41.19,40.29,41.19,3023200
20101103,41.31,41.33,40.45,40.74,3970700
20101104,41.18,42,40.95,41.78,3326000
20101105,41.72,42.28,41.42,41.87,3241700
20101108,41.58,42.49,41.58,42.17,2264000
20101109,42.39,42.99,42.02,42.02,3115400
20101110,41.77,42.22,41.29,41.94,2558600
20101111,41.93,42.38,41.65,42.12,2349000
20101112,41.34,42.47,40.98,41.34,2718900
20101116,41.11,41.15,40.05,40.51,3617400
20101117,40.66,40.91,40.27,40.45,1991200
20101118,41,41.58,40.82,41.52,2741200
20101119,41.09,41.84,40.9,41.68,3227300
20101122,41.3,41.84,41.23,41.57,2938500
20101123,41.09,41.21,40.38,40.51,3550200
20101124,40.92,41.71,40.78,41.54,2139800
20101125,41.49,41.75,41.28,41.28,859700
20101126,40.97,41.14,40.63,40.66,2194000
20101129,40.54,40.97,40.19,40.75,3615500
20101130,40.66,41.04,40.24,40.26,4567500
20101201,40.99,41.72,40.87,41.57,2670900
20101202,41.68,42.39,41.5,42.02,2704000
20101203,41.98,42.61,41.87,42.54,2396900
20101206,42.54,42.87,42.51,42.73,1445000
20101207,43.15,43.32,42.63,42.63,2037600
20101208,42.42,42.58,41.69,41.69,3076600
20101209,41.77,42.39,41.77,42.15,2353500
20101210,42.45,42.7,42.16,42.67,2137900
20101213,42.9,43.92,42.84,43.74,2873100
20101214,43.57,43.93,43.27,43.36,2008800
20101215,43.13,43.26,42.69,42.69,2557800
20101216,42.84,43.15,42.53,42.66,2255300
20101217,42.75,42.92,42.4,42.77,2958000
20101220,43.05,43.07,42.47,42.47,2233300
20101221,42.73,43.26,42.69,42.99,2573900
20101222,42.96,43.02,42.61,42.87,1769400
20101223,42.9,43.03,42.72,42.73,1462500
20101227,42.66,42.66,41.51,41.51,3117100
20101228,41.66,41.72,41,41.15,2410500
20101229,41.34,41.64,41.18,41.43,2686100
20101230,41.65,42.1,41.43,41.59,3518200
20110103,42.32,43.21,42.12,42.82,5107800
20110104,43.22,43.79,43.21,43.71,4104200
20110105,43.38,44.55,43.37,44.5,3288400
20110106,44.46,44.75,43.93,43.93,2986900
20110107,44,44.12,43.24,43.6,2775200
20110110,43.32,43.93,43.18,43.51,2833200
20110111,43.93,44.35,43.86,43.97,2793300
20110112,44.4,45.25,44.35,45.19,4895100
20110113,45.22,45.66,44.87,44.87,3285100
20110114,44.72,45.23,44.52,45.07,2793000
20110117,44.96,45.7,44.77,45.47,1496400
20110118,45.69,46.26,45.4,46.04,2545400
20110119,46.1,46.2,45.04,45.04,2695300
20110120,44.84,45.04,43.85,44.28,4423200
20110121,44.77,45.15,44.3,44.59,1920200
20110124,44.74,45.19,44.36,44.89,1766900
20110126,44.7,45.04,44.53,44.85,2714300
20110127,45.02,45.05,44.27,44.4,2259200
20110128,44.32,44.33,42.6,43.13,3728400
20110131,43.25,43.55,42.97,43.13,2203800
20110201,43.64,44.37,43.41,44.2,2211800
20110202,44.2,44.59,43.17,43.38,2477800
20110203,43.19,43.69,42.89,43.28,1993200
20110204,43.2,43.55,42.24,42.58,2382500
20110207,43.04,43.23,42.37,42.89,2316600
20110208,42.64,42.99,42.34,42.55,2976600
20110209,42.27,42.7,41.22,41.26,2174500
20110210,41.12,42.23,41.12,41.8,3693000
20110211,41.87,42.67,41.65,42.66,3476200
20110214,42.66,43.75,42.66,43.49,2407700
20110215,43.35,43.75,43.07,43.35,2428800
20110216,43.38,43.97,43.26,43.76,2907400
20110217,43.97,44.05,43.43,43.82,2943400
20110218,43.59,43.85,43.17,43.38,2280800
20110221,43.18,43.18,42.36,42.39,775600
20110222,42.26,42.76,41.45,41.55,4495400
20110223,41.73,42.41,41.26,42.32,3257100
20110224,42.31,42.7,41.65,41.95,3534000
20110225,43,43.15,42.08,42.09,2695700
20110228,42.27,42.58,42.08,42.55,2654000
20110301,42.58,42.7,41.65,41.74,2473100
20110302,41.56,42.5,41.43,42.45,2390000
20110303,42.77,42.87,42.52,42.77,2093400
20110304,42.58,42.72,41.75,42.05,2749100
20110309,40.87,41.56,40.44,40.52,2628100
20110310,40.02,40.02,39.09,39.37,5862700
20110311,39.23,39.99,38.9,39.92,3897300
20110314,39.61,40.05,39.21,40.05,2864600
20110315,38.7,39.49,38.34,39.33,4634700
20110316,39.64,39.66,38.24,38.35,4272000
20110317,38.96,39.56,38.77,39.44,5078400
20110318,39.72,40.26,39.64,39.96,3065600
20110321,40.54,40.65,39.98,40.05,2107800
20110322,39.93,39.96,39.33,39.82,3153800
20110323,39.82,40.57,39.82,40.42,2787900
20110324,40.54,40.54,39.6,39.94,3479100
20110325,40.05,40.31,39.42,39.95,2177900
20110328,39.61,40.16,39.54,39.68,1970600
20110329,39.79,40.73,39.73,40.5,2643500
20110330,40.26,40.69,39.86,39.98,4862100
20110331,40.05,40.44,39.48,40.32,3926800
20110401,40.24,40.62,39.9,40.06,1916100
20110404,40.39,40.92,39.77,40.92,4200400
20110405,40.61,41.41,40.61,41.11,4676300
20110406,41.25,41.34,40.37,40.47,4522200
20110407,40.47,40.53,39.82,40.13,3407100
20110408,40.34,40.34,39.77,40.05,2722200
20110411,40.26,40.48,39.91,40.1,2679500
20110412,39.69,39.76,39.12,39.3,2915400
20110413,39.56,39.59,38.62,38.73,3692100
20110414,38.78,39.35,38.64,39.22,3970000
20110415,39.39,39.44,38.81,39.12,2343500
20110418,38.89,38.97,38.25,38.73,2222100
20110419,38.95,39.17,38.7,39.08,2737800
20110420,39.87,39.87,39.55,39.79,2879700
20110425,39.81,40.18,39.39,40.18,3007700
20110426,40.14,40.26,39.94,40.21,3452100
20110427,40.15,40.22,39.31,39.69,3603700
20110428,39.35,39.72,39.21,39.39,3962500
20110429,39.46,39.79,39,39.61,3882300
20110502,39.63,39.73,38.8,39.17,4291100
20110503,39,39,38.17,38.28,2769300
20110504,38.44,38.47,37.5,37.56,5822700
20110505,37.36,38.21,37.29,38.04,5286700
20110506,38.34,38.51,37.76,38.05,3748600
20110509,38.09,38.34,37.73,38.2,2737700
20110510,38.31,38.43,37.95,38.11,2484900
20110511,37.95,38.01,36.89,36.98,3430400
20110512,36.69,37.37,36.26,37.05,2975600
20110513,36.87,37.15,36.24,36.45,2396900
20110516,36.17,37.02,36.1,36.3,3115000
20110517,36.22,36.76,36,36.68,1990100
20110518,36.8,37.2,36.64,36.79,2928600
20110519,37.23,37.51,37.05,37.12,2825600
20110520,37.34,37.63,36.9,37.28,4131100
20110523,36.6,37.24,36.56,37.24,1939900
20110524,37.4,37.71,37.3,37.6,1943700
20110525,37.52,37.86,37.43,37.69,2141900
20110526,37.47,38.28,37.47,38.28,2815000
20110527,38.44,38.77,38.28,38.51,3257200
20110530,38.85,38.85,38.31,38.34,673300
20110531,38.77,38.77,38.06,38.43,4042700
20110601,38.24,38.51,37.91,38.06,3218300
20110602,38.08,38.31,37.68,38.12,4069400
20110603,37.85,38.12,37.6,37.8,5049500
20110606,37.8,37.87,37.36,37.51,2078700
20110607,37.78,37.85,37.36,37.44,3341700
20110608,37.16,37.47,37.11,37.47,2188500
20110609,37.51,37.92,37.32,37.89,1943900
20110610,37.79,37.79,37.27,37.47,2065800
20110613,37.39,37.46,36.68,36.77,3338500
20110614,36.98,37.08,36.67,36.95,4334000
20110615,36.61,36.71,36.29,36.71,4116700
20110616,36.71,36.82,35.97,36.3,3235900
20110617,36.51,36.56,35.85,36.11,3107600
20110620,35.92,36.77,35.92,36.67,2337400
20110621,36.82,37.27,36.82,37.01,2845800
20110622,36.86,37.51,36.78,37.13,3192600
20110624,37.24,37.47,37.11,37.38,2098200
20110627,37.25,37.43,36.93,37.11,3447500
20110628,37.24,37.56,37.17,37.56,2681200
20110629,37.69,37.75,37.36,37.58,3372200
20110630,37.66,37.93,37.58,37.85,3518500
20110701,38.35,39.55,38.29,39.53,6465100
20110704,39.39,40.13,39.27,40.04,1438300
20110705,39.81,39.88,39.16,39.23,3852200
20110706,39.03,39.26,38.79,39.1,2059700
20110707,39.45,39.62,39.32,39.35,3439100
20110708,39.04,39.25,38.89,39.08,3487300
20110711,38.81,38.81,38.51,38.74,2995200
20110712,38.6,39.16,38.44,38.77,2341400
20110713,39.04,39.48,39.01,39.26,2919200
20110714,39.16,39.38,38.47,38.72,3964600
20110715,38.73,38.83,38.44,38.7,3286700
20110718,38.57,39.03,38.45,38.81,2993600
20110719,39,39.2,38.65,38.9,2604500
20110720,39.08,39.16,38.71,38.9,3916000
20110721,38.89,39.39,38.76,39.01,3384800
20110722,38.96,39.29,38.92,39.13,4026700
20110725,38.98,39.32,38.88,39.1,3084000
20110726,39.15,39.39,38.78,39.06,2978600
20110727,38.93,39.13,38.66,38.77,4454700
20110728,38.9,39.21,38.8,39.12,4635200
20110729,38.66,38.77,38.1,38.38,9079000
20110801,38.63,38.83,38.08,38.39,4592400
20110802,38.32,38.54,37.58,37.59,3544500
20110803,37.37,37.55,35.52,36.6,6207100
20110804,35.56,35.69,34.24,34.49,8555300
20110805,34.56,35.12,32.65,33.65,8377500
20110808,31.89,32.23,30.25,30.44,8566500
20110809,31.14,32.29,30.8,32,9314700
20110810,31.81,32.43,31.35,32.03,5815000
20110811,32.5,33.58,32.09,33.42,5550000
20110812,33.63,33.8,33.02,33.28,4951300
20110815,33.68,34.1,33.53,33.89,3739000
20110816,33.51,33.78,33.17,33.66,4973600
20110817,33.61,34.25,33.55,34.23,5192200
20110818,32.27,32.67,31.9,32.51,6494100
20110819,32.04,32.79,31.81,32.04,7407900
20110822,32.56,32.68,31.94,31.99,4024100
20110823,32.04,33.05,31.88,33.05,5473000
20110824,33.02,33.32,32.59,33.27,3621800
20110825,33.26,33.36,32.58,32.9,5012100
20110826,32.66,33.68,32.19,33.45,3930900
20110829,33.79,34.34,33.78,34.3,7141300
20110830,33.99,34.6,33.95,34.38,3673800
20110831,34.66,35.06,34.38,35.01,5086600
20110901,35.16,35.42,34.85,35.22,6437600
20110902,35.01,35.01,34.31,34.7,3528300
20110905,34.03,34.29,33.73,33.91,1319500
20110906,33.55,34.98,33.37,34.87,4851100
20110908,35.46,35.91,35.32,35.63,4389000
20110909,35.34,35.47,34.7,35.09,3799400
20110912,34.46,35.35,34.26,35.29,2930300
20110913,35.41,35.79,35.18,35.56,2857600
20110914,35.78,36.3,35.16,35.99,3910700
20110915,36.08,36.68,36.04,36.38,3918500
20110916,36.6,36.73,36.24,36.57,2511400
20110919,36.25,37.07,36.18,37.07,3635600
20110920,36.94,38.17,36.94,37.45,3266200
20110921,37.82,37.85,36.69,36.82,7707600
20110922,35.48,35.77,34.44,34.87,7102300
20110923,34.72,34.99,34.12,34.62,7604000
20110926,34.85,34.99,33.61,34.16,4999500
20110927,35.26,35.28,34.48,34.56,4349700
20110928,34.66,35.11,34.35,34.37,3545700
20110929,34.7,34.92,33.63,34.16,4571500
20110930,33.68,33.91,33.05,33.33,5480100
20111003,32.78,33.21,32.27,32.33,4785400
20111004,31.97,32.18,31.16,32.04,7162400
20111005,32.16,32.73,31.92,32.7,4382800
20111006,33.49,33.6,32.95,33.17,4857300
20111007,33.48,33.54,32.16,32.2,3035000
20111010,32.62,33.27,32.35,33.21,4205000
20111011,33.13,33.74,32.99,33.7,3529100
20111013,33.91,34.38,33.43,34.34,4098800
20111014,34.38,34.54,34.08,34.4,4985300
20111017,34.19,34.19,32.81,33.11,4539200
20111018,32.7,33.35,32.2,33.24,4671300
20111019,33.12,33.15,31.2,32.12,7476500
20111020,32.03,32.03,31.28,31.72,5132500
20111021,32.05,32.59,31.92,32.44,3772300
20111024,33.08,34.51,32.96,34.36,6188400
20111025,33.92,34.35,33.64,33.94,4831300
20111026,34.35,35.07,34.06,34.91,4548400
20111027,36,36.47,35.75,35.85,8997000
20111028,35.51,35.91,35.34,35.68,3825900
20111031,35.03,35.12,34.51,34.97,3772700
20111101,33.55,34.64,33.55,34.64,6758300
20111103,35,35.95,34.93,35.75,6813600
20111104,35.53,36.6,35.52,36.48,4541300
20111107,36.4,37.03,36.31,36.8,3116700
20111108,37.16,37.2,36.25,36.57,2702800
20111109,36.12,36.32,35.79,35.97,3414200
20111110,36.21,36.56,35.75,35.75,2312000
20111111,36.25,36.62,36.11,36.34,2123400
20111114,36.16,36.43,36.07,36.16,1355900
20111116,36.23,36.96,36.17,36.47,3221400
20111117,36.24,36.55,35.39,35.48,4125000
20111118,35.68,35.83,34.86,35.36,2168600
20111121,34.76,35.45,34.59,35.15,13514500
20111122,35.27,35.51,34.72,34.84,4000300
20111123,34.27,34.5,33.69,33.92,3863200
20111124,34.23,34.28,33.6,33.96,1066800
20111125,33.62,34.05,32.89,33.19,3842300
20111128,33.99,34.07,33.51,33.51,2965500
20111129,33.68,33.8,32.93,33.04,3773000
20111130,33.12,34.06,32.82,33.32,7656300
20111201,33.83,33.94,33.04,33.52,5247900
20111202,33.91,34.23,33.6,33.94,3410600
20111205,34.31,34.78,34.13,34.56,2885400
20111206,34.41,34.68,34.19,34.52,3128200
20111207,34.39,34.44,33.02,33.02,6661000
20111208,33.13,33.3,32.13,32.34,4383900
20111209,32.57,33,32.26,32.99,2899800
20111212,32.8,32.8,32.06,32.43,3128000
20111213,32.68,32.86,32.23,32.39,3212200
20111214,32.28,32.33,31.73,31.87,4381400
20111215,31.95,32.17,31.2,31.36,4448600
20111216,31.6,31.75,31.1,31.36,4400700
20111219,31.32,31.55,30.87,30.87,2868600
20111220,31.16,32,30.84,32,4073200
20111221,31.75,32.11,31.3,32.11,3477000
20111222,32.16,32.66,32.01,32.56,2525200
20111223,32.73,32.97,32.61,32.76,2130800
20111226,32.8,32.84,32.51,32.51,512600
20111227,32.43,32.9,32.32,32.72,4241200
20111228,32.8,32.8,31.67,31.78,3871800
20111229,31.98,32.08,31.56,31.56,3496200
20120102,31.82,32.77,31.82,32.72,2108100
20120103,32.92,34.33,32.92,34.18,5811100
20120104,33.75,34.51,33.62,34.41,2511600
20120105,34.01,34.21,33.31,33.49,2954200
20120106,33.84,33.84,32.87,33.2,2336500
20120109,33.44,33.44,32.84,33.16,1966600
20120110,33.83,33.88,33.12,33.12,3148800
20120111,33.12,33.49,32.83,33.37,3035800
20120112,33.73,33.76,32.76,33.03,5649100
20120113,33.03,33.03,31.91,32.36,8747800
20120116,32.27,32.72,32.19,32.57,3563300
20120117,33.55,34.28,33.29,34.23,6387500
20120118,34.21,34.68,34.04,34.48,5823400
20120119,34.78,34.8,34.11,34.39,4651200
20120120,34.39,34.54,34.11,34.34,2897700
20120123,34.27,34.61,34.04,34.09,4549800
20120124,34.1,34.5,33.63,34.41,5995700
20120126,34.72,35.32,34.23,34.23,5410800
20120127,34.51,34.68,34.23,34.43,2692300
20120130,34.09,34.83,33.81,34.79,4178400
20120131,35.15,35.76,35.03,35.76,6726400
20120201,36,36.68,35.9,36.48,6302700
20120202,36.27,36.67,36.14,36.46,3365000
20120203,36.19,37.04,36.07,36.7,3871800
20120206,36.54,36.76,36.4,36.68,1830800
20120207,36.53,36.75,36.11,36.67,3108400
20120208,36.67,36.89,36.28,36.42,3128600
20120209,36.3,36.61,35.79,36.08,3440300
20120210,35.53,35.76,35.16,35.47,4683400
20120213,35.84,36.36,35.71,36.36,2724100
20120214,36.14,36.16,35.23,35.4,5126300
20120215,35.78,35.84,34.59,34.78,4900300
20120216,34.29,35.21,34.16,34.91,4600700
20120217,35.04,35.16,34.01,34.35,5705400
20120222,34.53,34.64,34.23,34.4,2123100
20120223,34.14,35.2,34.14,35.09,4148200
20120224,35.35,35.59,35.2,35.27,3598800
20120227,35.17,35.2,34.7,34.9,2964000
20120228,34.96,35.32,34.63,35.27,3158500
20120229,35.6,35.8,34.84,34.84,6980800
20120301,35.02,35.48,34.9,35.24,2644500
20120302,35.3,35.65,35.12,35.56,3089900
20120305,35.25,35.28,34.23,34.52,4268900
20120306,33.51,33.59,32.57,32.85,8037500
20120307,32.96,32.96,32.13,32.8,7283600
20120308,33.51,33.52,32.65,32.92,4298200
20120309,32.91,33.38,32.72,32.89,5072500
20120312,32.56,33.11,32.35,32.5,4916700
20120313,32.8,34.2,32.72,34.16,5393100
20120314,34.01,34.4,33.42,33.84,3123700
20120315,33.88,34.46,33.88,34.16,1941300
20120316,34.4,34.47,34.08,34.38,2776800
20120319,34.24,34.66,34.2,34.62,1812000
20120320,33.84,34.09,33.46,34.09,3526100
20120321,33.92,34.17,33.68,33.96,2270800
20120322,33.56,33.65,32.99,33.26,4018600
20120323,33.23,33.51,33.11,33.24,2429700
20120326,33.54,33.72,33.39,33.69,2115900
20120327,33.95,34.24,33.82,33.93,3862000
20120328,33.83,33.95,33.22,33.28,2775300
20120329,33.19,33.76,32.88,33.73,5333300
20120330,34.01,34.32,33.79,34.32,5240500
20120402,34.39,35.55,34.27,35.21,5340200
20120403,35.14,35.4,34.21,34.42,4525300
20120404,33.84,34.06,33.59,33.74,2726300
20120405,33.64,34.07,33.28,33.65,3798500
20120409,33.21,33.4,32.94,33.3,3871100
20120410,33.13,33.23,32.51,32.99,3599400
20120411,33.36,33.52,32.86,32.99,4812500
20120412,33.45,35.19,33.43,35.09,9942500
20120413,34.72,35.31,34.4,35.04,5848500
20120416,35.33,35.33,34.33,34.58,4320500
20120417,34.82,35.54,34.59,35.32,5456000
20120418,35.26,36.1,35.12,35.68,6652600
20120419,35.49,35.88,35.39,35.42,4666000
20120420,35.68,35.87,35.14,35.33,2893900
20120423,34.57,35.1,34.41,35.1,3462100
20120424,34.86,35.31,34.85,35.19,2838600
20120425,35.51,35.51,34.5,34.68,4621400
20120426,33.41,35.46,33.41,35.19,7178400
20120427,35.27,35.49,34.38,34.96,5353100
20120430,34.95,35.02,34.4,34.94,3390400
20120502,34.78,35.43,34.66,35.43,6610900
20120503,35.51,35.68,34.78,35.07,5795600
20120504,34.69,34.73,33.64,34.06,8073300
20120507,33.64,34.14,33.63,34.04,2809000
20120508,33.91,33.93,32.68,33.13,6257600
20120509,32.72,33.5,32.51,33.05,5041900
20120510,33.67,33.81,32.95,33.06,3746700
20120511,32.68,33.17,32.07,32.07,4479000
20120514,31.49,31.92,31.45,31.54,3992200
20120515,31.62,32.13,31.19,31.3,5331400
20120516,31.69,31.94,30.29,30.43,6961000
20120517,30.6,30.76,29.31,29.39,7175900
20120518,29.81,30.33,29.21,30.08,6675500
20120521,30.42,31.19,30.27,31.04,4289300
20120522,30.89,31.29,30.44,30.66,4912300
20120523,30.66,30.9,29.95,30.9,7227900
20120524,31.03,31.29,30.33,30.55,5836900
20120525,30.3,30.76,29.75,29.98,4774000
20120528,30.1,30.58,30,30.25,1314600
20120529,30.41,31.18,30.24,30.76,6357800
20120530,30.17,30.67,29.94,30.58,4095600
20120531,30.75,30.94,29.94,30.83,8685800
20120601,30.03,30.8,30.03,30.35,3463800
20120604,30.31,30.43,29.83,30.28,4086700
20120605,30.35,30.55,29.91,30.26,3822100
20120606,30.35,31.19,30.35,31.13,4278900
20120608,31.18,31.48,31.06,31.45,4112300
20120611,31.67,31.96,30.96,31.05,3991800
20120612,31.13,31.78,31.08,31.78,3295300
20120613,31.74,32.07,31.44,31.82,4046600
20120614,31.52,31.94,31.37,31.9,2552900
20120615,31.99,33.04,31.75,32.41,13680600
20120618,32.31,32.89,32.13,32.68,4274000
20120619,32.81,33.84,32.67,33.47,6787500
20120620,33.43,34.09,33.28,33.57,4497800
20120621,33.47,33.6,32.58,32.64,3146900
20120622,32.81,33.04,32.27,32.57,3531300
20120625,31.82,32.17,31.72,31.95,3344100
20120626,32.09,33.02,31.98,32.68,6069500
20120627,32.81,33.04,32.34,32.55,3783700
20120628,32.46,32.81,31.54,32.17,6356300
20120629,32.83,33.11,32.56,32.91,5273300
20120702,32.81,33,32.48,33,2379100
20120703,33,33.96,32.95,33.63,13850800
20120704,33.63,33.83,33.32,33.83,944900
20120705,34.03,34.37,33.73,34.26,4461000
20120706,33.85,34.32,33.13,33.45,5951400
20120710,33.28,33.63,32.38,32.48,5894500
20120711,32.7,32.84,32.15,32.45,3738300
20120712,31.98,32.45,31.58,32.31,4761000
20120713,32.58,33.15,32.49,33,3391600
20120716,32.72,32.95,32.34,32.48,2199600
20120717,32.54,33.22,32.04,32.36,1978300
20120718,32.36,32.54,31.7,32.4,4634100
20120719,32.13,32.66,31.94,32.44,3030100
20120720,32.15,32.19,31.54,31.65,4804700
